country,outcome,n_areas,lambda,n_retained,dev_ratio,retained
Ghana,women_b12,75,lambda.min,14,0.2552,aef_A12|lst_night_annual_min_t0|dhs_w_health_decision|dhs_w_unmet_fp|dhs_CN_NUTS_C_WH2|dhs_w_delivery_csection|dhs_c_fully_vaccinated|aef_A40|aef_A19|lst_night_m01_t0|dhs_c_dpt3|lst_night_m12_t0
Ghana,women_b12,75,lambda.1se,0,0,
Malawi,child_vitA,87,lambda.min,0,0,
Malawi,child_vitA,87,lambda.1se,0,0,
Malawi,women_vitA,87,lambda.min,0,0,
Malawi,women_vitA,87,lambda.1se,0,0,
Malawi,child_iron,87,lambda.min,9,0.2218,aef_A39|aef_A14|dhs_w_edu_years_mean|dhs_w_literate|aef_A08|dhs_w_bmi_low|dhs_c_under5_death|dhs_hh_crowding|dhs_c_severely_stunted
Malawi,child_iron,87,lambda.1se,0,0,
Malawi,women_iron,87,lambda.min,0,0,
Malawi,women_iron,87,lambda.1se,0,0,
Malawi,women_folate,87,lambda.min,11,0.2157,npp_npp_t0|dhs_RH_ANCN_W_N4P|aef_A11|aef_A42|tclim_pdsi_t0|soil_zinc_mean_0_20|dhs_w_watches_tv|aef_A26|ndvi_anomaly_t0|soilgrids_cec|spam_share_oilcrops
Malawi,women_folate,87,lambda.1se,0,0,
Malawi,women_b12,87,lambda.min,13,0.2476,soilgrids_cec|dhs_w_high_parity|soil_aluminium_stdev_20_50|aef_A02|dhs_hh_open_defecation|dhs_c_low_birthweight|soilgrids_sand|dhs_w_height_low|dhs_w_modern_fp|dhs_hh_crowding|aef_A09|dhs_hh_soap_available
Malawi,women_b12,87,lambda.1se,0,0,
Malawi,child_zinc,87,lambda.min,7,0.1353,dhs_c_excl_breastfed|ndvi_y2014|dhs_w_teen_pregnancy|ndvi_y2016|soil_sulfur_mean_20_50|aef_A36|ndvi_y2013
Malawi,child_zinc,87,lambda.1se,0,0,
Malawi,women_zinc,87,lambda.min,1,0.0362,dhs_c_zinc_diarrhea
Malawi,women_zinc,87,lambda.1se,0,0,
