country,outcome,arm,n_admin2,pearson_r,r_max,r_share,mae_pp,bias_pp
Ghana,women_iron,"admin-2 fit (LORO), unbenchmarked",75,0.071,0,NA,10.78,-5.92
Ghana,women_iron,admin-2 fit + national benchmark,75,0.072,0,NA,10.89,-6.5
Ghana,women_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),75,0.406,0,NA,8.74,-2.93
Ghana,women_iron,admin-2 fit + ADMIN-1 benchmark (hard),75,0.497,0,NA,8.52,-0.67
Ghana,women_folate,"admin-2 fit (LORO), unbenchmarked",75,0.244,0.627,0.39,26.09,-1.05
Ghana,women_folate,admin-2 fit + national benchmark,75,0.168,0.627,0.27,30.18,18.65
Ghana,women_folate,admin-2 fit + ADMIN-1 benchmark (shrunk),75,0.018,0.627,0.03,26.51,5.81
Ghana,women_folate,admin-2 fit + ADMIN-1 benchmark (hard),75,0.024,0.627,0.04,26.51,5.91
Ghana,women_b12,"admin-2 fit (LORO), unbenchmarked",75,-0.105,0.367,-0.28,10.97,-5.99
Ghana,women_b12,admin-2 fit + national benchmark,75,-0.088,0.367,-0.24,13.34,0.69
Ghana,women_b12,admin-2 fit + ADMIN-1 benchmark (shrunk),75,0.193,0.367,0.53,10.59,-1.79
Ghana,women_b12,admin-2 fit + ADMIN-1 benchmark (hard),75,0.287,0.367,0.78,9.97,-1.08
SierraLeone,child_vitA,"admin-2 fit (LORO), unbenchmarked",14,0.13,0,NA,14.68,7.96
SierraLeone,child_vitA,admin-2 fit + national benchmark,14,0.199,0,NA,10.2,-10.2
SierraLeone,child_vitA,admin-2 fit + ADMIN-1 benchmark (shrunk),14,0.004,0,NA,5.72,-0.15
SierraLeone,child_vitA,admin-2 fit + ADMIN-1 benchmark (hard),14,0.064,0,NA,5.59,-0.22
SierraLeone,women_vitA,"admin-2 fit (LORO), unbenchmarked",14,-0.043,0,NA,1.21,-0.24
SierraLeone,women_vitA,admin-2 fit + national benchmark,14,-0.043,0,NA,1.29,0.22
SierraLeone,women_vitA,admin-2 fit + ADMIN-1 benchmark (shrunk),14,0.258,0,NA,1.19,0.08
SierraLeone,women_vitA,admin-2 fit + ADMIN-1 benchmark (hard),14,0.26,0,NA,1.23,0.08
SierraLeone,child_iron,"admin-2 fit (LORO), unbenchmarked",14,0.402,0,NA,3.34,-1.15
SierraLeone,child_iron,admin-2 fit + national benchmark,14,0.386,0,NA,6.87,5.71
SierraLeone,child_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),14,0.569,0,NA,2.94,-0.3
SierraLeone,child_iron,admin-2 fit + ADMIN-1 benchmark (hard),14,0.675,0,NA,2.43,-0.31
SierraLeone,women_iron,"admin-2 fit (LORO), unbenchmarked",14,0.294,0.167,1.76,5.27,-0.61
SierraLeone,women_iron,admin-2 fit + national benchmark,14,0.295,0.167,1.77,6.08,-2.72
SierraLeone,women_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),14,0.382,0.167,2.29,8.49,-7.74
SierraLeone,women_iron,admin-2 fit + ADMIN-1 benchmark (hard),14,0.447,0.167,2.67,4.39,0.64
SierraLeone,women_folate,"admin-2 fit (LORO), unbenchmarked",14,-0.513,0.773,-0.66,13.29,3.16
SierraLeone,women_folate,admin-2 fit + national benchmark,14,-0.493,0.773,-0.64,18.31,-15.93
SierraLeone,women_folate,admin-2 fit + ADMIN-1 benchmark (shrunk),14,0.55,0.773,0.71,6.98,-1.28
SierraLeone,women_folate,admin-2 fit + ADMIN-1 benchmark (hard),14,0.577,0.773,0.75,6.89,-1.28
SierraLeone,women_b12,"admin-2 fit (LORO), unbenchmarked",14,0.354,0,NA,1.13,0.82
SierraLeone,women_b12,admin-2 fit + national benchmark,14,0.354,0,NA,0.41,-0.32
SierraLeone,women_b12,admin-2 fit + ADMIN-1 benchmark (shrunk),14,0.337,0,NA,0.58,0.06
SierraLeone,women_b12,admin-2 fit + ADMIN-1 benchmark (hard),14,0.372,0,NA,0.55,0.06
Malawi,child_vitA,"admin-2 fit (LORO), unbenchmarked",87,0.141,0,NA,8.22,-5.15
Malawi,child_vitA,admin-2 fit + national benchmark,87,0.141,0,NA,8.84,1.74
Malawi,child_vitA,admin-2 fit + ADMIN-1 benchmark (shrunk),87,0.321,0,NA,7.95,0.51
Malawi,child_vitA,admin-2 fit + ADMIN-1 benchmark (hard),87,0.447,0,NA,7.41,0.24
Malawi,women_vitA,"admin-2 fit (LORO), unbenchmarked",87,-0.146,0,NA,2.2,-0.82
Malawi,women_vitA,admin-2 fit + national benchmark,87,-0.147,0,NA,3.09,0.36
Malawi,women_vitA,admin-2 fit + ADMIN-1 benchmark (shrunk),87,-0.113,0,NA,3.23,0.55
Malawi,women_vitA,admin-2 fit + ADMIN-1 benchmark (hard),87,0.322,0,NA,2.68,0.34
Malawi,child_iron,"admin-2 fit (LORO), unbenchmarked",87,0.291,0.096,3.03,11.79,-3.53
Malawi,child_iron,admin-2 fit + national benchmark,87,0.259,0.096,2.7,15.26,-13.98
Malawi,child_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),87,0.151,0.096,1.58,12.52,-8.05
Malawi,child_iron,admin-2 fit + ADMIN-1 benchmark (hard),87,0.307,0.096,3.2,11.34,-4.01
Malawi,women_iron,"admin-2 fit (LORO), unbenchmarked",87,0.037,0,NA,15.36,-7.06
Malawi,women_iron,admin-2 fit + national benchmark,87,0.04,0,NA,15.62,-11.85
Malawi,women_iron,admin-2 fit + ADMIN-1 benchmark (shrunk),87,0.027,0,NA,14.28,-9.56
Malawi,women_iron,admin-2 fit + ADMIN-1 benchmark (hard),87,0.227,0,NA,12.76,-3.91
Malawi,women_folate,"admin-2 fit (LORO), unbenchmarked",87,0.275,0.559,0.49,16.87,-10.51
Malawi,women_folate,admin-2 fit + national benchmark,87,0.266,0.559,0.48,16.51,-0.21
Malawi,women_folate,admin-2 fit + ADMIN-1 benchmark (shrunk),87,0.523,0.559,0.94,13.73,-1.93
Malawi,women_folate,admin-2 fit + ADMIN-1 benchmark (hard),87,0.586,0.559,1.05,13.26,-0.3
Malawi,women_b12,"admin-2 fit (LORO), unbenchmarked",87,0.112,0,NA,3.6,-1.75
Malawi,women_b12,admin-2 fit + national benchmark,87,0.114,0,NA,4.29,-0.31
Malawi,women_b12,admin-2 fit + ADMIN-1 benchmark (shrunk),87,0.329,0,NA,3.77,-0.84
Malawi,women_b12,admin-2 fit + ADMIN-1 benchmark (hard),87,0.4,0,NA,3.81,0.07
Malawi,child_zinc,"admin-2 fit (LORO), unbenchmarked",87,-0.287,0.672,-0.43,26.02,0.11
Malawi,child_zinc,admin-2 fit + national benchmark,87,-0.261,0.672,-0.39,26.18,7.14
Malawi,child_zinc,admin-2 fit + ADMIN-1 benchmark (shrunk),87,0.168,0.672,0.25,21.22,3.73
Malawi,child_zinc,admin-2 fit + ADMIN-1 benchmark (hard),87,0.272,0.672,0.4,20.92,2.76
Malawi,women_zinc,"admin-2 fit (LORO), unbenchmarked",87,-0.332,0.724,-0.46,27.35,8.28
Malawi,women_zinc,admin-2 fit + national benchmark,87,-0.332,0.724,-0.46,27.22,0.48
Malawi,women_zinc,admin-2 fit + ADMIN-1 benchmark (shrunk),87,0.221,0.724,0.31,21.61,-2.77
Malawi,women_zinc,admin-2 fit + ADMIN-1 benchmark (hard),87,0.312,0.724,0.43,21.01,-4.27
Gambia,child_vitA,ADMIN-1 fit -> admin-2 (pooled),30,0.444,0.671,0.66,9.93,-2.24
Ghana,child_vitA,ADMIN-1 fit -> admin-2 (pooled),75,0.385,0.03,12.77,8.85,-2.38
SierraLeone,child_vitA,ADMIN-1 fit -> admin-2 (pooled),14,-0.158,0,NA,4.76,-0.89
Malawi,child_vitA,ADMIN-1 fit -> admin-2 (pooled),87,0.327,0,NA,7.99,-1.79
Gambia,women_vitA,ADMIN-1 fit -> admin-2 (pooled),30,0.471,0.275,1.71,3.23,-1.1
Ghana,women_vitA,ADMIN-1 fit -> admin-2 (pooled),75,0.251,0,NA,2.4,-0.24
SierraLeone,women_vitA,ADMIN-1 fit -> admin-2 (pooled),14,-0.186,0,NA,1.29,-0.34
Malawi,women_vitA,ADMIN-1 fit -> admin-2 (pooled),87,0.268,0,NA,2.5,-0.25
Gambia,child_iron,ADMIN-1 fit -> admin-2 (pooled),30,0.341,0.565,0.6,12.14,-3.16
Ghana,child_iron,ADMIN-1 fit -> admin-2 (pooled),75,0.594,0.672,0.88,11.61,-2.24
SierraLeone,child_iron,ADMIN-1 fit -> admin-2 (pooled),14,0.172,0,NA,4.17,0.44
Malawi,child_iron,ADMIN-1 fit -> admin-2 (pooled),87,-0.009,0.096,-0.1,11.52,-1.46
Gambia,women_iron,ADMIN-1 fit -> admin-2 (pooled),30,0.431,0.706,0.61,12.55,-6.21
Ghana,women_iron,ADMIN-1 fit -> admin-2 (pooled),75,0.364,0,NA,8.9,-3.51
SierraLeone,women_iron,ADMIN-1 fit -> admin-2 (pooled),14,0.313,0.167,1.87,6.17,-4.41
Malawi,women_iron,ADMIN-1 fit -> admin-2 (pooled),87,0.004,0,NA,13.22,-3.72
Ghana,women_folate,ADMIN-1 fit -> admin-2 (pooled),75,0.322,0.627,0.51,23.24,1.51
SierraLeone,women_folate,ADMIN-1 fit -> admin-2 (pooled),14,-0.024,0.773,-0.03,18.04,-18.04
Malawi,women_folate,ADMIN-1 fit -> admin-2 (pooled),87,0.45,0.559,0.81,15.91,-7.76
Ghana,women_b12,ADMIN-1 fit -> admin-2 (pooled),75,0.339,0.367,0.92,9.96,-5.94
SierraLeone,women_b12,ADMIN-1 fit -> admin-2 (pooled),14,-0.315,0,NA,1.05,0.85
Malawi,women_b12,ADMIN-1 fit -> admin-2 (pooled),87,0.265,0,NA,3.74,-1.45
