"outcome","variant","country","auc","model"
"child_iron","knn","Malawi",0.563,"ranger"
"child_iron","median+corr0.85","Gambia",0.524,"ranger"
"child_iron","median+corr0.85","Ghana",0.682,"ranger"
"child_iron","median+corr0.85","SierraLeone",0.476,"ranger"
"child_iron","median+corr0.85","Malawi",0.542,"ranger"
"child_iron","median+ind+corr","Gambia",0.52,"ranger"
"child_iron","median+ind+corr","Ghana",0.684,"ranger"
"child_iron","median+ind+corr","SierraLeone",0.478,"ranger"
"child_iron","median+ind+corr","Malawi",0.539,"ranger"
"child_vitA","zscore+corr","Gambia",0.62,"glmnet_lasso"
"child_vitA","zscore+corr","Ghana",0.552,"glmnet_lasso"
"child_vitA","zscore+corr","SierraLeone",0.44,"glmnet_lasso"
"child_vitA","zscore+corr","Malawi",0.542,"glmnet_lasso"
"child_vitA","rank+corr","Gambia",0.623,"glmnet_lasso"
"child_vitA","rank+corr","Ghana",0.561,"glmnet_lasso"
"child_vitA","rank+corr","SierraLeone",0.475,"glmnet_lasso"
"child_vitA","rank+corr","Malawi",0.537,"glmnet_lasso"
"child_vitA","signedlog+corr","Gambia",0.627,"glmnet_lasso"
"child_vitA","signedlog+corr","Ghana",0.553,"glmnet_lasso"
"child_vitA","signedlog+corr","SierraLeone",0.444,"glmnet_lasso"
"child_vitA","signedlog+corr","Malawi",0.544,"glmnet_lasso"
"child_vitA","zscore+nored","Gambia",0.621,"glmnet_lasso"
"child_vitA","zscore+nored","Ghana",0.56,"glmnet_lasso"
"child_vitA","zscore+nored","SierraLeone",0.442,"glmnet_lasso"
"child_vitA","zscore+nored","Malawi",0.54,"glmnet_lasso"
"child_vitA","rank+nored","Gambia",0.614,"glmnet_lasso"
"child_vitA","rank+nored","Ghana",0.553,"glmnet_lasso"
"child_vitA","rank+nored","SierraLeone",0.472,"glmnet_lasso"
"child_vitA","rank+nored","Malawi",0.529,"glmnet_lasso"
"women_iron","zscore+corr","Gambia",0.614,"glmnet_lasso"
"women_iron","zscore+corr","Ghana",0.525,"glmnet_lasso"
"women_iron","zscore+corr","SierraLeone",0.477,"glmnet_lasso"
"women_iron","zscore+corr","Malawi",0.495,"glmnet_lasso"
"women_iron","rank+corr","Gambia",0.605,"glmnet_lasso"
"women_iron","rank+corr","Ghana",0.528,"glmnet_lasso"
"women_iron","rank+corr","SierraLeone",0.563,"glmnet_lasso"
"women_iron","rank+corr","Malawi",0.495,"glmnet_lasso"
"women_iron","signedlog+corr","Gambia",0.608,"glmnet_lasso"
"women_iron","signedlog+corr","Ghana",0.528,"glmnet_lasso"
"women_iron","signedlog+corr","SierraLeone",0.496,"glmnet_lasso"
"women_iron","signedlog+corr","Malawi",0.52,"glmnet_lasso"
"women_iron","zscore+nored","Gambia",0.62,"glmnet_lasso"
"women_iron","zscore+nored","Ghana",0.536,"glmnet_lasso"
"women_iron","zscore+nored","SierraLeone",0.491,"glmnet_lasso"
"women_iron","zscore+nored","Malawi",0.483,"glmnet_lasso"
"women_iron","rank+nored","Gambia",0.601,"glmnet_lasso"
"women_iron","rank+nored","Ghana",0.511,"glmnet_lasso"
"women_iron","rank+nored","SierraLeone",0.537,"glmnet_lasso"
"women_iron","rank+nored","Malawi",0.495,"glmnet_lasso"
"child_iron","zscore+corr","Gambia",0.526,"glmnet_lasso"
"child_iron","zscore+corr","Ghana",0.694,"glmnet_lasso"
"child_iron","zscore+corr","SierraLeone",0.434,"glmnet_lasso"
"child_iron","zscore+corr","Malawi",0.536,"glmnet_lasso"
"child_iron","rank+corr","Gambia",0.529,"glmnet_lasso"
"child_iron","rank+corr","Ghana",0.661,"glmnet_lasso"
"child_iron","rank+corr","SierraLeone",0.517,"glmnet_lasso"
"child_iron","rank+corr","Malawi",0.526,"glmnet_lasso"
"child_iron","signedlog+corr","Gambia",0.524,"glmnet_lasso"
"child_iron","signedlog+corr","Ghana",0.693,"glmnet_lasso"
"child_iron","signedlog+corr","SierraLeone",0.392,"glmnet_lasso"
"child_iron","signedlog+corr","Malawi",0.532,"glmnet_lasso"
"child_iron","zscore+nored","Gambia",0.514,"glmnet_lasso"
"child_iron","zscore+nored","Ghana",0.706,"glmnet_lasso"
"child_iron","zscore+nored","SierraLeone",0.419,"glmnet_lasso"
"child_iron","zscore+nored","Malawi",0.53,"glmnet_lasso"
"child_iron","rank+nored","Gambia",0.531,"glmnet_lasso"
"child_iron","rank+nored","Ghana",0.666,"glmnet_lasso"
"child_iron","rank+nored","SierraLeone",0.52,"glmnet_lasso"
"child_iron","rank+nored","Malawi",0.521,"glmnet_lasso"
