"estimand","target","arm","paired","mean_diff","median_diff","cells_better"
"infill","prev","ridge_min",1,-0.00245577409441772,-0.00245577409441772,0
"region","level","ridge_min",1,-0.0111237553342817,-0.0111237553342817,0
"region","prev","ridge_min",1,-0.00268421819622394,-0.00268421819622394,0
"country","level","domain_enet",4,-0.0380938963290257,-0.0437042379200332,2
"country","prev","domain_enet",4,-0.116699440180822,-0.156722429517371,1
"infill","level","domain_enet",1,-0.00964438122332867,-0.00964438122332867,0
"infill","prev","domain_enet",1,-0.0014848866617409,-0.0014848866617409,0
"region","level","domain_enet",1,-0.143499288762447,-0.143499288762447,0
"region","prev","domain_enet",1,-0.165836140155006,-0.165836140155006,0
"country","level","spatial",4,0.0255421403354167,0.0324407904483958,2
"country","prev","spatial",4,0.0284247112111581,0.0207705792832741,2
"infill","level","spatial",1,-0.0382361308677098,-0.0382361308677098,0
"infill","prev","spatial",1,-0.0247790461678015,-0.0247790461678015,0
"region","level","spatial",1,0.0232432432432432,0.0232432432432432,1
"region","prev","spatial",1,0.0261425719004577,0.0261425719004577,1
"country","level","spatial_plus_domain",4,-0.0239111691609231,0.0152074016823098,2
"country","prev","spatial_plus_domain",4,0.0265222001758026,0.016965557212563,2
"infill","level","spatial_plus_domain",1,-0.0382361308677098,-0.0382361308677098,0
"infill","prev","spatial_plus_domain",1,-0.0168191969954884,-0.0168191969954884,0
"region","level","spatial_plus_domain",1,0.0232432432432432,0.0232432432432432,1
"region","prev","spatial_plus_domain",1,-0.0317680079074377,-0.0317680079074377,0
"country","level","raw_enet",4,-0.170453744787616,-0.180904861890167,1
"country","prev","raw_enet",4,-0.235135758142558,-0.226468736841334,0
"infill","level","raw_enet",1,0.0305263157894736,0.0305263157894736,1
"infill","prev","raw_enet",1,-0.0104655954140008,-0.0104655954140008,0
"region","level","raw_enet",1,-0.0532005689900427,-0.0532005689900427,0
"region","prev","raw_enet",1,-0.157312319606359,-0.157312319606359,0
