"rank_from","set","fraction","design","cells","mae","spearman","capture"
"level","full",0.25,"A2_region_anchor_rank",22,8.32,0.388,0.22
"level","full",0.25,"B_district_survey",22,9.54,0.534,0.345
"level","full",0.25,"C_regional_survey",22,8.2,0.336,0.249
"level","full",0.4,"A1_anchor_rank",22,9.13,0.228,0.173
"level","full",0.4,"A2_region_anchor_rank",22,7.7,0.419,0.216
"level","full",0.4,"B_district_survey",22,6.86,0.662,0.374
"level","full",0.4,"C_regional_survey",22,7.7,0.366,0.236
"level","full",0.6,"A1_anchor_rank",22,9,0.228,0.173
"level","full",0.6,"A2_region_anchor_rank",22,7.41,0.446,0.23
"level","full",0.6,"B_district_survey",22,5.1,0.77,0.393
"level","full",0.6,"C_regional_survey",22,7.09,0.423,0.251
"level","full",0.8,"A1_anchor_rank",22,8.94,0.228,0.173
"level","full",0.8,"A2_region_anchor_rank",22,6.93,0.482,0.261
"level","full",0.8,"B_district_survey",22,3.13,0.888,0.401
"level","full",0.8,"C_regional_survey",22,6.7,0.451,0.255
"level","full",1,"A1_anchor_rank",22,8.93,0.228,0.173
"level","full",1,"A2_region_anchor_rank",22,6.72,0.511,0.234
"level","full",1,"B_district_survey",22,0,1,0.411
"level","full",1,"C_regional_survey",22,6.49,0.488,0.258
"prev","climate_soil",0.05,"A1_anchor_rank",22,10.05,0.252,0.217
"prev","climate_soil",0.05,"A2_region_anchor_rank",22,12.84,0.208,0.228
"prev","climate_soil",0.05,"B_district_survey",22,19.66,0.283,0.28
"prev","climate_soil",0.05,"C_regional_survey",22,12.85,0.185,0.222
"prev","climate_soil",0.1,"A1_anchor_rank",22,9.31,0.252,0.217
"prev","climate_soil",0.1,"A2_region_anchor_rank",22,10.14,0.282,0.236
"prev","climate_soil",0.1,"B_district_survey",22,15.16,0.382,0.299
"prev","climate_soil",0.1,"C_regional_survey",22,9.88,0.212,0.234
"prev","climate_soil",0.15,"A1_anchor_rank",22,8.81,0.252,0.217
"prev","climate_soil",0.15,"A2_region_anchor_rank",22,9.41,0.312,0.228
"prev","climate_soil",0.15,"B_district_survey",22,13.08,0.441,0.328
"prev","climate_soil",0.15,"C_regional_survey",22,9.07,0.253,0.239
"prev","climate_soil",0.25,"A1_anchor_rank",22,8.63,0.252,0.217
"prev","climate_soil",0.25,"A2_region_anchor_rank",22,8.45,0.35,0.243
"prev","climate_soil",0.25,"B_district_survey",22,9.47,0.513,0.357
"prev","climate_soil",0.25,"C_regional_survey",22,8.27,0.274,0.235
"prev","climate_soil",0.4,"A1_anchor_rank",22,8.9,0.252,0.217
"prev","climate_soil",0.4,"A2_region_anchor_rank",22,7.93,0.411,0.251
"prev","climate_soil",0.4,"B_district_survey",22,6.91,0.653,0.372
"prev","climate_soil",0.4,"C_regional_survey",22,7.82,0.346,0.231
"prev","climate_soil",0.6,"A1_anchor_rank",22,8.56,0.252,0.217
"prev","climate_soil",0.6,"A2_region_anchor_rank",22,7.5,0.451,0.259
"prev","climate_soil",0.6,"B_district_survey",22,4.96,0.758,0.381
"prev","climate_soil",0.6,"C_regional_survey",22,7.06,0.403,0.252
"prev","climate_soil",0.8,"A1_anchor_rank",22,8.44,0.252,0.217
"prev","climate_soil",0.8,"A2_region_anchor_rank",22,7.17,0.481,0.258
"prev","climate_soil",0.8,"B_district_survey",22,3.07,0.89,0.409
"prev","climate_soil",0.8,"C_regional_survey",22,6.68,0.452,0.251
"prev","climate_soil",1,"A1_anchor_rank",22,8.47,0.252,0.217
"prev","climate_soil",1,"A2_region_anchor_rank",22,7.03,0.516,0.246
"prev","climate_soil",1,"B_district_survey",22,0,1,0.411
"prev","climate_soil",1,"C_regional_survey",22,6.49,0.488,0.258
"prev","full",0.05,"A1_anchor_rank",22,10.15,0.157,0.171
"prev","full",0.05,"A2_region_anchor_rank",22,12.32,0.251,0.212
"prev","full",0.05,"B_district_survey",22,19.62,0.29,0.294
"prev","full",0.05,"C_regional_survey",22,12.1,0.153,0.224
"prev","full",0.1,"A1_anchor_rank",22,9.68,0.157,0.171
"prev","full",0.1,"A2_region_anchor_rank",22,10.48,0.303,0.214
"prev","full",0.1,"B_district_survey",22,15.03,0.356,0.299
"prev","full",0.1,"C_regional_survey",22,10.51,0.242,0.231
"prev","full",0.15,"A1_anchor_rank",22,9.38,0.157,0.171
"prev","full",0.15,"A2_region_anchor_rank",22,9.54,0.345,0.215
"prev","full",0.15,"B_district_survey",22,12.84,0.448,0.324
"prev","full",0.15,"C_regional_survey",22,9.11,0.25,0.232
"prev","full",0.25,"A1_anchor_rank",22,9.2,0.157,0.171
"prev","full",0.25,"A2_region_anchor_rank",22,8.33,0.378,0.206
"prev","full",0.25,"B_district_survey",22,9.48,0.549,0.336
"prev","full",0.25,"C_regional_survey",22,8.32,0.343,0.231
"prev","full",0.4,"A1_anchor_rank",22,8.92,0.157,0.171
"prev","full",0.4,"A2_region_anchor_rank",22,7.69,0.405,0.238
"prev","full",0.4,"B_district_survey",22,7.18,0.641,0.372
"prev","full",0.4,"C_regional_survey",22,7.75,0.399,0.233
"prev","full",0.6,"A1_anchor_rank",22,8.92,0.157,0.171
"prev","full",0.6,"A2_region_anchor_rank",22,6.96,0.462,0.23
"prev","full",0.6,"B_district_survey",22,5.02,0.76,0.384
"prev","full",0.6,"C_regional_survey",22,7.04,0.425,0.24
"prev","full",0.8,"A1_anchor_rank",22,8.83,0.157,0.171
"prev","full",0.8,"A2_region_anchor_rank",22,6.74,0.475,0.255
"prev","full",0.8,"B_district_survey",22,2.93,0.878,0.404
"prev","full",0.8,"C_regional_survey",22,6.7,0.47,0.24
"prev","full",1,"A1_anchor_rank",22,8.75,0.157,0.171
"prev","full",1,"A2_region_anchor_rank",22,6.56,0.514,0.252
"prev","full",1,"B_district_survey",22,0,1,0.411
"prev","full",1,"C_regional_survey",22,6.49,0.488,0.258
