"variant","target","outcome","country","set","n_units","spearman","thin"
"current","prev","women_iron","Malawi","csa",27,0.112332112332112,FALSE
"current","prev","women_iron","SierraLeone","csa",4,0.4,TRUE
"current","prev","women_folate","Ghana","full",16,0.332352941176471,FALSE
"current","prev","women_folate","Malawi","full",27,0.307269452566524,FALSE
"current","prev","women_folate","SierraLeone","full",4,0,TRUE
"current","prev","women_folate","Ghana","climate_soil",16,0.164705882352941,FALSE
"current","prev","women_folate","Malawi","climate_soil",27,0.372022060860861,FALSE
"current","prev","women_folate","SierraLeone","climate_soil",4,-0.8,TRUE
"current","prev","women_folate","Ghana","csa",16,0.158823529411765,FALSE
"current","prev","women_folate","Malawi","csa",27,0.376909050166094,FALSE
"current","prev","women_folate","SierraLeone","csa",4,-1,TRUE
"current","prev","women_b12","Ghana","full",16,0.152596779118585,FALSE
"current","prev","women_b12","Malawi","full",27,0.0470045825516976,FALSE
"current","prev","women_b12","SierraLeone","full",4,-0.4,TRUE
"current","prev","women_b12","Ghana","climate_soil",16,0.314082691001359,FALSE
"current","prev","women_b12","Malawi","climate_soil",27,0.477467601709349,FALSE
"current","prev","women_b12","SierraLeone","climate_soil",4,-0.4,TRUE
"current","prev","women_b12","Ghana","csa",16,0.330379434402373,FALSE
"current","prev","women_b12","Malawi","csa",27,0.410671615977989,FALSE
"current","prev","women_b12","SierraLeone","csa",4,-0.4,TRUE
"plus_soil","level","child_vitA","Gambia","full",6,0.828571428571429,TRUE
"plus_soil","level","child_vitA","Ghana","full",16,0.517647058823529,FALSE
"plus_soil","level","child_vitA","Malawi","full",27,0.490842490842491,FALSE
"plus_soil","level","child_vitA","SierraLeone","full",4,-0.4,TRUE
"plus_soil","level","child_vitA","Gambia","climate_soil",6,0.942857142857143,TRUE
"plus_soil","level","child_vitA","Ghana","climate_soil",16,0.402941176470588,FALSE
"plus_soil","level","child_vitA","Malawi","climate_soil",27,0.28998778998779,FALSE
"plus_soil","level","child_vitA","SierraLeone","climate_soil",4,0.4,TRUE
"plus_soil","level","child_vitA","Gambia","csa",6,0.885714285714286,TRUE
"plus_soil","level","child_vitA","Ghana","csa",16,0.344117647058824,FALSE
"plus_soil","level","child_vitA","Malawi","csa",27,0.304029304029304,FALSE
"plus_soil","level","child_vitA","SierraLeone","csa",4,0,TRUE
"plus_soil","level","women_vitA","Gambia","full",6,0.771428571428571,TRUE
"plus_soil","level","women_vitA","Ghana","full",16,0.626470588235294,FALSE
"plus_soil","level","women_vitA","Malawi","full",27,0.244200244200244,FALSE
"plus_soil","level","women_vitA","SierraLeone","full",4,-0.4,TRUE
"plus_soil","level","women_vitA","Gambia","climate_soil",6,0.885714285714286,TRUE
"plus_soil","level","women_vitA","Ghana","climate_soil",16,0.579411764705882,FALSE
"plus_soil","level","women_vitA","Malawi","climate_soil",27,0.27960927960928,FALSE
"plus_soil","level","women_vitA","SierraLeone","climate_soil",4,0.4,TRUE
"plus_soil","level","women_vitA","Gambia","csa",6,0.771428571428571,TRUE
"plus_soil","level","women_vitA","Ghana","csa",16,0.594117647058824,FALSE
"plus_soil","level","women_vitA","Malawi","csa",27,0.259462759462759,FALSE
"plus_soil","level","women_vitA","SierraLeone","csa",4,0.2,TRUE
"plus_soil","level","child_iron","Gambia","full",6,0.485714285714286,TRUE
"plus_soil","level","child_iron","Ghana","full",16,0.788235294117647,FALSE
"plus_soil","level","child_iron","Malawi","full",27,0.00427350427350427,FALSE
"plus_soil","level","child_iron","SierraLeone","full",4,-0.8,TRUE
"plus_soil","level","child_iron","Gambia","climate_soil",6,0.6,TRUE
"plus_soil","level","child_iron","Ghana","climate_soil",16,0.726470588235294,FALSE
"plus_soil","level","child_iron","Malawi","climate_soil",27,0.11050061050061,FALSE
"plus_soil","level","child_iron","SierraLeone","climate_soil",4,0.2,TRUE
"plus_soil","level","child_iron","Gambia","csa",6,0.6,TRUE
"plus_soil","level","child_iron","Ghana","csa",16,0.667647058823529,FALSE
"plus_soil","level","child_iron","Malawi","csa",27,0.166666666666667,FALSE
"plus_soil","level","child_iron","SierraLeone","csa",4,0.2,TRUE
"plus_soil","level","women_iron","Gambia","full",6,0.314285714285714,TRUE
"plus_soil","level","women_iron","Ghana","full",16,0.491176470588235,FALSE
"plus_soil","level","women_iron","Malawi","full",27,0.2002442002442,FALSE
"plus_soil","level","women_iron","SierraLeone","full",4,0,TRUE
"plus_soil","level","women_iron","Gambia","climate_soil",6,0.657142857142857,TRUE
"plus_soil","level","women_iron","Ghana","climate_soil",16,0.494117647058823,FALSE
"plus_soil","level","women_iron","Malawi","climate_soil",27,0.592796092796093,FALSE
"plus_soil","level","women_iron","SierraLeone","climate_soil",4,0.8,TRUE
"plus_soil","level","women_iron","Gambia","csa",6,0.657142857142857,TRUE
"plus_soil","level","women_iron","Ghana","csa",16,0.482352941176471,FALSE
"plus_soil","level","women_iron","Malawi","csa",27,0.635531135531135,FALSE
"plus_soil","level","women_iron","SierraLeone","csa",4,0.8,TRUE
"plus_soil","level","women_folate","Ghana","full",16,-0.0147058823529412,FALSE
"plus_soil","level","women_folate","Malawi","full",27,0.260683760683761,FALSE
"plus_soil","level","women_folate","SierraLeone","full",4,-0.8,TRUE
"plus_soil","level","women_folate","Ghana","climate_soil",16,-0.202941176470588,FALSE
"plus_soil","level","women_folate","Malawi","climate_soil",27,0.224664224664225,FALSE
"plus_soil","level","women_folate","SierraLeone","climate_soil",4,-0.8,TRUE
"plus_soil","level","women_folate","Ghana","csa",16,-0.194117647058824,FALSE
"plus_soil","level","women_folate","Malawi","csa",27,0.251526251526252,FALSE
"plus_soil","level","women_folate","SierraLeone","csa",4,-0.8,TRUE
"plus_soil","level","women_b12","Ghana","full",16,0.655882352941176,FALSE
"plus_soil","level","women_b12","Malawi","full",27,0.506715506715507,FALSE
"plus_soil","level","women_b12","SierraLeone","full",4,0.8,TRUE
"plus_soil","level","women_b12","Ghana","climate_soil",16,0.658823529411765,FALSE
"plus_soil","level","women_b12","Malawi","climate_soil",27,0.750915750915751,FALSE
"plus_soil","level","women_b12","SierraLeone","climate_soil",4,0.8,TRUE
"plus_soil","level","women_b12","Ghana","csa",16,0.641176470588235,FALSE
"plus_soil","level","women_b12","Malawi","csa",27,0.583028083028083,FALSE
"plus_soil","level","women_b12","SierraLeone","csa",4,0.8,TRUE
"plus_soil","prev","child_vitA","Gambia","full",6,0.828571428571429,TRUE
"plus_soil","prev","child_vitA","Ghana","full",16,0.423529411764706,FALSE
"plus_soil","prev","child_vitA","Malawi","full",27,0.393614633683027,FALSE
"plus_soil","prev","child_vitA","SierraLeone","full",4,0.4,TRUE
"plus_soil","prev","child_vitA","Gambia","climate_soil",6,0.771428571428571,TRUE
"plus_soil","prev","child_vitA","Ghana","climate_soil",16,0.423529411764706,FALSE
"plus_soil","prev","child_vitA","Malawi","climate_soil",27,0.110788558221996,FALSE
"plus_soil","prev","child_vitA","SierraLeone","climate_soil",4,-0.2,TRUE
"plus_soil","prev","child_vitA","Gambia","csa",6,0.771428571428571,TRUE
"plus_soil","prev","child_vitA","Ghana","csa",16,0.447058823529412,FALSE
"plus_soil","prev","child_vitA","Malawi","csa",27,0.0986288384171429,FALSE
"plus_soil","prev","child_vitA","SierraLeone","csa",4,-0.2,TRUE
"plus_soil","prev","women_vitA","Gambia","full",6,0.657142857142857,TRUE
"plus_soil","prev","women_vitA","Ghana","full",16,0.389569898583493,FALSE
"plus_soil","prev","women_vitA","Malawi","full",27,0.331956864961941,FALSE
"plus_soil","prev","women_vitA","SierraLeone","full",4,0.4,TRUE
"plus_soil","prev","women_vitA","Gambia","climate_soil",6,0.657142857142857,TRUE
"plus_soil","prev","women_vitA","Ghana","climate_soil",16,0.360880642486259,FALSE
"plus_soil","prev","women_vitA","Malawi","climate_soil",27,0.0860131148079523,FALSE
"plus_soil","prev","women_vitA","SierraLeone","climate_soil",4,0.8,TRUE
"plus_soil","prev","women_vitA","Gambia","csa",6,0.542857142857143,TRUE
"plus_soil","prev","women_vitA","Ghana","csa",16,0.351820877402922,FALSE
"plus_soil","prev","women_vitA","Malawi","csa",27,0.138427356644048,FALSE
"plus_soil","prev","women_vitA","SierraLeone","csa",4,1,TRUE
"plus_soil","prev","child_iron","Gambia","full",6,0.657142857142857,TRUE
"plus_soil","prev","child_iron","Ghana","full",16,0.694117647058824,FALSE
"plus_soil","prev","child_iron","Malawi","full",27,-0.127594627594628,FALSE
"plus_soil","prev","child_iron","SierraLeone","full",4,0,TRUE
"plus_soil","prev","child_iron","Gambia","climate_soil",6,0.6,TRUE
"plus_soil","prev","child_iron","Ghana","climate_soil",16,0.685294117647059,FALSE
