"country","outcome","set","n","n_districts","prevalence","n_pred","picks","auc","brier","brier_skill","pr_auc","pr_gain","pr_norm"
"Ghana","women_b12","survey_only",473,75,0.0845665961945032,80,"SL.asl_enet 1;SL.asl_ranger 2;SL.mean 2",0.596102771362587,0.0769969058849764,0.00540180388337808,0.15203346785949,1.79779575743846,0.073699377130574
"Ghana","women_b12","proxies_only",473,75,0.0845665961945032,71,"SL.asl_enet 1;SL.asl_ranger 3;SL.mean 1",0.594976905311778,0.0752487321671292,0.0279836259226537,0.156467599035651,1.85022935859657,0.0785431278149258
"Ghana","women_b12","both",473,75,0.0845665961945032,151,"SL.asl_ranger 4;SL.mean 1",0.593302540415704,0.0769326795882483,0.00623143928411118,0.163107335442591,1.92874424160864,0.0857962347906361
"SierraLeone","child_vitA","survey_only",486,14,0.125514403292181,80,"SL.asl_ranger 1;SL.mean 4",0.454657666345227,0.111420228618439,-0.01512101518846,0.130460359401395,1.03940548637833,0.00565584628018313
"SierraLeone","child_vitA","proxies_only",486,14,0.125514403292181,57,"SL.asl_ranger 2;SL.mean 3",0.427425265188042,0.110663476760767,-0.00822644385674831,0.101776694461411,0.810876614889276,-0.0271447682158921
"SierraLeone","child_vitA","both",486,14,0.125514403292181,137,"SL.mean 5",0.433751205400193,0.110440854708721,-0.00619819165983193,0.103166082005519,0.821946161552166,-0.0255559626948657
"SierraLeone","women_vitA","survey_only",774,14,0.0180878552971576,80,"SL.asl_enet 1;SL.mean 4",0.346804511278196,0.017819346450346,-0.00330289418115259,0.0122052830317719,0.674777790470815,-0.00599093543869551
"SierraLeone","women_vitA","proxies_only",774,14,0.0180878552971576,57,"SL.asl_enet 1;SL.mean 4",0.346804511278196,0.017819346450346,-0.00330289418115259,0.0122052830317719,0.674777790470815,-0.00599093543869551
"SierraLeone","women_vitA","both",774,14,0.0180878552971576,137,"SL.asl_enet 1;SL.mean 4",0.346804511278196,0.017819346450346,-0.00330289418115259,0.0122052830317719,0.674777790470815,-0.00599093543869551
"SierraLeone","child_iron","survey_only",486,14,0.0576131687242798,80,"SL.asl_enet 1;SL.mean 4",0.357454772301934,0.0547599452959375,-0.00858390822826305,0.0413199401581269,0.717196104173203,-0.0172893211422496
"SierraLeone","child_iron","proxies_only",486,14,0.0576131687242798,57,"SL.asl_ranger 1;SL.mean 4",0.326887086712414,0.0552662159606017,-0.0179085421888858,0.038635101227347,0.670594971303237,-0.0201382986976187
"SierraLeone","child_iron","both",486,14,0.0576131687242798,137,"SL.mean 5",0.357454772301934,0.0547599452959375,-0.00858390822826305,0.0413199401581269,0.717196104173203,-0.0172893211422496
"SierraLeone","women_folate","survey_only",766,14,0.793733681462141,80,"SL.mean 5",0.398218895736176,0.165645032862557,-0.0117548395059801,0.742804183273508,0.935835533532084,-0.24691136463603
"SierraLeone","women_folate","proxies_only",766,14,0.793733681462141,57,"SL.asl_enet 2;SL.asl_ranger 1;SL.mean 2",0.441356803797468,0.166439801767734,-0.0166092638868718,0.7506891772881,0.945769588491258,-0.208684115172881
"SierraLeone","women_folate","both",766,14,0.793733681462141,137,"SL.asl_enet 3;SL.asl_ranger 1;SL.mean 1",0.458074825116589,0.168384242965125,-0.0284858517784501,0.758109796420945,0.955118592201388,-0.172708202161748
"Malawi","child_vitA","survey_only",1069,86,0.201122544434051,80,"SL.asl_enet 1;SL.mean 4",0.440487990850172,0.16274101344203,-0.0128755692066185,0.19268878562041,0.958066566642876,-0.0105570119107513
"Malawi","child_vitA","proxies_only",1069,86,0.201122544434051,93,"SL.asl_enet 1;SL.asl_ranger 1;SL.mean 3",0.433927890637765,0.162668653412525,-0.0124252112758076,0.181918176585391,0.904514096603642,-0.0240391911360856
"Malawi","child_vitA","both",1069,86,0.201122544434051,173,"SL.asl_enet 1;SL.mean 4",0.434951800010893,0.162504071804334,-0.0114008801219545,0.187571349073813,0.932622196092587,-0.0169627960656835
"Malawi","women_vitA","survey_only",784,86,0.0216836734693878,79,"SL.asl_ranger 1;SL.mean 4",0.345041797683871,0.0224427410738158,-0.0579465800649823,0.0149074170889798,0.687494999868244,-0.0069264471997912
"Malawi","women_vitA","proxies_only",784,86,0.0216836734693878,93,"SL.asl_enet 1;SL.asl_ranger 2;SL.mean 2",0.426911572973388,0.0216803707420439,-0.0220085864576849,0.0168868184457054,0.778780333025474,-0.00490317384428545
"Malawi","women_vitA","both",784,86,0.0216836734693878,172,"SL.asl_enet 2;SL.asl_ranger 1;SL.mean 2",0.423767160058287,0.0217736148087507,-0.0264040941703725,0.0170182900591843,0.784843494494147,-0.00476878825762648
"Malawi","child_iron","survey_only",1069,86,0.0972871842843779,80,"SL.asl_enet 1;SL.asl_ranger 4",0.784057393383818,0.079273770208577,0.0973398473762093,0.264909403288978,2.72296300111459,0.185687204265199
"Malawi","child_iron","proxies_only",1069,86,0.0972871842843779,93,"SL.asl_enet 1;SL.asl_ranger 4",0.543717616580311,0.0878006799088892,0.000247182409704338,0.132136089056258,1.35820653078019,0.0386046416592123
"Malawi","child_iron","both",1069,86,0.0972871842843779,173,"SL.asl_ranger 5",0.780141490633719,0.0787705051547758,0.103070334384449,0.281223512318338,2.89065321796445,0.203759517790987
"Malawi","women_iron","survey_only",784,86,0.100765306122449,79,"SL.asl_enet 2;SL.asl_ranger 3",0.745560642786606,0.08170206264259,0.0983272642850567,0.301020668595952,2.98734435669907,0.222695325076917
"Malawi","women_iron","proxies_only",784,86,0.100765306122449,93,"SL.asl_enet 1;SL.asl_ranger 2;SL.mean 2",0.474683544303797,0.0922276825680999,-0.0178346073539459,0.0910962763401371,0.904044058869208,-0.0107525097153653
"Malawi","women_iron","both",784,86,0.100765306122449,172,"SL.asl_enet 1;SL.asl_ranger 4",0.724005745578598,0.084361574657187,0.0689766041388284,0.253785816080843,2.51858328870102,0.170167489088484
