"country","outcome","target","rep","variant","spearman","mae","rho_sd_across_folds","rho_mean"
"Ghana","women_iron","prev",1,"insample",0.127162787633068,11.0830227375057,0.0765588185399973,0.247663371622569
"Ghana","women_iron","prev",1,"pooled",0.134860467128847,10.5258599077313,0.0765588185399973,0.247663371622569
"Ghana","women_iron","prev",2,"none",0.267677811849469,13.3178972002131,0.063719702616128,0.225553527934471
"Ghana","women_iron","prev",2,"nested1",0.203578443337892,10.229622170673,0.063719702616128,0.225553527934471
"Ghana","women_iron","prev",2,"nested5",0.203578443337892,10.229622170673,0.063719702616128,0.225553527934471
"Ghana","women_iron","prev",2,"insample",0.244829372523681,10.1245140837947,0.063719702616128,0.225553527934471
"Ghana","women_iron","prev",2,"pooled",0.222340637847229,10.1959647366239,0.063719702616128,0.225553527934471
"Ghana","women_iron","prev",3,"none",0.311432285394633,12.8415996087654,0.0745416675583968,0.219974504140388
"Ghana","women_iron","prev",3,"nested1",0.251001904306277,10.1711288959486,0.0745416675583968,0.219974504140388
"Ghana","women_iron","prev",3,"nested5",0.251001904306277,10.1711288959486,0.0745416675583968,0.219974504140388
"Ghana","women_iron","prev",3,"insample",0.304266968779871,9.51895660708275,0.0745416675583968,0.219974504140388
"Ghana","women_iron","prev",3,"pooled",0.30009439484758,10.0118609585774,0.0745416675583968,0.219974504140388
"Ghana","women_iron","level",1,"none",0.273314366998577,0.347354021041161,0.0529260814872087,0.438991046280862
"Ghana","women_iron","level",1,"nested1",0.219061166429587,0.28009401414139,0.0529260814872087,0.438991046280862
"Ghana","women_iron","level",1,"nested5",0.219061166429587,0.28009401414139,0.0529260814872087,0.438991046280862
"Ghana","women_iron","level",1,"insample",0.244238975817923,0.287572745955671,0.0529260814872087,0.438991046280862
"Ghana","women_iron","level",1,"pooled",0.258349928876245,0.276249776454176,0.0529260814872087,0.438991046280862
"Ghana","women_iron","level",2,"none",0.412688477951636,0.292275525557587,0.0455607919803613,0.440114466623847
"Ghana","women_iron","level",2,"nested1",0.394879089615932,0.252774291713009,0.0455607919803613,0.440114466623847
"Ghana","women_iron","level",2,"nested5",0.394879089615932,0.252774291713009,0.0455607919803613,0.440114466623847
"Ghana","women_iron","level",2,"insample",0.411408250355619,0.251538170144847,0.0455607919803613,0.440114466623847
"Ghana","women_iron","level",2,"pooled",0.410042674253201,0.251561174241636,0.0455607919803613,0.440114466623847
