"variant","target","outcome","heldout","arm","n_pc","n_cols","spearman"
"current","prev","women_vitA","Gambia","fixed_csa",17,282,0.293563312209703
"current","prev","women_vitA","Ghana","full",81,282,0.0613959484136319
"current","prev","women_vitA","Ghana","fixed_cs",13,282,0.153389341794343
"current","prev","women_vitA","Ghana","fixed_csa",16,282,0.131638469924078
"current","prev","women_vitA","Malawi","full",69,282,0.220367881855553
"current","prev","women_vitA","Malawi","fixed_cs",11,282,0.166030595918567
"current","prev","women_vitA","Malawi","fixed_csa",15,282,0.199236715102281
"current","prev","women_vitA","SierraLeone","full",81,282,0.0774500662713084
"current","prev","women_vitA","SierraLeone","fixed_cs",13,282,0.246432029045072
"current","prev","women_vitA","SierraLeone","fixed_csa",17,282,0.335616953842336
"current","prev","child_iron","Gambia","full",79,282,0.484369788290395
"current","prev","child_iron","Gambia","fixed_cs",13,282,0.537323398585808
"current","prev","child_iron","Gambia","fixed_csa",17,282,0.543998223412961
"current","prev","child_iron","Ghana","full",81,282,0.565227818894221
"current","prev","child_iron","Ghana","fixed_cs",13,282,0.586887175296731
"current","prev","child_iron","Ghana","fixed_csa",16,282,0.576592912959084
"current","prev","child_iron","Malawi","full",69,282,-0.126566508272106
"current","prev","child_iron","Malawi","fixed_cs",11,282,0.0406413749989554
"current","prev","child_iron","Malawi","fixed_csa",15,282,0.0713048181646843
"current","prev","child_iron","SierraLeone","full",81,282,0.173626373626374
"current","prev","child_iron","SierraLeone","fixed_cs",13,282,0.0681318681318681
"current","prev","child_iron","SierraLeone","fixed_csa",17,282,0.230769230769231
"current","prev","women_iron","Gambia","full",79,282,0.424073870685114
"current","prev","women_iron","Gambia","fixed_cs",13,282,0.610078989201775
"current","prev","women_iron","Gambia","fixed_csa",17,282,0.723328517102469
"current","prev","women_iron","Ghana","full",81,282,0.349172497202909
"current","prev","women_iron","Ghana","fixed_cs",13,282,0.323057939661155
"current","prev","women_iron","Ghana","fixed_csa",16,282,0.391473763964758
"current","prev","women_iron","Malawi","full",69,282,0.1679736317137
"current","prev","women_iron","Malawi","fixed_cs",11,282,0.109631327162455
"current","prev","women_iron","Malawi","fixed_csa",15,282,0.16279011742706
"current","prev","women_iron","SierraLeone","full",81,282,-0.235164835164835
"current","prev","women_iron","SierraLeone","fixed_cs",13,282,0.0505494505494506
"current","prev","women_iron","SierraLeone","fixed_csa",17,282,0.0989010989010989
"current","prev","women_folate","Ghana","full",76,284,0.0338486059882907
"current","prev","women_folate","Ghana","fixed_cs",11,284,0.0352738104509556
"current","prev","women_folate","Ghana","fixed_csa",14,284,0.0274351859062988
"current","prev","women_folate","Malawi","full",64,284,0.138755074895233
"current","prev","women_folate","Malawi","fixed_cs",10,284,0.165396496091406
"current","prev","women_folate","Malawi","fixed_csa",14,284,0.189031216013517
"current","prev","women_folate","SierraLeone","full",77,284,0.217582417582418
"current","prev","women_folate","SierraLeone","fixed_cs",12,284,0.0549450549450549
"current","prev","women_folate","SierraLeone","fixed_csa",16,284,-0.0417582417582418
"current","prev","women_b12","Ghana","full",76,284,0.250356793904837
"current","prev","women_b12","Ghana","fixed_cs",11,284,0.285112631969028
"current","prev","women_b12","Ghana","fixed_csa",14,284,0.296309913760463
"current","prev","women_b12","Malawi","full",64,284,0.313365189491927
"current","prev","women_b12","Malawi","fixed_cs",10,284,0.42883723494779
"current","prev","women_b12","Malawi","fixed_csa",14,284,0.32339080327569
"current","prev","women_b12","SierraLeone","full",77,284,-0.151411196783981
"current","prev","women_b12","SierraLeone","fixed_cs",12,284,0.178940505290159
"current","prev","women_b12","SierraLeone","fixed_csa",16,284,0.209222744646956
"no_clim","level","child_vitA","Gambia","full",77,262,0.596885428253615
"no_clim","level","child_vitA","Gambia","fixed_cs",11,262,0.739710789766407
"no_clim","level","child_vitA","Gambia","fixed_csa",15,262,0.704560622914349
"no_clim","level","child_vitA","Ghana","full",80,262,0.375618776671408
"no_clim","level","child_vitA","Ghana","fixed_cs",12,262,0.315561877667141
"no_clim","level","child_vitA","Ghana","fixed_csa",15,262,0.329843527738265
"no_clim","level","child_vitA","Malawi","full",69,262,0.270376175548589
"no_clim","level","child_vitA","Malawi","fixed_cs",11,262,0.261445651381497
"no_clim","level","child_vitA","Malawi","fixed_csa",15,262,0.272125829262958
"no_clim","level","child_vitA","SierraLeone","full",80,262,0.010989010989011
"no_clim","level","child_vitA","SierraLeone","fixed_cs",12,262,0.507692307692308
"no_clim","level","child_vitA","SierraLeone","fixed_csa",16,262,0.371428571428571
"no_clim","level","women_vitA","Gambia","full",77,262,0.760177975528365
"no_clim","level","women_vitA","Gambia","fixed_cs",11,262,0.749054505005562
"no_clim","level","women_vitA","Gambia","fixed_csa",15,262,0.71523915461624
"no_clim","level","women_vitA","Ghana","full",80,262,0.308108108108108
"no_clim","level","women_vitA","Ghana","fixed_cs",12,262,0.403186344238976
"no_clim","level","women_vitA","Ghana","fixed_csa",15,262,0.395647226173542
"no_clim","level","women_vitA","Malawi","full",69,262,0.236020995844572
"no_clim","level","women_vitA","Malawi","fixed_cs",11,262,0.216064008165051
"no_clim","level","women_vitA","Malawi","fixed_csa",15,262,0.153440985638259
"no_clim","level","women_vitA","SierraLeone","full",80,262,-0.0593406593406593
"no_clim","level","women_vitA","SierraLeone","fixed_cs",12,262,0.134065934065934
"no_clim","level","women_vitA","SierraLeone","fixed_csa",16,262,0.296703296703297
"no_clim","level","child_iron","Gambia","full",77,262,0.408231368186874
"no_clim","level","child_iron","Gambia","fixed_cs",11,262,0.52035595105673
"no_clim","level","child_iron","Gambia","fixed_csa",15,262,0.56440489432703
"no_clim","level","child_iron","Ghana","full",80,262,0.530213371266003
"no_clim","level","child_iron","Ghana","fixed_cs",12,262,0.567681365576102
"no_clim","level","child_iron","Ghana","fixed_csa",15,262,0.566059743954481
"no_clim","level","child_iron","Malawi","full",69,262,-0.0449989064664285
"no_clim","level","child_iron","Malawi","fixed_cs",11,262,0.176988408544142
"no_clim","level","child_iron","Malawi","fixed_csa",15,262,0.235565356856455
"no_clim","level","child_iron","SierraLeone","full",80,262,0.257142857142857
"no_clim","level","child_iron","SierraLeone","fixed_cs",12,262,0.0813186813186813
"no_clim","level","child_iron","SierraLeone","fixed_csa",16,262,0.252747252747253
"no_clim","level","women_iron","Gambia","full",77,262,0.531924360400445
"no_clim","level","women_iron","Gambia","fixed_cs",11,262,0.494549499443827
"no_clim","level","women_iron","Gambia","fixed_csa",15,262,0.581312569521691
"no_clim","level","women_iron","Ghana","full",80,262,0.357268847795164
"no_clim","level","women_iron","Ghana","fixed_cs",12,262,0.330953058321479
"no_clim","level","women_iron","Ghana","fixed_csa",15,262,0.360170697012802
"no_clim","level","women_iron","Malawi","full",69,262,0.222661660712984
"no_clim","level","women_iron","Malawi","fixed_cs",11,262,0.285776773346942
"no_clim","level","women_iron","Malawi","fixed_csa",15,262,0.284373405263542
"no_clim","level","women_iron","SierraLeone","full",80,262,-0.125274725274725
"no_clim","level","women_iron","SierraLeone","fixed_cs",12,262,-0.0197802197802198
"no_clim","level","women_iron","SierraLeone","fixed_csa",16,262,0.0813186813186813
"no_clim","level","women_folate","Ghana","full",75,264,-0.0470839260312944
"no_clim","level","women_folate","Ghana","fixed_cs",10,264,-0.00458036984352774
"no_clim","level","women_folate","Ghana","fixed_csa",13,264,0.0118065433854908
"no_clim","level","women_folate","Malawi","full",63,264,0.0495735219071225
"no_clim","level","women_folate","Malawi","fixed_cs",9,264,0.0671794124079609
"no_clim","level","women_folate","Malawi","fixed_csa",13,264,0.173179266603485
"no_clim","level","women_folate","SierraLeone","full",76,264,0.142857142857143
"no_clim","level","women_folate","SierraLeone","fixed_cs",11,264,0.191208791208791
"no_clim","level","women_folate","SierraLeone","fixed_csa",15,264,0.23956043956044
"no_clim","level","women_b12","Ghana","full",75,264,0.603698435277383
"no_clim","level","women_b12","Ghana","fixed_cs",10,264,0.565689900426742
"no_clim","level","women_b12","Ghana","fixed_csa",13,264,0.605376955903272
"no_clim","level","women_b12","Malawi","full",63,264,0.485474229058832
"no_clim","level","women_b12","Malawi","fixed_cs",9,264,0.572756433622512
"no_clim","level","women_b12","Malawi","fixed_csa",13,264,0.485729386892178
"no_clim","level","women_b12","SierraLeone","full",76,264,0.582417582417582
"no_clim","level","women_b12","SierraLeone","fixed_cs",11,264,0.454945054945055
"no_clim","level","women_b12","SierraLeone","fixed_csa",15,264,0.450549450549451
"no_clim","prev","child_vitA","Gambia","full",77,262,0.597617109556987
"no_clim","prev","child_vitA","Gambia","fixed_cs",11,262,0.537699479116871
"no_clim","prev","child_vitA","Gambia","fixed_csa",15,262,0.443925046346282
"no_clim","prev","child_vitA","Ghana","full",80,262,0.361742636091166
"no_clim","prev","child_vitA","Ghana","fixed_cs",12,262,0.263983977792309
"no_clim","prev","child_vitA","Ghana","fixed_csa",15,262,0.27288407414144
"no_clim","prev","child_vitA","Malawi","full",69,262,0.206537487183924
"no_clim","prev","child_vitA","Malawi","fixed_cs",11,262,0.0959714773088282
"no_clim","prev","child_vitA","Malawi","fixed_csa",15,262,0.0615184399039405
"no_clim","prev","child_vitA","SierraLeone","full",80,262,0.032967032967033
"no_clim","prev","child_vitA","SierraLeone","fixed_cs",12,262,0.525274725274725
"no_clim","prev","child_vitA","SierraLeone","fixed_csa",16,262,0.547252747252747
"no_clim","prev","women_vitA","Gambia","full",77,262,0.273616964057965
"no_clim","prev","women_vitA","Gambia","fixed_cs",11,262,0.172711908702112
"no_clim","prev","women_vitA","Gambia","fixed_csa",15,262,0.263057132683515
"no_clim","prev","women_vitA","Ghana","full",80,262,0.0630044162494163
"no_clim","prev","women_vitA","Ghana","fixed_cs",12,262,0.181683753269277
"no_clim","prev","women_vitA","Ghana","fixed_csa",15,262,0.172361951039163
"no_clim","prev","women_vitA","Malawi","full",69,262,0.214330405640332
"no_clim","prev","women_vitA","Malawi","fixed_cs",11,262,0.135843214842464
"no_clim","prev","women_vitA","Malawi","fixed_csa",15,262,0.178105548349009
"no_clim","prev","women_vitA","SierraLeone","full",80,262,0.0915318965024554
"no_clim","prev","women_vitA","SierraLeone","fixed_cs",12,262,0.124389500375132
"no_clim","prev","women_vitA","SierraLeone","fixed_csa",16,262,0.176022877889337
"no_clim","prev","child_iron","Gambia","full",77,262,0.48503727077311
"no_clim","prev","child_iron","Gambia","fixed_cs",11,262,0.547335635826537
"no_clim","prev","child_iron","Gambia","fixed_csa",15,262,0.544888200056581
"no_clim","prev","child_iron","Ghana","full",80,262,0.538499858982885
"no_clim","prev","child_iron","Ghana","fixed_cs",12,262,0.535487252390315
"no_clim","prev","child_iron","Ghana","fixed_csa",15,262,0.544025350695325
"no_clim","prev","child_iron","Malawi","full",69,262,-0.0939056546205666
"no_clim","prev","child_iron","Malawi","fixed_cs",11,262,0.127943718241774
"no_clim","prev","child_iron","Malawi","fixed_csa",15,262,0.158379146511863
"no_clim","prev","child_iron","SierraLeone","full",80,262,0.182417582417582
"no_clim","prev","child_iron","SierraLeone","fixed_cs",12,262,-0.0681318681318681
"no_clim","prev","child_iron","SierraLeone","fixed_csa",16,262,0.169230769230769
"no_clim","prev","women_iron","Gambia","full",77,262,0.425853823972355
"no_clim","prev","women_iron","Gambia","fixed_cs",11,262,0.608744024236344
"no_clim","prev","women_iron","Gambia","fixed_csa",15,262,0.695961735311142
"no_clim","prev","women_iron","Ghana","full",80,262,0.354596843314887
"no_clim","prev","women_iron","Ghana","fixed_cs",12,262,0.328870766794416
"no_clim","prev","women_iron","Ghana","fixed_csa",15,262,0.39422190748568
"no_clim","prev","women_iron","Malawi","full",69,262,0.201990444219781
"no_clim","prev","women_iron","Malawi","fixed_cs",11,262,0.16513195513156
"no_clim","prev","women_iron","Malawi","fixed_csa",15,262,0.202851277842384
"no_clim","prev","women_iron","SierraLeone","full",80,262,-0.345054945054945
"no_clim","prev","women_iron","SierraLeone","fixed_cs",12,262,-0.191208791208791
"no_clim","prev","women_iron","SierraLeone","fixed_csa",16,262,-0.0813186813186813
"no_clim","prev","women_folate","Ghana","full",75,264,0.0554832097315435
"no_clim","prev","women_folate","Ghana","fixed_cs",10,264,0.0968711473273314
"no_clim","prev","women_folate","Ghana","fixed_csa",13,264,0.0800964908017659
"no_clim","prev","women_folate","Malawi","full",63,264,0.149944099450718
"no_clim","prev","women_folate","Malawi","fixed_cs",9,264,0.246810147307943
"no_clim","prev","women_folate","Malawi","fixed_csa",13,264,0.239186344387025
"no_clim","prev","women_folate","SierraLeone","full",76,264,0.283516483516484
"no_clim","prev","women_folate","SierraLeone","fixed_cs",11,264,0.12967032967033
"no_clim","prev","women_folate","SierraLeone","fixed_csa",15,264,0.032967032967033
"no_clim","prev","women_b12","Ghana","full",75,264,0.238552924373603
"no_clim","prev","women_b12","Ghana","fixed_cs",10,264,0.292916301270233
"no_clim","prev","women_b12","Ghana","fixed_csa",13,264,0.282161664586219
"no_clim","prev","women_b12","Malawi","full",63,264,0.308194083435039
"no_clim","prev","women_b12","Malawi","fixed_cs",9,264,0.463144981254716
"no_clim","prev","women_b12","Malawi","fixed_csa",13,264,0.355002666833107
"no_clim","prev","women_b12","SierraLeone","full",76,264,-0.115623095725949
"no_clim","prev","women_b12","SierraLeone","fixed_cs",11,264,0.167928781887688
"no_clim","prev","women_b12","SierraLeone","fixed_csa",15,264,0.245010845704987
"plus_precip","level","child_vitA","Gambia","full",79,292,0.602669632925473
"plus_precip","level","child_vitA","Gambia","fixed_cs",13,292,0.725917686318131
"plus_precip","level","child_vitA","Gambia","fixed_csa",17,292,0.692547274749722
"plus_precip","level","child_vitA","Ghana","full",81,292,0.370156472261735
"plus_precip","level","child_vitA","Ghana","fixed_cs",13,292,0.285889046941678
"plus_precip","level","child_vitA","Ghana","fixed_csa",16,292,0.301024182076814
"plus_precip","level","child_vitA","Malawi","full",69,292,0.267186702631771
"plus_precip","level","child_vitA","Malawi","fixed_cs",11,292,0.276427061310782
"plus_precip","level","child_vitA","Malawi","fixed_csa",15,292,0.282714879346796
"plus_precip","level","child_vitA","SierraLeone","full",81,292,0.0417582417582418
"plus_precip","level","child_vitA","SierraLeone","fixed_cs",13,292,0.512087912087912
"plus_precip","level","child_vitA","SierraLeone","fixed_csa",17,292,0.248351648351648
"plus_precip","level","women_vitA","Gambia","full",79,292,0.733481646273637
"plus_precip","level","women_vitA","Gambia","fixed_cs",13,292,0.737041156840934
"plus_precip","level","women_vitA","Gambia","fixed_csa",17,292,0.721913236929922
"plus_precip","level","women_vitA","Ghana","full",81,292,0.346088193456615
"plus_precip","level","women_vitA","Ghana","fixed_cs",13,292,0.390668563300142
"plus_precip","level","women_vitA","Ghana","fixed_csa",16,292,0.392318634423898
"plus_precip","level","women_vitA","Malawi","full",69,292,0.245935700225997
"plus_precip","level","women_vitA","Malawi","fixed_cs",11,292,0.230298170153824
"plus_precip","level","women_vitA","Malawi","fixed_csa",15,292,0.196836042866516
"plus_precip","level","women_vitA","SierraLeone","full",81,292,-0.0857142857142857
"plus_precip","level","women_vitA","SierraLeone","fixed_cs",13,292,0.0593406593406593
"plus_precip","level","women_vitA","SierraLeone","fixed_csa",17,292,0.195604395604396
"plus_precip","level","child_iron","Gambia","full",79,292,0.405116796440489
"plus_precip","level","child_iron","Gambia","fixed_cs",13,292,0.518131256952169
"plus_precip","level","child_iron","Gambia","fixed_csa",17,292,0.583982202447164
"plus_precip","level","child_iron","Ghana","full",81,292,0.518122332859175
"plus_precip","level","child_iron","Ghana","fixed_cs",13,292,0.547169274537696
"plus_precip","level","child_iron","Ghana","fixed_csa",16,292,0.559431009957326
"plus_precip","level","child_iron","Malawi","full",69,292,-0.0948275862068965
"plus_precip","level","child_iron","Malawi","fixed_cs",11,292,0.0515965590143617
"plus_precip","level","child_iron","Malawi","fixed_csa",15,292,0.107949989064664
"plus_precip","level","child_iron","SierraLeone","full",81,292,0.252747252747253
"plus_precip","level","child_iron","SierraLeone","fixed_cs",13,292,0.217582417582418
"plus_precip","level","child_iron","SierraLeone","fixed_csa",17,292,0.305494505494505
"plus_precip","level","women_iron","Gambia","full",79,292,0.483870967741935
"plus_precip","level","women_iron","Gambia","fixed_cs",13,292,0.540378197997775
"plus_precip","level","women_iron","Gambia","fixed_csa",17,292,0.674749721913237
"plus_precip","level","women_iron","Ghana","full",81,292,0.380881934566145
"plus_precip","level","women_iron","Ghana","fixed_cs",13,292,0.377638691322902
"plus_precip","level","women_iron","Ghana","fixed_csa",16,292,0.416301564722617
"plus_precip","level","women_iron","Malawi","full",69,292,0.149121528030911
"plus_precip","level","women_iron","Malawi","fixed_cs",11,292,0.170809943865277
"plus_precip","level","women_iron","Malawi","fixed_csa",15,292,0.159747029233797
"plus_precip","level","women_iron","SierraLeone","full",81,292,-0.0417582417582418
"plus_precip","level","women_iron","SierraLeone","fixed_cs",13,292,0.0593406593406593
"plus_precip","level","women_iron","SierraLeone","fixed_csa",17,292,0.195604395604396
"plus_precip","level","women_folate","Ghana","full",77,294,-0.100540540540541
"plus_precip","level","women_folate","Ghana","fixed_cs",12,294,-0.159914651493599
"plus_precip","level","women_folate","Ghana","fixed_csa",15,294,-0.0938549075391181
"plus_precip","level","women_folate","Malawi","full",64,294,0.0407158999781293
"plus_precip","level","women_folate","Malawi","fixed_cs",10,294,0.00843843405992564
"plus_precip","level","women_folate","Malawi","fixed_csa",14,294,0.100696216373843
"plus_precip","level","women_folate","SierraLeone","full",77,294,0.156043956043956
"plus_precip","level","women_folate","SierraLeone","fixed_cs",12,294,0.134065934065934
"plus_precip","level","women_folate","SierraLeone","fixed_csa",16,294,0.0593406593406593
"plus_precip","level","women_b12","Ghana","full",77,294,0.609985775248933
"plus_precip","level","women_b12","Ghana","fixed_cs",12,294,0.551123755334282
"plus_precip","level","women_b12","Ghana","fixed_csa",15,294,0.588620199146515
"plus_precip","level","women_b12","Malawi","full",64,294,0.503280600714442
"plus_precip","level","women_b12","Malawi","fixed_cs",10,294,0.587883648027994
"plus_precip","level","women_b12","Malawi","fixed_csa",14,294,0.50534008894073
"plus_precip","level","women_b12","SierraLeone","full",77,294,0.604395604395604
"plus_precip","level","women_b12","SierraLeone","fixed_cs",12,294,0.525274725274725
"plus_precip","level","women_b12","SierraLeone","fixed_csa",16,294,0.564835164835165
"plus_precip","prev","child_vitA","Gambia","full",79,292,0.613431800119248
"plus_precip","prev","child_vitA","Gambia","fixed_cs",13,292,0.374652246841167
"plus_precip","prev","child_vitA","Gambia","fixed_csa",17,292,0.390689679524023
"plus_precip","prev","child_vitA","Ghana","full",81,292,0.353568787604124
"plus_precip","prev","child_vitA","Ghana","fixed_cs",13,292,0.240145959730796
"plus_precip","prev","child_vitA","Ghana","fixed_csa",16,292,0.258430317670451
"plus_precip","prev","child_vitA","Malawi","full",69,292,0.210400745804406
"plus_precip","prev","child_vitA","Malawi","fixed_cs",11,292,0.099518445749856
"plus_precip","prev","child_vitA","Malawi","fixed_csa",15,292,0.0694708787016588
"plus_precip","prev","child_vitA","SierraLeone","full",81,292,0.00659340659340659
"plus_precip","prev","child_vitA","SierraLeone","fixed_cs",13,292,0.52967032967033
"plus_precip","prev","child_vitA","SierraLeone","fixed_csa",17,292,0.437362637362637
"plus_precip","prev","women_vitA","Gambia","full",79,292,0.34612780616252
"plus_precip","prev","women_vitA","Gambia","fixed_cs",13,292,0.347066457840249
"plus_precip","prev","women_vitA","Gambia","fixed_csa",17,292,0.381327244077352
"plus_precip","prev","women_vitA","Ghana","full",81,292,0.0668428054029925
"plus_precip","prev","women_vitA","Ghana","fixed_cs",13,292,0.190109931363556
"plus_precip","prev","women_vitA","Ghana","fixed_csa",16,292,0.178302315205412
"plus_precip","prev","women_vitA","Malawi","full",69,292,0.226405358070774
"plus_precip","prev","women_vitA","Malawi","fixed_cs",11,292,0.175086810241398
"plus_precip","prev","women_vitA","Malawi","fixed_csa",15,292,0.226405358070774
"plus_precip","prev","women_vitA","SierraLeone","full",81,292,0.0492864058090144
"plus_precip","prev","women_vitA","SierraLeone","fixed_cs",13,292,-0.0117348585259558
"plus_precip","prev","women_vitA","SierraLeone","fixed_csa",17,292,0.119695556964749
"plus_precip","prev","child_iron","Gambia","full",79,292,0.491712095600263
"plus_precip","prev","child_iron","Gambia","fixed_cs",13,292,0.523751254770597
"plus_precip","prev","child_iron","Gambia","fixed_csa",17,292,0.51863388906978
"plus_precip","prev","child_iron","Ghana","full",81,292,0.546266958444299
"plus_precip","prev","child_iron","Ghana","fixed_cs",13,292,0.533873865921308
"plus_precip","prev","child_iron","Ghana","fixed_csa",16,292,0.523108437623686
"plus_precip","prev","child_iron","Malawi","full",69,292,-0.138578332974445
"plus_precip","prev","child_iron","Malawi","fixed_cs",11,292,0.0256471154616388
"plus_precip","prev","child_iron","Malawi","fixed_csa",15,292,0.0647471097660647
"plus_precip","prev","child_iron","SierraLeone","full",81,292,0.217582417582418
"plus_precip","prev","child_iron","SierraLeone","fixed_cs",13,292,0.0725274725274725
"plus_precip","prev","child_iron","SierraLeone","fixed_csa",17,292,0.230769230769231
"plus_precip","prev","women_iron","Gambia","full",79,292,0.431193683834077
"plus_precip","prev","women_iron","Gambia","fixed_cs",13,292,0.631215934487759
"plus_precip","prev","women_iron","Gambia","fixed_csa",17,292,0.720881081332513
"plus_precip","prev","women_iron","Ghana","full",81,292,0.362970767551416
"plus_precip","prev","women_iron","Ghana","fixed_cs",13,292,0.376121569531121
"plus_precip","prev","women_iron","Ghana","fixed_csa",16,292,0.437026760756599
"plus_precip","prev","women_iron","Malawi","full",69,292,0.119739180021405
"plus_precip","prev","women_iron","Malawi","fixed_cs",11,292,0.0452076495999181
"plus_precip","prev","women_iron","Malawi","fixed_csa",15,292,0.115592368592092
"plus_precip","prev","women_iron","SierraLeone","full",81,292,-0.318681318681319
"plus_precip","prev","women_iron","SierraLeone","fixed_cs",13,292,-0.125274725274725
"plus_precip","prev","women_iron","SierraLeone","fixed_csa",17,292,-0.00659340659340659
"plus_precip","prev","women_folate","Ghana","full",77,294,0.0109170661840129
"plus_precip","prev","women_folate","Ghana","fixed_cs",12,294,-0.0400624974455096
"plus_precip","prev","women_folate","Ghana","fixed_csa",15,294,-0.0281620401822579
"plus_precip","prev","women_folate","Malawi","full",64,294,0.141799010859995
"plus_precip","prev","women_folate","Malawi","fixed_cs",10,294,0.16824494992999
"plus_precip","prev","women_folate","Malawi","fixed_csa",14,294,0.192466116230634
