"country","outcome","fraction","rep","arm","n_areas","mae","rho"
"Gambia","women_vitA",0.25,8,"model_idx",30,4.15958419872097,0.454072749101339
"Gambia","women_vitA",0.25,8,"aug_idx",30,4.97351926006888,0.267750391072159
"Gambia","women_vitA",0.25,8,"model_sp",30,3.05821839994267,0.425209210011177
"Gambia","women_vitA",0.4,1,"survey",30,3.46066999329008,0.11850477431327
"Gambia","women_vitA",0.4,1,"model_idx",30,2.82706134246822,0.518135726106335
"Gambia","women_vitA",0.4,1,"aug_idx",30,3.3041782772496,0.344954491565359
"Gambia","women_vitA",0.4,1,"model_sp",30,2.98565615895561,0.535500782144319
"Gambia","women_vitA",0.4,2,"survey",30,3.84460394974817,0.248418334496243
"Gambia","women_vitA",0.4,2,"model_idx",30,3.080694603662,0.443043591888025
"Gambia","women_vitA",0.4,2,"aug_idx",30,3.5964904393221,0.240998818256887
"Gambia","women_vitA",0.4,2,"model_sp",30,2.98658065377816,0.466744546750679
"Gambia","women_vitA",0.4,3,"survey",30,4.09357672327865,0
"Gambia","women_vitA",0.4,3,"model_idx",30,3.03097009679365,0.47214179389762
"Gambia","women_vitA",0.4,3,"aug_idx",30,4.20172969881503,-0.0232316290237895
"Gambia","women_vitA",0.4,3,"model_sp",30,3.15868295207622,0.460643310845442
"Gambia","women_vitA",0.4,4,"survey",30,4.58011948639815,-0.242641458692912
"Gambia","women_vitA",0.4,4,"model_idx",30,3.12755215691837,0.477773703963993
"Gambia","women_vitA",0.4,4,"aug_idx",30,4.18126501493274,0.00657056174410207
"Gambia","women_vitA",0.4,4,"model_sp",30,2.97505257403791,0.562017692040159
"Gambia","women_vitA",0.4,5,"survey",30,4.32262367912975,-0.206268706180919
"Gambia","women_vitA",0.4,5,"model_idx",30,3.42101363187485,0.448206176115534
"Gambia","women_vitA",0.4,5,"aug_idx",30,4.72545286530638,-0.236540222787675
"Gambia","women_vitA",0.4,5,"model_sp",30,3.19805779761272,0.419342637025371
"Gambia","women_vitA",0.4,6,"survey",30,4.24889301527247,0.0543365554149365
"Gambia","women_vitA",0.4,6,"model_idx",30,3.12487786537385,0.518370389025767
"Gambia","women_vitA",0.4,6,"aug_idx",30,4.0398615762411,0.20110612195341
"Gambia","women_vitA",0.4,6,"model_sp",30,3.16906805683818,0.384612524949403
"Gambia","women_vitA",0.4,7,"survey",30,4.74986585942872,-0.139389774142737
"Gambia","women_vitA",0.4,7,"model_idx",30,3.15493113795353,0.471672468058756
"Gambia","women_vitA",0.4,7,"aug_idx",30,4.59621803603532,-0.236774885707107
"Gambia","women_vitA",0.4,7,"model_sp",30,3.14902786318085,0.414649378636727
"Gambia","women_vitA",0.4,8,"survey",30,3.74988267719641,0.0863559543510558
"Gambia","women_vitA",0.4,8,"model_idx",30,3.20735025781119,0.388132468740887
"Gambia","women_vitA",0.4,8,"aug_idx",30,4.1250231416927,-0.0100905055355853
"Gambia","women_vitA",0.4,8,"model_sp",30,3.18284756017196,0.180221122123943
"Gambia","women_vitA",0.6,1,"survey",30,4.41359703139727,-0.0560906773213057
"Gambia","women_vitA",0.6,1,"model_idx",30,3.50109248388204,0.458062018731687
"Gambia","women_vitA",0.6,1,"aug_idx",30,4.26168125699954,-0.081193370123547
"Gambia","women_vitA",0.6,1,"model_sp",30,3.32488713169937,0.398692300115336
"Gambia","women_vitA",0.6,2,"survey",30,4.78162676548894,-0.0570294334271017
"Gambia","women_vitA",0.6,2,"model_idx",30,4.1558092794809,0.398457637195904
"Gambia","women_vitA",0.6,2,"aug_idx",30,4.63207581172765,-0.146194998806271
"Gambia","women_vitA",0.6,2,"model_sp",30,2.91793435240243,0.412772075281269
"Gambia","women_vitA",0.6,3,"survey",30,3.68515125765788,0.247831611930121
"Gambia","women_vitA",0.6,3,"model_idx",30,2.95093741913887,0.503586625101537
"Gambia","women_vitA",0.6,3,"aug_idx",30,3.87163755397343,0.345893143243088
"Gambia","women_vitA",0.6,3,"model_sp",30,2.96717077079628,0.367247468911419
"Gambia","women_vitA",0.6,4,"survey",30,4.50335324087383,-0.147602976322864
"Gambia","women_vitA",0.6,4,"model_idx",30,3.79230633371549,0.450787468229289
"Gambia","women_vitA",0.6,4,"aug_idx",30,4.72091677774644,-0.107240954180523
"Gambia","women_vitA",0.6,4,"model_sp",30,3.22083891503648,0.363962188039368
"Gambia","women_vitA",0.6,5,"survey",30,4.05246392030214,-0.103486347469608
"Gambia","women_vitA",0.6,5,"model_idx",30,2.89947709463477,0.4974853891963
"Gambia","women_vitA",0.6,5,"aug_idx",30,4.04466410271951,-0.0398926963034769
"Gambia","women_vitA",0.6,5,"model_sp",30,4.06013737241057,0.50921853516791
"Gambia","women_vitA",0.6,6,"survey",30,4.53690540034603,-0.0328528087205104
"Gambia","women_vitA",0.6,6,"model_idx",30,2.99267604825607,0.419107974105939
"Gambia","women_vitA",0.6,6,"aug_idx",30,4.39495408419928,0.0448206176115534
"Gambia","women_vitA",0.6,6,"model_sp",30,3.21371603095713,0.437881007660517
"Gambia","women_vitA",0.6,7,"survey",30,4.15732699486191,0.0349647749954003
"Gambia","women_vitA",0.6,7,"model_idx",30,3.25028065951032,0.516493085670309
"Gambia","women_vitA",0.6,7,"aug_idx",30,4.24642545217347,0.168957301991196
"Gambia","women_vitA",0.6,7,"model_sp",30,3.03814266634456,0.490210838693901
"Gambia","women_vitA",0.6,8,"survey",30,4.35078695817707,-0.0119678088910431
"Gambia","women_vitA",0.6,8,"model_idx",30,3.08660963955373,0.486690894902418
"Gambia","women_vitA",0.6,8,"aug_idx",30,4.29256463036721,-0.00633589882466985
"Gambia","women_vitA",0.6,8,"model_sp",30,3.01671435788569,0.444216906485186
"Gambia","women_vitA",0.8,1,"survey",30,4.13815085767281,-0.0842439880761658
"Gambia","women_vitA",0.8,1,"model_idx",30,3.0990487254217,0.403854884342845
"Gambia","women_vitA",0.8,1,"aug_idx",30,4.2026874059566,-0.0687562353936395
"Gambia","women_vitA",0.8,1,"model_sp",30,2.95574680222329,0.414180052797863
"Gambia","women_vitA",0.8,2,"survey",30,4.20733892517078,-0.0448206176115534
"Gambia","women_vitA",0.8,2,"model_idx",30,3.15503862868436,0.435299715546762
"Gambia","women_vitA",0.8,2,"aug_idx",30,3.97350100685989,-0.0403620221423413
"Gambia","women_vitA",0.8,2,"model_sp",30,3.19053231662794,0.359972918409021
"Gambia","women_vitA",0.8,3,"survey",30,4.15563814254489,-0.0398971344963263
"Gambia","women_vitA",0.8,3,"model_idx",30,2.98665839021302,0.466979209670111
"Gambia","women_vitA",0.8,3,"aug_idx",30,3.85088139947255,0.190076964740096
"Gambia","women_vitA",0.8,3,"model_sp",30,2.92402169504506,0.397284322598743
"Gambia","women_vitA",0.8,4,"survey",30,3.84750923920196,0.0628896624078341
