"country","outcome","target","estimand","arm","rep","n_units","collapsed","spearman","wmae"
"Malawi","child_vitA","level","infill","spatial",5,27,TRUE,-0.261904761904762,0.0593936970835204
"Malawi","child_vitA","level","infill","spatial",6,27,TRUE,-0.159340659340659,0.0534782312919062
"Malawi","child_vitA","level","infill","spatial",7,27,TRUE,0.0494505494505494,0.0530476360882694
"Malawi","child_vitA","level","infill","spatial",8,27,TRUE,-0.191086691086691,0.0585181020148773
"Malawi","child_vitA","level","infill","spatial",9,27,TRUE,-0.266178266178266,0.0583442671894662
"Malawi","child_vitA","level","infill","spatial",10,27,TRUE,-0.521978021978022,0.0641983338846128
"Malawi","child_vitA","level","infill","domain_index",1,27,TRUE,0.332112332112332,0.0489153956798382
"Malawi","child_vitA","level","infill","domain_index",2,27,TRUE,0.432844932844933,0.0410795881262177
"Malawi","child_vitA","level","infill","domain_index",3,27,TRUE,0.224664224664225,0.0508178035642902
"Malawi","child_vitA","level","infill","domain_index",4,27,TRUE,0.286935286935287,0.0489976552826574
"Malawi","child_vitA","level","infill","domain_index",5,27,TRUE,0.242979242979243,0.0473346829555551
"Malawi","child_vitA","level","infill","domain_index",6,27,TRUE,0.453601953601954,0.0417451564551079
"Malawi","child_vitA","level","infill","domain_index",7,27,TRUE,0.382173382173382,0.0484949721444442
"Malawi","child_vitA","level","infill","domain_index",8,27,TRUE,0.134310134310134,0.0508588306028182
"Malawi","child_vitA","level","infill","domain_index",9,27,TRUE,0.243589743589744,0.0485839336791369
"Malawi","child_vitA","level","infill","domain_index",10,27,TRUE,-0.0305250305250305,0.05711727438482
"Malawi","child_vitA","level","infill","domain_enet",1,27,TRUE,-0.138823257772596,0.0565474436039404
"Malawi","child_vitA","level","infill","domain_enet",2,27,TRUE,0.132170046486784,0.0486506620351608
"Malawi","child_vitA","level","infill","domain_enet",3,27,TRUE,-0.289721694406626,0.051047046328166
"Malawi","child_vitA","level","infill","domain_enet",4,27,TRUE,-0.148689335918264,0.0639258697255057
"Malawi","child_vitA","level","infill","domain_enet",5,27,TRUE,-0.136874768185162,0.0584545514873835
"Malawi","child_vitA","level","infill","domain_enet",6,27,TRUE,0.0310923870139642,0.0459032297231617
"Malawi","child_vitA","level","infill","domain_enet",7,27,TRUE,-0.352483001296921,0.0542936723842177
"Malawi","child_vitA","level","infill","domain_enet",8,27,TRUE,-0.292064229932376,0.0582059588309098
"Malawi","child_vitA","level","infill","domain_enet",9,27,TRUE,-0.269994145726408,0.0572558333972338
"Malawi","child_vitA","level","infill","domain_enet",10,27,TRUE,-0.39312780962151,0.0591185348338011
"Malawi","child_vitA","level","infill","spatial_plus_domain",1,27,TRUE,-0.168498168498168,0.0577726631544267
"Malawi","child_vitA","level","infill","spatial_plus_domain",2,27,TRUE,0.103174603174603,0.051010115883038
"Malawi","child_vitA","level","infill","spatial_plus_domain",3,27,TRUE,-0.0769230769230769,0.0537699348183226
"Malawi","child_vitA","level","infill","spatial_plus_domain",4,27,TRUE,-0.291819291819292,0.0675770164217049
"Malawi","child_vitA","level","infill","spatial_plus_domain",5,27,TRUE,-0.225274725274725,0.0639625082990378
"Malawi","child_vitA","level","infill","spatial_plus_domain",6,27,TRUE,-0.0494505494505494,0.0529420955865103
"Malawi","child_vitA","level","infill","spatial_plus_domain",7,27,TRUE,-0.0396825396825397,0.0570202399721908
"Malawi","child_vitA","level","infill","spatial_plus_domain",8,27,TRUE,-0.126373626373626,0.0583483906828789
"Malawi","child_vitA","level","infill","spatial_plus_domain",9,27,TRUE,-0.266178266178266,0.0583442671894945
"Malawi","child_vitA","level","infill","spatial_plus_domain",10,27,TRUE,-0.343711843711844,0.0590641176891369
"SierraLeone","child_vitA","level","infill","null_train_mean",1,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","null_train_mean",2,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","null_train_mean",3,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","null_train_mean",4,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","null_train_mean",5,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","null_train_mean",6,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","null_train_mean",7,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","null_train_mean",8,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","null_train_mean",9,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","null_train_mean",10,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","spatial",1,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","spatial",2,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","spatial",3,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","spatial",4,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","spatial",5,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","spatial",6,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","spatial",7,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","spatial",8,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","spatial",9,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","spatial",10,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","domain_index",1,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","domain_index",2,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","domain_index",3,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","domain_index",4,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","domain_index",5,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","domain_index",6,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","domain_index",7,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","domain_index",8,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","domain_index",9,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","domain_index",10,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","domain_enet",1,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","domain_enet",2,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","domain_enet",3,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","domain_enet",4,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","domain_enet",5,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","domain_enet",6,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","domain_enet",7,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","domain_enet",8,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","domain_enet",9,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","domain_enet",10,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","spatial_plus_domain",1,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","spatial_plus_domain",2,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","spatial_plus_domain",3,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","spatial_plus_domain",4,14,FALSE,NA,NA
"SierraLeone","child_vitA","level","infill","spatial_plus_domain",5,14,FALSE,NA,NA
