"variable","assigned_domain","proposed_subdomain","data_origin","definition_source","unit_source","var_type","countries_present"
"dhs_c_deworm_6mo","Food fortification and supplementation","dhs_c","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_c_vita_capsule","Food fortification and supplementation","dhs_c","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_w_deworm_pregnancy","Food fortification and supplementation","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_w_iron_90plus","Food fortification and supplementation","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_w_iron_days","Food fortification and supplementation","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_w_iron_pregnancy","Food fortification and supplementation","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_w_barrier_alone","Healthcare access","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_w_barrier_distance","Healthcare access","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_w_barrier_money","Healthcare access","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_w_barrier_permission","Healthcare access","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_w_barrier_transport","Healthcare access","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","empty",""
"dhs_w_barriers_n","Healthcare access","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"dhs_w_health_insurance","Healthcare access","dhs_w","DHS","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_blooddisorders201201africahbcallelefrequency","Malaria incidence and treatment","map_blooddisorders201201africahbcallelefrequency","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_blooddisorders201201globalg6pddallelefrequency","Malaria incidence and treatment","map_blooddisorders201201globalg6pddallelefrequency","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_blooddisorders201201globalsicklehaemoglobinhbsallelefrequency","Malaria incidence and treatment","map_blooddisorders201201globalsicklehaemoglobinhbsallelefrequency","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_interventions202106africainsecticidetreatednetaccess","Malaria incidence and treatment","map_interventions202106africainsecticidetreatednetaccess","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_interventions202106africainsecticidetreatednetuse","Malaria incidence and treatment","map_interventions202106africainsecticidetreatednetuse","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_interventions202106africainsecticidetreatednetuserate","Malaria incidence and treatment","map_interventions202106africainsecticidetreatednetuserate","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_interventions202106africairscoverage","Malaria incidence and treatment","map_interventions202106africairscoverage","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_interventions202106globalantimalarialeffectivetreatment","Malaria incidence and treatment","map_interventions202106globalantimalarialeffectivetreatment","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_interventions202406africainsecticidetreatednetaccess","Malaria incidence and treatment","map_interventions202406africainsecticidetreatednetaccess","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_interventions202406africainsecticidetreatednetuse","Malaria incidence and treatment","map_interventions202406africainsecticidetreatednetuse","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_interventions202406africainsecticidetreatednetuserate","Malaria incidence and treatment","map_interventions202406africainsecticidetreatednetuserate","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_interventions202406globalantimalarialeffectivetreatment","Malaria incidence and treatment","map_interventions202406globalantimalarialeffectivetreatment","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_malaria202202globalpfreproductivenumber","Malaria incidence and treatment","map_malaria202202globalpfreproductivenumber","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_malaria202206globalpfincidencecount","Malaria incidence and treatment","map_malaria202206globalpfincidencecount","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_malaria202206globalpfincidencerate","Malaria incidence and treatment","map_malaria202206globalpfincidencerate","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_malaria202206globalpfmortalitycount","Malaria incidence and treatment","map_malaria202206globalpfmortalitycount","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_malaria202206globalpfmortalityrate","Malaria incidence and treatment","map_malaria202206globalpfmortalityrate","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_malaria202206globalpfparasiterate","Malaria incidence and treatment","map_malaria202206globalpfparasiterate","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_malaria202406globalpfincidencecount","Malaria incidence and treatment","map_malaria202406globalpfincidencecount","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_malaria202406globalpfincidencerate","Malaria incidence and treatment","map_malaria202406globalpfincidencerate","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_malaria202406globalpfmortalitycount","Malaria incidence and treatment","map_malaria202406globalpfmortalitycount","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_malaria202406globalpfmortalityrate","Malaria incidence and treatment","map_malaria202406globalpfmortalityrate","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
"map_malaria202406globalpfparasiterate","Malaria incidence and treatment","map_malaria202406globalpfparasiterate","Malaria Atlas","MISSING_needs_RA","MISSING_needs_RA","continuous","Gambia;Ghana;Malawi;SierraLeone"
