"domain_set","target","model","outcome_class","arm","shares_population","cells","base_mean","arm_mean","mean_delta","median_delta","cells_up","mean_topk_delta"
"cs","prev","domain_enet","iron / vitA","other_samepop",TRUE,16,0.255523023798391,0.275656368390869,-0.00806250389271383,0,4,0.0585376794258373
"cs","prev","domain_enet","iron / vitA","other_xpop",FALSE,16,0.255523023798391,0.256671952141234,-0.0266804348364691,-0.00434941915333704,4,0.0379410885167464
"cs","prev","domain_enet","iron / vitA","same_nutrient",FALSE,16,0.255523023798391,0.331713651296612,0.0485518783248746,0.0443521393174836,12,0.0697891746411483
"cs","prev","domain_index","folate / B12","all_other",NA,6,0.184757204499793,0.0997559618883332,-0.0850012426114601,-0.108748663713979,1,-0.0717703349282297
"cs","prev","domain_index","folate / B12","block_only_all",NA,6,0.184757204499793,-0.114937396036143,-0.299694600535936,-0.393045281009122,1,-0.0414673046251994
"cs","prev","domain_index","folate / B12","other_samepop",TRUE,6,0.184757204499793,0.122096048396421,-0.0626611561033719,-0.0746545828688324,1,-0.0970893141945774
"cs","prev","domain_index","folate / B12","other_xpop",FALSE,6,0.184757204499793,0.169603201569501,-0.0151540029302921,-0.00755398787585412,2,-0.0580143540669856
"cs","prev","domain_index","iron / vitA","all_other",NA,16,0.314677475501444,0.350711190126499,0.0360337146250554,0.0292417655945011,11,0.0127840909090909
"cs","prev","domain_index","iron / vitA","block_only_all",NA,16,0.314677475501444,0.321160346676971,0.00648287117552682,0.0308315481881525,10,0.0605562200956938
"cs","prev","domain_index","iron / vitA","block_only_same_nutrient",FALSE,16,0.314677475501444,0.371517465221509,0.0568399897200648,0.11271758568733,11,0.0878812799043062
"cs","prev","domain_index","iron / vitA","other_samepop",TRUE,16,0.314677475501444,0.313529180947484,-0.00114829455395952,0.00406787113720583,9,-0.00284090909090909
"cs","prev","domain_index","iron / vitA","other_xpop",FALSE,16,0.314677475501444,0.318575208999323,0.0038977334978793,0.00141584584497794,8,0.00284090909090909
"cs","prev","domain_index","iron / vitA","same_nutrient",FALSE,16,0.314677475501444,0.355358169263385,0.0406806937619411,0.0332818964661834,13,0.0184659090909091
