"target","outcome","heldout","domain","variant","spearman"
"level","women_vitA","Ghana","Climate and weather","only",0.434623044096728
"level","women_vitA","Malawi","Climate and weather","drop",0.172012830793905
"level","women_vitA","Malawi","Climate and weather","only",0.254811547714515
"level","women_vitA","SierraLeone","Climate and weather","drop",-0.0241758241758242
"level","women_vitA","SierraLeone","Climate and weather","only",0.0637362637362637
"level","women_vitA","Gambia","Ecosystem productivity/greenness","drop",0.764182424916574
"level","women_vitA","Gambia","Ecosystem productivity/greenness","only",0.599110122358176
"level","women_vitA","Ghana","Ecosystem productivity/greenness","drop",0.306116642958748
"level","women_vitA","Ghana","Ecosystem productivity/greenness","only",0.313798008534851
"level","women_vitA","Malawi","Ecosystem productivity/greenness","drop",0.224356637748779
"level","women_vitA","Malawi","Ecosystem productivity/greenness","only",0.230699132463367
"level","women_vitA","SierraLeone","Ecosystem productivity/greenness","drop",-0.0725274725274725
"level","women_vitA","SierraLeone","Ecosystem productivity/greenness","only",-0.120879120879121
"level","women_vitA","Gambia","Education, employment, SES","drop",0.753058954393771
"level","women_vitA","Gambia","Education, employment, SES","only",0.692547274749722
"level","women_vitA","Ghana","Education, employment, SES","drop",0.339658605974395
"level","women_vitA","Ghana","Education, employment, SES","only",0.161081081081081
"level","women_vitA","Malawi","Education, employment, SES","drop",0.214751767879274
"level","women_vitA","Malawi","Education, employment, SES","only",0.319931471896187
"level","women_vitA","SierraLeone","Education, employment, SES","drop",-0.0021978021978022
"level","women_vitA","SierraLeone","Education, employment, SES","only",-0.0593406593406593
"level","women_vitA","Gambia","Food fortification and supplementation","drop",0.759288097886541
"level","women_vitA","Gambia","Food fortification and supplementation","only",0.292558288118803
"level","women_vitA","Ghana","Food fortification and supplementation","drop",0.308819345661451
"level","women_vitA","Ghana","Food fortification and supplementation","only",0.267859816805733
"level","women_vitA","Malawi","Food fortification and supplementation","drop",0.230043012320478
"level","women_vitA","Malawi","Food fortification and supplementation","only",0.171318144289499
"level","women_vitA","SierraLeone","Food fortification and supplementation","drop",-0.0593406593406593
"level","women_vitA","SierraLeone","Food fortification and supplementation","only",-0.459340659340659
"level","women_vitA","Gambia","Food prices (RTFP)","drop",0.768186874304783
"level","women_vitA","Gambia","Food prices (RTFP)","only",0.0224694104560623
"level","women_vitA","Ghana","Food prices (RTFP)","drop",0.310810810810811
"level","women_vitA","Ghana","Food prices (RTFP)","only",0.0417638691322902
"level","women_vitA","Malawi","Food prices (RTFP)","drop",0.231482831522928
"level","women_vitA","Malawi","Food prices (RTFP)","only",0.0697309907414158
"level","women_vitA","SierraLeone","Food prices (RTFP)","drop",-0.0593406593406593
"level","women_vitA","SierraLeone","Food prices (RTFP)","only",0.103296703296703
"level","women_vitA","Gambia","Household assets and characteristics","drop",0.729032258064516
"level","women_vitA","Gambia","Household assets and characteristics","only",0.840664045317043
"level","women_vitA","Ghana","Household assets and characteristics","drop",0.343897581792319
"level","women_vitA","Ghana","Household assets and characteristics","only",0.255224114166848
"level","women_vitA","Malawi","Household assets and characteristics","drop",0.212017933950572
"level","women_vitA","Malawi","Household assets and characteristics","only",0.26915698796458
"level","women_vitA","SierraLeone","Household assets and characteristics","drop",0.00659340659340659
"level","women_vitA","SierraLeone","Household assets and characteristics","only",-0.371428571428571
"level","women_vitA","Gambia","Household diet and consumption (HCES)","drop",0.754393770856507
"level","women_vitA","Gambia","Household diet and consumption (HCES)","only",-0.159955506117909
"level","women_vitA","Ghana","Household diet and consumption (HCES)","drop",0.311522048364154
"level","women_vitA","Ghana","Household diet and consumption (HCES)","only",0.0633717827271997
"level","women_vitA","Malawi","Household diet and consumption (HCES)","drop",0.231118320332434
"level","women_vitA","Malawi","Household diet and consumption (HCES)","only",-0.129109863672815
"level","women_vitA","SierraLeone","Household diet and consumption (HCES)","drop",-0.0593406593406593
"level","women_vitA","SierraLeone","Household diet and consumption (HCES)","only",-0.314285714285714
"level","women_vitA","Gambia","Immunisation","drop",0.768186874304783
"level","women_vitA","Gambia","Immunisation","only",0.182202447163515
"level","women_vitA","Ghana","Immunisation","drop",0.312887624466572
"level","women_vitA","Ghana","Immunisation","only",-0.0992318634423898
"level","women_vitA","Malawi","Immunisation","drop",0.228001749653714
"level","women_vitA","Malawi","Immunisation","only",0.0182802362032514
"level","women_vitA","SierraLeone","Immunisation","drop",-0.0461538461538462
"level","women_vitA","SierraLeone","Immunisation","only",-0.0285714285714286
"level","women_vitA","Gambia","Infant and young child feeding","drop",0.764627363737486
"level","women_vitA","Gambia","Infant and young child feeding","only",0.125250278086763
"level","women_vitA","Ghana","Infant and young child feeding","drop",0.3150213371266
"level","women_vitA","Ghana","Infant and young child feeding","only",0.16574679943101
"level","women_vitA","Malawi","Infant and young child feeding","drop",0.228657869796603
"level","women_vitA","Malawi","Infant and young child feeding","only",-0.0272107603703434
"level","women_vitA","SierraLeone","Infant and young child feeding","drop",-0.0593406593406593
"level","women_vitA","SierraLeone","Infant and young child feeding","only",0.164835164835165
"level","women_vitA","Gambia","Infection and inflammation burden","drop",0.764182424916574
"level","women_vitA","Gambia","Infection and inflammation burden","only",0.147052280311457
"level","women_vitA","Ghana","Infection and inflammation burden","drop",0.276045519203414
"level","women_vitA","Ghana","Infection and inflammation burden","only",0.24199146514936
"level","women_vitA","Malawi","Infection and inflammation burden","drop",0.244714587737844
"level","women_vitA","Malawi","Infection and inflammation burden","only",-0.0882846103375373
"level","women_vitA","SierraLeone","Infection and inflammation burden","drop",-0.0593406593406593
"level","women_vitA","SierraLeone","Infection and inflammation burden","only",0.674725274725275
"level","women_vitA","Gambia","Livestock density","drop",0.789543937708565
"level","women_vitA","Gambia","Livestock density","only",0.27741935483871
"level","women_vitA","Ghana","Livestock density","drop",0.290782361308677
"level","women_vitA","Ghana","Livestock density","only",0.451635846372688
"level","women_vitA","Malawi","Livestock density","drop",0.236750018225559
"level","women_vitA","Malawi","Livestock density","only",0.181289640591966
"level","women_vitA","SierraLeone","Livestock density","drop",-0.0813186813186813
"level","women_vitA","SierraLeone","Livestock density","only",0.107692307692308
"level","women_vitA","Gambia","Ruralness, population density, built environment","drop",0.763737486095662
"level","women_vitA","Gambia","Ruralness, population density, built environment","only",-0.674304783092325
"level","women_vitA","Ghana","Ruralness, population density, built environment","drop",0.32022759601707
"level","women_vitA","Ghana","Ruralness, population density, built environment","only",-0.0176955903271693
"level","women_vitA","Malawi","Ruralness, population density, built environment","drop",0.241689144856747
"level","women_vitA","Malawi","Ruralness, population density, built environment","only",-0.121127068601006
"level","women_vitA","SierraLeone","Ruralness, population density, built environment","drop",-0.0505494505494506
"level","women_vitA","SierraLeone","Ruralness, population density, built environment","only",0.0857142857142857
"level","women_vitA","Gambia","Satellite embedding","drop",0.749499443826474
"level","women_vitA","Gambia","Satellite embedding","only",0.337931034482759
"level","women_vitA","Ghana","Satellite embedding","drop",0.310298719772404
"level","women_vitA","Ghana","Satellite embedding","only",0.295647226173542
"level","women_vitA","Malawi","Satellite embedding","drop",0.226653058248888
"level","women_vitA","Malawi","Satellite embedding","only",0.237114529416053
"level","women_vitA","SierraLeone","Satellite embedding","drop",-0.0197802197802198
"level","women_vitA","SierraLeone","Satellite embedding","only",0.0197802197802198
"level","women_vitA","Gambia","Soil characteristics","drop",0.751279199110122
"level","women_vitA","Gambia","Soil characteristics","only",0.505228031145717
"level","women_vitA","Ghana","Soil characteristics","drop",0.287937411095306
"level","women_vitA","Ghana","Soil characteristics","only",0.0187482219061166
"level","women_vitA","Malawi","Soil characteristics","drop",0.258821170809944
"level","women_vitA","Malawi","Soil characteristics","only",0.0194102208937814
"level","women_vitA","SierraLeone","Soil characteristics","drop",-0.164835164835165
"level","women_vitA","SierraLeone","Soil characteristics","only",0.195604395604396
"level","women_vitA","Gambia","Water and coast proximity","drop",0.752169076751947
"level","women_vitA","Gambia","Water and coast proximity","only",-0.182647385984427
"level","women_vitA","Ghana","Water and coast proximity","drop",0.313143669985775
"level","women_vitA","Ghana","Water and coast proximity","only",-0.461479374110953
"level","women_vitA","Malawi","Water and coast proximity","drop",0.251585623678647
"level","women_vitA","Malawi","Water and coast proximity","only",-0.272071152584384
"level","women_vitA","SierraLeone","Water and coast proximity","drop",-0.0505494505494506
"level","women_vitA","SierraLeone","Water and coast proximity","only",-0.437362637362637
"level","women_vitA","Gambia","Water and sanitation","drop",0.77797552836485
"level","women_vitA","Gambia","Water and sanitation","only",0.405561735261402
"level","women_vitA","Ghana","Water and sanitation","drop",0.307596017069701
"level","women_vitA","Ghana","Water and sanitation","only",0.149160739687055
"level","women_vitA","Malawi","Water and sanitation","drop",0.239975942261427
"level","women_vitA","Malawi","Water and sanitation","only",0.0758001020631333
"level","women_vitA","SierraLeone","Water and sanitation","drop",-0.0461538461538462
"level","women_vitA","SierraLeone","Water and sanitation","only",-0.454945054945055
"level","child_iron","Gambia","ALL","full",0.408231368186874
"level","child_iron","Ghana","ALL","full",0.530213371266003
"level","child_iron","Malawi","ALL","full",-0.0449989064664285
"level","child_iron","SierraLeone","ALL","full",0.257142857142857
"level","child_iron","Gambia","Agricultural production, land use","drop",0.40111234705228
"level","child_iron","Gambia","Agricultural production, land use","only",0.340600667408231
"level","child_iron","Ghana","Agricultural production, land use","drop",0.525803698435277
"level","child_iron","Ghana","Agricultural production, land use","only",0.350770117230113
"level","child_iron","Malawi","Agricultural production, land use","drop",-0.0828169424801341
"level","child_iron","Malawi","Agricultural production, land use","only",0.267639462565768
"level","child_iron","SierraLeone","Agricultural production, land use","drop",0.12967032967033
"level","child_iron","SierraLeone","Agricultural production, land use","only",0.397802197802198
"level","child_iron","Gambia","Anaemia and haemoglobin","drop",0.399777530589544
"level","child_iron","Gambia","Anaemia and haemoglobin","only",0.450055617352614
"level","child_iron","Ghana","Anaemia and haemoglobin","drop",0.51977240398293
"level","child_iron","Ghana","Anaemia and haemoglobin","only",0.393001422475107
"level","child_iron","Malawi","Anaemia and haemoglobin","drop",-0.0807392286943209
"level","child_iron","Malawi","Anaemia and haemoglobin","only",0.0277210760370343
"level","child_iron","SierraLeone","Anaemia and haemoglobin","drop",0.213186813186813
"level","child_iron","SierraLeone","Anaemia and haemoglobin","only",-0.265934065934066
"level","child_iron","Gambia","Built environment","drop",0.460289210233593
"level","child_iron","Gambia","Built environment","only",-0.00333704115684093
"level","child_iron","Ghana","Built environment","drop",0.530355618776671
"level","child_iron","Ghana","Built environment","only",0.378691322901849
"level","child_iron","Malawi","Built environment","drop",-0.0675439235984545
"level","child_iron","Malawi","Built environment","only",0.0738317416344682
"level","child_iron","SierraLeone","Built environment","drop",0.296703296703297
