"outcome","country","rank_from","set","n_raw_total","f_cross_A1","f_cross_A2","f_cross_C_A1","mae_A1_f05","mae_B_f05","mae_C_f05","mae_A1_f25","mae_B_f25","resp_cross_A1","resp_cross_A2"
"women_folate","SierraLeone","level","climate_soil",766,0.4,0.4,0.15,11.0444771297621,21.599733095369,15.6708031056856,9.45687517202256,10.2845104932212,306,306
"women_folate","SierraLeone","level","full",766,0.25,0.4,0.15,12.711276238919,23.4234784664655,15.2724386583297,10.3905745502449,10.1662183072477,192,306
"women_folate","SierraLeone","prev","climate_soil",766,0.4,0.4,0.15,11.4449276387114,19.4246791678647,15.6092261616939,10.1451563396039,10.6455906503216,306,306
"women_folate","SierraLeone","prev","full",766,0.25,0.6,0.15,14.2213634643187,20.2202958708927,14.8572807279422,11.2032438465019,10.069176362527,192,460
"women_iron","Gambia","level","climate_soil",1402,0.6,0.6,0.4,14.8677847562631,31.8007303962698,18.3831237402221,11.4632339567554,18.6265918082339,841,841
"women_iron","Gambia","level","full",1402,0.6,0.6,0.25,14.2796869058852,33.465096742949,21.1845272991951,12.6484102979785,17.9999935505662,841,841
"women_iron","Gambia","prev","climate_soil",1402,0.6,0.6,0.6,12.2316865793689,32.3947203507566,22.230334402312,10.9264169798571,17.7441442666307,841,841
"women_iron","Gambia","prev","full",1402,0.6,0.6,0.4,13.8013126747607,32.3115922757291,21.4304694030838,12.3993931539403,19.5676246201703,841,841
"women_iron","Ghana","level","climate_soil",981,0.4,0.6,0.25,9.72472549704753,21.2169656441948,14.3273786973136,9.2899465687271,11.2066362651843,392,589
"women_iron","Ghana","level","full",981,0.4,0.6,0.25,10.6407239488882,21.6856700625325,13.8243175050209,9.60679882347635,11.6788975845403,392,589
"women_iron","Ghana","prev","climate_soil",981,0.4,0.6,0.25,10.6082527234399,20.8939175467953,15.2037464930673,9.34804667095169,11.0509054967062,392,589
"women_iron","Ghana","prev","full",981,0.4,0.6,0.25,10.3218121906675,21.0638828399777,14.1884888038104,9.78651459119356,11.158602035424,392,589
"women_iron","Malawi","level","climate_soil",781,0.8,0.8,0.4,9.37071375113832,24.8724447959446,11.9123460994658,7.06545952952136,13.3026982019652,625,625
"women_iron","Malawi","level","full",781,0.8,0.8,0.25,10.1160643574586,24.4393569411065,11.5350811853551,6.90676782200022,12.8325020937541,625,625
"women_iron","Malawi","prev","climate_soil",781,0.8,0.8,0.25,10.5201880149969,25.1250062409553,10.8756983083501,7.35259358903779,13.2630996795447,625,625
"women_iron","Malawi","prev","full",781,0.8,0.8,0.8,9.28903733935709,26.257837846383,12.0688520085229,6.20554428800101,12.7970503163738,625,625
"women_iron","SierraLeone","level","climate_soil",774,0.4,0.6,0.15,10.764038722619,21.1780280686995,12.881682024777,9.25855706608681,9.52770588655909,310,464
"women_iron","SierraLeone","level","full",774,0.4,0.6,0.15,11.5884730006862,18.5531660405567,12.2957271748411,7.66289406195323,9.81466605642876,310,464
"women_iron","SierraLeone","prev","climate_soil",774,0.4,0.6,0.15,10.4994514493574,18.1809364567708,12.1825902769344,9.18996140717236,9.5064526380069,310,464
"women_iron","SierraLeone","prev","full",774,0.4,0.6,0.25,10.3178246883741,19.2387819262184,14.7170201471686,8.1650909468584,10.1157988000378,310,464
"women_vitA","Gambia","level","climate_soil",1413,0.4,0.4,0.6,3.70662704007593,8.64382813209864,4.79667262821582,3.44248345849118,4.14752252819143,565,565
"women_vitA","Gambia","level","full",1413,0.4,0.4,0.6,3.8823960282676,8.66535662027638,5.09452447031172,3.41454911033335,4.42085270524418,565,565
"women_vitA","Gambia","prev","climate_soil",1413,0.4,0.4,0.4,3.76968957976049,8.31955956774105,5.064326826681,3.50801573395121,4.26220091623828,565,565
"women_vitA","Gambia","prev","full",1413,0.4,0.4,0.4,3.72628860699992,8.40334468017552,4.66830585903642,3.53170361283658,4.27630636067311,565,565
"women_vitA","Ghana","level","climate_soil",992,0.4,0.4,0.6,2.84932187752947,7.58520852494879,4.47903630005413,2.84088534381145,3.64294600827182,397,397
"women_vitA","Ghana","level","full",992,0.4,0.4,0.6,3.11293976160282,7.18420818329413,4.12823478460162,2.57917583149715,3.51466746509674,397,397
