"country","outcome","set","n","n_districts","prevalence","n_pred","picks","auc","brier","brier_skill","pr_auc","pr_gain","pr_norm"
"Ghana","women_b12","both",473,75,0.0845665961945032,181,"SL.asl_ranger 3;SL.mean 2",0.520092378752887,0.0772118048976706,0.00262587194278663,0.122151825019615,1.44444533085694,0.0410573053909415
"Malawi","child_vitA","survey_only",1069,86,0.201122544434051,80,"SL.asl_enet 1;SL.mean 4",0.440487990850172,0.16274101344203,-0.0128755692066185,0.19268878562041,0.958066566642876,-0.0105570119107513
"Malawi","child_vitA","proxies_only",1069,86,0.201122544434051,115,"SL.asl_enet 1;SL.asl_ranger 2;SL.mean 2",0.459642720984696,0.162337247162367,-0.010362588663545,0.182684288788813,0.908323277745309,-0.0230802052514737
"Malawi","child_vitA","both",1069,86,0.201122544434051,195,"SL.asl_ranger 2;SL.mean 3",0.496680464027014,0.162330735756597,-0.0103220626542393,0.201764229707438,1.00319051887094,0.000803233673596692
"Malawi","women_vitA","survey_only",784,86,0.0216836734693878,79,"SL.asl_ranger 1;SL.mean 4",0.345041797683871,0.0224427410738158,-0.0579465800649823,0.0149074170889798,0.687494999868244,-0.0069264471997912
"Malawi","women_vitA","proxies_only",784,86,0.0216836734693878,115,"SL.asl_ranger 2;SL.mean 3",0.439335838637932,0.0218197028008069,-0.0285766734207196,0.0218297622898361,1.00673727266067,0.00014932677344389
"Malawi","women_vitA","both",784,86,0.0216836734693878,194,"SL.asl_enet 2;SL.mean 3",0.390559091954905,0.0215725991749146,-0.0169282551159053,0.0202458186324466,0.933689518108127,-0.00146972384897241
"Malawi","child_iron","survey_only",1069,86,0.0972871842843779,80,"SL.asl_enet 1;SL.asl_ranger 4",0.784057393383818,0.079273770208577,0.0973398473762093,0.264909403288978,2.72296300111459,0.185687204265199
"Malawi","child_iron","proxies_only",1069,86,0.0972871842843779,115,"SL.asl_ranger 5",0.526071143882025,0.08778898739123,0.000380320643788568,0.128952245074457,1.32548028831341,0.0350776683778179
"Malawi","child_iron","both",1069,86,0.0972871842843779,195,"SL.asl_ranger 5",0.780774212833798,0.0789352813181373,0.10119409112798,0.276069811672738,2.83767912190536,0.198050392412598
"Malawi","women_iron","survey_only",784,86,0.100765306122449,79,"SL.asl_enet 2;SL.asl_ranger 3",0.745560642786606,0.08170206264259,0.0983272642850567,0.301020668595952,2.98734435669907,0.222695325076917
"Malawi","women_iron","proxies_only",784,86,0.100765306122449,115,"SL.asl_enet 3;SL.asl_ranger 2",0.530164287638029,0.0917282236692454,-0.0123225253190362,0.110836762812632,1.09994964614055,0.01120003126965
"Malawi","women_iron","both",784,86,0.100765306122449,194,"SL.asl_enet 4;SL.asl_ranger 1",0.733288446000539,0.0822703493587847,0.0920555910679026,0.269387230991003,2.67341252021451,0.187517147655243
"SierraLeone","child_vitA","survey_only",486,14,0.125514403292181,80,"SL.asl_ranger 1;SL.mean 4",0.454657666345227,0.111420228618439,-0.01512101518846,0.130460359401395,1.03940548637833,0.00565584628018313
"SierraLeone","child_vitA","proxies_only",486,14,0.125514403292181,74,"SL.asl_ranger 4;SL.mean 1",0.45556412729026,0.111089093374475,-0.0121041272392466,0.111924317311954,0.891724888747697,-0.0155406630268012
"SierraLeone","child_vitA","both",486,14,0.125514403292181,154,"SL.mean 5",0.433751205400193,0.110440854708721,-0.00619819165983193,0.103166082005519,0.821946161552166,-0.0255559626948657
"SierraLeone","women_vitA","survey_only",774,14,0.0180878552971576,80,"SL.asl_enet 1;SL.mean 4",0.346804511278196,0.017819346450346,-0.00330289418115259,0.0122052830317719,0.674777790470815,-0.00599093543869551
"SierraLeone","women_vitA","proxies_only",774,14,0.0180878552971576,74,"SL.asl_ranger 1;SL.mean 4",0.346804511278196,0.0178286636251515,-0.00382748965237378,0.0122052830317719,0.674777790470815,-0.00599093543869551
"SierraLeone","women_vitA","both",774,14,0.0180878552971576,154,"SL.asl_enet 1;SL.mean 4",0.346804511278196,0.017819346450346,-0.00330289418115259,0.0122052830317719,0.674777790470815,-0.00599093543869551
"SierraLeone","child_iron","survey_only",486,14,0.0576131687242798,80,"SL.asl_enet 1;SL.mean 4",0.357454772301934,0.0547599452959375,-0.00858390822826305,0.0413199401581269,0.717196104173203,-0.0172893211422496
"SierraLeone","child_iron","proxies_only",486,14,0.0576131687242798,74,"SL.mean 5",0.357454772301934,0.0547599452959375,-0.00858390822826305,0.0413199401581269,0.717196104173203,-0.0172893211422496
"SierraLeone","child_iron","both",486,14,0.0576131687242798,154,"SL.mean 5",0.357454772301934,0.0547599452959375,-0.00858390822826305,0.0413199401581269,0.717196104173203,-0.0172893211422496
"SierraLeone","women_iron","survey_only",774,14,0.17312661498708,80,"SL.asl_enet 2;SL.mean 3",0.44892140858209,0.14343000885452,-0.00192952407334945,0.151230537326556,0.873525640975779,-0.0264805689206962
"SierraLeone","women_iron","proxies_only",774,14,0.17312661498708,74,"SL.asl_enet 1;SL.asl_ranger 1;SL.mean 3",0.474137126865672,0.143677159390598,-0.00365599275981854,0.163752877772069,0.945856174593889,-0.0113363634444044
"SierraLeone","women_iron","both",774,14,0.17312661498708,154,"SL.mean 5",0.44892140858209,0.14343000885452,-0.00192952407334945,0.151230537326556,0.873525640975779,-0.0264805689206962
"SierraLeone","women_folate","survey_only",766,14,0.793733681462141,80,"SL.mean 5",0.398218895736176,0.165645032862557,-0.0117548395059801,0.742804183273508,0.935835533532084,-0.24691136463603
"SierraLeone","women_folate","proxies_only",766,14,0.793733681462141,74,"SL.asl_enet 1;SL.asl_ranger 1;SL.mean 3",0.409981887075283,0.168653423774567,-0.0301300000028104,0.75822201862757,0.955259977415656,-0.172164137539754
"SierraLeone","women_folate","both",766,14,0.793733681462141,154,"SL.asl_enet 1;SL.asl_ranger 1;SL.mean 3",0.399416014323784,0.170660534140821,-0.0423893692780999,0.741205459335069,0.933821351728064,-0.254662140185676
