"domain_set","target","outcome","heldout","arm","model","n_units","n_cov","n_block","block_cols","shares_population","spearman","pearson","topk","delta_vs_base","topk_delta_vs_base"
"all","level","child_vitA","Malawi","same_nutrient","domain_enet",87,329,1,"women_vitA",FALSE,0.314299774003062,0.343777823341249,0.5,0.123259459065393,0.0909090909090909
"all","level","child_vitA","SierraLeone","same_nutrient","domain_enet",14,329,1,"women_vitA",FALSE,0.032967032967033,0.025205073967037,0.5,0.153846153846154,0.25
"all","level","child_vitA","Gambia","other_xpop","domain_index",30,329,1,"women_iron",FALSE,0.639599555061179,0.645559541526926,0.5,0.0266963292547275,0
"all","level","child_vitA","Ghana","other_xpop","domain_index",75,329,1,"women_iron",FALSE,0.373342816500711,0.405666753837975,0.578947368421053,0.00679943100995739,0
"all","level","child_vitA","Malawi","other_xpop","domain_index",87,329,1,"women_iron",FALSE,0.262593861631552,0.266914971901914,0.454545454545455,0.00140336808340014,0.0454545454545454
"all","level","child_vitA","SierraLeone","other_xpop","domain_index",14,329,1,"women_iron",FALSE,-0.0197802197802198,-0.00316398805781674,0.5,-0.0615384615384615,0
"all","level","child_vitA","Gambia","other_xpop","domain_enet",30,329,1,"women_iron",FALSE,0.721913236929922,0.72133552114434,0.5,0,0
"all","level","child_vitA","Ghana","other_xpop","domain_enet",75,329,1,"women_iron",FALSE,0.332318634423898,0.305661204896098,0.526315789473684,0.113655761024182,0.157894736842105
"all","level","child_vitA","Malawi","other_xpop","domain_enet",87,329,1,"women_iron",FALSE,0.194138660056864,0.22557683424439,0.454545454545455,0.00309834511919518,0.0454545454545454
"all","level","child_vitA","SierraLeone","other_xpop","domain_enet",14,329,1,"women_iron",FALSE,-0.142857142857143,-0.0928051291635303,0.25,-0.021978021978022,0
"all","level","child_vitA","Gambia","other_samepop","domain_index",30,329,1,"child_iron",TRUE,0.627586206896552,0.641628586434361,0.5,0.0146829810901001,0
"all","level","child_vitA","Ghana","other_samepop","domain_index",75,329,1,"child_iron",TRUE,0.371664295874822,0.404172489774876,0.578947368421053,0.00512091038406831,0
"all","level","child_vitA","Malawi","other_samepop","domain_index",87,329,1,"child_iron",TRUE,0.259058103083765,0.27278562940282,0.454545454545455,-0.00213239046438729,0.0454545454545454
"all","level","child_vitA","SierraLeone","other_samepop","domain_index",14,329,1,"child_iron",TRUE,-0.0549450549450549,-0.0180818206729363,0.5,-0.0967032967032967,0
"all","level","child_vitA","Gambia","other_samepop","domain_enet",30,329,1,"child_iron",TRUE,0.721913236929922,0.72133552114434,0.5,0,0
"all","level","child_vitA","Ghana","other_samepop","domain_enet",75,329,1,"child_iron",TRUE,0.316586059743954,0.281551829172986,0.526315789473684,0.097923186344239,0.157894736842105
"all","level","child_vitA","Malawi","other_samepop","domain_enet",87,329,1,"child_iron",TRUE,0.194138660056864,0.22557683424439,0.454545454545455,0.00309834511919518,0.0454545454545454
"all","level","child_vitA","SierraLeone","other_samepop","domain_enet",14,329,1,"child_iron",TRUE,-0.107692307692308,-0.00540003249604159,0.5,0.0131868131868132,0.25
"all","level","child_vitA","Gambia","all_other","domain_index",30,329,3,"women_vitA;child_iron;women_iron",NA,0.698776418242492,0.674572120106659,0.5,0.0858731924360401,0
"all","level","child_vitA","Ghana","all_other","domain_index",75,329,3,"women_vitA;child_iron;women_iron",NA,0.388990042674253,0.42707802938232,0.578947368421053,0.0224466571834993,0
"all","level","child_vitA","Malawi","all_other","domain_index",87,329,3,"women_vitA;child_iron;women_iron",NA,0.274513377560691,0.302809740195182,0.454545454545455,0.0133228840125392,0.0454545454545454
"all","level","child_vitA","SierraLeone","all_other","domain_index",14,329,3,"women_vitA;child_iron;women_iron",NA,-0.0681318681318681,0.00540905891207589,0.5,-0.10989010989011,0
"all","level","child_vitA","Gambia","all_other","domain_enet",30,329,3,"women_vitA;child_iron;women_iron",NA,0.796218020022247,0.806897124676577,0.5,0.0743047830923248,0
"all","level","child_vitA","Ghana","all_other","domain_enet",75,329,3,"women_vitA;child_iron;women_iron",NA,0.373200568990043,0.372964098963467,0.526315789473684,0.154537695590327,0.157894736842105
"all","level","child_vitA","Malawi","all_other","domain_enet",87,329,3,"women_vitA;child_iron;women_iron",NA,0.309743384121893,0.345466881094306,0.5,0.118703069184224,0.0909090909090909
"all","level","child_vitA","SierraLeone","all_other","domain_enet",14,329,3,"women_vitA;child_iron;women_iron",NA,-0.0373626373626374,-0.0328289936298658,0.5,0.0835164835164835,0.25
"all","level","child_vitA","Gambia","block_only_same_nutrient","domain_index",30,0,1,"women_vitA",FALSE,0.794883203559511,0.82661336982537,0.625,0.181979977753059,0.125
"all","level","child_vitA","Ghana","block_only_same_nutrient","domain_index",75,0,1,"women_vitA",FALSE,0.48099573257468,0.498822590129868,0.526315789473684,0.114452347083926,-0.0526315789473685
"all","level","child_vitA","Malawi","block_only_same_nutrient","domain_index",87,0,1,"women_vitA",FALSE,0.296074214478384,0.32594654615653,0.318181818181818,0.0348837209302326,-0.0909090909090909
"all","level","child_vitA","SierraLeone","block_only_same_nutrient","domain_index",14,0,1,"women_vitA",FALSE,0.191208791208791,0.217671186766764,0.5,0.149450549450549,0
"all","level","child_vitA","Gambia","block_only_same_nutrient","domain_enet",30,0,1,"women_vitA",FALSE,NA,NA,0.25,NA,-0.25
"all","level","child_vitA","Ghana","block_only_same_nutrient","domain_enet",75,0,1,"women_vitA",FALSE,NA,NA,0.0526315789473684,NA,-0.315789473684211
"all","level","child_vitA","Malawi","block_only_same_nutrient","domain_enet",87,0,1,"women_vitA",FALSE,NA,NA,0.136363636363636,NA,-0.272727272727273
"all","level","child_vitA","SierraLeone","block_only_same_nutrient","domain_enet",14,0,1,"women_vitA",FALSE,NA,NA,0.25,NA,0
"all","level","child_vitA","Gambia","block_only_all","domain_index",30,0,3,"women_vitA;child_iron;women_iron",NA,0.871857619577308,0.861372631249048,0.75,0.258954393770856,0.25
"all","level","child_vitA","Ghana","block_only_all","domain_index",75,0,3,"women_vitA;child_iron;women_iron",NA,0.527596017069701,0.521905107248009,0.578947368421053,0.161052631578947,0
"all","level","child_vitA","Malawi","block_only_all","domain_index",87,0,3,"women_vitA;child_iron;women_iron",NA,0.30595246774076,0.315662986073147,0.409090909090909,0.0447619741926077,0
"all","level","child_vitA","SierraLeone","block_only_all","domain_index",14,0,3,"women_vitA;child_iron;women_iron",NA,0.112087912087912,0.0942199913329316,0.25,0.0703296703296703,-0.25
"all","level","child_vitA","Gambia","block_only_all","domain_enet",30,0,3,"women_vitA;child_iron;women_iron",NA,0.844271412680756,0.854770118765398,0.75,0.122358175750834,0.25
"all","level","child_vitA","Ghana","block_only_all","domain_enet",75,0,3,"women_vitA;child_iron;women_iron",NA,0.535874822190612,0.528662790973121,0.631578947368421,0.317211948790896,0.263157894736842
"all","level","child_vitA","Malawi","block_only_all","domain_enet",87,0,3,"women_vitA;child_iron;women_iron",NA,0.314974119705475,0.370612368392791,0.409090909090909,0.123933804767806,0
"all","level","child_vitA","SierraLeone","block_only_all","domain_enet",14,0,3,"women_vitA;child_iron;women_iron",NA,0.217582417582418,0.121489347566257,0.5,0.338461538461538,0.25
"all","level","women_iron","Gambia","base","domain_index",30,329,0,"",FALSE,0.590656284760845,0.553010904128736,0.375,0,0
"all","level","women_iron","Ghana","base","domain_index",75,329,0,"",FALSE,0.348364153627311,0.379405243695346,0.578947368421053,0,0
"all","level","women_iron","Malawi","base","domain_index",87,329,0,"",FALSE,0.218834293212802,0.144335467758927,0.5,0,0
"all","level","women_iron","SierraLeone","base","domain_index",14,329,0,"",FALSE,-0.032967032967033,-0.337723885802987,0.25,0,0
"all","level","women_iron","Gambia","base","domain_enet",30,329,0,"",FALSE,0.603559510567297,0.537180903027395,0.25,0,0
"all","level","women_iron","Ghana","base","domain_enet",75,329,0,"",FALSE,0.336984352773826,0.3591418914165,0.473684210526316,0,0
"all","level","women_iron","Malawi","base","domain_enet",87,329,0,"",FALSE,0.253535758547787,0.256362974161426,0.409090909090909,0,0
"all","level","women_iron","SierraLeone","base","domain_enet",14,329,0,"",FALSE,-0.191208791208791,-0.345000577003712,0.5,0,0
"all","level","women_iron","Gambia","same_nutrient","domain_index",30,329,1,"child_iron",FALSE,0.687652947719689,0.616155964781466,0.5,0.0969966629588431,0.125
"all","level","women_iron","Ghana","same_nutrient","domain_index",75,329,1,"child_iron",FALSE,0.356728307254623,0.391432825477241,0.578947368421053,0.00836415362731147,0
"all","level","women_iron","Malawi","same_nutrient","domain_index",87,329,1,"child_iron",FALSE,0.251476270321499,0.183275877503436,0.5,0.0326419771086972,0
"all","level","women_iron","SierraLeone","same_nutrient","domain_index",14,329,1,"child_iron",FALSE,0.0241758241758242,-0.296800831644047,0.25,0.0571428571428571,0
"all","level","women_iron","Gambia","same_nutrient","domain_enet",30,329,1,"child_iron",FALSE,0.69432703003337,0.631629784497677,0.375,0.0907675194660734,0.125
"all","level","women_iron","Ghana","same_nutrient","domain_enet",75,329,1,"child_iron",FALSE,0.362190611664296,0.394379033343185,0.631578947368421,0.0252062588904694,0.157894736842105
"all","level","women_iron","Malawi","same_nutrient","domain_enet",87,329,1,"child_iron",FALSE,0.307538091419407,0.326726054087711,0.363636363636364,0.0540023328716192,-0.0454545454545455
"all","level","women_iron","SierraLeone","same_nutrient","domain_enet",14,329,1,"child_iron",FALSE,0.0637362637362637,-0.171636668847418,0.5,0.254945054945055,0
"all","level","women_iron","Gambia","other_xpop","domain_index",30,329,1,"child_vitA",FALSE,0.648498331479422,0.582429133472333,0.375,0.0578420467185762,0
"all","level","women_iron","Ghana","other_xpop","domain_index",75,329,1,"child_vitA",FALSE,0.34375533428165,0.388943022998649,0.578947368421053,-0.00460881934566149,0
"all","level","women_iron","Malawi","other_xpop","domain_index",87,329,1,"child_vitA",FALSE,0.211525843843406,0.144519438226134,0.5,-0.00730844936939562,0
"all","level","women_iron","SierraLeone","other_xpop","domain_index",14,329,1,"child_vitA",FALSE,-0.0021978021978022,-0.333133316703089,0.25,0.0307692307692308,0
"all","level","women_iron","Gambia","other_xpop","domain_enet",30,329,1,"child_vitA",FALSE,0.603559510567297,0.537180903027395,0.25,0,0
"all","level","women_iron","Ghana","other_xpop","domain_enet",75,329,1,"child_vitA",FALSE,0.290554765291607,0.320203727752672,0.578947368421053,-0.0464295874822191,0.105263157894737
