"scope","fit","country","outcome","target","n_train","column","beta","sd_tr","beta_std","share","rank","fold_sign_agree","loco_sign_agree","loco_fits","incountry_sign_agree","incountry_fits","domain"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_dpt1",0.161735528903268,0.995831098714052,0.16106126944884,0.00012322629893672,361,0.8,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_dpt3",-0.0107877175073807,0.995831098714052,-0.0107427445779918,-1.09918648179551e-06,423,0.6,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_early_initiation",-0.00877136275478663,0.995831098714052,-0.00873479580931868,-7.6384949941288e-06,424,0.4,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_fever_2wk",0.701440339630376,0.995831098714052,0.698516104096476,0.000530252315189108,222,1,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_fully_vaccinated",-0.0108964185396303,0.995831098714052,-0.0108509924463682,2.65715684096207e-07,422,0.6,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_infant_death",0.269942765200954,0.995831098714052,0.268817400459976,0.000270065834103096,325,1,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_low_birthweight",-0.130548266222355,0.995831098714052,-0.130004023387422,0.000134722149806173,376,0.8,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_mean_birthweight",-0.441341955846791,0.995831098714052,-0.439502044799518,0.000319103560984134,281,1,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_mean_haz",-0.302304141832636,0.995831098714052,-0.301043865707003,0.000930294029813904,316,1,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_mean_waz",-0.271563002229049,0.995831098714052,-0.27043088287984,0.00065048940078409,324,1,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_mean_whz",-0.605702575769121,0.995831098714052,-0.603177461522095,0.00108609984883804,246,1,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_measles1",0.258589108416281,0.995831098714052,0.257511075949672,6.15077655309042e-05,331,0.8,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_min_diet_diversity",-0.526070291516937,0.995831098714052,-0.523877156402133,0.000327347171679958,266,1,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_neonatal_death",0.414931453312559,0.995831098714052,0.413201645043264,0.000631654521746163,291,1,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_no_vaccination",-0.313625085595089,0.949495483514688,-0.297785602289445,-4.31356243285255e-05,317,0.8,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_overweight",-0.679140024725506,0.929951534096002,-0.631567307859481,0.00141105630363048,239,1,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_polio3",0.124778923989811,0.995831098714052,0.124258732973131,4.09249641649236e-05,378,0.6,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_severely_stunted",-0.696300894565427,0.995831098714052,-0.693398084870666,-0.000253343640146663,223,1,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_severely_wasted",-0.0271722812804044,0.796629932908175,-0.0216462526133706,7.94850176796424e-06,417,0.6,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_slept_itn",0.514347038085665,0.995831098714052,0.512202776057166,0.000773472015631484,270,1,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_small_at_birth",0.331820170918492,0.995831098714052,0.330436845381247,0.000475462849648675,309,1,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_stunted",0.0288458382555466,0.995831098714052,0.0287255828033488,6.7373812420728e-05,415,0.4,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_under5_death",0.533404206571482,0.995831098714052,0.531180497088776,0.00096527028732109,264,1,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_underweight",-0.159999854698624,0.995831098714052,-0.159332831098619,-0.000264325851806526,362,1,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_c_wasted",-0.0471097785157974,0.968478994115408,-0.0456248309099792,-3.21587652936423e-06,407,0.8,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_CH_DIAT_C_ORT",-0.714620598379825,0.995831098714052,-0.711641415648275,-0.000159809544711482,216,1,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_CH_VACC_C_BAS",-0.184839804005907,0.995831098714052,-0.184069225109293,-0.000168957978649964,355,0.8,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_CH_VACC_C_DP1",0.00487589222620517,0.995831098714052,0.0048555651128332,-6.11796793021373e-06,425,0.4,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_CH_VACC_C_DP3",-0.556073233962562,0.995831098714052,-0.553755019542415,4.49375714791558e-05,260,1,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_CH_VACC_C_MSL",0.592273951115968,0.995831098714052,0.589804819479527,0.00164677261849645,252,1,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_CH_VACC_C_NON",0.205827863169572,0.995831098714052,0.204969787126121,0.000585560345121515,343,0.8,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_CM_ECMR_C_NNR",0.477563548379504,0.995831098714052,0.475572633088543,0.00154875005046113,276,1,NA,NA,NA,NA,"Infant and child morbidity/mortality"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_CN_BRFS_C_EXB",0.869441061583128,0.995831098714052,0.865816447623439,0.00300284815800038,175,1,NA,NA,NA,NA,"Adult nutrition"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_CN_NUTS_C_HA2",2.17302335201774,0.995831098714052,2.16396423217112,0.00802490639103901,3,1,NA,NA,NA,NA,"Adult nutrition"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_CN_NUTS_C_WH2",-1.40778339227815,0.995831098714052,-1.40191448228374,0.000142697007416794,55,1,NA,NA,NA,NA,"Adult nutrition"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_FP_CUSA_W_MOD",-1.3134965942866,0.995831098714052,-1.30802075664559,0.00285129939527705,60,1,NA,NA,NA,NA,"Fertility, reproductive health"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_FP_NADA_W_UNT",1.56155843640617,0.995831098714052,1.55504845343255,0.00461220949556977,35,1,NA,NA,NA,NA,"Fertility, reproductive health"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_hh_crowding",0.98372347272471,0.995831098714052,0.979622426674251,0.00242941019344884,140,1,NA,NA,NA,NA,"Household assets and characteristics"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_hh_electricity",-0.713447387264646,0.939805973443334,-0.670502116288854,0.00201829781978569,230,1,NA,NA,NA,NA,"Household assets and characteristics"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_hh_fridge",-0.644317873411333,0.959046247130709,-0.617930638454378,0.00171508652216286,242,1,NA,NA,NA,NA,"Household assets and characteristics"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_hh_handwash_facility",-0.409328225982901,0.939805973443334,-0.384689111877693,7.04442538816962e-06,295,0.8,NA,NA,NA,NA,"Water and sanitation"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_hh_improved_floor",-1.14628819443428,0.995831098714052,-1.14150943210644,0.00498334961383081,78,1,NA,NA,NA,NA,"Household assets and characteristics"
"country","Gambia","Gambia","child_vitA","level",30,"dhs_hh_improved_sanitation",-0.78723627791926,0.995831098714052,-0.783954367587898,0.001928252748449,195,1,NA,NA,NA,NA,"Water and sanitation"
