"scope","fit","country","outcome","target","n_train","domain","share","n_axes"
"country","Gambia","Gambia","women_vitA","prev",30,"Infant and young child feeding",0.00798661126647357,3
"country","Gambia","Gambia","women_vitA","prev",30,"Infection and inflammation burden",0.0836756576954545,6
"country","Gambia","Gambia","women_vitA","prev",30,"Livestock density",0.016305007586549,3
"country","Gambia","Gambia","women_vitA","prev",30,"Market prices (RTFP)",0.0170289849393306,3
"country","Gambia","Gambia","women_vitA","prev",30,"Ruralness, population density, built environment",0.00942474633839675,1
"country","Gambia","Gambia","women_vitA","prev",30,"Satellite embedding",0.123677844540348,5
"country","Gambia","Gambia","women_vitA","prev",30,"Soil characteristics",0.111851465637224,4
"country","Gambia","Gambia","women_vitA","prev",30,"Water and coast proximity",0.0294494831472804,2
"country","Gambia","Gambia","women_vitA","prev",30,"Water and sanitation",0.0354189494770156,5
"country","Gambia","Gambia","child_iron","level",30,"Agricultural production, land use",0.018125802711997,2
"country","Gambia","Gambia","child_iron","level",30,"Anaemia and haemoglobin",0.0391148147980029,1
"country","Gambia","Gambia","child_iron","level",30,"Built environment",0.0446101563261791,4
"country","Gambia","Gambia","child_iron","level",30,"Child anthropometry",0.0626591096098394,2
"country","Gambia","Gambia","child_iron","level",30,"Climate and weather",0.134497827544692,3
"country","Gambia","Gambia","child_iron","level",30,"Ecosystem productivity/greenness",0.0364588249931128,4
"country","Gambia","Gambia","child_iron","level",30,"Education, employment, SES",0.0691309393211195,3
"country","Gambia","Gambia","child_iron","level",30,"Food fortification and supplementation",0.00170276832977712,1
"country","Gambia","Gambia","child_iron","level",30,"Food prices and supply",0.0372199919188832,5
"country","Gambia","Gambia","child_iron","level",30,"Household assets and characteristics",0.0476577333284689,2
"country","Gambia","Gambia","child_iron","level",30,"Household diet and consumption (HCES)",0.0461052869921233,3
"country","Gambia","Gambia","child_iron","level",30,"Immunisation",0.0402479943768825,3
"country","Gambia","Gambia","child_iron","level",30,"Infant and young child feeding",0.00553768233153471,3
"country","Gambia","Gambia","child_iron","level",30,"Infection and inflammation burden",0.0732512834325415,6
"country","Gambia","Gambia","child_iron","level",30,"Livestock density",0.0314426843344806,3
"country","Gambia","Gambia","child_iron","level",30,"Market prices (RTFP)",0.0247782123866717,3
"country","Gambia","Gambia","child_iron","level",30,"Ruralness, population density, built environment",0.0360534005398278,1
"country","Gambia","Gambia","child_iron","level",30,"Satellite embedding",0.115288377144585,5
"country","Gambia","Gambia","child_iron","level",30,"Soil characteristics",0.0850626036526048,4
"country","Gambia","Gambia","child_iron","level",30,"Water and coast proximity",0.0266770008884829,2
"country","Gambia","Gambia","child_iron","level",30,"Water and sanitation",0.0243775050381932,5
"country","Gambia","Gambia","child_iron","prev",30,"Agricultural production, land use",0.0208962866522023,2
"country","Gambia","Gambia","child_iron","prev",30,"Anaemia and haemoglobin",0.0416594909192905,1
"country","Gambia","Gambia","child_iron","prev",30,"Built environment",0.043760934969743,4
"country","Gambia","Gambia","child_iron","prev",30,"Child anthropometry",0.0607403009340358,2
"country","Gambia","Gambia","child_iron","prev",30,"Climate and weather",0.134496729474309,3
"country","Gambia","Gambia","child_iron","prev",30,"Ecosystem productivity/greenness",0.0391776169162339,4
"country","Gambia","Gambia","child_iron","prev",30,"Education, employment, SES",0.0738344436752245,3
"country","Gambia","Gambia","child_iron","prev",30,"Food fortification and supplementation",0.00248512218975439,1
"country","Gambia","Gambia","child_iron","prev",30,"Food prices and supply",0.0329738168060063,5
"country","Gambia","Gambia","child_iron","prev",30,"Household assets and characteristics",0.053226295141982,2
"country","Gambia","Gambia","child_iron","prev",30,"Household diet and consumption (HCES)",0.0413176045364673,3
"country","Gambia","Gambia","child_iron","prev",30,"Immunisation",0.0419682604694607,3
"country","Gambia","Gambia","child_iron","prev",30,"Infant and young child feeding",0.00616794718965574,3
"country","Gambia","Gambia","child_iron","prev",30,"Infection and inflammation burden",0.0691139661707727,6
"country","Gambia","Gambia","child_iron","prev",30,"Livestock density",0.0275095369483343,3
"country","Gambia","Gambia","child_iron","prev",30,"Market prices (RTFP)",0.0269266706411828,3
"country","Gambia","Gambia","child_iron","prev",30,"Ruralness, population density, built environment",0.0387353400294092,1
"country","Gambia","Gambia","child_iron","prev",30,"Satellite embedding",0.111351227732979,5
"country","Gambia","Gambia","child_iron","prev",30,"Soil characteristics",0.0884288129159666,4
"country","Gambia","Gambia","child_iron","prev",30,"Water and coast proximity",0.0197033740960826,2
"country","Gambia","Gambia","child_iron","prev",30,"Water and sanitation",0.0255262215909071,5
"country","Gambia","Gambia","women_iron","level",30,"Agricultural production, land use",0.0106254738390083,2
"country","Gambia","Gambia","women_iron","level",30,"Anaemia and haemoglobin",0.0428403176012564,1
"country","Gambia","Gambia","women_iron","level",30,"Built environment",0.0412600247882219,4
"country","Gambia","Gambia","women_iron","level",30,"Child anthropometry",0.070457026290434,2
"country","Gambia","Gambia","women_iron","level",30,"Climate and weather",0.140600416971492,3
"country","Gambia","Gambia","women_iron","level",30,"Ecosystem productivity/greenness",0.0407724429343087,4
"country","Gambia","Gambia","women_iron","level",30,"Education, employment, SES",0.0736105016488762,3
"country","Gambia","Gambia","women_iron","level",30,"Food fortification and supplementation",0.00162912827093642,1
"country","Gambia","Gambia","women_iron","level",30,"Food prices and supply",0.0325310475152502,5
"country","Gambia","Gambia","women_iron","level",30,"Household assets and characteristics",0.0433484443759838,2
"country","Gambia","Gambia","women_iron","level",30,"Household diet and consumption (HCES)",0.0401768198941229,3
"country","Gambia","Gambia","women_iron","level",30,"Immunisation",0.0380156957039199,3
"country","Gambia","Gambia","women_iron","level",30,"Infant and young child feeding",0.00521837749166149,3
"country","Gambia","Gambia","women_iron","level",30,"Infection and inflammation burden",0.0717955960766005,6
"country","Gambia","Gambia","women_iron","level",30,"Livestock density",0.0315990921431828,3
"country","Gambia","Gambia","women_iron","level",30,"Market prices (RTFP)",0.0224061042365682,3
"country","Gambia","Gambia","women_iron","level",30,"Ruralness, population density, built environment",0.0283387020643193,1
"country","Gambia","Gambia","women_iron","level",30,"Satellite embedding",0.113786392165529,5
"country","Gambia","Gambia","women_iron","level",30,"Soil characteristics",0.102057735986219,4
"country","Gambia","Gambia","women_iron","level",30,"Water and coast proximity",0.0274358688955702,2
"country","Gambia","Gambia","women_iron","level",30,"Water and sanitation",0.0214947911065382,5
"country","Gambia","Gambia","women_iron","prev",30,"Agricultural production, land use",0.00986557982687215,2
"country","Gambia","Gambia","women_iron","prev",30,"Anaemia and haemoglobin",0.0450933407889153,1
"country","Gambia","Gambia","women_iron","prev",30,"Built environment",0.0426454080928747,4
"country","Gambia","Gambia","women_iron","prev",30,"Child anthropometry",0.0704453091419713,2
"country","Gambia","Gambia","women_iron","prev",30,"Climate and weather",0.147564356197853,3
"country","Gambia","Gambia","women_iron","prev",30,"Ecosystem productivity/greenness",0.0351116203954189,4
"country","Gambia","Gambia","women_iron","prev",30,"Education, employment, SES",0.070996524880572,3
"country","Gambia","Gambia","women_iron","prev",30,"Food fortification and supplementation",0.000814080628521042,1
"country","Gambia","Gambia","women_iron","prev",30,"Food prices and supply",0.0315751165523592,5
"country","Gambia","Gambia","women_iron","prev",30,"Household assets and characteristics",0.0362156327987349,2
"country","Gambia","Gambia","women_iron","prev",30,"Household diet and consumption (HCES)",0.0444888193504969,3
"country","Gambia","Gambia","women_iron","prev",30,"Immunisation",0.0372271020901772,3
"country","Gambia","Gambia","women_iron","prev",30,"Infant and young child feeding",0.00424950282381559,3
"country","Gambia","Gambia","women_iron","prev",30,"Infection and inflammation burden",0.0810753811405627,6
"country","Gambia","Gambia","women_iron","prev",30,"Livestock density",0.0300316974877334,3
"country","Gambia","Gambia","women_iron","prev",30,"Market prices (RTFP)",0.0230467941469809,3
"country","Gambia","Gambia","women_iron","prev",30,"Ruralness, population density, built environment",0.0340113400590087,1
"country","Gambia","Gambia","women_iron","prev",30,"Satellite embedding",0.101051988282706,5
"country","Gambia","Gambia","women_iron","prev",30,"Soil characteristics",0.111265263626182,4
"country","Gambia","Gambia","women_iron","prev",30,"Water and coast proximity",0.0254218317514538,2
"country","Gambia","Gambia","women_iron","prev",30,"Water and sanitation",0.0178033099367903,5
"country","Ghana","Ghana","child_vitA","level",75,"Agricultural production, land use",0.0397461968329379,3
"country","Ghana","Ghana","child_vitA","level",75,"Anaemia and haemoglobin",0.0121208163834433,1
"country","Ghana","Ghana","child_vitA","level",75,"Built environment",0.0340364041778399,4
"country","Ghana","Ghana","child_vitA","level",75,"Child anthropometry",0.0557638520204636,2
"country","Ghana","Ghana","child_vitA","level",75,"Climate and weather",0.111554300055782,4
"country","Ghana","Ghana","child_vitA","level",75,"Dietary inadequacy (MODELLED SURFACE, HCES)",0.0281421360531347,2
"country","Ghana","Ghana","child_vitA","level",75,"Ecosystem productivity/greenness",0.0565282624705937,3
"country","Ghana","Ghana","child_vitA","level",75,"Education, employment, SES",0.0594243704263676,3
"country","Ghana","Ghana","child_vitA","level",75,"Food fortification and supplementation",0.013766383180525,1
"country","Ghana","Ghana","child_vitA","level",75,"Food prices and supply",0.0354586679353814,4
"country","Ghana","Ghana","child_vitA","level",75,"Household assets and characteristics",0.0575442227518959,2
"country","Ghana","Ghana","child_vitA","level",75,"Household diet and consumption (HCES)",0.0168575151679974,1
"country","Ghana","Ghana","child_vitA","level",75,"Immunisation",-0.0015769137331071,3
"country","Ghana","Ghana","child_vitA","level",75,"Infant and young child feeding",0.0497488755538456,3
"country","Ghana","Ghana","child_vitA","level",75,"Infection and inflammation burden",0.0631832705030061,6
"country","Ghana","Ghana","child_vitA","level",75,"Livestock density",0.0285711170882664,3
"country","Ghana","Ghana","child_vitA","level",75,"Ruralness, population density, built environment",0.0190229155365387,1
"country","Ghana","Ghana","child_vitA","level",75,"Satellite embedding",0.124918729265221,5
"country","Ghana","Ghana","child_vitA","level",75,"Soil characteristics",0.0996197211300172,6
"country","Ghana","Ghana","child_vitA","level",75,"Water and coast proximity",0.0335237475121651,2
"country","Ghana","Ghana","child_vitA","level",75,"Water and sanitation",0.0620454096876843,4
"country","Ghana","Ghana","child_vitA","prev",75,"Agricultural production, land use",0.0408587122173958,3
"country","Ghana","Ghana","child_vitA","prev",75,"Anaemia and haemoglobin",0.00770265913774277,1
"country","Ghana","Ghana","child_vitA","prev",75,"Built environment",0.0349985218405536,4
"country","Ghana","Ghana","child_vitA","prev",75,"Child anthropometry",0.067562332634215,2
"country","Ghana","Ghana","child_vitA","prev",75,"Climate and weather",0.0997967650232703,4
"country","Ghana","Ghana","child_vitA","prev",75,"Dietary inadequacy (MODELLED SURFACE, HCES)",0.031419043780275,2
"country","Ghana","Ghana","child_vitA","prev",75,"Ecosystem productivity/greenness",0.0531038674627899,3
"country","Ghana","Ghana","child_vitA","prev",75,"Education, employment, SES",0.0676051317658721,3
"country","Ghana","Ghana","child_vitA","prev",75,"Food fortification and supplementation",0.00894538617325594,1
"country","Ghana","Ghana","child_vitA","prev",75,"Food prices and supply",0.0339137825199803,4
"country","Ghana","Ghana","child_vitA","prev",75,"Household assets and characteristics",0.0610318952197011,2
"country","Ghana","Ghana","child_vitA","prev",75,"Household diet and consumption (HCES)",0.0190252923756848,1
"country","Ghana","Ghana","child_vitA","prev",75,"Immunisation",-0.00451176462198911,3
"country","Ghana","Ghana","child_vitA","prev",75,"Infant and young child feeding",0.0436637576438395,3
"country","Ghana","Ghana","child_vitA","prev",75,"Infection and inflammation burden",0.0724455430970071,6
"country","Ghana","Ghana","child_vitA","prev",75,"Livestock density",0.0221533776730856,3
"country","Ghana","Ghana","child_vitA","prev",75,"Ruralness, population density, built environment",0.0226402176969284,1
"country","Ghana","Ghana","child_vitA","prev",75,"Satellite embedding",0.116382701165322,5
"country","Ghana","Ghana","child_vitA","prev",75,"Soil characteristics",0.0955492359859361,6
"country","Ghana","Ghana","child_vitA","prev",75,"Water and coast proximity",0.0376547019079465,2
"country","Ghana","Ghana","child_vitA","prev",75,"Water and sanitation",0.0680588393011879,4
"country","Ghana","Ghana","women_vitA","level",75,"Agricultural production, land use",0.0432026880095171,3
"country","Ghana","Ghana","women_vitA","level",75,"Anaemia and haemoglobin",0.0235509662178585,1
"country","Ghana","Ghana","women_vitA","level",75,"Built environment",0.0384340843335313,4
"country","Ghana","Ghana","women_vitA","level",75,"Child anthropometry",0.0307505003868875,2
"country","Ghana","Ghana","women_vitA","level",75,"Climate and weather",0.153298347531968,4
"country","Ghana","Ghana","women_vitA","level",75,"Dietary inadequacy (MODELLED SURFACE, HCES)",0.0230938807077024,2
"country","Ghana","Ghana","women_vitA","level",75,"Ecosystem productivity/greenness",0.0690312088559932,3
"country","Ghana","Ghana","women_vitA","level",75,"Education, employment, SES",0.0245313222932403,3
"country","Ghana","Ghana","women_vitA","level",75,"Food fortification and supplementation",0.00993039752465768,1
"country","Ghana","Ghana","women_vitA","level",75,"Food prices and supply",0.0331646547769835,4
"country","Ghana","Ghana","women_vitA","level",75,"Household assets and characteristics",0.0231164607299132,2
"country","Ghana","Ghana","women_vitA","level",75,"Household diet and consumption (HCES)",0.0043725954293795,1
"country","Ghana","Ghana","women_vitA","level",75,"Immunisation",0.0122227019727522,3
"country","Ghana","Ghana","women_vitA","level",75,"Infant and young child feeding",0.0368019043426353,3
"country","Ghana","Ghana","women_vitA","level",75,"Infection and inflammation burden",0.0615267030971631,6
"country","Ghana","Ghana","women_vitA","level",75,"Livestock density",0.0438225614604894,3
"country","Ghana","Ghana","women_vitA","level",75,"Ruralness, population density, built environment",-0.000436912596449461,1
"country","Ghana","Ghana","women_vitA","level",75,"Satellite embedding",0.152490524010086,5
"country","Ghana","Ghana","women_vitA","level",75,"Soil characteristics",0.119324935575878,6
"country","Ghana","Ghana","women_vitA","level",75,"Water and coast proximity",0.0412093017845614,2
"country","Ghana","Ghana","women_vitA","level",75,"Water and sanitation",0.0565611735552521,4
"country","Ghana","Ghana","women_vitA","prev",75,"Agricultural production, land use",0.0454300276052854,3
"country","Ghana","Ghana","women_vitA","prev",75,"Anaemia and haemoglobin",0.0281192838131085,1
"country","Ghana","Ghana","women_vitA","prev",75,"Built environment",0.0347874741422883,4
"country","Ghana","Ghana","women_vitA","prev",75,"Child anthropometry",0.0200769456080708,2
"country","Ghana","Ghana","women_vitA","prev",75,"Climate and weather",0.120751191071679,4
"country","Ghana","Ghana","women_vitA","prev",75,"Dietary inadequacy (MODELLED SURFACE, HCES)",0.0160349897077813,2
"country","Ghana","Ghana","women_vitA","prev",75,"Ecosystem productivity/greenness",0.0748088847579595,3
"country","Ghana","Ghana","women_vitA","prev",75,"Education, employment, SES",0.00687968430945545,3
"country","Ghana","Ghana","women_vitA","prev",75,"Food fortification and supplementation",0.0179148785126303,1
"country","Ghana","Ghana","women_vitA","prev",75,"Food prices and supply",0.0316953901598065,4
"country","Ghana","Ghana","women_vitA","prev",75,"Household assets and characteristics",0.0139134377829938,2
"country","Ghana","Ghana","women_vitA","prev",75,"Household diet and consumption (HCES)",-0.002045370746893,1
"country","Ghana","Ghana","women_vitA","prev",75,"Immunisation",0.0311934760895151,3
"country","Ghana","Ghana","women_vitA","prev",75,"Infant and young child feeding",0.0354519202712203,3
"country","Ghana","Ghana","women_vitA","prev",75,"Infection and inflammation burden",0.080679610996702,6
"country","Ghana","Ghana","women_vitA","prev",75,"Livestock density",0.0655249702635874,3
"country","Ghana","Ghana","women_vitA","prev",75,"Ruralness, population density, built environment",0.00091185245891846,1
"country","Ghana","Ghana","women_vitA","prev",75,"Satellite embedding",0.170243691055214,5
"country","Ghana","Ghana","women_vitA","prev",75,"Soil characteristics",0.139878085474869,6
"country","Ghana","Ghana","women_vitA","prev",75,"Water and coast proximity",0.0258563152995201,2
"country","Ghana","Ghana","women_vitA","prev",75,"Water and sanitation",0.0418932613662877,4
"country","Ghana","Ghana","child_iron","level",75,"Agricultural production, land use",0.038845256907216,3
"country","Ghana","Ghana","child_iron","level",75,"Anaemia and haemoglobin",0.0191329619939663,1
"country","Ghana","Ghana","child_iron","level",75,"Built environment",0.0376300892254187,4
"country","Ghana","Ghana","child_iron","level",75,"Child anthropometry",0.0401907808207174,2
"country","Ghana","Ghana","child_iron","level",75,"Climate and weather",0.149072003289343,4
"country","Ghana","Ghana","child_iron","level",75,"Dietary inadequacy (MODELLED SURFACE, HCES)",0.0303430114648701,2
"country","Ghana","Ghana","child_iron","level",75,"Ecosystem productivity/greenness",0.0653617864269409,3
"country","Ghana","Ghana","child_iron","level",75,"Education, employment, SES",0.0441338810593531,3
"country","Ghana","Ghana","child_iron","level",75,"Food fortification and supplementation",0.00926699002591307,1
"country","Ghana","Ghana","child_iron","level",75,"Food prices and supply",0.0311202986008543,4
"country","Ghana","Ghana","child_iron","level",75,"Household assets and characteristics",0.034581641660486,2
"country","Ghana","Ghana","child_iron","level",75,"Household diet and consumption (HCES)",0.0140381709844528,1
"country","Ghana","Ghana","child_iron","level",75,"Immunisation",0.000949113353978954,3
"country","Ghana","Ghana","child_iron","level",75,"Infant and young child feeding",0.0433351310230256,3
"country","Ghana","Ghana","child_iron","level",75,"Infection and inflammation burden",0.058130587354996,6
"country","Ghana","Ghana","child_iron","level",75,"Livestock density",0.0287306801445167,3
"country","Ghana","Ghana","child_iron","level",75,"Ruralness, population density, built environment",0.00864721153643372,1
"country","Ghana","Ghana","child_iron","level",75,"Satellite embedding",0.148612341174326,5
"country","Ghana","Ghana","child_iron","level",75,"Soil characteristics",0.110924173871726,6
"country","Ghana","Ghana","child_iron","level",75,"Water and coast proximity",0.0336442871873614,2
"country","Ghana","Ghana","child_iron","level",75,"Water and sanitation",0.0533096018941046,4
"country","Ghana","Ghana","child_iron","prev",75,"Agricultural production, land use",0.0368393266635267,3
"country","Ghana","Ghana","child_iron","prev",75,"Anaemia and haemoglobin",0.0103853942696933,1
"country","Ghana","Ghana","child_iron","prev",75,"Built environment",0.0365747264602079,4
"country","Ghana","Ghana","child_iron","prev",75,"Child anthropometry",0.0374454455565534,2
"country","Ghana","Ghana","child_iron","prev",75,"Climate and weather",0.140946581062983,4
"country","Ghana","Ghana","child_iron","prev",75,"Dietary inadequacy (MODELLED SURFACE, HCES)",0.0346502412786857,2
"country","Ghana","Ghana","child_iron","prev",75,"Ecosystem productivity/greenness",0.0591174818088227,3
"country","Ghana","Ghana","child_iron","prev",75,"Education, employment, SES",0.0526706774660773,3
"country","Ghana","Ghana","child_iron","prev",75,"Food fortification and supplementation",0.00746025863113638,1
"country","Ghana","Ghana","child_iron","prev",75,"Food prices and supply",0.0327386764304078,4
"country","Ghana","Ghana","child_iron","prev",75,"Household assets and characteristics",0.0423076989070121,2
"country","Ghana","Ghana","child_iron","prev",75,"Household diet and consumption (HCES)",0.0214870805029687,1
"country","Ghana","Ghana","child_iron","prev",75,"Immunisation",0.0014343367029196,3
"country","Ghana","Ghana","child_iron","prev",75,"Infant and young child feeding",0.0455213478901101,3
"country","Ghana","Ghana","child_iron","prev",75,"Infection and inflammation burden",0.0593481559374861,6
"country","Ghana","Ghana","child_iron","prev",75,"Livestock density",0.0214225822953743,3
"country","Ghana","Ghana","child_iron","prev",75,"Ruralness, population density, built environment",0.016717773267954,1
"country","Ghana","Ghana","child_iron","prev",75,"Satellite embedding",0.143291878242077,5
"country","Ghana","Ghana","child_iron","prev",75,"Soil characteristics",0.109064024713647,6
"country","Ghana","Ghana","child_iron","prev",75,"Water and coast proximity",0.0357813417110784,2
"country","Ghana","Ghana","child_iron","prev",75,"Water and sanitation",0.0547949702012787,4
"country","Ghana","Ghana","women_iron","level",75,"Agricultural production, land use",0.0445036391304863,3
"country","Ghana","Ghana","women_iron","level",75,"Anaemia and haemoglobin",0.0550469971020075,1
"country","Ghana","Ghana","women_iron","level",75,"Built environment",0.0678444687752285,4
"country","Ghana","Ghana","women_iron","level",75,"Child anthropometry",0.0186653821628617,2
"country","Ghana","Ghana","women_iron","level",75,"Climate and weather",0.154389045816839,4
"country","Ghana","Ghana","women_iron","level",75,"Dietary inadequacy (MODELLED SURFACE, HCES)",0.0223803750148155,2
"country","Ghana","Ghana","women_iron","level",75,"Ecosystem productivity/greenness",0.0683722108440786,3
"country","Ghana","Ghana","women_iron","level",75,"Education, employment, SES",0.00557539590259244,3
"country","Ghana","Ghana","women_iron","level",75,"Food fortification and supplementation",0.0284300603953171,1
"country","Ghana","Ghana","women_iron","level",75,"Food prices and supply",0.0259560503374245,4
"country","Ghana","Ghana","women_iron","level",75,"Household assets and characteristics",0.0181594634862918,2
"country","Ghana","Ghana","women_iron","level",75,"Household diet and consumption (HCES)",-7.94762563735835e-07,1
"country","Ghana","Ghana","women_iron","level",75,"Immunisation",0.0158048667705651,3
"country","Ghana","Ghana","women_iron","level",75,"Infant and young child feeding",0.019996287340337,3
"country","Ghana","Ghana","women_iron","level",75,"Infection and inflammation burden",0.0585825700164849,6
"country","Ghana","Ghana","women_iron","level",75,"Livestock density",0.0340321702782831,3
"country","Ghana","Ghana","women_iron","level",75,"Ruralness, population density, built environment",0.00631229829160285,1
"country","Ghana","Ghana","women_iron","level",75,"Satellite embedding",0.183810251938072,5
