"target","outcome","country","set","n_units","spearman","capture","thin"
"prev","women_folate","Ghana","climate_soil",16,0.0147058823529412,0.317811334181063,FALSE
"prev","women_folate","Malawi","climate_soil",27,0.552229791491327,0.121592133244378,FALSE
"prev","women_folate","SierraLeone","climate_soil",4,-0.8,0.188681213674711,TRUE
"prev","women_folate","Ghana","csa",16,-0.0529411764705882,0.253691802751774,FALSE
"prev","women_folate","Malawi","csa",27,0.499083782796918,0.220252518368856,FALSE
"prev","women_folate","SierraLeone","csa",4,-0.8,0.188681213674711,TRUE
"prev","women_b12","Ghana","full",16,0.205931575703721,0.086758451364449,FALSE
"prev","women_b12","Malawi","full",27,0.258809653304708,0.213220508402668,FALSE
"prev","women_b12","SierraLeone","full",4,-0.4,0.200005732418677,TRUE
"prev","women_b12","Ghana","climate_soil",16,0.324453345892913,0.155473598193653,FALSE
"prev","women_b12","Malawi","climate_soil",27,0.514266849960392,0.304905631206534,FALSE
"prev","women_b12","SierraLeone","climate_soil",4,-0.4,0.200005732418677,TRUE
"prev","women_b12","Ghana","csa",16,0.309638124619264,0.155473598193653,FALSE
"prev","women_b12","Malawi","csa",27,0.512925867300782,0.378817288231858,FALSE
"prev","women_b12","SierraLeone","csa",4,-0.4,0.200005732418677,TRUE
