"target","outcome","heldout","source","variant","n_cols","spearman"
"level","child_iron","SierraLeone","AlphaEarth","only",64,0.362637362637363
"level","child_iron","Gambia","DHS","drop",244,0.361512791991101
"level","child_iron","Gambia","DHS","only",138,0.456284760845384
"level","child_iron","Ghana","DHS","drop",244,0.568648648648649
"level","child_iron","Ghana","DHS","only",138,0.0699178337755558
"level","child_iron","Malawi","DHS","drop",244,0.175603266020267
"level","child_iron","Malawi","DHS","only",138,-0.250947729095283
"level","child_iron","SierraLeone","DHS","drop",244,0.292307692307692
"level","child_iron","SierraLeone","DHS","only",138,0.217582417582418
"level","child_iron","Gambia","SoilGrids/iSDA","drop",337,0.453615127919911
"level","child_iron","Gambia","SoilGrids/iSDA","only",45,0.527030033370412
"level","child_iron","Ghana","SoilGrids/iSDA","drop",337,0.476358463726885
"level","child_iron","Ghana","SoilGrids/iSDA","only",45,0.518179231863442
"level","child_iron","Malawi","SoilGrids/iSDA","drop",337,-0.0873186556827295
"level","child_iron","Malawi","SoilGrids/iSDA","only",45,0.231938470511045
"level","child_iron","SierraLeone","SoilGrids/iSDA","drop",337,0.261538461538461
"level","child_iron","SierraLeone","SoilGrids/iSDA","only",45,0.406593406593407
"level","child_iron","Gambia","MapSPAM","drop",370,0.466518353726363
"level","child_iron","Gambia","MapSPAM","only",12,0.340600667408231
"level","child_iron","Ghana","MapSPAM","drop",370,0.50199146514936
"level","child_iron","Ghana","MapSPAM","only",12,0.350770117230113
"level","child_iron","Malawi","MapSPAM","drop",370,-0.0429576437996646
"level","child_iron","Malawi","MapSPAM","only",12,0.267639462565768
"level","child_iron","SierraLeone","MapSPAM","drop",370,0.235164835164835
"level","child_iron","SierraLeone","MapSPAM","only",12,0.397802197802198
"level","child_iron","Gambia","Malaria Atlas","drop",359,0.474082313681869
"level","child_iron","Gambia","Malaria Atlas","only",23,0.126585094549499
"level","child_iron","Ghana","Malaria Atlas","drop",359,0.505149359886202
"level","child_iron","Ghana","Malaria Atlas","only",23,0.31547652916074
"level","child_iron","Malawi","Malaria Atlas","drop",359,-0.0607457898957498
"level","child_iron","Malawi","Malaria Atlas","only",23,0.197929576437997
"level","child_iron","SierraLeone","Malaria Atlas","drop",359,0.283516483516484
