"target","outcome","heldout","set","n_train_countries","train_set","spearman"
"level","women_iron","Gambia","climate_soil",3,"Ghana+Malawi+SierraLeone",0.729477196885428
"level","women_iron","Ghana","full",1,"Gambia",0.101280227596017
"level","women_iron","Ghana","climate_soil",1,"Gambia",0.319516358463727
"level","women_iron","Ghana","full",1,"Malawi",0.422275960170697
"level","women_iron","Ghana","climate_soil",1,"Malawi",0.424836415362731
"level","women_iron","Ghana","full",2,"Gambia+Malawi",0.246088193456614
"level","women_iron","Ghana","climate_soil",2,"Gambia+Malawi",0.394793741109531
"level","women_iron","Ghana","full",2,"Gambia+SierraLeone",0.0705832147937411
"level","women_iron","Ghana","climate_soil",2,"Gambia+SierraLeone",0.301308677098151
"level","women_iron","Ghana","full",2,"Malawi+SierraLeone",0.376842105263158
"level","women_iron","Ghana","climate_soil",2,"Malawi+SierraLeone",0.418321479374111
"level","women_iron","Ghana","full",3,"Gambia+Malawi+SierraLeone",0.213627311522048
"level","women_iron","Ghana","climate_soil",3,"Gambia+Malawi+SierraLeone",0.358065433854908
"level","women_iron","Malawi","full",1,"Gambia",-0.0688926150032806
"level","women_iron","Malawi","climate_soil",1,"Gambia",0.122238827732011
"level","women_iron","Malawi","full",1,"Ghana",0.315320405336444
"level","women_iron","Malawi","climate_soil",1,"Ghana",0.302161551359627
"level","women_iron","Malawi","full",2,"Gambia+Ghana",0.256087336881242
"level","women_iron","Malawi","climate_soil",2,"Gambia+Ghana",0.235492454618357
"level","women_iron","Malawi","full",2,"Gambia+SierraLeone",-0.0273747904060655
"level","women_iron","Malawi","climate_soil",2,"Gambia+SierraLeone",0.10056863745717
"level","women_iron","Malawi","full",2,"Ghana+SierraLeone",0.282149887001531
"level","women_iron","Malawi","climate_soil",2,"Ghana+SierraLeone",0.295855507764088
"level","women_iron","Malawi","full",3,"Gambia+Ghana+SierraLeone",0.25903987752424
"level","women_iron","Malawi","climate_soil",3,"Gambia+Ghana+SierraLeone",0.219617992272363
"level","women_iron","SierraLeone","full",1,"Gambia",0.217582417582418
"level","women_iron","SierraLeone","climate_soil",1,"Gambia",0.345054945054945
"level","women_iron","SierraLeone","full",1,"Ghana",-0.164835164835165
"level","women_iron","SierraLeone","climate_soil",1,"Ghana",0.103296703296703
"level","women_iron","SierraLeone","full",1,"Malawi",-0.30989010989011
"level","women_iron","SierraLeone","climate_soil",1,"Malawi",-0.0725274725274725
"level","women_iron","SierraLeone","full",2,"Gambia+Ghana",0.0197802197802198
"level","women_iron","SierraLeone","climate_soil",2,"Gambia+Ghana",0.112087912087912
"level","women_iron","SierraLeone","full",2,"Gambia+Malawi",0.156043956043956
"level","women_iron","SierraLeone","climate_soil",2,"Gambia+Malawi",0.147252747252747
"level","women_iron","SierraLeone","full",2,"Ghana+Malawi",-0.120879120879121
"level","women_iron","SierraLeone","climate_soil",2,"Ghana+Malawi",0.0021978021978022
"level","women_iron","SierraLeone","full",3,"Gambia+Ghana+Malawi",-0.0021978021978022
"level","women_iron","SierraLeone","climate_soil",3,"Gambia+Ghana+Malawi",0.0593406593406593
"level","women_folate","Ghana","full",1,"Malawi",-0.12221906116643
"level","women_folate","Ghana","climate_soil",1,"Malawi",0.170668563300142
"level","women_folate","Ghana","full",2,"Malawi+SierraLeone",-0.134822190611664
"level","women_folate","Ghana","climate_soil",2,"Malawi+SierraLeone",0.0845234708392603
"level","women_folate","Malawi","full",1,"Ghana",-0.198931982211854
"level","women_folate","Malawi","climate_soil",1,"Ghana",0.0949187140045199
"level","women_folate","Malawi","full",2,"Ghana+SierraLeone",-0.101625719909601
"level","women_folate","Malawi","climate_soil",2,"Ghana+SierraLeone",0.275169497703579
"level","women_folate","SierraLeone","full",1,"Ghana",-0.010989010989011
"level","women_folate","SierraLeone","climate_soil",1,"Ghana",0.00659340659340659
"level","women_folate","SierraLeone","full",1,"Malawi",0.248351648351648
"level","women_folate","SierraLeone","climate_soil",1,"Malawi",0.0593406593406593
"level","women_folate","SierraLeone","full",2,"Ghana+Malawi",0.0945054945054945
"level","women_folate","SierraLeone","climate_soil",2,"Ghana+Malawi",0.151648351648352
"level","women_b12","Ghana","full",1,"Malawi",0.613314366998577
"level","women_b12","Ghana","climate_soil",1,"Malawi",0.56773826458037
"level","women_b12","Ghana","full",2,"Malawi+SierraLeone",0.588165007112376
"level","women_b12","Ghana","climate_soil",2,"Malawi+SierraLeone",0.553968705547653
"level","women_b12","Malawi","full",1,"Ghana",0.441022089378144
"level","women_b12","Malawi","climate_soil",1,"Ghana",0.422723627615368
"level","women_b12","Malawi","full",2,"Ghana+SierraLeone",0.412936502150616
"level","women_b12","Malawi","climate_soil",2,"Ghana+SierraLeone",0.456240431581249
"level","women_b12","SierraLeone","full",1,"Ghana",0.520879120879121
"level","women_b12","SierraLeone","climate_soil",1,"Ghana",0.406593406593407
"level","women_b12","SierraLeone","full",1,"Malawi",0.27032967032967
"level","women_b12","SierraLeone","climate_soil",1,"Malawi",0.23956043956044
"level","women_b12","SierraLeone","full",2,"Ghana+Malawi",0.432967032967033
"level","women_b12","SierraLeone","climate_soil",2,"Ghana+Malawi",0.336263736263736
"prev","child_vitA","Gambia","full",1,"Ghana",0.672903946318172
"prev","child_vitA","Gambia","climate_soil",1,"Ghana",0.682036373262577
"prev","child_vitA","Gambia","full",1,"Malawi",0.36240143020843
"prev","child_vitA","Gambia","climate_soil",1,"Malawi",0.566433212673655
"prev","child_vitA","Gambia","full",2,"Ghana+Malawi",0.557746269970442
"prev","child_vitA","Gambia","climate_soil",2,"Ghana+Malawi",0.632587622490437
"prev","child_vitA","Gambia","full",2,"Ghana+SierraLeone",0.683372825986148
