"domain_set","target","model","outcome_class","arm","shares_population","cells","base_mean","arm_mean","mean_delta","median_delta","cells_up","mean_topk_delta"
"cs_top5","prev","domain_enet","iron / vitA","block_only_same_nutrient",FALSE,16,NA,NA,NA,NA,0,-0.0841806220095694
"cs_top5","prev","domain_enet","iron / vitA","other_samepop",TRUE,16,0.277854639960887,0.283921882830828,-0.00871965931031387,0,3,0.0319976076555024
"cs_top5","prev","domain_enet","iron / vitA","other_xpop",FALSE,16,0.277854639960887,0.295926420233129,0.0080004033852037,0.00274094942793612,7,0.0403334330143541
"cs_top5","prev","domain_enet","iron / vitA","same_nutrient",FALSE,16,0.277854639960887,0.361875425360699,0.0692555833695576,0.0381051962588087,11,0.0295678827751196
"cs_top5","prev","domain_index","folate / B12","all_other",NA,6,0.234341528269417,0.165671726023565,-0.0686698022458519,-0.0762931862385881,1,-0.0466507177033493
"cs_top5","prev","domain_index","folate / B12","block_only_all",NA,6,0.234341528269417,-0.114937396036143,-0.349278924305561,-0.452555996766724,1,-0.0504385964912281
"cs_top5","prev","domain_index","folate / B12","other_samepop",TRUE,6,0.234341528269417,0.1877279892499,-0.0466135390195176,-0.0597959043357122,1,-0.0314992025518341
"cs_top5","prev","domain_index","folate / B12","other_xpop",FALSE,6,0.234341528269417,0.222422116845801,-0.0119194114236168,-0.0162274139345979,2,-0.00757575757575757
"cs_top5","prev","domain_index","iron / vitA","all_other",NA,16,0.362600329587006,0.369832979609016,0.00723265002200935,0.0129146381758615,9,0.00549491626794258
"cs_top5","prev","domain_index","iron / vitA","block_only_all",NA,16,0.362600329587006,0.321160346676971,-0.0414399829100358,0.0202231405289374,8,0.0395858253588517
"cs_top5","prev","domain_index","iron / vitA","block_only_same_nutrient",FALSE,16,0.362600329587006,0.371517465221509,0.00891713563450224,0.0268953187011992,10,0.0669108851674641
"cs_top5","prev","domain_index","iron / vitA","other_samepop",TRUE,16,0.362600329587006,0.34419688393698,-0.0184034456500265,0.00868907705947033,9,0.00826106459330143
"cs_top5","prev","domain_index","iron / vitA","other_xpop",FALSE,16,0.362600329587006,0.355682278540895,-0.00691805104611163,0.00355996666812833,9,0.0111019736842105
"cs_top5","prev","domain_index","iron / vitA","same_nutrient",FALSE,16,0.362600329587006,0.38937615761607,0.0267758280290638,0.0164614342211405,13,0.0205965909090909
