"outcome","country","rank_from","set","fraction","rep","design","n_units","n_raw_total","n_eff_total","rho_train","rho_obs","mae","spearman","capture"
"child_vitA","Gambia","prev","full",0.1,1,"A1_anchor_rank",30,1020,656.8,0.264,0.654,11.2283136597897,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.1,1,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,10.0103979370587,0.422764544889736,0.126002912331804
"child_vitA","Gambia","prev","full",0.1,1,"B_district_survey",30,1020,656.8,0.264,0.654,13.9513484590335,0.451423425272388,0.154694133669446
"child_vitA","Gambia","prev","full",0.1,1,"C_regional_survey",30,1020,656.8,0.264,0.654,9.99844772729347,0.483500523067612,0.152561034901834
"child_vitA","Gambia","prev","full",0.1,2,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.48140905821284,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.1,2,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,9.75696569717942,0.44214310938152,0.169088177280713
"child_vitA","Gambia","prev","full",0.1,2,"B_district_survey",30,1020,656.8,0.264,0.654,16.1370757403523,0.515025776135838,0.155291768656035
"child_vitA","Gambia","prev","full",0.1,2,"C_regional_survey",30,1020,656.8,0.264,0.654,9.71125709900561,0.42079086875997,0.306011767200004
"child_vitA","Gambia","prev","full",0.1,3,"A1_anchor_rank",30,1020,656.8,0.264,0.654,8.97288825737958,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.1,3,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,9.51162777807468,0.627019069475556,0.190316660826194
"child_vitA","Gambia","prev","full",0.1,3,"B_district_survey",30,1020,656.8,0.264,0.654,17.929839883275,0.363335338811589,0.171462251314589
"child_vitA","Gambia","prev","full",0.1,3,"C_regional_survey",30,1020,656.8,0.264,0.654,9.57686414954026,0.607556578328381,0.152561034901834
"child_vitA","Gambia","prev","full",0.1,4,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.39198012785138,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.1,4,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,15.9078803150028,0.460407963270329,0.0780870872359741
"child_vitA","Gambia","prev","full",0.1,4,"B_district_survey",30,1020,656.8,0.264,0.654,16.0536644665989,0.487930990707168,0.226706526971094
"child_vitA","Gambia","prev","full",0.1,4,"C_regional_survey",30,1020,656.8,0.264,0.654,15.9820225367067,0.459870798256037,0.11689149537216
"child_vitA","Gambia","prev","full",0.1,5,"A1_anchor_rank",30,1020,656.8,0.264,0.654,9.8528659455016,0.654193608188174,0.179524522388755
"child_vitA","Gambia","prev","full",0.1,5,"A2_region_anchor_rank",30,1020,656.8,0.264,0.654,11.9870144944125,0.45662134722021,0.190316660826194
"child_vitA","Gambia","prev","full",0.1,5,"B_district_survey",30,1020,656.8,0.264,0.654,15.2315285486215,0.584955056370828,0.230820182531462
