"target","outcome","heldout","arm","n_train_countries","train_set","n_train_areas","n_areas","spearman","topk"
"level","women_vitA","SierraLeone","domain_index",1,"Ghana",75,14,-0.103296703296703,0.5
"level","women_vitA","SierraLeone","domain_enet",1,"Ghana",75,14,-0.164835164835165,0.25
"level","women_vitA","SierraLeone","domain_index",1,"Malawi",87,14,-0.336263736263736,0.25
"level","women_vitA","SierraLeone","domain_enet",1,"Malawi",87,14,-0.424175824175824,0.25
"level","women_vitA","SierraLeone","domain_index",2,"Gambia+Ghana",105,14,0.00659340659340659,0.5
"level","women_vitA","SierraLeone","domain_enet",2,"Gambia+Ghana",105,14,-0.318681318681319,0.25
"level","women_vitA","SierraLeone","domain_index",2,"Gambia+Malawi",117,14,-0.0945054945054945,0.5
"level","women_vitA","SierraLeone","domain_enet",2,"Gambia+Malawi",117,14,-0.164835164835165,0.5
"level","women_vitA","SierraLeone","domain_index",2,"Ghana+Malawi",162,14,-0.134065934065934,0.5
"level","women_vitA","SierraLeone","domain_enet",2,"Ghana+Malawi",162,14,-0.0461538461538462,0.5
"level","women_vitA","SierraLeone","domain_index",3,"Gambia+Ghana+Malawi",192,14,-0.0593406593406593,0.5
"level","women_vitA","SierraLeone","domain_enet",3,"Gambia+Ghana+Malawi",192,14,-0.0637362637362637,0.5
"level","child_iron","Gambia","domain_index",1,"Ghana",75,30,0.528364849833148,0.5
"level","child_iron","Gambia","domain_enet",1,"Ghana",75,30,0.275194660734149,0.25
"level","child_iron","Gambia","domain_index",1,"Malawi",87,30,-0.255172413793103,0.125
"level","child_iron","Gambia","domain_enet",1,"Malawi",87,30,-0.341490545050056,0.125
"level","child_iron","Gambia","domain_index",2,"Ghana+Malawi",162,30,0.393548387096774,0.375
"level","child_iron","Gambia","domain_enet",2,"Ghana+Malawi",162,30,0.344160177975528,0.25
"level","child_iron","Gambia","domain_index",2,"Ghana+SierraLeone",89,30,0.525250278086763,0.5
"level","child_iron","Gambia","domain_enet",2,"Ghana+SierraLeone",89,30,0.52258064516129,0.5
"level","child_iron","Gambia","domain_index",2,"Malawi+SierraLeone",101,30,-0.262291434927697,0
"level","child_iron","Gambia","domain_enet",2,"Malawi+SierraLeone",101,30,-0.0923248053392658,0
"level","child_iron","Gambia","domain_index",3,"Ghana+Malawi+SierraLeone",176,30,0.408231368186874,0.5
"level","child_iron","Gambia","domain_enet",3,"Ghana+Malawi+SierraLeone",176,30,0.204449388209121,0.25
"level","child_iron","Ghana","domain_index",1,"Gambia",30,75,0.446827880512091,0.578947368421053
"level","child_iron","Ghana","domain_enet",1,"Gambia",30,75,0.528250355618777,0.421052631578947
"level","child_iron","Ghana","domain_index",1,"Malawi",87,75,-0.0123470839260313,0.105263157894737
"level","child_iron","Ghana","domain_enet",1,"Malawi",87,75,0.25271692745377,0.263157894736842
"level","child_iron","Ghana","domain_index",2,"Gambia+Malawi",117,75,0.513968705547653,0.421052631578947
"level","child_iron","Ghana","domain_enet",2,"Gambia+Malawi",117,75,0.373940256045519,0.315789473684211
"level","child_iron","Ghana","domain_index",2,"Gambia+SierraLeone",44,75,0.467027027027027,0.578947368421053
"level","child_iron","Ghana","domain_enet",2,"Gambia+SierraLeone",44,75,0.390298719772404,0.631578947368421
"level","child_iron","Ghana","domain_index",2,"Malawi+SierraLeone",101,75,0.0439260312944523,0.105263157894737
"level","child_iron","Ghana","domain_enet",2,"Malawi+SierraLeone",101,75,0.355448079658606,0.263157894736842
"level","child_iron","Ghana","domain_index",3,"Gambia+Malawi+SierraLeone",131,75,0.530213371266003,0.526315789473684
"level","child_iron","Ghana","domain_enet",3,"Gambia+Malawi+SierraLeone",131,75,0.314054054054054,0.315789473684211
"level","child_iron","Malawi","domain_index",1,"Gambia",30,87,-0.108569658088503,0.227272727272727
"level","child_iron","Malawi","domain_enet",1,"Gambia",30,87,0.141813078661515,0.363636363636364
"level","child_iron","Malawi","domain_index",1,"Ghana",75,87,-0.00840198294087628,0.181818181818182
"level","child_iron","Malawi","domain_enet",1,"Ghana",75,87,0.0381460960851498,0.318181818181818
"level","child_iron","Malawi","domain_index",2,"Gambia+Ghana",105,87,-0.0341729241087701,0.181818181818182
"level","child_iron","Malawi","domain_enet",2,"Gambia+Ghana",105,87,0.0138514252387548,0.227272727272727
"level","child_iron","Malawi","domain_index",2,"Gambia+SierraLeone",44,87,-0.152456805423926,0.272727272727273
"level","child_iron","Malawi","domain_enet",2,"Gambia+SierraLeone",44,87,0.152566158781075,0.363636363636364
"level","child_iron","Malawi","domain_index",2,"Ghana+SierraLeone",89,87,-0.0395676897280746,0.136363636363636
"level","child_iron","Malawi","domain_enet",2,"Ghana+SierraLeone",89,87,0.0153459211197784,0.318181818181818
"level","child_iron","Malawi","domain_index",3,"Gambia+Ghana+SierraLeone",119,87,-0.0449989064664285,0.181818181818182
"level","child_iron","Malawi","domain_enet",3,"Gambia+Ghana+SierraLeone",119,87,-0.0445250419187869,0.318181818181818
"level","child_iron","SierraLeone","domain_index",1,"Gambia",30,14,0.0197802197802198,0.25
"level","child_iron","SierraLeone","domain_enet",1,"Gambia",30,14,-0.156043956043956,0
"level","child_iron","SierraLeone","domain_index",1,"Ghana",75,14,0.0901098901098901,0.25
"level","child_iron","SierraLeone","domain_enet",1,"Ghana",75,14,0.30989010989011,0.25
"level","child_iron","SierraLeone","domain_index",1,"Malawi",87,14,-0.0989010989010989,0.25
"level","child_iron","SierraLeone","domain_enet",1,"Malawi",87,14,0.0637362637362637,0.25
"level","child_iron","SierraLeone","domain_index",2,"Gambia+Ghana",105,14,0.0549450549450549,0.25
"level","child_iron","SierraLeone","domain_enet",2,"Gambia+Ghana",105,14,0.125274725274725,0.25
"level","child_iron","SierraLeone","domain_index",2,"Gambia+Malawi",117,14,0.0285714285714286,0
"level","child_iron","SierraLeone","domain_enet",2,"Gambia+Malawi",117,14,0.204395604395604,0.25
"level","child_iron","SierraLeone","domain_index",2,"Ghana+Malawi",162,14,0.265934065934066,0
"level","child_iron","SierraLeone","domain_enet",2,"Ghana+Malawi",162,14,0.230769230769231,0.25
"level","child_iron","SierraLeone","domain_index",3,"Gambia+Ghana+Malawi",192,14,0.257142857142857,0.25
"level","child_iron","SierraLeone","domain_enet",3,"Gambia+Ghana+Malawi",192,14,0.279120879120879,0.25
"level","women_iron","Gambia","domain_index",1,"Ghana",75,30,0.575083426028921,0.375
"level","women_iron","Gambia","domain_enet",1,"Ghana",75,30,0.734371523915462,0.625
"level","women_iron","Gambia","domain_index",1,"Malawi",87,30,-0.0193548387096774,0
"level","women_iron","Gambia","domain_enet",1,"Malawi",87,30,0.234260289210234,0.375
"level","women_iron","Gambia","domain_index",2,"Ghana+Malawi",162,30,0.501223581757508,0.375
"level","women_iron","Gambia","domain_enet",2,"Ghana+Malawi",162,30,0.592880978865406,0.375
"level","women_iron","Gambia","domain_index",2,"Ghana+SierraLeone",89,30,0.632925472747497,0.5
"level","women_iron","Gambia","domain_enet",2,"Ghana+SierraLeone",89,30,0.521690767519466,0.375
"level","women_iron","Gambia","domain_index",2,"Malawi+SierraLeone",101,30,-0.0309232480533927,0
"level","women_iron","Gambia","domain_enet",2,"Malawi+SierraLeone",101,30,NA,0.25
"level","women_iron","Gambia","domain_index",3,"Ghana+Malawi+SierraLeone",176,30,0.531924360400445,0.25
"level","women_iron","Gambia","domain_enet",3,"Ghana+Malawi+SierraLeone",176,30,0.624471635150167,0.375
"level","women_iron","Ghana","domain_index",1,"Gambia",30,75,0.18597439544808,0.578947368421053
"level","women_iron","Ghana","domain_enet",1,"Gambia",30,75,0.331635846372688,0.526315789473684
"level","women_iron","Ghana","domain_index",1,"Malawi",87,75,0.463499288762447,0.315789473684211
"level","women_iron","Ghana","domain_enet",1,"Malawi",87,75,0.458918918918919,0.421052631578947
"level","women_iron","Ghana","domain_index",2,"Gambia+Malawi",117,75,0.391209103840683,0.631578947368421
"level","women_iron","Ghana","domain_enet",2,"Gambia+Malawi",117,75,0.401450924608819,0.578947368421053
"level","women_iron","Ghana","domain_index",2,"Gambia+SierraLeone",44,75,0.169445234708393,0.526315789473684
"level","women_iron","Ghana","domain_enet",2,"Gambia+SierraLeone",44,75,0.0689615931721195,0.421052631578947
"level","women_iron","Ghana","domain_index",2,"Malawi+SierraLeone",101,75,0.408307254623044,0.263157894736842
"level","women_iron","Ghana","domain_enet",2,"Malawi+SierraLeone",101,75,0.119317211948791,0.263157894736842
"level","women_iron","Ghana","domain_index",3,"Gambia+Malawi+SierraLeone",131,75,0.357268847795164,0.631578947368421
"level","women_iron","Ghana","domain_enet",3,"Gambia+Malawi+SierraLeone",131,75,0.325035561877667,0.578947368421053
"level","women_iron","Malawi","domain_index",1,"Gambia",30,87,0.00466574323831742,0.363636363636364
"level","women_iron","Malawi","domain_enet",1,"Gambia",30,87,0.230352846832398,0.545454545454545
"level","women_iron","Malawi","domain_index",1,"Ghana",75,87,0.219289932200919,0.454545454545455
"level","women_iron","Malawi","domain_enet",1,"Ghana",75,87,0.202485966319166,0.409090909090909
"level","women_iron","Malawi","domain_index",2,"Gambia+Ghana",105,87,0.210067799081432,0.454545454545455
"level","women_iron","Malawi","domain_enet",2,"Gambia+Ghana",105,87,0.174236349055916,0.272727272727273
"level","women_iron","Malawi","domain_index",2,"Gambia+SierraLeone",44,87,-0.042429102573449,0.272727272727273
"level","women_iron","Malawi","domain_enet",2,"Gambia+SierraLeone",44,87,0.20990376904571,0.363636363636364
"level","women_iron","Malawi","domain_index",2,"Ghana+SierraLeone",89,87,0.219034774367573,0.363636363636364
"level","women_iron","Malawi","domain_enet",2,"Ghana+SierraLeone",89,87,0.250947729095283,0.363636363636364
"level","women_iron","Malawi","domain_index",3,"Gambia+Ghana+SierraLeone",119,87,0.222661660712984,0.454545454545455
"level","women_iron","Malawi","domain_enet",3,"Gambia+Ghana+SierraLeone",119,87,0.206386236057447,0.454545454545455
"level","women_iron","SierraLeone","domain_index",1,"Gambia",30,14,0.116483516483516,0.5
"level","women_iron","SierraLeone","domain_enet",1,"Gambia",30,14,0.0417582417582418,0.5
"level","women_iron","SierraLeone","domain_index",1,"Ghana",75,14,-0.283516483516484,0.25
"level","women_iron","SierraLeone","domain_enet",1,"Ghana",75,14,-0.402197802197802,0
"level","women_iron","SierraLeone","domain_index",1,"Malawi",87,14,-0.279120879120879,0.5
"level","women_iron","SierraLeone","domain_enet",1,"Malawi",87,14,-0.213186813186813,0.5
"level","women_iron","SierraLeone","domain_index",2,"Gambia+Ghana",105,14,-0.0241758241758242,0.5
"level","women_iron","SierraLeone","domain_enet",2,"Gambia+Ghana",105,14,-0.279120879120879,0.25
"level","women_iron","SierraLeone","domain_index",2,"Gambia+Malawi",117,14,0.00659340659340659,0.5
"level","women_iron","SierraLeone","domain_enet",2,"Gambia+Malawi",117,14,0.103296703296703,0.5
"level","women_iron","SierraLeone","domain_index",2,"Ghana+Malawi",162,14,-0.446153846153846,0.25
"level","women_iron","SierraLeone","domain_enet",2,"Ghana+Malawi",162,14,-0.340659340659341,0.25
"level","women_iron","SierraLeone","domain_index",3,"Gambia+Ghana+Malawi",192,14,-0.125274725274725,0.25
"level","women_iron","SierraLeone","domain_enet",3,"Gambia+Ghana+Malawi",192,14,-0.103296703296703,0.25
"level","women_folate","Ghana","domain_index",1,"Malawi",87,75,-0.0619061166429587,0.105263157894737
"level","women_folate","Ghana","domain_enet",1,"Malawi",87,75,-0.276301564722617,0.0526315789473684
"level","women_folate","Ghana","domain_index",2,"Malawi+SierraLeone",101,75,-0.0470839260312944,0.105263157894737
"level","women_folate","Ghana","domain_enet",2,"Malawi+SierraLeone",101,75,0.0817638691322902,0.157894736842105
"level","women_folate","Malawi","domain_index",1,"Ghana",75,87,-0.0132864328934898,0.318181818181818
"level","women_folate","Malawi","domain_enet",1,"Ghana",75,87,0.323430779324925,0.409090909090909
"level","women_folate","Malawi","domain_index",2,"Ghana+SierraLeone",89,87,0.0495735219071225,0.363636363636364
"level","women_folate","Malawi","domain_enet",2,"Ghana+SierraLeone",89,87,0.311693518991033,0.363636363636364
"level","women_folate","SierraLeone","domain_index",1,"Ghana",75,14,-0.0725274725274725,0.25
"level","women_folate","SierraLeone","domain_enet",1,"Ghana",75,14,0.173626373626374,0.25
"level","women_folate","SierraLeone","domain_index",1,"Malawi",87,14,0.274725274725275,0.5
"level","women_folate","SierraLeone","domain_enet",1,"Malawi",87,14,0.164835164835165,0.5
"level","women_folate","SierraLeone","domain_index",2,"Ghana+Malawi",162,14,0.142857142857143,0.5
"level","women_folate","SierraLeone","domain_enet",2,"Ghana+Malawi",162,14,0.0505494505494506,0.5
"level","women_b12","Ghana","domain_index",1,"Malawi",87,75,0.586344238975818,0.578947368421053
"level","women_b12","Ghana","domain_enet",1,"Malawi",87,75,0.597923186344239,0.526315789473684
"level","women_b12","Ghana","domain_index",2,"Malawi+SierraLeone",101,75,0.603698435277383,0.526315789473684
"level","women_b12","Ghana","domain_enet",2,"Malawi+SierraLeone",101,75,0.627339971550498,0.631578947368421
"level","women_b12","Malawi","domain_index",1,"Ghana",75,87,0.491379310344828,0.5
"level","women_b12","Malawi","domain_enet",1,"Ghana",75,87,0.460687468105271,0.545454545454545
"level","women_b12","Malawi","domain_index",2,"Ghana+SierraLeone",89,87,0.485474229058832,0.5
"level","women_b12","Malawi","domain_enet",2,"Ghana+SierraLeone",89,87,0.459976671283808,0.454545454545455
"level","women_b12","SierraLeone","domain_index",1,"Ghana",75,14,0.630769230769231,0.75
"level","women_b12","SierraLeone","domain_enet",1,"Ghana",75,14,0.485714285714286,0.75
"level","women_b12","SierraLeone","domain_index",1,"Malawi",87,14,0.389010989010989,0.5
"level","women_b12","SierraLeone","domain_enet",1,"Malawi",87,14,0.520879120879121,0.75
"level","women_b12","SierraLeone","domain_index",2,"Ghana+Malawi",162,14,0.582417582417582,0.75
"level","women_b12","SierraLeone","domain_enet",2,"Ghana+Malawi",162,14,0.538461538461538,0.5
"prev","child_vitA","Gambia","domain_index",1,"Ghana",75,30,0.641497307314246,0.625
"prev","child_vitA","Gambia","domain_enet",1,"Ghana",75,30,0.646397633967341,0.75
"prev","child_vitA","Gambia","domain_index",1,"Malawi",87,30,0.600958241365915,0.75
"prev","child_vitA","Gambia","domain_enet",1,"Malawi",87,30,NA,0.125
"prev","child_vitA","Gambia","domain_index",2,"Ghana+Malawi",162,30,0.621005032219485,0.625
"prev","child_vitA","Gambia","domain_enet",2,"Ghana+Malawi",162,30,0.573338218412107,0.5
"prev","child_vitA","Gambia","domain_index",2,"Ghana+SierraLeone",89,30,0.6156592213252,0.625
"prev","child_vitA","Gambia","domain_enet",2,"Ghana+SierraLeone",89,30,0.608085989224962,0.5
"prev","child_vitA","Gambia","domain_index",2,"Malawi+SierraLeone",101,30,0.626573585234366,0.625
"prev","child_vitA","Gambia","domain_enet",2,"Malawi+SierraLeone",101,30,NA,0.125
"prev","child_vitA","Gambia","domain_index",3,"Ghana+Malawi+SierraLeone",176,30,0.597617109556987,0.625
"prev","child_vitA","Gambia","domain_enet",3,"Ghana+Malawi+SierraLeone",176,30,NA,0.125
"prev","child_vitA","Ghana","domain_index",1,"Gambia",30,75,0.374644215758866,0.526315789473684
"prev","child_vitA","Ghana","domain_enet",1,"Gambia",30,75,0.265692796291342,0.578947368421053
"prev","child_vitA","Ghana","domain_index",1,"Malawi",87,75,0.373675885276081,0.473684210526316
"prev","child_vitA","Ghana","domain_enet",1,"Malawi",87,75,0.162935843882814,0.526315789473684
"prev","child_vitA","Ghana","domain_index",2,"Gambia+Malawi",117,75,0.360446782062732,0.526315789473684
"prev","child_vitA","Ghana","domain_enet",2,"Gambia+Malawi",117,75,0.352329894192324,0.578947368421053
"prev","child_vitA","Ghana","domain_index",2,"Gambia+SierraLeone",44,75,0.343486758459828,0.526315789473684
"prev","child_vitA","Ghana","domain_enet",2,"Gambia+SierraLeone",44,75,0.312856186864658,0.631578947368421
"prev","child_vitA","Ghana","domain_index",2,"Malawi+SierraLeone",101,75,0.288833046799083,0.315789473684211
"prev","child_vitA","Ghana","domain_enet",2,"Malawi+SierraLeone",101,75,NA,0.157894736842105
"prev","child_vitA","Ghana","domain_index",3,"Gambia+Malawi+SierraLeone",131,75,0.361742636091166,0.526315789473684
"prev","child_vitA","Ghana","domain_enet",3,"Gambia+Malawi+SierraLeone",131,75,0.301036858913012,0.578947368421053
"prev","child_vitA","Malawi","domain_index",1,"Gambia",30,87,0.255539872843728,0.318181818181818
"prev","child_vitA","Malawi","domain_enet",1,"Gambia",30,87,0.127758640344026,0.272727272727273
"prev","child_vitA","Malawi","domain_index",1,"Ghana",75,87,0.170141524390957,0.181818181818182
"prev","child_vitA","Malawi","domain_enet",1,"Ghana",75,87,0.149718215660453,0.272727272727273
"prev","child_vitA","Malawi","domain_index",2,"Gambia+Ghana",105,87,0.247429288956282,0.227272727272727
"prev","child_vitA","Malawi","domain_enet",2,"Gambia+Ghana",105,87,0.149740807816128,0.318181818181818
"prev","child_vitA","Malawi","domain_index",2,"Gambia+SierraLeone",44,87,0.176015484866544,0.227272727272727
"prev","child_vitA","Malawi","domain_enet",2,"Gambia+SierraLeone",44,87,0.0647491181655135,0.363636363636364
"prev","child_vitA","Malawi","domain_index",2,"Ghana+SierraLeone",89,87,0.129859710821832,0.0909090909090909
"prev","child_vitA","Malawi","domain_enet",2,"Ghana+SierraLeone",89,87,0.142556502311371,0.227272727272727
"prev","child_vitA","Malawi","domain_index",3,"Gambia+Ghana+SierraLeone",119,87,0.206537487183924,0.181818181818182
"prev","child_vitA","Malawi","domain_enet",3,"Gambia+Ghana+SierraLeone",119,87,0.157399548590067,0.272727272727273
"prev","child_vitA","SierraLeone","domain_index",1,"Gambia",30,14,0.125274725274725,0.5
"prev","child_vitA","SierraLeone","domain_enet",1,"Gambia",30,14,0.257142857142857,0.25
"prev","child_vitA","SierraLeone","domain_index",1,"Ghana",75,14,-0.0153846153846154,0.5
"prev","child_vitA","SierraLeone","domain_enet",1,"Ghana",75,14,0.358241758241758,0.5
"prev","child_vitA","SierraLeone","domain_index",1,"Malawi",87,14,-0.0945054945054945,0.25
"prev","child_vitA","SierraLeone","domain_enet",1,"Malawi",87,14,-0.0989010989010989,0.25
"prev","child_vitA","SierraLeone","domain_index",2,"Gambia+Ghana",105,14,0.0373626373626374,0.5
"prev","child_vitA","SierraLeone","domain_enet",2,"Gambia+Ghana",105,14,0.208791208791209,0.5
