"country","outcome","rep","fold","package","discrete_pick","w_domain_index","w_enet","w_rf","w_mean","w_hapc"
"Ghana","child_vitA",1,4,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","child_vitA",1,5,"SuperLearner","mean",0.179383997030459,0,0,0.820616002969541,NA
"Ghana","child_vitA",1,5,"mlr3superlearner","regr.mean",NA,NA,NA,NA,NA
"Ghana","child_vitA",1,2,"SuperLearner","enet",0.230396207947467,0.639230762358505,0,0.130373029694028,NA
"Ghana","child_vitA",1,2,"mlr3superlearner","regr.mean",NA,NA,NA,NA,NA
"Ghana","child_vitA",2,2,"SuperLearner","enet",0.260135388093101,0,0,0.739864611906899,NA
"Ghana","child_vitA",2,2,"mlr3superlearner","regr.mean",NA,NA,NA,NA,NA
"Ghana","child_vitA",2,3,"SuperLearner","enet",0.308741330803373,0,0,0.691258669196627,NA
"Ghana","child_vitA",2,3,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","child_vitA",2,1,"SuperLearner","rf",0.0967795131097197,0,0.599623321429738,0.303597165460542,NA
"Ghana","child_vitA",2,1,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","child_vitA",2,4,"SuperLearner","enet",0.397821864722356,0,0,0.602178135277644,NA
"Ghana","child_vitA",2,4,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","child_vitA",2,5,"SuperLearner","mean",0.219562222210098,0,0,0.780437777789902,NA
"Ghana","child_vitA",2,5,"mlr3superlearner","regr.mean",NA,NA,NA,NA,NA
"Ghana","child_vitA",3,5,"SuperLearner","enet",0.250039088943388,0,0,0.749960911056612,NA
"Ghana","child_vitA",3,5,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","child_vitA",3,1,"SuperLearner","rf",0.293165757967599,0,0,0.706834242032401,NA
"Ghana","child_vitA",3,1,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","child_vitA",3,4,"SuperLearner","rf",0.313038020769386,0,0,0.686961979230614,NA
"Ghana","child_vitA",3,4,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","child_vitA",3,3,"SuperLearner","rf",0.277511275006842,0,0.172760444559789,0.549728280433369,NA
"Ghana","child_vitA",3,3,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","child_vitA",3,2,"SuperLearner","rf",0.199250184146882,0,0.108033490807774,0.692716325045343,NA
"Ghana","child_vitA",3,2,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","child_vitA",4,1,"SuperLearner","enet",0.314858734502027,0,0,0.685141265497973,NA
"Ghana","child_vitA",4,1,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","child_vitA",4,2,"SuperLearner","rf",0.233000178123379,0,0.118780783895627,0.648219037980994,NA
"Ghana","child_vitA",4,2,"mlr3superlearner","regr.rf",NA,NA,NA,NA,NA
"Ghana","child_vitA",4,4,"SuperLearner","rf",0.286041975981316,0,0,0.713958024018684,NA
"Ghana","child_vitA",4,4,"mlr3superlearner","regr.mean",NA,NA,NA,NA,NA
