"country","Admin1","Admin2","n_clusters","date_med","date_first","date_last","month_med","year_med","month_first","month_last","n_months"
"Ghana","Volta","Ho Municipal",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Volta","South Tongu",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Western","Effia Kwesimintsim",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Western","Ellembelle",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Western","Jomoro",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Western","Mpohor",2,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Western","Prestea-Huni Valley",1,2017-05-15,2017-05-15,2017-05-15,5,2017,5,5,1
"Ghana","Western North","Sefwi-Akontombra",1,2017-04-15,2017-04-15,2017-04-15,4,2017,4,4,1
"Malawi","Balaka","TA Kalembo",1,2015-12-12,2015-12-12,2015-12-12,12,2015,12,12,1
"Malawi","Balaka","TA Nsamala",1,2015-12-15,2015-12-15,2015-12-15,12,2015,12,12,1
"Malawi","Blantyre","Blantyre City",2,2015-12-26,2015-12-26,2015-12-26,12,2015,12,12,1
"Malawi","Blantyre","TA Kuntaja",1,2015-12-08,2015-12-08,2015-12-08,12,2015,12,12,1
"Malawi","Chikwawa","TA Kasisi",1,2016-02-01,2016-02-01,2016-02-01,2,2016,2,2,1
"Malawi","Chikwawa","TA Lundu",1,2016-02-04,2016-02-04,2016-02-04,2,2016,2,2,1
"Malawi","Chiradzulu","TA Kadewere",1,2016-02-11,2016-02-11,2016-02-11,2,2016,2,2,1
"Malawi","Chiradzulu","TA Mpama",1,2016-02-09,2016-02-09,2016-02-09,2,2016,2,2,1
"Malawi","Chiradzulu","TA Nchema",1,2016-02-13,2016-02-13,2016-02-13,2,2016,2,2,1
"Malawi","Chitipa","Chitipa Boma",1,2016-02-15,2016-02-15,2016-02-15,2,2016,2,2,1
"Malawi","Chitipa","Nyika N.P. - Chitipa",1,2016-01-16,2016-01-16,2016-01-16,1,2016,1,1,1
"Malawi","Chitipa","TA Mwabulambya",1,2015-12-12,2015-12-12,2015-12-12,12,2015,12,12,1
"Malawi","Chitipa","TA Mwenemisuku",2,2016-01-05,2016-01-05,2016-01-05,1,2016,1,1,1
"Malawi","Chitipa","TA Mwenewenya",1,2016-01-25,2016-01-25,2016-01-25,1,2016,1,1,1
"Malawi","Dedza","TA Kachindamoto",1,2016-01-23,2016-01-23,2016-01-23,1,2016,1,1,1
"Malawi","Dedza","TA Kaphuka",1,2016-01-21,2016-01-21,2016-01-21,1,2016,1,1,1
"Malawi","Dedza","TA Pemba",1,2016-02-13,2016-02-13,2016-02-13,2,2016,2,2,1
"Malawi","Dedza","TA Tambala",1,2016-02-11,2016-02-11,2016-02-11,2,2016,2,2,1
"Malawi","Dowa","SC Kayembe",1,2016-02-06,2016-02-06,2016-02-06,2,2016,2,2,1
"Malawi","Dowa","SC Mkukula",1,2016-02-04,2016-02-04,2016-02-04,2,2016,2,2,1
