"rank_from","set","fraction","design","cells","mae","spearman","capture"
"prev","full",0.25,"A2_region_anchor_rank",22,8.67,0.321,0.191
"prev","full",0.25,"B_district_survey",22,10.09,0.487,0.335
"prev","full",0.25,"C_regional_survey",22,8.25,0.222,0.239
"prev","full",0.4,"A1_anchor_rank",22,8.65,0.208,0.146
"prev","full",0.4,"A2_region_anchor_rank",22,7.61,0.39,0.213
"prev","full",0.4,"B_district_survey",22,7.75,0.598,0.371
"prev","full",0.4,"C_regional_survey",22,7.01,0.329,0.246
"prev","full",0.6,"A1_anchor_rank",22,8.66,0.208,0.146
"prev","full",0.6,"A2_region_anchor_rank",22,7.06,0.402,0.197
"prev","full",0.6,"B_district_survey",22,5.06,0.724,0.375
"prev","full",0.6,"C_regional_survey",22,6.61,0.397,0.244
"prev","full",0.8,"A1_anchor_rank",22,8.59,0.208,0.146
"prev","full",0.8,"A2_region_anchor_rank",22,6.65,0.432,0.179
"prev","full",0.8,"B_district_survey",22,3.11,0.865,0.402
"prev","full",0.8,"C_regional_survey",22,6.09,0.423,0.245
"prev","full",1,"A1_anchor_rank",22,8.52,0.208,0.146
"prev","full",1,"A2_region_anchor_rank",22,6.42,0.463,0.209
"prev","full",1,"B_district_survey",22,0,1,0.362
"prev","full",1,"C_regional_survey",22,5.92,0.462,0.26
