"country","outcome","target","arm","n_units","spearman","topk","capture_top20","lift","thin"
"SierraLeone","women_vitA","prev","domain_enet",4,0.2,0.5,0.445985627303191,2.22992813651596,TRUE
"Gambia","child_iron","prev","null_train_mean",6,NA,0,0.141335500935021,0.706677504675107,TRUE
"Ghana","child_iron","prev","null_train_mean",16,NA,0.25,0.226658746266551,1.13329373133275,FALSE
"Malawi","child_iron","prev","null_train_mean",27,NA,0.428571428571429,0.276835471801508,1.38417735900754,FALSE
"SierraLeone","child_iron","prev","null_train_mean",4,NA,1,0.329181646118046,1.64590823059023,TRUE
"Gambia","child_iron","prev","domain_index",6,0.771428571428571,0.5,0.135816568986678,0.679082844933388,TRUE
"Ghana","child_iron","prev","domain_index",16,0.682352941176471,0.75,0.351666417582289,1.75833208791144,FALSE
"Malawi","child_iron","prev","domain_index",27,0.109279609279609,0.285714285714286,0.24788603218505,1.23943016092525,FALSE
"SierraLeone","child_iron","prev","domain_index",4,0,0.5,0.370797356950313,1.85398678475157,TRUE
"Gambia","child_iron","prev","domain_enet",6,0.828571428571429,1,0.13185725221265,0.659286261063248,TRUE
"Ghana","child_iron","prev","domain_enet",16,0.541176470588235,0.5,0.39989953057882,1.9994976528941,FALSE
"Malawi","child_iron","prev","domain_enet",27,0.0634920634920635,0.142857142857143,0.460549190074385,2.30274595037192,FALSE
"SierraLeone","child_iron","prev","domain_enet",4,0.4,0.5,0.370797356950313,1.85398678475157,TRUE
"Gambia","women_iron","prev","null_train_mean",6,NA,0.5,0.133550501204984,0.667752506024919,TRUE
"Ghana","women_iron","prev","null_train_mean",16,NA,0,0.233997560085643,1.16998780042821,FALSE
"Malawi","women_iron","prev","null_train_mean",27,NA,0.142857142857143,0.21268112599719,1.06340562998595,FALSE
"SierraLeone","women_iron","prev","null_train_mean",4,NA,0.5,0.263727934246629,1.31863967123314,TRUE
"Gambia","women_iron","prev","domain_index",6,0.657142857142857,0.5,0.163680797146926,0.818403985734631,TRUE
"Ghana","women_iron","prev","domain_index",16,0.432671198813366,0.75,0.277754276338647,1.38877138169324,FALSE
"Malawi","women_iron","prev","domain_index",27,-0.0879120879120879,0,0.171409729889512,0.857048649447561,FALSE
"SierraLeone","women_iron","prev","domain_index",4,-0.4,0.5,0.329738752215206,1.64869376107603,TRUE
"Gambia","women_iron","prev","domain_enet",6,0.942857142857143,0.5,0.152297350480216,0.761486752401078,TRUE
"Ghana","women_iron","prev","domain_enet",16,0.326710905226419,0.75,0.172438575776628,0.862192878883139,FALSE
"Malawi","women_iron","prev","domain_enet",27,-0.199023199023199,0,0.157541509344198,0.787707546720988,FALSE
"SierraLeone","women_iron","prev","domain_enet",4,0.2,0.5,0.329738752215206,1.64869376107603,TRUE
"Ghana","women_folate","prev","null_train_mean",16,NA,0.5,0.286608810666097,1.43304405333048,FALSE
"Malawi","women_folate","prev","null_train_mean",27,NA,0.142857142857143,0.182837972557152,0.914189862785762,FALSE
"SierraLeone","women_folate","prev","null_train_mean",4,NA,0.5,0.231367234513646,1.15683617256823,TRUE
"Ghana","women_folate","prev","domain_index",16,0.352941176470588,0.5,0.123894483868926,0.619472419344628,FALSE
"Malawi","women_folate","prev","domain_index",27,0.324373915134839,0.571428571428571,0.198566551158315,0.992832755791576,FALSE
"SierraLeone","women_folate","prev","domain_index",4,0,0.5,0.324235427418757,1.62117713709378,TRUE
"Ghana","women_folate","prev","domain_enet",16,NA,0.5,0.286608810666097,1.43304405333048,FALSE
"Malawi","women_folate","prev","domain_enet",27,0.138668321535986,0.571428571428571,0.128048918585432,0.64024459292716,FALSE
"SierraLeone","women_folate","prev","domain_enet",4,-0.8,0,0.187303604455616,0.936518022278079,TRUE
"Ghana","women_b12","prev","null_train_mean",16,NA,0.25,0.19507349630414,0.975367481520702,FALSE
"Malawi","women_b12","prev","null_train_mean",27,NA,0.285714285714286,0.0487791508777413,0.243895754388706,FALSE
"SierraLeone","women_b12","prev","null_train_mean",4,NA,0.5,0.378110869741573,1.89055434870787,TRUE
"Ghana","women_b12","prev","domain_index",16,0.244451151015208,0,0.0874053917031495,0.437026958515748,FALSE
"Malawi","women_b12","prev","domain_index",27,0.246070318038414,0.285714285714286,0.450935849243865,2.25467924621932,FALSE
"SierraLeone","women_b12","prev","domain_index",4,-0.4,0.5,0.218768029662122,1.09384014831061,TRUE
"Ghana","women_b12","prev","domain_enet",16,-0.106669593170273,0,0.182014299847823,0.910071499239117,FALSE
"Malawi","women_b12","prev","domain_enet",27,NA,0.285714285714286,0.0487791508777413,0.243895754388706,FALSE
"SierraLeone","women_b12","prev","domain_enet",4,0.2,0.5,0.378110869741573,1.89055434870787,TRUE
