"country","outcome","rep","fold","pick_mse","pick_rank","pick_wrank","pick_burden","w_mse_idx","w_rank_idx","w_wrank_idx","w_burden_idx"
"Gambia","women_iron",5,1,"enet","domain_index","domain_index","enet",0.768650705531379,0.616911255900052,0.723879159076495,0.00246045559766148
"Gambia","women_iron",5,2,"rf","domain_index","domain_index","mean",0.757029340052618,0.704943063039368,0.96477479143338,0.00246045559766148
"Ghana","child_vitA",1,1,"rf","domain_index","domain_index","rf",0.245439814194011,0.717358215444011,0.469838037753537,0.00331841113082662
"Ghana","child_vitA",1,3,"rf","domain_index","domain_index","rf",0.327765181719981,0.770551988709097,0.496933760812261,0.00331841113082662
"Ghana","child_vitA",1,4,"enet","enet","domain_index","rf",0.18790852544459,0.301223172140156,0.179450659038942,0.00246045559766148
"Ghana","child_vitA",1,5,"mean","domain_index","domain_index","rf",0.160035754889858,0.553399606353146,0.344850879277868,0.00182624415443448
"Ghana","child_vitA",1,2,"rf","domain_index","domain_index","rf",0.228998426774027,0.610785577596137,0.478551548578831,0.00246045559766148
"Ghana","child_vitA",2,2,"rf","domain_index","domain_index","rf",0.295339042599604,0.720502761644531,0.649205458047709,0.281270392540887
"Ghana","child_vitA",2,3,"enet","domain_index","domain_index","rf",0.2032418210137,0.729167192558769,0.450405317197991,0.00331841113082662
"Ghana","child_vitA",2,1,"mean","domain_index","domain_index","domain_index",0.231541426078739,0.807226425615387,0.874414330449612,0.980227263006518
"Ghana","child_vitA",2,4,"enet","domain_index","domain_index","domain_index",0.387686671220178,0.766997642000469,0.760147053313395,0.992618633207016
"Ghana","child_vitA",2,5,"mean","domain_index","domain_index","domain_index",0.242591958019989,0.754647687858073,0.680104806057348,0.497322826485202
"Ghana","child_vitA",3,5,"mean","domain_index","domain_index","domain_index",0.294678897429709,0.629548930962267,0.55500773235358,0.994521267536697
"Ghana","child_vitA",3,1,"enet","domain_index","domain_index","rf",0.224034474536418,0.689917479280653,0.542647708040895,0.00485792083121297
"Ghana","child_vitA",3,4,"enet","domain_index","domain_index","rf",0.263796595215412,0.713556277803165,0.608168580042457,0.00331841113082662
"Ghana","child_vitA",3,3,"rf","rf","rf","rf",0.214335160732954,0.397536185537267,0.282708834177246,0.239150622478012
"Ghana","child_vitA",3,2,"mean","domain_index","domain_index","domain_index",0.24539631238103,0.706422905840889,0.621549886057573,0.497418671134893
"Ghana","child_vitA",4,1,"rf","domain_index","domain_index","rf",0.352828392364723,0.691011282387621,0.546148046986712,0.00331841113082662
"Ghana","child_vitA",4,2,"mean","domain_index","domain_index","rf",0.27486836077027,0.786242720688432,0.798967478295291,0.00246045559766148
"Ghana","child_vitA",4,4,"enet","domain_index","domain_index","rf",0.293668321042296,0.855996340596039,0.726902928509935,0.428976557541055
"Ghana","child_vitA",4,3,"mean","domain_index","domain_index","enet",0.225591045777319,0.68809400831834,0.486966224124676,0.00384264291339285
"Ghana","child_vitA",4,5,"mean","domain_index","domain_index","rf",0.2177170799645,0.592016469217193,0.62249765781838,0.00246045559766148
"Ghana","child_vitA",5,2,"mean","domain_index","domain_index","domain_index",0.277425894635813,0.805425329493044,0.690183985682403,0.992618633207016
"Ghana","child_vitA",5,3,"rf","domain_index","rf","rf",0.269779036931759,0.418288966336208,0.324510169889663,0.00246045559766148
"Ghana","child_vitA",5,5,"rf","domain_index","domain_index","rf",0.291485906695188,0.735692847965431,0.509203100748616,0.0304476346687564
"Ghana","child_vitA",5,1,"mean","domain_index","domain_index","rf",0.247806402982546,0.771572707520826,0.684410893248571,0.00652827899861467
