"target","outcome","representation","learner","country","n_areas","n_predictors","spearman","topk"
"prev","child_iron","pcvar","enet","Gambia",30,115,0.356880634091775,0.25
"prev","child_iron","pcvar","enet","Ghana",75,115,0.586401731580392,0.578947368421053
"prev","child_iron","pcvar","enet","Malawi",87,115,-0.176447046842413,0.318181818181818
"prev","child_iron","pcvar","enet","SierraLeone",14,115,0.0461538461538462,0.25
"prev","child_iron","pcvar","index","Gambia",30,115,0.625876074626036,0.5
"prev","child_iron","pcvar","index","Ghana",75,115,0.529176484077916,0.578947368421053
"prev","child_iron","pcvar","index","Malawi",87,115,-0.137885167691698,0.272727272727273
"prev","child_iron","pcvar","index","SierraLeone",14,115,0.235164835164835,0.25
"prev","child_iron","sup1","enet","Gambia",30,18,0.650572926486502,0.5
"prev","child_iron","sup1","enet","Ghana",75,18,0.466954021848427,0.526315789473684
"prev","child_iron","sup1","enet","Malawi",87,18,-0.129439495957176,0.272727272727273
"prev","child_iron","sup1","enet","SierraLeone",14,18,0.0769230769230769,0.25
"prev","child_iron","sup1","index","Gambia",30,18,0.634108358579525,0.625
"prev","child_iron","sup1","index","Ghana",75,18,0.518111222896673,0.578947368421053
"prev","child_iron","sup1","index","Malawi",87,18,-0.225132787359563,0.136363636363636
"prev","child_iron","sup1","index","SierraLeone",14,18,0.191208791208791,0.25
"prev","child_iron","raw","enet","Gambia",30,382,0.553787966492785,0.5
"prev","child_iron","raw","enet","Ghana",75,382,NA,0.105263157894737
"prev","child_iron","raw","enet","Malawi",87,382,-0.177924583366163,0.272727272727273
"prev","child_iron","raw","enet","SierraLeone",14,382,-0.112087912087912,0
"prev","women_iron","mean1","enet","Gambia",30,19,-0.463677831326221,0.125
"prev","women_iron","mean1","enet","Ghana",75,19,0.217592536476001,0.368421052631579
"prev","women_iron","mean1","enet","Malawi",87,19,0.00761791474625974,0.363636363636364
"prev","women_iron","mean1","enet","SierraLeone",14,19,0.120879120879121,0
"prev","women_iron","mean1","index","Gambia",30,19,-0.459672936429929,0
"prev","women_iron","mean1","index","Ghana",75,19,0.124587302343827,0.368421052631579
"prev","women_iron","mean1","index","Malawi",87,19,-0.116555021245325,0.272727272727273
"prev","women_iron","mean1","index","SierraLeone",14,19,-0.0505494505494506,0
"prev","women_iron","pc1","enet","Gambia",30,18,0.172210480540545,0.375
"prev","women_iron","pc1","enet","Ghana",75,18,0.286195407197258,0.421052631578947
"prev","women_iron","pc1","enet","Malawi",87,18,0.0533161469483063,0.227272727272727
"prev","women_iron","pc1","enet","SierraLeone",14,18,0.221978021978022,0
"prev","women_iron","pc1","index","Gambia",30,18,-0.0651907891451933,0.125
"prev","women_iron","pc1","index","Ghana",75,18,0.28153363494187,0.473684210526316
"prev","women_iron","pc1","index","Malawi",87,18,-0.0985885904768074,0.136363636363636
"prev","women_iron","pc1","index","SierraLeone",14,18,-0.0637362637362637,0
"prev","women_iron","pc12","enet","Gambia",30,36,0.641673160050298,0.625
"prev","women_iron","pc12","enet","Ghana",75,36,0.276497769851174,0.421052631578947
"prev","women_iron","pc12","enet","Malawi",87,36,0.0799094264938765,0.227272727272727
"prev","women_iron","pc12","enet","SierraLeone",14,36,0.0021978021978022,0
"prev","women_iron","pc12","index","Gambia",30,36,0.256313273362671,0.25
"prev","women_iron","pc12","index","Ghana",75,36,0.382423594987478,0.578947368421053
"prev","women_iron","pc12","index","Malawi",87,36,0.104123843232899,0.454545454545455
