"n_test","r_max","pearson","spearman","rmse_pp","pattern_rmse_pp","level_bias_pp","calib","outcome","held_out","variant","anchor"
167,0.766,-0.012,-0.046,24.3,20.79,-12.58,-0.01,"child_vitA","tanzania","zscore + ridge_all","train_mean"
167,0.766,-0.05,-0.046,27.6,27.08,5.36,-0.04,"child_vitA","tanzania","zscore + ridge_all","oracle_national"
167,0.766,-0.067,-0.053,22.64,18.64,-12.85,-0.12,"child_vitA","tanzania","zscore + curated16","train_mean"
167,0.766,-0.063,-0.053,27.55,26.7,6.81,-0.05,"child_vitA","tanzania","zscore + curated16","oracle_national"
30,0.565,0.57,0.531,46.65,13.77,-44.57,2.85,"child_iron","gambia","spatial_tps","train_mean"
30,0.565,0.575,0.531,13.27,13.17,-1.68,1.88,"child_iron","gambia","spatial_tps","oracle_national"
30,0.565,0.399,0.332,51.97,14.47,-49.91,2.44,"child_iron","gambia","spatial + decorr20","train_mean"
30,0.565,0.412,0.332,14.08,13.98,-1.69,1.22,"child_iron","gambia","spatial + decorr20","oracle_national"
30,0.565,0.47,0.426,47.86,13.78,-45.84,1.63,"child_iron","gambia","spatial + curated16","train_mean"
30,0.565,0.472,0.426,13.6,13.48,-1.82,0.98,"child_iron","gambia","spatial + curated16","oracle_national"
30,0.565,0.535,0.459,47.31,15.66,-44.64,0.48,"child_iron","gambia","zscore + screen30","train_mean"
30,0.565,0.483,0.459,16.92,16.64,-3.07,0.43,"child_iron","gambia","zscore + screen30","oracle_national"
30,0.565,0.343,0.515,49.47,20.29,-45.11,0.27,"child_iron","gambia","zscore + decorr20","train_mean"
30,0.565,0.49,0.515,16.3,16,-3.1,0.46,"child_iron","gambia","zscore + decorr20","oracle_national"
30,0.565,0.546,0.478,47.3,13.97,-45.19,0.6,"child_iron","gambia","zscore + ridge_all","train_mean"
30,0.565,0.577,0.478,15.57,15.34,-2.67,0.5,"child_iron","gambia","zscore + ridge_all","oracle_national"
30,0.565,0.392,0.401,48.55,15.33,-46.07,0.5,"child_iron","gambia","zscore + curated16","train_mean"
