"outcome","held_out","variant","anchor","n_test","r_max","pearson","spearman","rmse_pp","pattern_rmse_pp","level_bias_pp","calib"
"child_vitA","malawi","centered_train enet30","oracle_national",97,0,0.022,-0.027,60.59,18.38,57.73,0.02
"child_vitA","malawi","centered_own enet30","train_mean",97,0,-0.003,-0.027,17.07,15.11,7.94,0
"child_vitA","malawi","centered_own enet30","oracle_national",97,0,-0.011,-0.027,13.68,13.43,2.57,-0.01
"child_vitA","malawi","centered_own ridge_all","train_mean",97,0,0.223,0.031,12.86,11.01,6.64,0.39
"child_vitA","malawi","centered_own ridge_all","oracle_national",97,0,0.225,0.031,10.61,10.52,1.43,0.56
"child_vitA","malawi","centered_own decorr20","train_mean",97,0,-0.042,-0.068,12.63,11.01,6.2,-0.18
"child_vitA","malawi","centered_own decorr20","oracle_national",97,0,-0.043,-0.068,10.87,10.82,1.04,-0.28
"child_vitA","malawi","centered_own d40s12","train_mean",97,0,-0.061,-0.088,13.17,11.43,6.55,-0.18
"child_vitA","malawi","centered_own d40s12","oracle_national",97,0,-0.065,-0.088,11.14,11.07,1.29,-0.27
"child_vitA","malawi","centered_own curated16","train_mean",97,0,0.016,-0.048,16.11,13.99,8,0.02
"child_vitA","malawi","centered_own curated16","oracle_national",97,0,0.021,-0.048,12.8,12.55,2.52,0.03
"child_vitA","malawi","curated16 uncentered","train_mean",97,0,0.002,-0.072,20.78,16.07,13.17,0
"child_vitA","malawi","curated16 uncentered","oracle_national",97,0,0.019,-0.072,12.75,12.66,1.53,0.03
"child_vitA","tanzania","PROD enet30","train_mean",167,0.766,0.02,0.073,73.32,29.23,67.24,0.01
"child_vitA","tanzania","PROD enet30","oracle_national",167,0.766,0.123,0.073,42.14,39.45,14.83,0.05
"child_vitA","tanzania","PROD ridge_all","train_mean",167,0.766,0.027,0.007,24.21,15.72,-18.4,0.18
"child_vitA","tanzania","PROD ridge_all","oracle_national",167,0.766,0.006,0.007,18.44,18.39,1.35,0.01
"child_vitA","tanzania","centered_train enet30","train_mean",167,0.766,-0.016,-0.082,27,23.11,-13.96,-0.01
"child_vitA","tanzania","centered_train enet30","oracle_national",167,0.766,-0.048,-0.082,28.91,28.87,-1.61,-0.03
"child_vitA","tanzania","centered_own enet30","train_mean",167,0.766,-0.034,-0.082,27.55,25.84,-9.56,-0.03
"child_vitA","tanzania","centered_own enet30","oracle_national",167,0.766,-0.057,-0.082,31.92,30.97,7.71,-0.03
"child_vitA","tanzania","centered_own ridge_all","train_mean",167,0.766,0.001,-0.067,23.18,18.89,-13.43,0
"child_vitA","tanzania","centered_own ridge_all","oracle_national",167,0.766,-0.06,-0.067,24.73,24.02,5.86,-0.05
"child_vitA","tanzania","centered_own decorr20","train_mean",167,0.766,0.036,-0.102,23.07,20.76,-10.06,0.04
"child_vitA","tanzania","centered_own decorr20","oracle_national",167,0.766,-0.046,-0.102,31.56,29.8,10.39,-0.03
"child_vitA","tanzania","centered_own d40s12","train_mean",167,0.766,0.007,-0.078,26.78,25.29,-8.82,0.01
"child_vitA","tanzania","centered_own d40s12","oracle_national",167,0.766,-0.044,-0.078,32.64,31.24,9.46,-0.03
"child_vitA","tanzania","centered_own curated16","train_mean",167,0.766,-0.045,-0.068,22.08,15.8,-15.43,-0.4
"child_vitA","tanzania","centered_own curated16","oracle_national",167,0.766,-0.04,-0.068,17.46,16.78,4.81,-0.11
"child_vitA","tanzania","curated16 uncentered","train_mean",167,0.766,0.051,0.057,23.58,15.61,-17.67,0.65
"child_vitA","tanzania","curated16 uncentered","oracle_national",167,0.766,0.052,0.057,16.1,16.1,0.32,0.17
"child_iron","gambia","PROD enet30","train_mean",30,0.565,0.539,0.561,44.95,12.93,-43.05,1.17
"child_iron","gambia","PROD enet30","oracle_national",30,0.565,0.546,0.561,13.11,12.94,-2.09,0.82
"child_iron","gambia","PROD ridge_all","train_mean",30,0.565,0.582,0.526,48.89,14.23,-46.77,4.52
"child_iron","gambia","PROD ridge_all","oracle_national",30,0.565,0.572,0.526,13.69,13.59,-1.62,2.5
"child_iron","gambia","centered_train enet30","train_mean",30,0.565,0.535,0.534,47.76,13.27,-45.88,1.6
"child_iron","gambia","centered_train enet30","oracle_national",30,0.565,0.537,0.534,14.85,12.93,7.3,1.14
"child_iron","gambia","centered_own enet30","train_mean",30,0.565,0.534,0.534,51.44,13.51,-49.64,1.93
"child_iron","gambia","centered_own enet30","oracle_national",30,0.565,0.538,0.534,12.96,12.89,1.28,1.04
"child_iron","gambia","centered_own ridge_all","train_mean",30,0.565,0.585,0.52,51.84,13.85,-49.95,3.23
"child_iron","gambia","centered_own ridge_all","oracle_national",30,0.565,0.583,0.52,12.92,12.84,1.44,1.57
"child_iron","gambia","centered_own decorr20","train_mean",30,0.565,0.169,0.096,52.42,15.08,-50.2,1.39
"child_iron","gambia","centered_own decorr20","oracle_national",30,0.565,0.173,0.096,15.14,15.08,1.36,0.75
"child_iron","gambia","centered_own d40s12","train_mean",30,0.565,0.56,0.508,51.5,13.46,-49.7,2.15
"child_iron","gambia","centered_own d40s12","oracle_national",30,0.565,0.564,0.508,12.68,12.63,1.18,1.05
"child_iron","gambia","centered_own curated16","train_mean",30,0.565,0.099,0.107,52.46,15.22,-50.21,0.75
"child_iron","gambia","centered_own curated16","oracle_national",30,0.565,0.105,0.107,15.45,15.4,1.28,0.4
"child_iron","gambia","curated16 uncentered","train_mean",30,0.565,0.374,0.325,36.58,14.33,-33.65,1.59
"child_iron","gambia","curated16 uncentered","oracle_national",30,0.565,0.375,0.325,14.33,14.24,-1.64,1.31
"child_iron","ghana","PROD enet30","train_mean",75,0.672,0.539,0.509,16.22,16.19,0.97,0.68
"child_iron","ghana","PROD enet30","oracle_national",75,0.672,0.533,0.509,18.26,17.08,6.45,0.58
"child_iron","ghana","PROD ridge_all","train_mean",75,0.672,0.562,0.52,16.81,16.67,2.18,0.61
"child_iron","ghana","PROD ridge_all","oracle_national",75,0.672,0.547,0.52,30.6,20.65,22.58,0.42
"child_iron","ghana","centered_train enet30","train_mean",75,0.672,0.555,0.524,15.69,15.68,-0.6,1.47
"child_iron","ghana","centered_train enet30","oracle_national",75,0.672,0.549,0.524,16.09,15.53,4.23,1.24
"child_iron","ghana","centered_own enet30","train_mean",75,0.672,0.555,0.524,15.74,15.7,-1.12,1.5
"child_iron","ghana","centered_own enet30","oracle_national",75,0.672,0.55,0.524,15.96,15.54,3.63,1.27
"child_iron","ghana","centered_own ridge_all","train_mean",75,0.672,0.422,0.444,16.92,16.83,1.74,1.34
"child_iron","ghana","centered_own ridge_all","oracle_national",75,0.672,0.417,0.444,18.17,16.78,6.98,1.15
"child_iron","ghana","centered_own decorr20","train_mean",75,0.672,0.465,0.452,16.51,16.45,-1.37,1.33
"child_iron","ghana","centered_own decorr20","oracle_national",75,0.672,0.461,0.452,16.71,16.37,3.35,1.12
"child_iron","ghana","centered_own d40s12","train_mean",75,0.672,0.266,0.374,18.81,18.8,-0.6,0.44
