"n","n_pred","reliability","r_max","pearson_sd","pearson","spearman","pearson_w","r_share","rmse_pp","mae_pp","calib","outcome","country","model","hygiene","eval","n_test","pattern_rmse_pp","level_bias_pp"
NA,NA,NA,0.698,NA,0.681,0.603,NA,NA,15.09,NA,4.8,"child_vitA","gambia","ridge_all","off","loco",30,12.05,-9.08
NA,NA,NA,0.698,NA,0.654,0.563,NA,NA,15.01,NA,4.02,"child_vitA","gambia","ridge_all","on","loco",30,11.96,-9.06
NA,NA,NA,0.698,NA,0.522,0.141,NA,NA,15.37,NA,3.87,"child_vitA","gambia","decorr20_enet","off","loco",30,12.42,-9.06
NA,NA,NA,0.698,NA,0.515,0.161,NA,NA,15.54,NA,4.94,"child_vitA","gambia","decorr20_enet","on","loco",30,12.6,-9.1
NA,NA,NA,0.326,NA,0.277,0.271,NA,NA,11.36,NA,0.83,"child_vitA","ghana","enet_screen30","off","loco",75,11.03,-2.74
NA,NA,NA,0.326,NA,0.28,0.273,NA,NA,11.35,NA,0.86,"child_vitA","ghana","enet_screen30","on","loco",75,11.01,-2.76
NA,NA,NA,0.326,NA,0.392,0.308,NA,NA,33.87,NA,0.13,"child_vitA","ghana","ridge_all","off","loco",75,31.15,13.3
NA,NA,NA,0.326,NA,0.39,0.286,NA,NA,36.95,NA,0.12,"child_vitA","ghana","ridge_all","on","loco",75,33.69,15.17
NA,NA,NA,0.326,NA,-0.177,-0.142,NA,NA,12.29,NA,-1.06,"child_vitA","ghana","decorr20_enet","off","loco",75,11.95,-2.91
NA,NA,NA,0.326,NA,-0.178,-0.134,NA,NA,12.28,NA,-1.09,"child_vitA","ghana","decorr20_enet","on","loco",75,11.93,-2.92
NA,NA,NA,0,NA,0.127,0.191,NA,NA,5.76,NA,0.44,"child_vitA","sierraleone","enet_screen30","off","loco",14,5.66,-1.11
NA,NA,NA,0,NA,0.158,0.218,NA,NA,5.75,NA,0.54,"child_vitA","sierraleone","enet_screen30","on","loco",14,5.61,-1.27
NA,NA,NA,0,NA,0.16,0.279,NA,NA,8.72,NA,0.12,"child_vitA","sierraleone","ridge_all","off","loco",14,8.72,0.11
NA,NA,NA,0,NA,0.15,0.284,NA,NA,8.98,NA,0.11,"child_vitA","sierraleone","ridge_all","on","loco",14,8.98,0.18
NA,NA,NA,0,NA,0.015,0.011,NA,NA,5.93,NA,0.06,"child_vitA","sierraleone","decorr20_enet","off","loco",14,5.8,-1.22
NA,NA,NA,0,NA,-0.114,-0.112,NA,NA,6.28,NA,-0.33,"child_vitA","sierraleone","decorr20_enet","on","loco",14,6.15,-1.28
NA,NA,NA,0.429,NA,-0.003,-0.027,NA,NA,17.07,NA,0,"child_vitA","malawi","enet_screen30","off","loco",97,15.11,7.94
NA,NA,NA,0.429,NA,0.057,-0.025,NA,NA,22.07,NA,0.04,"child_vitA","malawi","enet_screen30","on","loco",97,19.14,11
NA,NA,NA,0.429,NA,0.223,0.031,NA,NA,12.86,NA,0.39,"child_vitA","malawi","ridge_all","off","loco",97,11.01,6.64
NA,NA,NA,0.429,NA,0.118,0.03,NA,NA,44.97,NA,0.03,"child_vitA","malawi","ridge_all","on","loco",97,38.28,23.6
NA,NA,NA,0.429,NA,-0.042,-0.068,NA,NA,12.63,NA,-0.18,"child_vitA","malawi","decorr20_enet","off","loco",97,11.01,6.2
NA,NA,NA,0.429,NA,0.044,0.055,NA,NA,12.41,NA,0.2,"child_vitA","malawi","decorr20_enet","on","loco",97,10.77,6.18
NA,NA,NA,0.785,NA,-0.034,-0.082,NA,NA,27.55,NA,-0.03,"child_vitA","tanzania","enet_screen30","off","loco",167,25.84,-9.56
NA,NA,NA,0.785,NA,-0.033,-0.084,NA,NA,26.58,NA,-0.03,"child_vitA","tanzania","enet_screen30","on","loco",167,24.59,-10.1
NA,NA,NA,0.785,NA,0.001,-0.067,NA,NA,23.18,NA,0,"child_vitA","tanzania","ridge_all","off","loco",167,18.89,-13.43
NA,NA,NA,0.785,NA,-0.026,-0.089,NA,NA,22.83,NA,-0.04,"child_vitA","tanzania","ridge_all","on","loco",167,18.32,-13.62
NA,NA,NA,0.785,NA,0.036,-0.102,NA,NA,23.07,NA,0.04,"child_vitA","tanzania","decorr20_enet","off","loco",167,20.76,-10.06
NA,NA,NA,0.785,NA,-0.086,-0.122,NA,NA,21.93,NA,-0.25,"child_vitA","tanzania","decorr20_enet","on","loco",167,16.97,-13.89
30,366,0.367,0.606,0.062,0.287,0.268,0.385,0.473,15.53,12.42,0.54,"child_iron","gambia","enet_screen30","off","within",NA,NA,NA
30,268,0.367,0.606,0.038,0.312,0.297,0.382,0.516,15.3,12.39,0.55,"child_iron","gambia","enet_screen30","on","within",NA,NA,NA
30,366,0.367,0.606,0.035,0.323,0.343,0.367,0.533,14.49,11.85,1.11,"child_iron","gambia","ridge_all","off","within",NA,NA,NA
30,268,0.367,0.606,0.045,0.294,0.345,0.316,0.486,14.62,12.02,0.94,"child_iron","gambia","ridge_all","on","within",NA,NA,NA
30,366,0.367,0.606,0.071,0.274,0.297,0.33,0.453,15.1,12.23,0.63,"child_iron","gambia","decorr20_enet","off","within",NA,NA,NA
30,268,0.367,0.606,0.098,0.231,0.244,0.236,0.381,15.08,12.56,0.67,"child_iron","gambia","decorr20_enet","on","within",NA,NA,NA
75,366,0.523,0.723,0.048,0.594,0.534,0.047,0.822,15.28,12.3,0.79,"child_iron","ghana","enet_screen30","off","within",NA,NA,NA
75,268,0.523,0.723,0.049,0.61,0.529,0.049,0.844,15.01,12.17,0.8,"child_iron","ghana","enet_screen30","on","within",NA,NA,NA
75,366,0.523,0.723,0.17,0.274,0.283,0.014,0.378,18.59,13.83,1.58,"child_iron","ghana","ridge_all","off","within",NA,NA,NA
75,268,0.523,0.723,0.155,0.4,0.324,0.017,0.553,17.94,13.32,2.06,"child_iron","ghana","ridge_all","on","within",NA,NA,NA
75,366,0.523,0.723,0.084,0.445,0.42,0.022,0.616,17.02,13.01,1.06,"child_iron","ghana","decorr20_enet","off","within",NA,NA,NA
75,268,0.523,0.723,0.123,0.425,0.398,0.019,0.588,17.21,13.22,0.96,"child_iron","ghana","decorr20_enet","on","within",NA,NA,NA
97,366,0.155,0.394,0.045,0.16,0.06,0.001,0.406,16.03,11.5,0.35,"child_iron","malawi","enet_screen30","off","within",NA,NA,NA
97,268,0.155,0.394,0.065,0.216,0.163,0.005,0.549,15.56,11.17,0.48,"child_iron","malawi","enet_screen30","on","within",NA,NA,NA
97,366,0.155,0.394,0.084,0.279,0.224,0.003,0.708,15.04,10.81,0.85,"child_iron","malawi","ridge_all","off","within",NA,NA,NA
97,268,0.155,0.394,0.078,0.28,0.227,0.001,0.71,15.01,10.72,0.9,"child_iron","malawi","ridge_all","on","within",NA,NA,NA
97,366,0.155,0.394,0.052,0.12,0.026,-0.003,0.305,15.73,11.28,0.56,"child_iron","malawi","decorr20_enet","off","within",NA,NA,NA
97,268,0.155,0.394,0.068,0.099,0.052,-0.002,0.25,15.69,11.11,0.42,"child_iron","malawi","decorr20_enet","on","within",NA,NA,NA
NA,NA,NA,0.606,NA,0.534,0.534,NA,NA,51.44,NA,1.93,"child_iron","gambia","enet_screen30","off","loco",30,13.51,-49.64
NA,NA,NA,0.606,NA,0.523,0.479,NA,NA,51.78,NA,2.51,"child_iron","gambia","enet_screen30","on","loco",30,13.89,-49.88
NA,NA,NA,0.606,NA,0.585,0.52,NA,NA,51.84,NA,3.23,"child_iron","gambia","ridge_all","off","loco",30,13.85,-49.95
NA,NA,NA,0.606,NA,0.569,0.539,NA,NA,51.75,NA,2.65,"child_iron","gambia","ridge_all","on","loco",30,13.69,-49.91
NA,NA,NA,0.606,NA,0.169,0.096,NA,NA,52.42,NA,1.39,"child_iron","gambia","decorr20_enet","off","loco",30,15.08,-50.2
NA,NA,NA,0.606,NA,0.026,0.084,NA,NA,52.56,NA,0.21,"child_iron","gambia","decorr20_enet","on","loco",30,15.35,-50.27
NA,NA,NA,0.723,NA,0.555,0.524,NA,NA,15.74,NA,1.5,"child_iron","ghana","enet_screen30","off","loco",75,15.7,-1.12
NA,NA,NA,0.723,NA,0.513,0.492,NA,NA,15.95,NA,1.24,"child_iron","ghana","enet_screen30","on","loco",75,15.92,-0.97
NA,NA,NA,0.723,NA,0.422,0.444,NA,NA,16.92,NA,1.34,"child_iron","ghana","ridge_all","off","loco",75,16.83,1.74
NA,NA,NA,0.723,NA,0.539,0.49,NA,NA,16.38,NA,1.98,"child_iron","ghana","ridge_all","on","loco",75,16.28,-1.77
NA,NA,NA,0.723,NA,0.465,0.452,NA,NA,16.51,NA,1.33,"child_iron","ghana","decorr20_enet","off","loco",75,16.45,-1.37
NA,NA,NA,0.723,NA,0.409,0.44,NA,NA,16.88,NA,1.08,"child_iron","ghana","decorr20_enet","on","loco",75,16.83,-1.34
NA,NA,NA,0,NA,0.292,0.156,NA,NA,16.29,NA,0.19,"child_iron","sierraleone","enet_screen30","off","loco",14,7.37,14.53
NA,NA,NA,0,NA,0.015,0.007,NA,NA,15.11,NA,0.02,"child_iron","sierraleone","enet_screen30","on","loco",14,5.9,13.91
NA,NA,NA,0,NA,0.36,0.345,NA,NA,14.75,NA,0.44,"child_iron","sierraleone","ridge_all","off","loco",14,4.81,13.94
NA,NA,NA,0,NA,0.351,0.301,NA,NA,15.25,NA,0.3,"child_iron","sierraleone","ridge_all","on","loco",14,5.82,14.1
NA,NA,NA,0,NA,0.189,0.222,NA,NA,14.94,NA,0.51,"child_iron","sierraleone","decorr20_enet","off","loco",14,4.63,14.2
NA,NA,NA,0,NA,0.049,0.042,NA,NA,14.93,NA,0.08,"child_iron","sierraleone","decorr20_enet","on","loco",14,5.24,13.98
NA,NA,NA,0.394,NA,-0.154,-0.134,NA,NA,29.78,NA,-0.1,"child_iron","malawi","enet_screen30","off","loco",97,28.64,8.17
NA,NA,NA,0.394,NA,-0.156,-0.126,NA,NA,28.91,NA,-0.11,"child_iron","malawi","enet_screen30","on","loco",97,27.83,7.84
NA,NA,NA,0.394,NA,-0.161,-0.115,NA,NA,26.37,NA,-0.14,"child_iron","malawi","ridge_all","off","loco",97,24.8,8.96
NA,NA,NA,0.394,NA,-0.181,-0.136,NA,NA,30.32,NA,-0.13,"child_iron","malawi","ridge_all","on","loco",97,27.65,12.46
NA,NA,NA,0.394,NA,-0.018,0.052,NA,NA,15.3,NA,-0.09,"child_iron","malawi","decorr20_enet","off","loco",97,15.28,0.77
NA,NA,NA,0.394,NA,-0.216,-0.277,NA,NA,17.97,NA,-0.45,"child_iron","malawi","decorr20_enet","on","loco",97,17.88,1.84
30,366,0.525,0.725,0.118,0.665,0.696,0.699,0.917,13,10.01,1.17,"women_iron","gambia","enet_screen30","off","within",NA,NA,NA
30,268,0.525,0.725,0.078,0.717,0.727,0.752,0.989,11.98,9.22,1.2,"women_iron","gambia","enet_screen30","on","within",NA,NA,NA
30,366,0.525,0.725,0.069,0.653,0.684,0.654,0.901,13.45,10.9,1.62,"women_iron","gambia","ridge_all","off","within",NA,NA,NA
30,268,0.525,0.725,0.07,0.638,0.669,0.638,0.88,13.55,11.04,1.55,"women_iron","gambia","ridge_all","on","within",NA,NA,NA
30,366,0.525,0.725,0.148,0.532,0.622,0.547,0.734,14.74,12,1.2,"women_iron","gambia","decorr20_enet","off","within",NA,NA,NA
30,268,0.525,0.725,0.034,0.593,0.643,0.581,0.819,13.9,11.07,1.27,"women_iron","gambia","decorr20_enet","on","within",NA,NA,NA
75,366,0,0,0.064,0.342,0.338,0.008,NA,11.96,9.24,0.58,"women_iron","ghana","enet_screen30","off","within",NA,NA,NA
75,268,0,0,0.049,0.32,0.332,0.009,NA,12.23,9.25,0.54,"women_iron","ghana","enet_screen30","on","within",NA,NA,NA
75,366,0,0,0.073,-0.013,-0.069,-0.005,NA,12.73,9.95,-0.22,"women_iron","ghana","ridge_all","off","within",NA,NA,NA
75,268,0,0,0.056,0.006,-0.043,-0.004,NA,12.71,9.94,0.05,"women_iron","ghana","ridge_all","on","within",NA,NA,NA
75,366,0,0,0.114,0.122,0.093,0,NA,12.64,9.92,0.61,"women_iron","ghana","decorr20_enet","off","within",NA,NA,NA
75,268,0,0,0.176,0.1,0.059,-0.002,NA,12.63,9.81,0.41,"women_iron","ghana","decorr20_enet","on","within",NA,NA,NA
97,366,0.157,0.397,0.024,0.088,0.105,0.002,0.222,18.35,13.52,0.23,"women_iron","malawi","enet_screen30","off","within",NA,NA,NA
97,268,0.157,0.397,0.061,0.09,0.114,0.002,0.227,18.25,13.44,0.24,"women_iron","malawi","enet_screen30","on","within",NA,NA,NA
97,366,0.157,0.397,0.098,0.037,0.056,0.003,0.094,17.97,13.33,0.23,"women_iron","malawi","ridge_all","off","within",NA,NA,NA
97,268,0.157,0.397,0.052,0.04,0.071,0.003,0.101,18.02,13.36,0.22,"women_iron","malawi","ridge_all","on","within",NA,NA,NA
97,366,0.157,0.397,0.089,-0.088,-0.092,-0.002,-0.223,17.95,13.3,-1.81,"women_iron","malawi","decorr20_enet","off","within",NA,NA,NA
97,268,0.157,0.397,0.09,-0.025,-0.032,0,-0.063,17.9,13.19,-0.37,"women_iron","malawi","decorr20_enet","on","within",NA,NA,NA
NA,NA,NA,0.725,NA,0.625,0.648,NA,NA,44.29,NA,3.35,"women_iron","gambia","enet_screen30","off","loco",30,14.55,-41.83
NA,NA,NA,0.725,NA,0.639,0.648,NA,NA,44.24,NA,3.38,"women_iron","gambia","enet_screen30","on","loco",30,14.48,-41.8
NA,NA,NA,0.725,NA,0.708,0.737,NA,NA,43.8,NA,2.74,"women_iron","gambia","ridge_all","off","loco",30,13.6,-41.63
NA,NA,NA,0.725,NA,0.703,0.745,NA,NA,43.97,NA,2.99,"women_iron","gambia","ridge_all","on","loco",30,13.83,-41.74
NA,NA,NA,0.725,NA,NA,NA,NA,NA,45.05,NA,NA,"women_iron","gambia","decorr20_enet","off","loco",30,16.25,-42.01
NA,NA,NA,0.725,NA,NA,NA,NA,NA,45.05,NA,NA,"women_iron","gambia","decorr20_enet","on","loco",30,16.25,-42.01
NA,NA,NA,0,NA,-0.06,0.307,NA,NA,87,NA,-0.06,"women_iron","ghana","enet_screen30","off","loco",75,16.88,85.34
NA,NA,NA,0,NA,0.36,0.28,NA,NA,14.12,NA,0.36,"women_iron","ghana","enet_screen30","on","loco",75,13.38,4.51
NA,NA,NA,0,NA,0.097,0.099,NA,NA,53.2,NA,0.07,"women_iron","ghana","ridge_all","off","loco",75,20.18,49.23
NA,NA,NA,0,NA,0.093,0.217,NA,NA,15.65,NA,0.1,"women_iron","ghana","ridge_all","on","loco",75,15.33,3.16
NA,NA,NA,0,NA,0.203,0.196,NA,NA,11.84,NA,0.53,"women_iron","ghana","decorr20_enet","off","loco",75,11.69,1.85
NA,NA,NA,0,NA,0.39,0.342,NA,NA,11,NA,0.9,"women_iron","ghana","decorr20_enet","on","loco",75,10.83,1.93
NA,NA,NA,0.231,NA,-0.13,-0.077,NA,NA,9.89,NA,-0.26,"women_iron","sierraleone","enet_screen30","off","loco",14,7.8,-6.08
NA,NA,NA,0.231,NA,-0.061,-0.02,NA,NA,9.83,NA,-0.11,"women_iron","sierraleone","enet_screen30","on","loco",14,7.78,-6
NA,NA,NA,0.231,NA,0.06,0.055,NA,NA,9.36,NA,0.16,"women_iron","sierraleone","ridge_all","off","loco",14,6.97,-6.24
NA,NA,NA,0.231,NA,-0.107,-0.077,NA,NA,10.03,NA,-0.18,"women_iron","sierraleone","ridge_all","on","loco",14,8.15,-5.85
NA,NA,NA,0.231,NA,0.085,0.209,NA,NA,9.33,NA,0.68,"women_iron","sierraleone","decorr20_enet","off","loco",14,6.62,-6.57
NA,NA,NA,0.231,NA,-0.439,-0.42,NA,NA,9.47,NA,-3.94,"women_iron","sierraleone","decorr20_enet","on","loco",14,7,-6.38
NA,NA,NA,0.397,NA,0.169,0.229,NA,NA,16.69,NA,0.46,"women_iron","malawi","enet_screen30","off","loco",97,16.48,-2.63
NA,NA,NA,0.397,NA,0.16,0.236,NA,NA,16.78,NA,0.42,"women_iron","malawi","enet_screen30","on","loco",97,16.58,-2.59
NA,NA,NA,0.397,NA,0.147,0.061,NA,NA,16.94,NA,0.37,"women_iron","malawi","ridge_all","off","loco",97,16.73,-2.61
NA,NA,NA,0.397,NA,0.145,0.044,NA,NA,18.63,NA,0.21,"women_iron","malawi","ridge_all","on","loco",97,18.61,-0.91
NA,NA,NA,0.397,NA,0.287,0.294,NA,NA,16.73,NA,12.08,"women_iron","malawi","decorr20_enet","off","loco",97,16.27,-3.86
NA,NA,NA,0.397,NA,0.288,0.292,NA,NA,16.73,NA,12.18,"women_iron","malawi","decorr20_enet","on","loco",97,16.27,-3.86
75,487,0.519,0.721,0.041,0.301,0.21,0.651,0.418,31.1,25.29,0.39,"women_folate","ghana","enet_screen30","off","within",NA,NA,NA
75,389,0.519,0.721,0.105,0.297,0.235,0.589,0.412,31.01,24.91,0.39,"women_folate","ghana","enet_screen30","on","within",NA,NA,NA
75,487,0.519,0.721,0.104,-0.163,-0.119,-0.096,-0.226,30.04,25.49,-1.78,"women_folate","ghana","ridge_all","off","within",NA,NA,NA
75,389,0.519,0.721,0.122,-0.037,-0.075,0.194,-0.051,29.66,25.19,-0.25,"women_folate","ghana","ridge_all","on","within",NA,NA,NA
75,487,0.519,0.721,0.139,0.008,-0.017,0.177,0.012,29.88,25.31,-0.03,"women_folate","ghana","decorr20_enet","off","within",NA,NA,NA
75,389,0.519,0.721,0.123,-0.004,-0.011,0.161,-0.006,29.99,25.38,-0.18,"women_folate","ghana","decorr20_enet","on","within",NA,NA,NA
97,487,0.486,0.697,0.052,0.407,0.366,0.102,0.584,21.15,15.58,0.6,"women_folate","malawi","enet_screen30","off","within",NA,NA,NA
97,389,0.486,0.697,0.097,0.385,0.34,0.147,0.553,21.75,15.99,0.54,"women_folate","malawi","enet_screen30","on","within",NA,NA,NA
97,487,0.486,0.697,0.093,0.292,0.291,0.107,0.418,22.11,16.23,0.69,"women_folate","malawi","ridge_all","off","within",NA,NA,NA
97,389,0.486,0.697,0.087,0.306,0.302,0.07,0.439,21.99,15.98,0.68,"women_folate","malawi","ridge_all","on","within",NA,NA,NA
97,487,0.486,0.697,0.063,0.235,0.241,-0.048,0.338,22.74,17.36,0.83,"women_folate","malawi","decorr20_enet","off","within",NA,NA,NA
97,389,0.486,0.697,0.102,0.289,0.278,0.055,0.415,22.34,17,1.03,"women_folate","malawi","decorr20_enet","on","within",NA,NA,NA
NA,NA,NA,0.721,NA,-0.026,-0.097,NA,NA,49.11,NA,-0.03,"women_folate","ghana","enet_screen30","off","loco",75,38.17,-30.9
NA,NA,NA,0.721,NA,-0.017,-0.087,NA,NA,48.11,NA,-0.03,"women_folate","ghana","enet_screen30","on","loco",75,34.17,-33.86
NA,NA,NA,0.721,NA,0.081,0.109,NA,NA,44.57,NA,0.08,"women_folate","ghana","ridge_all","off","loco",75,39.5,20.65
NA,NA,NA,0.721,NA,0.182,0.152,NA,NA,45.86,NA,0.45,"women_folate","ghana","ridge_all","on","loco",75,29.47,-35.14
NA,NA,NA,0.721,NA,0.146,0.16,NA,NA,41.09,NA,0.33,"women_folate","ghana","decorr20_enet","off","loco",75,30.24,-27.82
NA,NA,NA,0.721,NA,0.137,0.069,NA,NA,47.7,NA,0.64,"women_folate","ghana","decorr20_enet","on","loco",75,29.04,-37.84
NA,NA,NA,0.779,NA,-0.231,-0.165,NA,NA,55.66,NA,-0.13,"women_folate","sierraleone","enet_screen30","off","loco",14,23.16,-50.61
NA,NA,NA,0.779,NA,0.273,0.204,NA,NA,52.94,NA,0.12,"women_folate","sierraleone","enet_screen30","on","loco",14,22.66,-47.84
NA,NA,NA,0.779,NA,-0.048,-0.042,NA,NA,51.37,NA,-0.02,"women_folate","sierraleone","ridge_all","off","loco",14,27.01,-43.69
NA,NA,NA,0.779,NA,0.197,0.284,NA,NA,55.04,NA,0.12,"women_folate","sierraleone","ridge_all","on","loco",14,17.84,-52.07
NA,NA,NA,0.779,NA,0.39,0.341,NA,NA,57.11,NA,0.71,"women_folate","sierraleone","decorr20_enet","off","loco",14,9.55,-56.31
NA,NA,NA,0.779,NA,0.337,0.314,NA,NA,57.36,NA,1.01,"women_folate","sierraleone","decorr20_enet","on","loco",14,9.62,-56.55
NA,NA,NA,0.697,NA,0.477,0.501,NA,NA,40.66,NA,0.49,"women_folate","malawi","enet_screen30","off","loco",97,21.07,34.77
NA,NA,NA,0.697,NA,0.492,0.534,NA,NA,41.18,NA,0.69,"women_folate","malawi","enet_screen30","on","loco",97,18.71,36.68
NA,NA,NA,0.697,NA,0.131,0.179,NA,NA,43.58,NA,0.2,"women_folate","malawi","ridge_all","off","loco",97,23.38,36.78
NA,NA,NA,0.697,NA,0.121,0.17,NA,NA,43.79,NA,0.17,"women_folate","malawi","ridge_all","on","loco",97,23.84,36.73
NA,NA,NA,0.697,NA,NA,NA,NA,NA,42.2,NA,NA,"women_folate","malawi","decorr20_enet","off","loco",97,20.79,36.72
NA,NA,NA,0.697,NA,NA,NA,NA,NA,42.2,NA,NA,"women_folate","malawi","decorr20_enet","on","loco",97,20.79,36.72
