"outcome","Admin2","Admin1","pred_prev","ci_lo","ci_hi","country","adm1_paper","mpi","vitA_pct","folate_pct","b12_pct","iron_pct","zinc_pct"
"child_iron","Nawa","Bas-Sassandra",0.197949440808243,0,0.706418799162836,"Cote dIvoire","Nawa",0.6,70,69,38,55,72
"child_iron","San-Pédro","Bas-Sassandra",0.160400241516179,0,0.668869599870772,"Cote dIvoire","San Pedro",0.7,78,83,44,64,79
"child_iron","Indénié-Djuablin","Comoé",0.212326837912075,0,0.720796196266668,"Cote dIvoire","Indenie-Djuablin",0.71,86,83,36,69,81
"child_iron","Sud Comoé","Comoé",0.0749661554143516,0,0.583435513768945,"Cote dIvoire","Sud-Comoe",0.74,78,92,41,74,89
"child_iron","Folon","Denguélé",0.337407728578864,0,0.845877086933457,"Cote dIvoire","Folon",0.7,87,80,43,72,76
"child_iron","Kabadougou","Denguélé",0.306786938251507,0,0.8152562966061,"Cote dIvoire","Kabadougou",0.6,62,75,33,62,68
"child_iron","Gôh","Gôh-Djiboua",0.197508435809923,0,0.705977794164516,"Cote dIvoire","Goh",0.65,79,76,37,60,78
"child_iron","Lôh-Djiboua","Gôh-Djiboua",0.233928247043397,0,0.74239760539799,"Cote dIvoire","Loh-Djiboua",0.7,74,82,40,68,87
"child_iron","Bélier","Lacs",0.136757991307076,0,0.645227349661669,"Cote dIvoire","Belier",0.62,76,79,27,54,75
"child_iron","Iffou","Lacs",0.173381056639601,0,0.681850414994194,"Cote dIvoire","Iffou",0.65,87,73,39,53,67
"child_iron","Moronou","Lacs",0.190664769733708,0,0.699134128088301,"Cote dIvoire","Moronou",0.66,81,84,30,64,78
"child_iron","N'zi","Lacs",0.130086132830259,0,0.638555491184852,"Cote dIvoire","N'Zi",0.61,75,75,35,54,67
"child_iron","Agnéby-Tiassa","Lagunes",0.225205778882495,0,0.733675137237088,"Cote dIvoire","Agneby-Tiassa",0.74,76,93,43,78,89
"child_iron","Grands Ponts","Lagunes",0.248282754346204,0,0.756752112700796,"Cote dIvoire","Grands-Ponts",0.74,69,92,38,82,87
"child_iron","La Mé","Lagunes",0.145607301148313,0,0.654076659502906,"Cote dIvoire","La Me",0.74,75,87,40,79,85
"child_iron","Cavally","Montagnes",0.208033153807466,0,0.716502512162059,"Cote dIvoire","Cavally",0.61,74,71,39,53,75
"child_iron","Guémon","Montagnes",0.22216642851218,0,0.730635786866773,"Cote dIvoire","Guemon",0.54,64,63,38,48,67
"child_iron","Tonkpi","Montagnes",0.283335265241847,0,0.79180462359644,"Cote dIvoire","Tonkpi",0.58,47,77,31,64,75
"child_iron","Haut-Sassandra","Sassandra-Marahoué",0.170058893342489,0,0.678528251697082,"Cote dIvoire","Haut-Sassandra",0.67,78,76,54,57,80
"child_iron","Marahoué","Sassandra-Marahoué",0.17344559961254,0,0.681914957967133,"Cote dIvoire","Marahoue",0.74,87,82,51,68,86
"child_iron","Bagoué","Savanes",0.333029665748235,0,0.841499024102828,"Cote dIvoire","Bagoue",0.71,82,81,39,74,84
"child_iron","Poro","Savanes",0.282656168641742,0,0.791125526996335,"Cote dIvoire","Poro",0.74,85,85,46,76,85
"child_iron","Tchologo","Savanes",0.306305238748442,0,0.814774597103035,"Cote dIvoire","Tchologo",0.76,89,85,48,76,86
"child_iron","Gbeke","Vallée du Bandama",0.115586514506085,0,0.624055872860678,"Cote dIvoire","Gbeke",0.68,79,83,35,66,80
"child_iron","Hambol","Vallée du Bandama",0.21054688316649,0,0.719016241521083,"Cote dIvoire","Hambol",0.54,74,67,27,46,63
"child_iron","Bafing","Woroba",0.327795202051832,0,0.836264560406425,"Cote dIvoire","Bafing",0.63,45,87,35,73,80
"child_iron","Béré","Woroba",0.248132854827512,0,0.756602213182105,"Cote dIvoire","Bere",0.6,52,69,39,60,77
"child_iron","Worodougou","Woroba",0.277510431121989,0,0.785979789476582,"Cote dIvoire","Worodougou",0.62,50,74,44,67,78
"child_iron","Yamoussoukro","Yamoussoukro",0.121893665260268,0,0.630363023614861,"Cote dIvoire","Yamoussoukro",0.7,72,88,35,73,90
"child_iron","Bounkani","Zanzan",0.350722593288303,0,0.859191951642896,"Cote dIvoire","Bounkani",0.73,89,80,51,64,79
"child_iron","Gontougo","Zanzan",0.202303491284542,0,0.710772849639135,"Cote dIvoire","Gontougo",0.74,93,88,39,69,85
"women_iron","Abidjan","Abidjan",0.0809188924758864,0,0.733284257620199,"Cote dIvoire","Autonome d'Abidjan",0.72,74,88,38,80,84
"women_iron","Gbôkle","Bas-Sassandra",0.100409373441462,0,0.752774738585774,"Cote dIvoire","Gbokle",0.6,72,72,38,51,72
"women_iron","Nawa","Bas-Sassandra",0.0913936332234132,0,0.743758998367725,"Cote dIvoire","Nawa",0.6,70,69,38,55,72
"women_iron","San-Pédro","Bas-Sassandra",0,0,0.652365365144312,"Cote dIvoire","San Pedro",0.7,78,83,44,64,79
"women_iron","Indénié-Djuablin","Comoé",0.12546522348686,0,0.777830588631172,"Cote dIvoire","Indenie-Djuablin",0.71,86,83,36,69,81
"women_iron","Sud Comoé","Comoé",0.034142928146795,0,0.686508293291107,"Cote dIvoire","Sud-Comoe",0.74,78,92,41,74,89
"women_iron","Folon","Denguélé",0.227130858715639,0,0.879496223859951,"Cote dIvoire","Folon",0.7,87,80,43,72,76
"women_iron","Kabadougou","Denguélé",0.214561672129186,0,0.866927037273498,"Cote dIvoire","Kabadougou",0.6,62,75,33,62,68
"women_iron","Gôh","Gôh-Djiboua",0.161236022906964,0,0.813601388051276,"Cote dIvoire","Goh",0.65,79,76,37,60,78
"women_iron","Lôh-Djiboua","Gôh-Djiboua",0.129853515559371,0,0.782218880703683,"Cote dIvoire","Loh-Djiboua",0.7,74,82,40,68,87
"women_iron","Bélier","Lacs",0.178340526470656,0,0.830705891614968,"Cote dIvoire","Belier",0.62,76,79,27,54,75
"women_iron","Iffou","Lacs",0.157535468871009,0,0.809900834015321,"Cote dIvoire","Iffou",0.65,87,73,39,53,67
"women_iron","Moronou","Lacs",0.129569898976784,0,0.781935264121096,"Cote dIvoire","Moronou",0.66,81,84,30,64,78
"women_iron","N'zi","Lacs",0.164636828785062,0,0.817002193929374,"Cote dIvoire","N'Zi",0.61,75,75,35,54,67
"women_iron","Agnéby-Tiassa","Lagunes",0.109487905749944,0,0.761853270894257,"Cote dIvoire","Agneby-Tiassa",0.74,76,93,43,78,89
"women_iron","Grands Ponts","Lagunes",0.0945491042763993,0,0.746914469420711,"Cote dIvoire","Grands-Ponts",0.74,69,92,38,82,87
"women_iron","La Mé","Lagunes",0.0486842758519131,0,0.701049640996225,"Cote dIvoire","La Me",0.74,75,87,40,79,85
"women_iron","Cavally","Montagnes",0,0,0.652365365144312,"Cote dIvoire","Cavally",0.61,74,71,39,53,75
"women_iron","Guémon","Montagnes",0.153624471548446,0,0.805989836692759,"Cote dIvoire","Guemon",0.54,64,63,38,48,67
"women_iron","Tonkpi","Montagnes",0.175764598971462,0,0.828129964115774,"Cote dIvoire","Tonkpi",0.58,47,77,31,64,75
"women_iron","Haut-Sassandra","Sassandra-Marahoué",0.151178229465511,0,0.803543594609823,"Cote dIvoire","Haut-Sassandra",0.67,78,76,54,57,80
"women_iron","Marahoué","Sassandra-Marahoué",0.172774124529027,0,0.82513948967334,"Cote dIvoire","Marahoue",0.74,87,82,51,68,86
"women_iron","Bagoué","Savanes",0.245092621750825,0,0.897457986895138,"Cote dIvoire","Bagoue",0.71,82,81,39,74,84
"women_iron","Poro","Savanes",0.22886393305417,0,0.881229298198483,"Cote dIvoire","Poro",0.74,85,85,46,76,85
"women_iron","Tchologo","Savanes",0.18433723362839,0,0.836702598772702,"Cote dIvoire","Tchologo",0.76,89,85,48,76,86
"women_iron","Gbeke","Vallée du Bandama",0.161327174504798,0,0.81369253964911,"Cote dIvoire","Gbeke",0.68,79,83,35,66,80
"women_iron","Hambol","Vallée du Bandama",0.169240592320928,0,0.82160595746524,"Cote dIvoire","Hambol",0.54,74,67,27,46,63
"women_iron","Bafing","Woroba",0.221325963230346,0,0.873691328374658,"Cote dIvoire","Bafing",0.63,45,87,35,73,80
"women_iron","Béré","Woroba",0.186675152268755,0,0.839040517413067,"Cote dIvoire","Bere",0.6,52,69,39,60,77
"women_iron","Worodougou","Woroba",0.191474609305876,0,0.843839974450188,"Cote dIvoire","Worodougou",0.62,50,74,44,67,78
"women_iron","Yamoussoukro","Yamoussoukro",0.181437050978698,0,0.83380241612301,"Cote dIvoire","Yamoussoukro",0.7,72,88,35,73,90
"women_iron","Bounkani","Zanzan",0.154653196004014,0,0.807018561148326,"Cote dIvoire","Bounkani",0.73,89,80,51,64,79
"women_iron","Gontougo","Zanzan",0.163919029411416,0,0.816284394555729,"Cote dIvoire","Gontougo",0.74,93,88,39,69,85
