"Admin1","Admin2","lon","lat","Intercept","local_R2","residual","beta_iron_def","t_iron_def","pval_iron_def","beta_sf_c2","t_sf_c2","pval_sf_c2","beta_ida","t_ida","pval_ida","beta_mtype","t_mtype","pval_mtype","beta_m115b","t_m115b","pval_m115b","beta_dhs2015_w_delivery_csection_adm2","t_dhs2015_w_delivery_csection_adm2","pval_dhs2015_w_delivery_csection_adm2","padj_iron_def","padj_sf_c2","padj_ida","padj_mtype","padj_m115b","padj_dhs2015_w_delivery_csection_adm2"
"Kasungu","SC Kawamba",33.2423813043799,-13.2674387099688,0.622421434428976,0.625612805545969,-0.0668738275884459,0.875682151752948,2.95428888991028,0.00313390487423177,0.602122016143078,2.28546320419166,0.0222856816185101,-0.769197406846978,-2.35812350846166,0.0183675807338953,0.00768708848474373,0.181721324790842,0.855801429847439,-0.331743333924469,-2.71896791973842,0.00654859590077084,0.212026320525411,1.07495745546739,0.282393776487577,0.00487496313769386,0.0609717822279439,0.0412248454582764,0.898591501339811,0.0161788839901397,0.748677276256672
"Dowa","SC Kayembe",33.5265285407843,-13.5954408790457,0.618003429107706,0.623122146214075,-0.0308314178543052,0.935191386953966,3.11218722154995,0.00185706684966205,0.58237868467234,2.2043705524036,0.027498294883732,-0.774738296249849,-2.35406445697897,0.018569390791139,0.0194871307992121,0.445722579490664,0.655797652252962,-0.341847732329309,-2.78000555950103,0.00543579678353068,0.204928383646338,1.01576983290933,0.309739004713484,0.00305869834061985,0.0609717822279439,0.0412248454582764,0.782404788443676,0.015461534378133,0.748677276256672
"Ntcheu","SC Makwangwala",34.8545881467965,-14.8380700559191,0.323726564705784,0.62800795436192,-0.142248057904855,1.5666460249488,4.83773107314529,1.31329664961945e-06,0.31252593205144,1.15404198872837,0.248482954846991,-0.756134670977789,-2.16246962686496,0.030581995794996,0.0804720528067372,1.56739128533928,0.117023259696957,-0.251992834832204,-2.06072802637155,0.0393289942864694,-0.0510335055313669,-0.224291649026969,0.822530373804501,4.24295840646285e-06,0.347876136785788,0.0412248454582764,0.514900625744254,0.0559938223739564,0.874589258222507
"Nkhata Bay","SC Malanda",34.1368023440528,-11.809429422647,0.865670333272654,0.672007163264687,-0.0108705301350396,0.613967078584985,1.91000333280651,0.0561327842043136,0.751823160548515,2.6316134367773,0.00849804925551157,-0.804911933804513,-2.33704024798836,0.0194370914191144,-0.0292094712741764,-0.690564605899301,0.48983919658331,-0.416944785723218,-3.06616652014308,0.00216822523853712,0.232978195901831,1.15767910071603,0.246995015774166,0.0589394234145292,0.0609717822279439,0.0412248454582764,0.724392342111285,0.015461534378133,0.748677276256672
"Thyolo","SC Mbawela",35.2218810672657,-16.2380819742467,0.160450744534189,0.615779615087969,0.0442500844803992,1.60188574520776,5.1865209849334,2.14258891001662e-07,0.254289628148812,0.951830682350985,0.341182858685908,-0.693738823103663,-2.05525482764708,0.0398543979390333,0.069466655977443,1.48751446736607,0.136878985070381,-0.156828393150262,-1.33002605221662,0.183509687779768,-0.073528530568415,-0.345789297359601,0.729501069040085,1.40227214544802e-06,0.348148121805402,0.0413304867515901,0.514900625744254,0.190306342882722,0.82413356877055
"Nsanje","SC Mbenje",35.0923050860715,-16.6030249224119,0.148144799356115,0.608043007329912,0.0105564692727931,1.59413531091069,5.17874584068663,2.23382557997938e-07,0.252522100605703,0.946284491435562,0.344003501307719,-0.687168631672887,-2.04060775493179,0.0412898307472135,0.0682408660174929,1.47204048320448,0.141009945797015,-0.149247880595176,-1.26727683566034,0.205056320283535,-0.0710536041935659,-0.335649387380905,0.737135276622445,1.40227214544802e-06,0.348148121805402,0.0422968997898285,0.514900625744254,0.210057693948987,0.82413356877055
"Zomba","SC Mbiza",35.3516931129216,-15.5906555327218,0.194650724169494,0.626857363967998,0.00658132991043742,1.61915905457039,5.18419265309407,2.16952587585524e-07,0.260535031813321,0.971431271108493,0.33133356269991,-0.711815676632757,-2.091468067338,0.0364861260380157,0.0731974318941635,1.53153438657928,0.125637374612884,-0.178229293674512,-1.50282168893926,0.13288503140504,-0.0781029478853812,-0.361747579536666,0.717540668194613,1.40227214544802e-06,0.348148121805402,0.0412248454582764,0.514900625744254,0.157332756142524,0.82413356877055
"Mchinji","SC Mduwa",33.0770613799684,-13.6927355640311,0.563938028605128,0.614291505949301,0.020657975652191,0.948692775198339,3.20468148694026,0.00135212017048877,0.563809884366063,2.15398896233181,0.0312410375249538,-0.761927706417981,-2.335159337961,0.0195350984459844,0.0193652613309202,0.449483478795859,0.653082923488101,-0.313947065345529,-2.60174270077016,0.00927514106167579,0.200344286314978,1.00260965691013,0.31604923460991,0.00252395765157905,0.065606178802403,0.0412248454582764,0.782404788443676,0.0185502821233516,0.748677276256672
"Dowa","SC Mkukula",33.9191885494487,-13.7338462768021,0.598736618014427,0.627046054275671,0.0606007351048846,1.01977296537469,3.37770051400048,0.000730946405767553,0.547239557148765,2.07874842432089,0.0376404796094516,-0.770381058347985,-2.33262717945799,0.019667721157984,0.0274748732971026,0.616433608299138,0.53760837766103,-0.340063955677875,-2.77775763650468,0.00547354282283026,0.172147832300082,0.844600228584096,0.398334081393232,0.00146189281153511,0.0722911315159139,0.0412248454582764,0.724392342111285,0.015461534378133,0.748677276256672
"Dowa","SC Mponela",33.7461440060149,-13.5668531037904,0.632140532297214,0.627150749347992,-0.040014632858235,0.946353832485555,3.13848834392084,0.00169821689082505,0.58129387768487,2.19792367776796,0.0279545452623036,-0.776679052112348,-2.35581058734809,0.0184823391726116,0.0200156025555126,0.45562473283517,0.648659854702203,-0.349599577442551,-2.83288102047547,0.00461305526522044,0.198231994944609,0.980646431064357,0.326767129085247,0.00295457527837688,0.0609717822279439,0.0412248454582764,0.782404788443676,0.015461534378133,0.748677276256672
