"outcome","country","model","n","n_pred","reliability","r_max","pearson","pearson_sd","spearman","pearson_w","r_share","rmse_pp","mae_pp","calib","secs"
"child_vitA","ghana","decorr40screen12_enet",75,237,0.106,0.326,0.049,0.065,0.058,-0.003,0.151,12.66,10.27,0.13,3.1
"child_vitA","ghana","decorr40screen12_binom",75,237,0.106,0.326,0.108,0.084,0.102,0.001,0.331,12.1,10.05,0.24,2.9
"child_vitA","ghana","curated16_enet",75,237,0.106,0.326,-0.007,0.135,0,-0.004,-0.022,12.45,10.1,-0.12,2.1
"child_vitA","ghana","curated16_binom",75,237,0.106,0.326,0.279,0.099,0.294,0.003,0.855,11.17,9.1,0.7,2.2
"child_vitA","ghana","curated16_ridge",75,237,0.106,0.326,0.163,0.117,0.163,-0.001,0.498,12.05,9.8,0.7,1.7
"child_vitA","ghana","domainPC1_enet",75,237,0.106,0.326,0.033,0.1,0.014,-0.005,0.101,12.38,10.08,0.17,2.1
"child_vitA","ghana","domainPC2_ridge",75,237,0.106,0.326,0.177,0.1,0.189,0,0.541,11.94,9.68,0.63,2.3
"child_vitA","ghana","decorr20_rf",75,237,0.106,0.326,0.252,0.054,0.192,0.003,0.774,12.04,9.77,0.6,2.1
"child_vitA","malawi","null_mean",97,237,0.184,0.429,-0.224,0.102,-0.18,-0.003,-0.521,10.79,8.15,-3.98,0.6
"child_vitA","malawi","spatial_only",97,237,0.184,0.429,-0.242,0.052,-0.315,-0.008,-0.564,11.85,8.14,-2.57,1
"child_vitA","malawi","PROD enet_screen30",97,237,0.184,0.429,0.032,0.081,0.063,-0.003,0.074,11.56,7.82,0.18,4.9
"child_vitA","malawi","PROD ridge_all",97,237,0.184,0.429,-0.013,0.052,-0.029,-0.003,-0.029,11.62,7.87,-0.14,5.3
"child_vitA","malawi","binom_screen30",97,237,0.184,0.429,0.125,0.068,0.13,-0.002,0.292,10.72,7.92,0.41,10
"child_vitA","malawi","binom_ridge_all",97,237,0.184,0.429,0.035,0.068,-0.008,-0.005,0.081,10.88,8.12,0.14,4.1
"child_vitA","malawi","decorr20_enet",97,237,0.184,0.429,-0.002,0.074,0.002,-0.001,-0.004,11.8,7.89,0.06,2.1
"child_vitA","malawi","decorr40screen12_enet",97,237,0.184,0.429,0.084,0.078,0.075,-0.002,0.197,11.44,7.65,0.44,2.1
"child_vitA","malawi","decorr40screen12_binom",97,237,0.184,0.429,0.12,0.035,0.116,-0.002,0.281,10.77,7.95,0.38,2.5
"child_vitA","malawi","curated16_enet",97,237,0.184,0.429,-0.179,0.081,-0.219,-0.004,-0.417,11.72,7.96,-2.78,1.7
"child_vitA","malawi","curated16_binom",97,237,0.184,0.429,-0.156,0.085,-0.213,-0.007,-0.364,11.07,8.3,-1.04,2.3
"child_vitA","malawi","curated16_ridge",97,237,0.184,0.429,-0.12,0.077,-0.201,-0.005,-0.28,11.74,7.98,-1.83,1.7
"child_vitA","malawi","domainPC1_enet",97,237,0.184,0.429,-0.08,0.064,-0.089,-0.003,-0.186,11.67,7.91,-0.58,2.8
"child_vitA","malawi","domainPC2_ridge",97,237,0.184,0.429,0.021,0.084,-0.001,-0.003,0.048,11.57,7.81,0.34,3.1
"child_vitA","malawi","decorr20_rf",97,237,0.184,0.429,0.159,0.069,0.169,-0.001,0.371,11.29,7.44,0.73,2.7
"child_vitA","tanzania","null_mean",167,237,0.617,0.785,-0.155,0.06,-0.141,-0.014,-0.198,15.74,12.63,-4.02,0.8
"child_vitA","tanzania","spatial_only",167,237,0.617,0.785,-0.089,0.062,-0.044,0.009,-0.114,17.71,13.62,-0.25,1.1
"child_vitA","tanzania","PROD enet_screen30",167,237,0.617,0.785,-0.085,0.085,-0.035,-0.005,-0.109,19.32,14.33,-0.15,7.3
"child_vitA","tanzania","PROD ridge_all",167,237,0.617,0.785,-0.157,0.064,-0.163,-0.008,-0.2,17.61,13.42,-0.56,5.7
"child_vitA","tanzania","binom_screen30",167,237,0.617,0.785,-0.087,0.072,-0.078,-0.005,-0.11,16.47,13.16,-0.34,19.1
"child_vitA","tanzania","binom_ridge_all",167,237,0.617,0.785,-0.145,0.064,-0.143,-0.015,-0.184,15.94,12.73,-1.91,5
"child_vitA","tanzania","decorr20_enet",167,237,0.617,0.785,-0.076,0.053,-0.08,0,-0.097,17.29,13.21,-0.25,2.4
"child_vitA","tanzania","decorr40screen12_enet",167,237,0.617,0.785,-0.08,0.027,-0.051,0,-0.102,17.94,13.66,-0.2,2.4
"child_vitA","tanzania","decorr40screen12_binom",167,237,0.617,0.785,-0.095,0.076,-0.093,-0.003,-0.122,16.13,12.91,-0.55,2.9
"child_vitA","tanzania","curated16_enet",167,237,0.617,0.785,-0.035,0.085,-0.044,0.021,-0.044,18.16,13.99,-0.08,2
"child_vitA","tanzania","curated16_binom",167,237,0.617,0.785,-0.168,0.095,-0.155,-0.016,-0.214,15.98,12.79,-2.55,3.3
"child_vitA","tanzania","curated16_ridge",167,237,0.617,0.785,-0.105,0.071,-0.141,0.004,-0.134,17.81,13.87,-0.27,1.9
"child_vitA","tanzania","domainPC1_enet",167,237,0.617,0.785,-0.137,0.026,-0.156,-0.007,-0.175,17.08,13.1,-0.8,2.5
"child_vitA","tanzania","domainPC2_ridge",167,237,0.617,0.785,-0.165,0.047,-0.153,-0.01,-0.21,17.25,13.21,-0.79,2.7
"child_vitA","tanzania","decorr20_rf",167,237,0.617,0.785,0.116,0.046,0.067,0.02,0.148,16.61,12.54,0.33,4.4
"child_iron","gambia","null_mean",30,366,0.367,0.606,-0.329,0.104,-0.324,-0.332,-0.544,15.78,12.72,-4,0.8
"child_iron","gambia","spatial_only",30,366,0.367,0.606,0.474,0.025,0.442,0.449,0.782,13.81,11.29,0.71,1.2
"child_iron","gambia","PROD enet_screen30",30,366,0.367,0.606,0.287,0.062,0.268,0.385,0.473,15.53,12.42,0.54,2.4
"child_iron","gambia","PROD ridge_all",30,366,0.367,0.606,0.323,0.035,0.343,0.367,0.533,14.49,11.85,1.11,9.2
"child_iron","gambia","binom_screen30",30,366,0.367,0.606,0.267,0.072,0.256,0.368,0.441,15.57,12.68,0.48,2.6
"child_iron","gambia","binom_ridge_all",30,366,0.367,0.606,0.337,0.054,0.346,0.387,0.557,14.51,12.03,1.25,4.1
"child_iron","gambia","decorr20_enet",30,366,0.367,0.606,0.274,0.071,0.297,0.33,0.453,15.1,12.23,0.63,2.8
"child_iron","gambia","decorr40screen12_enet",30,366,0.367,0.606,0.195,0.058,0.223,0.222,0.321,15.53,12.71,0.47,2.8
"child_iron","gambia","decorr40screen12_binom",30,366,0.367,0.606,0.221,0.025,0.222,0.269,0.365,15.84,13.17,0.44,2.9
"child_iron","gambia","curated16_enet",30,366,0.367,0.606,0.356,0.087,0.348,0.342,0.588,14.32,11.84,1.11,3.9
"child_iron","gambia","curated16_binom",30,366,0.367,0.606,0.266,0.217,0.286,0.268,0.44,14.97,12.48,0.85,5.7
"child_iron","gambia","curated16_ridge",30,366,0.367,0.606,0.379,0.049,0.392,0.383,0.625,14.24,11.64,1.33,2.1
"child_iron","gambia","domainPC1_enet",30,366,0.367,0.606,0.222,0.143,0.261,0.222,0.367,16.01,12.65,0.7,2.6
"child_iron","gambia","domainPC2_ridge",30,366,0.367,0.606,0.355,0.056,0.356,0.376,0.586,14.29,11.63,1.13,2.3
"child_iron","gambia","decorr20_rf",30,366,0.367,0.606,0.384,0.068,0.361,0.458,0.635,14.14,11.21,0.88,2
"child_iron","ghana","null_mean",75,366,0.523,0.723,-0.227,0.131,-0.211,-0.009,-0.314,18.76,14.9,-4,0.9
"child_iron","ghana","spatial_only",75,366,0.523,0.723,0.533,0.036,0.519,0.039,0.737,16.46,13.09,0.67,1.3
"child_iron","ghana","PROD enet_screen30",75,366,0.523,0.723,0.594,0.048,0.534,0.047,0.822,15.28,12.3,0.79,5.3
"child_iron","ghana","PROD ridge_all",75,366,0.523,0.723,0.274,0.17,0.283,0.014,0.378,18.59,13.83,1.58,9.4
"child_iron","ghana","binom_screen30",75,366,0.523,0.723,0.611,0.039,0.557,0.045,0.845,14.85,11.81,0.86,6.5
"child_iron","ghana","binom_ridge_all",75,366,0.523,0.723,0.469,0.055,0.475,0.025,0.649,16.46,13.55,1.15,5.3
"child_iron","ghana","decorr20_enet",75,366,0.523,0.723,0.445,0.084,0.42,0.022,0.616,17.02,13.01,1.06,2.9
"child_iron","ghana","decorr40screen12_enet",75,366,0.523,0.723,0.545,0.04,0.444,0.034,0.754,15.87,12.64,0.81,2.9
"child_iron","ghana","decorr40screen12_binom",75,366,0.523,0.723,0.563,0.021,0.481,0.043,0.778,15.4,12.24,0.9,3
"child_iron","ghana","curated16_enet",75,366,0.523,0.723,0.531,0.017,0.502,0.037,0.734,16.04,12.1,0.83,2.4
"child_iron","ghana","curated16_binom",75,366,0.523,0.723,0.558,0.017,0.548,0.038,0.771,15.53,11.98,0.86,2.9
"child_iron","ghana","curated16_ridge",75,366,0.523,0.723,0.507,0.022,0.452,0.029,0.701,16.31,12.5,0.81,2
"child_iron","ghana","domainPC1_enet",75,366,0.523,0.723,0.555,0.043,0.486,0.047,0.767,16.38,12.58,0.66,2.6
"child_iron","ghana","domainPC2_ridge",75,366,0.523,0.723,0.612,0.025,0.503,0.043,0.846,15.05,11.83,0.83,2.7
"child_iron","ghana","decorr20_rf",75,366,0.523,0.723,0.551,0.033,0.486,0.039,0.762,15.98,12.63,0.82,2.9
"child_iron","malawi","null_mean",97,366,0.155,0.394,-0.179,0.076,-0.134,-0.007,-0.454,15.04,11.51,-3.96,0.9
"child_iron","malawi","spatial_only",97,366,0.155,0.394,0.256,0.069,0.319,0.011,0.65,15.26,10.55,0.55,1.4
"child_iron","malawi","PROD enet_screen30",97,366,0.155,0.394,0.16,0.045,0.06,0.001,0.406,16.03,11.5,0.35,5.9
"child_iron","malawi","PROD ridge_all",97,366,0.155,0.394,0.279,0.084,0.224,0.003,0.708,15.04,10.81,0.85,10.3
"child_iron","malawi","binom_screen30",97,366,0.155,0.394,0.169,0.11,0.074,0.005,0.428,14.91,11.14,0.44,10.3
"child_iron","malawi","binom_ridge_all",97,366,0.155,0.394,0.316,0.125,0.296,0.007,0.802,14.08,10.6,0.92,5.5
"child_iron","malawi","decorr20_enet",97,366,0.155,0.394,0.12,0.052,0.026,-0.003,0.305,15.73,11.28,0.56,2.9
"child_iron","malawi","decorr40screen12_enet",97,366,0.155,0.394,0.146,0.065,0.058,0.003,0.372,15.99,11.39,0.37,3
"child_iron","malawi","decorr40screen12_binom",97,366,0.155,0.394,0.217,0.071,0.134,0.005,0.55,14.65,10.94,0.63,3.1
"child_iron","malawi","curated16_enet",97,366,0.155,0.394,0.266,0.089,0.239,0.009,0.676,15.14,10.85,0.65,2.1
"child_iron","malawi","curated16_binom",97,366,0.155,0.394,0.207,0.082,0.13,0.009,0.524,14.61,11.25,0.9,2.6
"child_iron","malawi","curated16_ridge",97,366,0.155,0.394,0.268,0.087,0.215,0.006,0.68,15.07,10.91,0.7,2
"child_iron","malawi","domainPC1_enet",97,366,0.155,0.394,0.162,0.136,0.055,-0.005,0.412,15.42,10.91,0.71,2.7
"child_iron","malawi","domainPC2_ridge",97,366,0.155,0.394,0.138,0.099,0.022,-0.006,0.35,15.6,11.14,0.41,2.8
"child_iron","malawi","decorr20_rf",97,366,0.155,0.394,0.19,0.086,0.204,0.008,0.483,15.71,11.22,0.61,3.4
"women_iron","gambia","null_mean",30,366,0.525,0.725,-0.45,0.149,-0.431,-0.47,-0.62,17.22,14.88,-4,0.8
"women_iron","gambia","spatial_only",30,366,0.525,0.725,0.668,0.063,0.656,0.672,0.921,12.46,9.86,0.96,1.4
"women_iron","gambia","PROD enet_screen30",30,366,0.525,0.725,0.665,0.118,0.696,0.699,0.917,13,10.01,1.17,2.3
"women_iron","gambia","PROD ridge_all",30,366,0.525,0.725,0.653,0.069,0.684,0.654,0.901,13.45,10.9,1.62,9.5
"women_iron","gambia","binom_screen30",30,366,0.525,0.725,0.671,0.113,0.694,0.707,0.926,13.01,10.04,1.22,4.5
"women_iron","gambia","binom_ridge_all",30,366,0.525,0.725,0.659,0.066,0.683,0.659,0.91,13.44,10.81,1.64,6.7
"women_iron","gambia","decorr20_enet",30,366,0.525,0.725,0.532,0.148,0.622,0.547,0.734,14.74,12,1.2,4.9
"women_iron","gambia","decorr40screen12_enet",30,366,0.525,0.725,0.615,0.094,0.646,0.647,0.849,13.52,10.93,1.25,4.5
"women_iron","gambia","decorr40screen12_binom",30,366,0.525,0.725,0.629,0.101,0.654,0.655,0.869,13.45,10.84,1.29,5.1
"women_iron","gambia","curated16_enet",30,366,0.525,0.725,0.599,0.054,0.629,0.653,0.827,13.86,10.93,1.25,5.9
"women_iron","gambia","curated16_binom",30,366,0.525,0.725,0.611,0.051,0.652,0.673,0.843,13.75,10.81,1.4,7.5
"women_iron","gambia","curated16_ridge",30,366,0.525,0.725,0.633,0.054,0.681,0.641,0.874,13.43,10.71,1.53,3.7
"women_iron","gambia","domainPC1_enet",30,366,0.525,0.725,0.639,0.123,0.671,0.626,0.881,12.99,10.31,0.98,4.6
"women_iron","gambia","domainPC2_ridge",30,366,0.525,0.725,0.611,0.087,0.642,0.631,0.843,14.58,11.47,2.05,4.8
"women_iron","gambia","decorr20_rf",30,366,0.525,0.725,0.692,0.081,0.704,0.718,0.954,12.47,10.18,1.5,4.2
"women_iron","ghana","null_mean",75,366,0,0,-0.2,0.031,-0.186,-0.007,NA,11.88,9.58,-4,1.6
"women_iron","ghana","spatial_only",75,366,0,0,0.454,0.105,0.47,0.008,NA,11.07,8.37,0.95,2.2
"women_iron","ghana","PROD enet_screen30",75,366,0,0,0.342,0.064,0.338,0.008,NA,11.96,9.24,0.58,10.1
"women_iron","ghana","PROD ridge_all",75,366,0,0,-0.013,0.073,-0.069,-0.005,NA,12.73,9.95,-0.22,14
"women_iron","ghana","binom_screen30",75,366,0,0,0.419,0.03,0.398,0.008,NA,10.76,8.74,0.81,9.9
"women_iron","ghana","binom_ridge_all",75,366,0,0,0.238,0.054,0.256,0.004,NA,11.53,9.39,1.08,7.1
"women_iron","ghana","decorr20_enet",75,366,0,0,0.122,0.114,0.093,0,NA,12.64,9.92,0.61,2.9
"women_iron","ghana","decorr40screen12_enet",75,366,0,0,0.316,0.032,0.335,0.008,NA,12.16,9.29,0.54,5.7
"women_iron","ghana","decorr40screen12_binom",75,366,0,0,0.344,0.053,0.335,0.006,NA,11.29,9.05,0.65,7.3
"women_iron","ghana","curated16_enet",75,366,0,0,0.062,0.133,0.025,0,NA,12.64,9.96,0.08,5.6
"women_iron","ghana","curated16_binom",75,366,0,0,0.269,0.1,0.272,0.006,NA,11.44,9.36,0.67,7.6
"women_iron","ghana","curated16_ridge",75,366,0,0,0.073,0.103,0.092,0,NA,12.72,9.97,0.22,5.2
"women_iron","ghana","domainPC1_enet",75,366,0,0,0.249,0.03,0.424,0.024,NA,15.02,9.82,0.24,6.1
"women_iron","ghana","domainPC2_ridge",75,366,0,0,0.161,0.04,0.247,0.017,NA,15.72,10.64,0.16,6.7
"women_iron","ghana","decorr20_rf",75,366,0,0,0.376,0.077,0.37,0.005,NA,11.88,9.18,0.96,7
"women_iron","malawi","null_mean",97,366,0.157,0.397,-0.198,0.054,-0.182,-0.004,-0.499,16.57,12.91,-4.02,2.1
"women_iron","malawi","spatial_only",97,366,0.157,0.397,0,0.094,0.037,-0.001,-0.001,18.12,13.6,0.02,3.1
"women_iron","malawi","PROD enet_screen30",97,366,0.157,0.397,0.088,0.024,0.105,0.002,0.222,18.35,13.52,0.23,13.9
"women_iron","malawi","PROD ridge_all",97,366,0.157,0.397,0.037,0.098,0.056,0.003,0.094,17.97,13.33,0.23,23.2
"women_iron","malawi","binom_screen30",97,366,0.157,0.397,-0.058,0.074,-0.016,-0.001,-0.146,17.6,13.47,-0.21,27
"women_iron","malawi","binom_ridge_all",97,366,0.157,0.397,0.015,0.066,-0.014,-0.001,0.038,16.77,13.12,0.12,13.2
"women_iron","malawi","decorr20_enet",97,366,0.157,0.397,-0.088,0.089,-0.092,-0.002,-0.223,17.95,13.3,-1.81,7.1
"women_iron","malawi","decorr40screen12_enet",97,366,0.157,0.397,0.014,0.105,-0.031,0.002,0.036,18.3,13.62,-0.09,6.5
"women_iron","malawi","decorr40screen12_binom",97,366,0.157,0.397,-0.132,0.104,-0.112,-0.002,-0.332,16.85,13.09,-1.27,7.6
"women_iron","malawi","curated16_enet",97,366,0.157,0.397,0.254,0.071,0.229,0.009,0.642,17.37,12.84,0.6,5.1
"women_iron","malawi","curated16_binom",97,366,0.157,0.397,0.196,0.039,0.196,0.005,0.493,16.38,12.74,0.58,6.2
"women_iron","malawi","curated16_ridge",97,366,0.157,0.397,0.255,0.066,0.295,0.011,0.643,17.34,12.79,0.57,4.8
"women_iron","malawi","domainPC1_enet",97,366,0.157,0.397,0.086,0.091,0.099,0.003,0.217,17.76,13.13,0.49,7.1
"women_iron","malawi","domainPC2_ridge",97,366,0.157,0.397,-0.015,0.065,0.003,0.003,-0.038,18.12,13.39,-0.21,2.9
"women_iron","malawi","decorr20_rf",97,366,0.157,0.397,-0.012,0.056,0.032,0.002,-0.031,18.77,13.72,-0.04,3.3
"women_folate","ghana","null_mean",75,487,0.519,0.721,-0.23,0.064,-0.226,-0.221,-0.319,29.69,25.53,-4,1.2
"women_folate","ghana","spatial_only",75,487,0.519,0.721,0.481,0.009,0.417,0.77,0.668,27.46,21.64,0.59,1.5
"women_folate","ghana","PROD enet_screen30",75,487,0.519,0.721,0.301,0.041,0.21,0.651,0.418,31.1,25.29,0.39,6.8
"women_folate","ghana","PROD ridge_all",75,487,0.519,0.721,-0.163,0.104,-0.119,-0.096,-0.226,30.04,25.49,-1.78,16
"women_folate","ghana","binom_screen30",75,487,0.519,0.721,0.228,0.04,0.134,0.519,0.316,28.98,24.44,0.57,8.9
"women_folate","ghana","binom_ridge_all",75,487,0.519,0.721,-0.138,0.067,-0.153,0.058,-0.192,29.83,25.49,-1.79,6
"women_folate","ghana","decorr20_enet",75,487,0.519,0.721,0.008,0.139,-0.017,0.177,0.012,29.88,25.31,-0.03,3.4
"women_folate","ghana","decorr40screen12_enet",75,487,0.519,0.721,0.242,0.032,0.215,0.526,0.335,31.92,25.3,0.35,3.6
"women_folate","ghana","decorr40screen12_binom",75,487,0.519,0.721,0.166,0.113,0.154,0.427,0.23,30.05,24.94,0.45,3.6
"women_folate","ghana","curated16_enet",75,487,0.519,0.721,0.434,0.059,0.37,0.626,0.602,28.05,22.07,0.58,2.5
"women_folate","ghana","curated16_binom",75,487,0.519,0.721,0.436,0.041,0.36,0.657,0.605,26.39,22.22,0.86,3.3
"women_folate","ghana","curated16_ridge",75,487,0.519,0.721,0.409,0.07,0.341,0.612,0.567,28.67,22.71,0.54,2.3
"women_folate","ghana","domainPC1_enet",75,487,0.519,0.721,0.31,0.042,0.24,0.622,0.431,29.21,23.75,0.5,3
"women_folate","ghana","domainPC2_ridge",75,487,0.519,0.721,0.459,0.03,0.4,0.789,0.637,27.91,22.74,0.57,3
"women_folate","ghana","decorr20_rf",75,487,0.519,0.721,0.371,0.066,0.268,0.633,0.515,27.95,23.49,0.63,3.4
"women_folate","malawi","null_mean",97,487,0.486,0.697,-0.224,0.072,-0.219,-0.142,-0.321,21.11,17.69,-3.98,1.2
"women_folate","malawi","spatial_only",97,487,0.486,0.697,0.26,0.052,0.336,0.122,0.372,22.24,15.67,0.51,1.7
"women_folate","malawi","PROD enet_screen30",97,487,0.486,0.697,0.407,0.052,0.366,0.102,0.584,21.15,15.58,0.6,6.4
"women_folate","malawi","PROD ridge_all",97,487,0.486,0.697,0.292,0.093,0.291,0.107,0.418,22.11,16.23,0.69,15.6
"women_folate","malawi","binom_screen30",97,487,0.486,0.697,0.413,0.041,0.35,0.212,0.593,19.2,14.83,0.77,9
"women_folate","malawi","binom_ridge_all",97,487,0.486,0.697,0.332,0.067,0.306,0.236,0.477,19.64,15.21,0.88,7.2
"women_folate","malawi","decorr20_enet",97,487,0.486,0.697,0.235,0.063,0.241,-0.048,0.338,22.74,17.36,0.83,4
"women_folate","malawi","decorr40screen12_enet",97,487,0.486,0.697,0.407,0.038,0.438,0.218,0.585,21.24,15.25,0.62,3.8
"women_folate","malawi","decorr40screen12_binom",97,487,0.486,0.697,0.419,0.048,0.417,0.291,0.602,18.99,14.68,0.92,4.5
"women_folate","malawi","curated16_enet",97,487,0.486,0.697,0.315,0.086,0.33,0.03,0.453,21.82,16.07,0.84,2.8
"women_folate","malawi","curated16_binom",97,487,0.486,0.697,0.291,0.084,0.31,0.101,0.418,20.17,15.61,0.79,4
"women_folate","malawi","curated16_ridge",97,487,0.486,0.697,0.296,0.067,0.33,0.093,0.424,22.08,16.25,0.9,2.5
"women_folate","malawi","domainPC1_enet",97,487,0.486,0.697,0.364,0.085,0.353,0.218,0.522,21.37,15.83,0.85,3.6
"women_folate","malawi","domainPC2_ridge",97,487,0.486,0.697,0.323,0.067,0.336,0.064,0.464,21.99,16.02,0.91,3.6
"women_folate","malawi","decorr20_rf",97,487,0.486,0.697,0.434,0.063,0.407,0.108,0.622,20.9,15.15,0.92,4.1
"women_vitA","gambia","null_mean",30,237,0.128,0.358,-0.254,0.137,-0.211,-0.012,-0.71,4.94,3.95,-4,0.5
"women_vitA","gambia","spatial_only",30,237,0.128,0.358,0.48,0.157,0.446,0.034,1.339,4.48,2.97,1.43,1
"women_vitA","gambia","PROD enet_screen30",30,237,0.128,0.358,0.342,0.273,0.415,0.022,0.955,5.2,3.33,1.02,2.1
"women_vitA","gambia","PROD ridge_all",30,237,0.128,0.358,0.28,0.122,0.337,0.026,0.781,5.07,3.34,2.44,5.6
"women_vitA","gambia","binom_screen30",30,237,0.128,0.358,0.288,0.107,0.335,0.021,0.804,4.9,3.64,0.63,2.3
"women_vitA","gambia","binom_ridge_all",30,237,0.128,0.358,0.198,0.073,0.298,0.02,0.551,4.85,3.67,0.97,3.4
"women_vitA","gambia","decorr20_enet",30,237,0.128,0.358,0.493,0.231,0.452,0.07,1.376,4.8,3.14,2.35,2.5
"women_vitA","gambia","decorr40screen12_enet",30,237,0.128,0.358,0.551,0.074,0.45,0.042,1.538,4.52,3.08,1.91,2.4
"women_vitA","gambia","decorr40screen12_binom",30,237,0.128,0.358,0.384,0.162,0.37,0.033,1.07,5.37,3.68,0.89,3.4
"women_vitA","gambia","curated16_enet",30,237,0.128,0.358,0.132,0.068,0.195,0,0.367,5.15,3.4,1.28,3.7
"women_vitA","gambia","curated16_binom",30,237,0.128,0.358,0.105,0.079,0.289,0.009,0.293,5.64,3.98,0.33,4.4
"women_vitA","gambia","curated16_ridge",30,237,0.128,0.358,0.353,0.113,0.422,0.024,0.984,4.98,3.31,3.09,1.9
"women_vitA","gambia","domainPC1_enet",30,237,0.128,0.358,0.294,0.053,0.357,0.024,0.821,4.97,3.24,1.66,2.4
"women_vitA","gambia","domainPC2_ridge",30,237,0.128,0.358,0.368,0.238,0.397,0.018,1.027,5.11,3.37,3.55,2.2
"women_vitA","gambia","decorr20_rf",30,237,0.128,0.358,0.423,0.069,0.452,0.064,1.179,4.82,3.26,2.17,1.6
"women_vitA","ghana","null_mean",75,237,0,0,-0.211,0.115,-0.206,-0.003,NA,4.19,2.76,-4,0.6
"women_vitA","ghana","spatial_only",75,237,0,0,0.03,0.062,0.044,0,NA,4.2,2.2,0.43,1.1
"women_vitA","ghana","PROD enet_screen30",75,237,0,0,-0.112,0.074,-0.142,-0.002,NA,4.23,2.2,-2.51,9.2
"women_vitA","ghana","PROD ridge_all",75,237,0,0,-0.101,0.166,-0.166,-0.003,NA,4.22,2.18,-3.96,5.3
"women_vitA","ghana","binom_screen30",75,237,0,0,-0.167,0.119,-0.194,-0.003,NA,4.25,2.94,-1.49,13.7
"women_vitA","ghana","binom_ridge_all",75,237,0,0,-0.018,0.157,-0.063,-0.001,NA,4.18,2.89,-0.07,3.8
"women_vitA","ghana","decorr20_enet",75,237,0,0,-0.163,0.118,-0.183,-0.003,NA,4.22,2.18,-7.98,2.3
"women_vitA","ghana","decorr40screen12_enet",75,237,0,0,-0.19,0.102,-0.211,-0.003,NA,4.23,2.19,-9.03,2.3
"women_vitA","ghana","decorr40screen12_binom",75,237,0,0,-0.176,0.054,-0.217,-0.003,NA,4.31,2.97,-1.37,3.1
"women_vitA","ghana","curated16_enet",75,237,0,0,-0.128,0.088,-0.172,-0.002,NA,4.23,2.2,-3.58,2.3
"women_vitA","ghana","curated16_binom",75,237,0,0,-0.171,0.115,-0.218,-0.002,NA,4.31,2.97,-1.93,6
