"n_test","r_max","pearson","spearman","rmse_pp","pattern_rmse_pp","level_bias_pp","calib","outcome","held_out","variant","anchor"
14,0,-0.116,-0.108,9.46,9.3,1.72,-0.07,"child_iron","sierraleone","zscore curated16","oracle_national"
97,0.394,0.122,-0.013,18.46,15.21,-10.45,0.34,"child_iron","malawi","PROD enet30","train_mean"
97,0.394,0.095,-0.013,16.88,16.86,0.74,0.15,"child_iron","malawi","PROD enet30","oracle_national"
97,0.394,-0.059,-0.021,16.48,16.24,-2.82,-0.15,"child_iron","malawi","PROD ridge_all","train_mean"
97,0.394,-0.059,-0.021,16.59,16.58,0.26,-0.14,"child_iron","malawi","PROD ridge_all","oracle_national"
97,0.394,0.113,0.006,24.73,14.88,-19.75,58.25,"child_iron","malawi","spatial_tps","train_mean"
97,0.394,0.103,0.006,25.03,24.6,4.66,0.07,"child_iron","malawi","spatial_tps","oracle_national"
97,0.394,0.052,0.049,24.75,14.89,-19.77,237.36,"child_iron","malawi","spatial + decorr20","train_mean"
97,0.394,0.047,0.049,23.6,23.29,3.83,0.04,"child_iron","malawi","spatial + decorr20","oracle_national"
97,0.394,-0.154,-0.134,29.78,28.64,8.17,-0.1,"child_iron","malawi","centered_own enet30","train_mean"
97,0.394,-0.154,-0.134,29.78,28.64,8.17,-0.1,"child_iron","malawi","centered_own enet30","oracle_national"
97,0.394,-0.161,-0.115,26.37,24.8,8.96,-0.14,"child_iron","malawi","centered_own ridge_all","train_mean"
97,0.394,-0.161,-0.115,26.37,24.8,8.95,-0.14,"child_iron","malawi","centered_own ridge_all","oracle_national"
97,0.394,-0.018,0.052,15.3,15.28,0.77,-0.09,"child_iron","malawi","centered_own decorr20","train_mean"
97,0.394,-0.018,0.052,15.3,15.28,0.77,-0.09,"child_iron","malawi","centered_own decorr20","oracle_national"
97,0.394,0.067,0.068,21.3,20.73,4.89,0.06,"child_iron","malawi","zscore ridge_all","train_mean"
97,0.394,0.07,0.068,23.74,22.75,6.79,0.06,"child_iron","malawi","zscore ridge_all","oracle_national"
97,0.394,0.198,0.168,19.82,19.34,4.32,0.19,"child_iron","malawi","zscore screen30","train_mean"
97,0.394,0.201,0.168,22.22,21.41,5.96,0.16,"child_iron","malawi","zscore screen30","oracle_national"
97,0.394,0.072,-0.032,23.81,23.38,4.49,0.06,"child_iron","malawi","zscore decorr20","train_mean"
97,0.394,0.07,-0.032,26.52,25.84,5.99,0.05,"child_iron","malawi","zscore decorr20","oracle_national"
97,0.394,0.093,0.091,23.95,23.48,4.68,0.07,"child_iron","malawi","zscore curated16","train_mean"
97,0.394,0.089,0.091,26.92,26.18,6.27,0.06,"child_iron","malawi","zscore curated16","oracle_national"
30,0.725,0.496,0.528,18.01,14.5,-10.69,0.71,"women_iron","gambia","PROD enet30","train_mean"
30,0.725,0.502,0.528,15.68,14.47,-6.05,0.7,"women_iron","gambia","PROD enet30","oracle_national"
30,0.725,0.255,0.372,43.43,16.23,-40.29,47.67,"women_iron","gambia","PROD ridge_all","train_mean"
30,0.725,0.257,0.372,17.37,16.19,-6.28,19.25,"women_iron","gambia","PROD ridge_all","oracle_national"
30,0.725,-0.427,-0.363,31.4,16.4,-26.78,-20.36,"women_iron","gambia","spatial_tps","train_mean"
30,0.725,-0.427,-0.363,17.61,16.45,-6.28,-15.21,"women_iron","gambia","spatial_tps","oracle_national"
30,0.725,0.58,0.491,31.65,14.61,-28.08,2.91,"women_iron","gambia","spatial + decorr20","train_mean"
30,0.725,0.58,0.491,15.44,14.12,-6.24,2.1,"women_iron","gambia","spatial + decorr20","oracle_national"
30,0.725,0.625,0.648,44.29,14.55,-41.83,3.35,"women_iron","gambia","centered_own enet30","train_mean"
30,0.725,0.634,0.648,12.74,12.62,-1.77,1.12,"women_iron","gambia","centered_own enet30","oracle_national"
30,0.725,0.708,0.737,43.8,13.6,-41.63,2.74,"women_iron","gambia","centered_own ridge_all","train_mean"
30,0.725,0.727,0.737,11.42,11.17,-2.36,0.94,"women_iron","gambia","centered_own ridge_all","oracle_national"
30,0.725,NA,NA,45.05,16.25,-42.01,NA,"women_iron","gambia","centered_own decorr20","train_mean"
30,0.725,NA,NA,16.28,16.25,-0.99,NA,"women_iron","gambia","centered_own decorr20","oracle_national"
30,0.725,0.683,0.681,41.11,12.28,-39.23,1.4,"women_iron","gambia","zscore ridge_all","train_mean"
30,0.725,0.665,0.681,13.93,12.94,-5.14,0.71,"women_iron","gambia","zscore ridge_all","oracle_national"
30,0.725,0.518,0.537,41.38,13.91,-38.97,0.96,"women_iron","gambia","zscore screen30","train_mean"
30,0.725,0.592,0.537,15.31,14.39,-5.24,0.62,"women_iron","gambia","zscore screen30","oracle_national"
30,0.725,NA,NA,46.6,16.25,-43.68,NA,"women_iron","gambia","zscore decorr20","train_mean"
30,0.725,NA,NA,17.42,16.25,-6.28,NA,"women_iron","gambia","zscore decorr20","oracle_national"
30,0.725,0.515,0.607,41.19,14.13,-38.69,0.78,"women_iron","gambia","zscore curated16","train_mean"
30,0.725,0.588,0.607,15.45,14.48,-5.38,0.61,"women_iron","gambia","zscore curated16","oracle_national"
75,0,0.456,0.455,25.18,11.02,22.64,0.61,"women_iron","ghana","PROD enet30","train_mean"
75,0,0.459,0.455,10.54,10.46,1.24,1.17,"women_iron","ghana","PROD enet30","oracle_national"
75,0,0.258,0.284,24.55,14.09,20.11,0.27,"women_iron","ghana","PROD ridge_all","train_mean"
75,0,0.236,0.284,13.64,12.63,5.14,0.34,"women_iron","ghana","PROD ridge_all","oracle_national"
75,0,0.255,0.21,31.55,17.05,26.54,0.19,"women_iron","ghana","spatial_tps","train_mean"
75,0,0.273,0.21,13.08,12.83,2.54,0.35,"women_iron","ghana","spatial_tps","oracle_national"
75,0,-0.029,-0.056,38,29.02,24.54,-0.01,"women_iron","ghana","spatial + decorr20","train_mean"
75,0,-0.06,-0.056,26.51,26.41,2.31,-0.03,"women_iron","ghana","spatial + decorr20","oracle_national"
75,0,-0.06,0.307,87,16.88,85.34,-0.06,"women_iron","ghana","centered_own enet30","train_mean"
75,0,-0.059,0.307,86.98,16.87,85.33,-0.06,"women_iron","ghana","centered_own enet30","oracle_national"
75,0,0.097,0.099,53.2,20.18,49.23,0.07,"women_iron","ghana","centered_own ridge_all","train_mean"
75,0,0.097,0.099,52.58,20.27,48.52,0.06,"women_iron","ghana","centered_own ridge_all","oracle_national"
75,0,0.203,0.196,11.84,11.69,1.85,0.53,"women_iron","ghana","centered_own decorr20","train_mean"
75,0,0.203,0.196,11.76,11.67,1.43,0.55,"women_iron","ghana","centered_own decorr20","oracle_national"
75,0,0.26,0.179,15.86,14.97,5.24,0.24,"women_iron","ghana","zscore ridge_all","train_mean"
75,0,0.252,0.179,23.71,21.49,10.01,0.14,"women_iron","ghana","zscore ridge_all","oracle_national"
75,0,0.325,0.271,15.71,14.81,5.24,0.28,"women_iron","ghana","zscore screen30","train_mean"
75,0,0.327,0.271,24.2,22.03,10.02,0.17,"women_iron","ghana","zscore screen30","oracle_national"
75,0,0.234,0.17,14.88,14.15,4.58,0.25,"women_iron","ghana","zscore decorr20","train_mean"
75,0,0.247,0.17,21.03,19.2,8.58,0.16,"women_iron","ghana","zscore decorr20","oracle_national"
75,0,0.341,0.333,14.32,13.39,5.07,0.35,"women_iron","ghana","zscore curated16","train_mean"
75,0,0.34,0.333,20.99,18.6,9.73,0.21,"women_iron","ghana","zscore curated16","oracle_national"
14,0.231,-0.108,-0.156,12.72,8.06,-9.84,-0.18,"women_iron","sierraleone","PROD enet30","train_mean"
14,0.231,-0.124,-0.156,11.11,11.01,1.49,-0.1,"women_iron","sierraleone","PROD enet30","oracle_national"
14,0.231,-0.112,-0.156,7.1,6.99,-1.26,-0.48,"women_iron","sierraleone","PROD ridge_all","train_mean"
14,0.231,-0.112,-0.156,7.05,7.03,0.52,-0.45,"women_iron","sierraleone","PROD ridge_all","oracle_national"
14,0.231,0.08,0.081,14.54,6.71,-12.9,0.33,"women_iron","sierraleone","spatial_tps","train_mean"
14,0.231,0.087,0.081,8.37,8.3,1.12,0.1,"women_iron","sierraleone","spatial_tps","oracle_national"
14,0.231,0.093,0.196,11.36,6.94,-8.99,0.23,"women_iron","sierraleone","spatial + decorr20","train_mean"
14,0.231,0.108,0.196,8.12,8.04,1.12,0.13,"women_iron","sierraleone","spatial + decorr20","oracle_national"
14,0.231,-0.13,-0.077,9.89,7.8,-6.08,-0.26,"women_iron","sierraleone","centered_own enet30","train_mean"
14,0.231,-0.127,-0.077,9.01,8.83,1.8,-0.17,"women_iron","sierraleone","centered_own enet30","oracle_national"
14,0.231,0.06,0.055,9.36,6.97,-6.24,0.16,"women_iron","sierraleone","centered_own ridge_all","train_mean"
14,0.231,0.063,0.055,7.63,7.45,1.61,0.11,"women_iron","sierraleone","centered_own ridge_all","oracle_national"
14,0.231,0.085,0.209,9.33,6.62,-6.57,0.68,"women_iron","sierraleone","centered_own decorr20","train_mean"
14,0.231,0.085,0.209,6.76,6.66,1.16,0.44,"women_iron","sierraleone","centered_own decorr20","oracle_national"
14,0.231,0.05,-0.02,15.3,15.26,-1.15,0.02,"women_iron","sierraleone","zscore ridge_all","train_mean"
14,0.231,0.02,-0.02,9.93,9.77,1.77,0.02,"women_iron","sierraleone","zscore ridge_all","oracle_national"
14,0.231,-0.305,-0.477,24.14,24.14,-0.28,-0.1,"women_iron","sierraleone","zscore screen30","train_mean"
14,0.231,-0.328,-0.477,13.18,13.05,1.81,-0.24,"women_iron","sierraleone","zscore screen30","oracle_national"
14,0.231,-0.373,-0.411,17.22,17.2,-0.82,-0.18,"women_iron","sierraleone","zscore decorr20","train_mean"
14,0.231,-0.508,-0.411,12.36,12.23,1.79,-0.45,"women_iron","sierraleone","zscore decorr20","oracle_national"
14,0.231,-0.039,-0.002,15.05,15.03,-0.88,-0.02,"women_iron","sierraleone","zscore curated16","train_mean"
14,0.231,0.064,-0.002,9.74,9.58,1.79,0.06,"women_iron","sierraleone","zscore curated16","oracle_national"
97,0.397,0.038,0.069,17.27,17.06,-2.7,0.11,"women_iron","malawi","PROD enet30","train_mean"
97,0.397,0.04,0.069,17.34,17.33,0.66,0.1,"women_iron","malawi","PROD enet30","oracle_national"
97,0.397,0.039,0.044,16.93,16.4,4.2,0.4,"women_iron","malawi","PROD ridge_all","train_mean"
97,0.397,0.039,0.044,16.39,16.38,-0.11,0.48,"women_iron","malawi","PROD ridge_all","oracle_national"
97,0.397,0.109,0.016,23.12,16.34,-16.36,4.21,"women_iron","malawi","spatial_tps","train_mean"
