"n_test","r_max","pearson","spearman","rmse_pp","pattern_rmse_pp","level_bias_pp","calib","outcome","held_out","model","scale"
97,0.397,0.109,0.016,23.12,16.34,-16.36,4.21,"women_iron","malawi","spatial_tps","logit"
97,0.397,0.038,0.069,17.27,17.06,-2.7,0.11,"women_iron","malawi","PROD enet30","logit"
97,0.397,0.039,0.044,16.93,16.4,4.2,0.4,"women_iron","malawi","ridge_all","logit"
97,0.397,0.043,0.092,22.02,16.38,-14.71,0.49,"women_iron","malawi","curated16_ridge","logit"
97,0.397,0.147,0.061,16.94,16.73,-2.61,0.37,"women_iron","malawi","centered_own ridge_all","logit"
97,0.397,0.287,0.294,16.73,16.27,-3.86,12.08,"women_iron","malawi","centered_own decorr20","logit"
30,0.358,0.522,0.598,4.96,4.81,-1.22,64.39,"women_vitA","gambia","spatial_tps","continuous"
30,0.358,-0.164,-0.089,4.96,4.85,-1.04,-6.24,"women_vitA","gambia","PROD enet30","continuous"
30,0.358,NA,NA,5.28,4.83,-2.14,NA,"women_vitA","gambia","ridge_all","continuous"
30,0.358,NA,NA,5.28,4.83,-2.14,NA,"women_vitA","gambia","curated16_ridge","continuous"
30,0.358,0.375,0.437,5.24,4.81,-2.09,28.44,"women_vitA","gambia","centered_own ridge_all","continuous"
30,0.358,-0.083,-0.009,5.27,4.85,-2.08,-2.55,"women_vitA","gambia","centered_own decorr20","continuous"
30,0.358,-0.559,-0.568,5.26,4.85,-2.06,-102.95,"women_vitA","gambia","spatial_tps","logit"
30,0.358,0.09,0.477,5.23,4.82,-2.03,3.11,"women_vitA","gambia","PROD enet30","logit"
30,0.358,NA,NA,5.51,4.83,-2.64,NA,"women_vitA","gambia","ridge_all","logit"
30,0.358,NA,NA,5.51,4.83,-2.64,NA,"women_vitA","gambia","curated16_ridge","logit"
30,0.358,NA,NA,5.54,4.83,-2.7,NA,"women_vitA","gambia","centered_own ridge_all","logit"
30,0.358,NA,NA,5.54,4.83,-2.7,NA,"women_vitA","gambia","centered_own decorr20","logit"
75,0,0.239,0.215,5.3,4.01,3.46,1.18,"women_vitA","ghana","spatial_tps","continuous"
75,0,0.18,0.213,4.09,4.08,-0.13,2.26,"women_vitA","ghana","PROD enet30","continuous"
75,0,0.23,0.198,4.03,4.03,0.11,1.38,"women_vitA","ghana","ridge_all","continuous"
75,0,0.141,0.152,4.09,4.09,-0.11,1.17,"women_vitA","ghana","curated16_ridge","continuous"
75,0,0.239,0.229,4.05,4.02,0.48,1.47,"women_vitA","ghana","centered_own ridge_all","continuous"
75,0,0.052,0.079,4.13,4.13,-0.18,0.75,"women_vitA","ghana","centered_own decorr20","continuous"
75,0,0.239,0.217,4.65,4.01,2.34,1,"women_vitA","ghana","spatial_tps","logit"
