"outcome","country","variable","imp","rel"
"women_b12","ghana","gee_ghsl_smod",0.11255182752998,0.421407258287579
"women_b12","ghana","gee_wsf",0.212619618875994,0.796072819206923
"women_b12","ghana","gee_trmm",0.15440000801454,0.578091759901955
"women_b12","ghana","gee_soiltotalcarbon_mean_0_20",0.231790405834954,0.867850496645691
"women_b12","ghana","gee_soilzinc_mean_0_20",0.259239167702264,0.970621884154355
"women_b12","ghana","gee_soiliron_mean_0_20",0.204197368505108,0.764538924864236
"women_b12","ghana","gee_soilnitrogen_mean_0_20",0.124453771741805,0.465969534961949
"women_b12","ghana","MAP_202206_Pf_Parasite_Rate",0.0166980053720428,0.0625192928193858
"women_b12","ghana","MAP_202106_Insecticide_Treated_Net_Use",-0.0531279500902984,-0.198917283506822
"women_b12","ghana","MAP_201201_Sickle_Haemoglobin_HbS_Allele_Frequency",0.109999628200248,0.411851524313743
"women_b12","ghana","MAP_201201_G6PDd_Allele_Frequency",0.00183023726772357,0.00685262323973992
"women_b12","ghana","lon",0.236472013523824,0.885378985554673
"women_b12","ghana","lat",0.267085640592293,1
"child_zinc","malawi","gee_ndvi",0.00347092424654652,0.0210232311758382
"child_zinc","malawi","gee_elevation",0.0109842558186455,0.0665311406896001
"child_zinc","malawi","gee_popdensity",0.0572152843806225,0.346550389718807
"child_zinc","malawi","gee_ccnl",-0.00561154298325095,-0.0339888620465911
"child_zinc","malawi","gee_globalhumanmodification",0.0367962560534347,0.222873258667741
"child_zinc","malawi","gee_ghsl_smod",0.0750674248424687,0.454679997066577
"child_zinc","malawi","gee_wsf",0.0560400763787186,0.33943220800444
"child_zinc","malawi","gee_trmm",0.00625016290813577,0.0378569540476505
"child_zinc","malawi","gee_soiltotalcarbon_mean_0_20",-0.0136095908645047,-0.0824326763218005
"child_zinc","malawi","gee_soilzinc_mean_0_20",0.0645352989492647,0.390887386886114
"child_zinc","malawi","gee_soiliron_mean_0_20",0.016855801136599,0.102094825117909
"child_zinc","malawi","gee_soilnitrogen_mean_0_20",0.0496406761570257,0.300671330298388
