"n_test","r_max","pearson","spearman","rmse_pp","pattern_rmse_pp","level_bias_pp","calib","outcome","pool","held_out","variant","n_pred_pool"
75,0,0.213,0.26,4.16,4.1,-0.68,5.68,"women_vitA","four_country_pool","ghana","centered_own ridge_all",366
75,0,0.144,0.18,4.19,4.12,-0.75,10.66,"women_vitA","four_country_pool","ghana","centered_own decorr20",366
14,0,-0.349,-0.334,1.84,1.54,-1.01,-13.25,"women_vitA","four_country_pool","sierraleone","PROD enet30",366
14,0,-0.066,-0.14,1.59,1.53,-0.46,-2.59,"women_vitA","four_country_pool","sierraleone","PROD ridge_all",366
14,0,0.007,0.025,1.59,1.53,-0.44,0.06,"women_vitA","four_country_pool","sierraleone","centered_own enet30",366
14,0,-0.017,-0.089,1.59,1.53,-0.46,-0.32,"women_vitA","four_country_pool","sierraleone","centered_own ridge_all",366
14,0,0.161,0.043,1.57,1.51,-0.45,1.68,"women_vitA","four_country_pool","sierraleone","centered_own decorr20",366
97,0,-0.156,-0.167,4.96,4.76,1.4,-0.49,"women_vitA","four_country_pool","malawi","PROD enet30",366
97,0,-0.193,-0.263,4.38,4.36,-0.42,-10.46,"women_vitA","four_country_pool","malawi","PROD ridge_all",366
97,0,-0.064,-0.098,4.39,4.37,-0.4,-1.11,"women_vitA","four_country_pool","malawi","centered_own enet30",366
97,0,-0.128,-0.176,4.4,4.38,-0.4,-2.33,"women_vitA","four_country_pool","malawi","centered_own ridge_all",366
97,0,0.047,0.024,4.36,4.34,-0.44,2.43,"women_vitA","four_country_pool","malawi","centered_own decorr20",366
