"outcome","country","model","n","n_pred","reliability","r_max","pearson","pearson_sd","spearman","pearson_w","r_share","rmse_pp","mae_pp","calib","secs"
"women_vitA","gambia","gam_decorr12_spatial",30,237,0.076,0.275,0.242,0.301,0.195,0.056,0.88,17.21,8.29,0.04,2.9
"women_vitA","gambia","gam_decorr20_spatial",30,237,0.076,0.275,0.132,0.087,0.195,0.212,0.481,58.34,38.1,0.01,3.2
"women_vitA","gambia","gam_curated",30,237,0.076,0.275,0.104,0.048,0.045,-0.067,0.378,42.79,23.94,0.01,2.4
"women_vitA","gambia","gam_curated_spatial",30,237,0.076,0.275,0.104,0.048,0.045,-0.067,0.378,42.79,23.94,0.01,2.4
"women_vitA","gambia","gam_d40s12_spatial",30,237,0.076,0.275,0.18,0.294,0.11,-0.221,0.652,17.03,8.34,0.06,3.1
"women_vitA","tanzania","gam_spatial_only",168,237,0.601,0.775,-0.045,0.025,-0.027,0.226,-0.057,9.1,6.22,-0.13,7
"women_vitA","tanzania","gam_decorr12",168,237,0.601,0.775,0.109,0.031,0.197,0.379,0.141,8.91,5.87,0.27,4
"women_vitA","tanzania","gam_decorr12_spatial",168,237,0.601,0.775,0.075,0.034,0.158,0.347,0.097,9.49,6.25,0.15,13.3
"women_vitA","tanzania","gam_decorr20_spatial",168,237,0.601,0.775,0.078,0.04,0.147,0.331,0.101,9.75,6.44,0.14,11.5
"women_vitA","tanzania","gam_curated",168,237,0.601,0.775,0.043,0.046,0.095,0.301,0.055,10.99,6.68,0.06,2.8
"women_vitA","tanzania","gam_curated_spatial",168,237,0.601,0.775,0.01,0.033,0.055,0.282,0.013,11.28,7.03,0.02,10.6
"women_vitA","tanzania","gam_d40s12_spatial",168,237,0.601,0.775,0.014,0.058,0.006,0.252,0.019,10.09,6.66,0.01,10.6
