"country","outcome","target","predictor","r","p_perm","q_bh"
"Gambia","child_iron","binary","dhs_hh_mean_hhsize.x",0.61,0.000499750124937531,0.0141
"Gambia","child_iron","continuous","map_interventions202406globalantimalarialeffectivetreatment",-0.669,0.000499750124937531,0.0492
"Gambia","child_iron","continuous","dhs_hh_sheep_any",0.68,0.000499750124937531,0.0492
"Gambia","child_iron","continuous","tclim_vpd_t0",0.58,0.000999500249875062,0.0492
"Gambia","child_iron","continuous","precip_y2019",-0.575,0.000999500249875062,0.0492
"Gambia","child_iron","continuous","dhs_hh_sheep",0.625,0.000999500249875062,0.0492
"Gambia","child_iron","continuous","npp_gpp_t0",-0.617,0.00149925037481259,0.0492
"Gambia","child_iron","continuous","dhs_w_secondary_plus.x",-0.559,0.00149925037481259,0.0492
"Gambia","child_iron","continuous","dhs_w_edu_years_mean.x",-0.562,0.00149925037481259,0.0492
"Gambia","child_iron","continuous","dhs_w_edu_years_mean.y",-0.562,0.00149925037481259,0.0492
"Gambia","child_iron","continuous","dhs_w_secondary_plus.y",-0.559,0.00149925037481259,0.0492
"Gambia","women_iron","binary","aod_t0",-0.705,0.000499750124937531,0.0025
"Gambia","women_iron","binary","built_surface",-0.672,0.000499750124937531,0.0025
"Gambia","women_iron","binary","ghs_pop",-0.629,0.000499750124937531,0.0025
"Gambia","women_iron","binary","lcover_grass_frac_t0",0.666,0.000499750124937531,0.0025
"Gambia","women_iron","binary","lst_night_m03_t0",0.755,0.000499750124937531,0.0025
"Gambia","women_iron","binary","lst_night_m04_t0",0.681,0.000499750124937531,0.0025
"Gambia","women_iron","binary","lst_night_m05_t0",0.731,0.000499750124937531,0.0025
"Gambia","women_iron","binary","lst_night_m06_t0",0.745,0.000499750124937531,0.0025
"Gambia","women_iron","binary","lst_night_m07_t0",0.732,0.000499750124937531,0.0025
"Gambia","women_iron","binary","lst_night_annual_mean_t0",0.732,0.000499750124937531,0.0025
"Gambia","women_iron","continuous","aod_t0",-0.644,0.000499750124937531,0.0029
"Gambia","women_iron","continuous","lcover_grass_frac_t0",0.588,0.000499750124937531,0.0029
"Gambia","women_iron","continuous","lst_night_m03_t0",0.692,0.000499750124937531,0.0029
"Gambia","women_iron","continuous","lst_night_m04_t0",0.584,0.000499750124937531,0.0029
"Gambia","women_iron","continuous","lst_night_m05_t0",0.647,0.000499750124937531,0.0029
"Gambia","women_iron","continuous","lst_night_m06_t0",0.658,0.000499750124937531,0.0029
"Gambia","women_iron","continuous","lst_night_m07_t0",0.68,0.000499750124937531,0.0029
"Gambia","women_iron","continuous","lst_night_annual_mean_t0",0.632,0.000499750124937531,0.0029
"Gambia","women_iron","continuous","lst_night_annual_max_t0",0.569,0.000499750124937531,0.0029
"Gambia","women_iron","continuous","npp_gpp_t0",-0.784,0.000499750124937531,0.0029
"Ghana","child_vitA","binary","dhs_CN_ANMC_C_ANY.x",0.392,0.000499750124937531,0.0672
"Ghana","child_vitA","binary","dhs_CN_ANMC_C_ANY.y",0.392,0.000499750124937531,0.0672
"Ghana","child_vitA","binary","dhs_w_owns_house",-0.388,0.000499750124937531,0.0672
"Ghana","child_vitA","binary","dhs_WS_TLET_H_IMP.x",-0.386,0.000999500249875062,0.0672
"Ghana","child_vitA","binary","dhs_c_fever_2wk.x",0.416,0.000999500249875062,0.0672
"Ghana","child_vitA","binary","dhs_c_fever_2wk.y",0.416,0.000999500249875062,0.0672
"Ghana","child_vitA","binary","dhs_WS_TLET_H_IMP.y",-0.386,0.000999500249875062,0.0672
"Ghana","child_vitA","binary","dhs_hh_cows",0.387,0.000999500249875062,0.0672
"Ghana","child_vitA","binary","lcover_grass_frac_t0",0.358,0.00149925037481259,0.0672
"Ghana","child_vitA","binary","aef_A54.x",-0.363,0.00149925037481259,0.0672
"Ghana","child_vitA","continuous","dhs_CN_NUTS_C_WH2.x",0.38,0.000499750124937531,0.0603
"Ghana","child_vitA","continuous","dhs_CN_NUTS_C_WH2.y",0.38,0.000499750124937531,0.0603
"Ghana","child_vitA","continuous","dhs_c_mean_birthweight.x",-0.431,0.000999500249875062,0.0603
"Ghana","child_vitA","continuous","dhs_c_mean_birthweight.y",-0.431,0.000999500249875062,0.0603
"Ghana","child_vitA","continuous","dhs_hh_cows",0.421,0.000999500249875062,0.0603
"Ghana","child_vitA","continuous","dhs_hh_cows_any",0.449,0.000999500249875062,0.0603
"Ghana","child_vitA","continuous","aef_A03.x",0.357,0.00149925037481259,0.0603
"Ghana","child_vitA","continuous","aef_A03.y",0.357,0.00149925037481259,0.0603
"Ghana","child_vitA","continuous","soil_aluminium_stdev_0_20.x",0.363,0.00199900049975012,0.0603
"Ghana","child_vitA","continuous","spam_share_roots.x",-0.367,0.00199900049975012,0.0603
"Ghana","women_vitA","binary","dhs_ML_NETP_H_IT2.x",-0.282,0.0149925037481259,0.5631
"Ghana","women_vitA","binary","dhs_ML_NETP_H_IT2.y",-0.282,0.0149925037481259,0.5631
"Ghana","women_vitA","binary","aef_A04.x",-0.257,0.0209895052473763,0.5631
"Ghana","women_vitA","continuous","evi_t0",-0.394,0.000499750124937531,0.0071
"Ghana","women_vitA","continuous","grassland_frac",0.43,0.000499750124937531,0.0071
"Ghana","women_vitA","continuous","lst_night_m04_t0",0.493,0.000499750124937531,0.0071
"Ghana","women_vitA","continuous","lst_night_m05_t0",0.542,0.000499750124937531,0.0071
"Ghana","women_vitA","continuous","lst_night_m06_t0",0.394,0.000499750124937531,0.0071
"Ghana","women_vitA","continuous","lst_night_m07_t0",0.397,0.000499750124937531,0.0071
"Ghana","women_vitA","continuous","lst_night_m09_t0",0.444,0.000499750124937531,0.0071
"Ghana","women_vitA","continuous","lst_night_m10_t0",0.52,0.000499750124937531,0.0071
"Ghana","women_vitA","continuous","lst_night_annual_mean_t0",0.449,0.000499750124937531,0.0071
"Ghana","women_vitA","continuous","lst_night_annual_max_t0",0.527,0.000499750124937531,0.0071
"Ghana","child_iron","binary","ndvi_anomaly_t0",-0.409,0.000499750124937531,0.0021
"Ghana","child_iron","binary","lst_night_m06_t0",0.583,0.000499750124937531,0.0021
"Ghana","child_iron","binary","lst_night_m08_t0",0.619,0.000499750124937531,0.0021
"Ghana","child_iron","binary","lst_night_m09_t0",0.549,0.000499750124937531,0.0021
"Ghana","child_iron","binary","lst_night_m10_t0",0.444,0.000499750124937531,0.0021
"Ghana","child_iron","binary","lst_night_annual_sd_t0",0.561,0.000499750124937531,0.0021
"Ghana","child_iron","binary","lst_night_annual_range_t0",0.55,0.000499750124937531,0.0021
"Ghana","child_iron","binary","npp_gpp_t0",-0.436,0.000499750124937531,0.0021
"Ghana","child_iron","binary","npp_npp_t0",-0.479,0.000499750124937531,0.0021
"Ghana","child_iron","binary","soil_aluminium_stdev_20_50.x",0.482,0.000499750124937531,0.0021
"Ghana","child_iron","continuous","ndvi_anomaly_t0",-0.393,0.000499750124937531,0.0026
"Ghana","child_iron","continuous","grassland_frac",0.463,0.000499750124937531,0.0026
"Ghana","child_iron","continuous","lcover_tree_frac_t0",-0.4,0.000499750124937531,0.0026
"Ghana","child_iron","continuous","lst_night_m04_t0",0.519,0.000499750124937531,0.0026
"Ghana","child_iron","continuous","lst_night_m05_t0",0.571,0.000499750124937531,0.0026
"Ghana","child_iron","continuous","lst_night_m06_t0",0.609,0.000499750124937531,0.0026
"Ghana","child_iron","continuous","lst_night_m07_t0",0.505,0.000499750124937531,0.0026
"Ghana","child_iron","continuous","lst_night_m08_t0",0.591,0.000499750124937531,0.0026
"Ghana","child_iron","continuous","lst_night_m09_t0",0.62,0.000499750124937531,0.0026
"Ghana","child_iron","continuous","lst_night_m10_t0",0.532,0.000499750124937531,0.0026
"Ghana","women_iron","binary","lst_night_m10_t0",0.423,0.000499750124937531,0.0416
"Ghana","women_iron","binary","aef_A17.x",0.368,0.000499750124937531,0.0416
"Ghana","women_iron","binary","aef_A43.x",-0.374,0.000499750124937531,0.0416
"Ghana","women_iron","binary","aef_A57.x",0.354,0.000499750124937531,0.0416
"Ghana","women_iron","binary","aef_A17.y",0.368,0.000499750124937531,0.0416
"Ghana","women_iron","binary","aef_A43.y",-0.374,0.000499750124937531,0.0416
"Ghana","women_iron","binary","aef_A57.y",0.354,0.000499750124937531,0.0416
"Ghana","women_iron","binary","lst_night_m05_t0",0.375,0.000999500249875062,0.0416
"Ghana","women_iron","binary","precip_y2010",-0.371,0.000999500249875062,0.0416
"Ghana","women_iron","binary","precip_y2014",-0.356,0.000999500249875062,0.0416
"Ghana","women_iron","continuous","ndvi_y2017",-0.39,0.000499750124937531,0.0307
"Ghana","women_iron","continuous","ndvi_y2018",-0.44,0.000499750124937531,0.0307
"Ghana","women_iron","continuous","aef_A08.x",-0.454,0.000499750124937531,0.0307
"Ghana","women_iron","continuous","aef_A43.x",-0.461,0.000499750124937531,0.0307
"Ghana","women_iron","continuous","aef_A62.x",-0.414,0.000499750124937531,0.0307
"Ghana","women_iron","continuous","aef_A08.y",-0.454,0.000499750124937531,0.0307
"Ghana","women_iron","continuous","aef_A43.y",-0.461,0.000499750124937531,0.0307
"Ghana","women_iron","continuous","aef_A62.y",-0.414,0.000499750124937531,0.0307
"Ghana","women_iron","continuous","lst_night_m05_t0",0.429,0.000999500249875062,0.0307
"Ghana","women_iron","continuous","lst_night_m10_t0",0.444,0.000999500249875062,0.0307
"Ghana","women_folate","binary","aef_A12.x",-0.395,0.000499750124937531,0.0486
"Ghana","women_folate","binary","dhs_AN_NUTS_W_THN.x",0.474,0.000499750124937531,0.0486
"Ghana","women_folate","binary","dhs_w_anc_visits.x",-0.395,0.000499750124937531,0.0486
"Ghana","women_folate","binary","aef_A12.y",-0.395,0.000499750124937531,0.0486
"Ghana","women_folate","binary","dhs_AN_NUTS_W_THN.y",0.474,0.000499750124937531,0.0486
"Ghana","women_folate","binary","dhs_w_anc_visits.y",-0.395,0.000499750124937531,0.0486
"Ghana","women_folate","binary","tclim_pdsi_t0",-0.419,0.000999500249875062,0.0647
"Ghana","women_folate","binary","aef_A40.x",-0.377,0.000999500249875062,0.0647
"Ghana","women_folate","binary","aef_A40.y",-0.377,0.000999500249875062,0.0647
"Ghana","women_folate","binary","dhs_c_bottle_fed.x",-0.35,0.00249875062468766,0.1082
"Ghana","women_folate","continuous","dhs_AN_NUTS_W_THN.x",0.529,0.000499750124937531,0.1457
"Ghana","women_folate","continuous","dhs_AN_NUTS_W_THN.y",0.529,0.000499750124937531,0.1457
"Ghana","women_folate","continuous","dhs_w_anc_visits.x",-0.442,0.00149925037481259,0.1457
"Ghana","women_b12","binary","aef_A12.x",-0.417,0.000499750124937531,0.076
"Ghana","women_b12","binary","aef_A12.y",-0.417,0.000499750124937531,0.076
"Ghana","women_b12","binary","aef_A40.x",-0.38,0.000999500249875062,0.076
"Ghana","women_b12","binary","aef_A40.y",-0.38,0.000999500249875062,0.076
"Ghana","women_b12","binary","map_blooddisorders201201africahbcallelefrequency",0.387,0.000999500249875062,0.076
"Ghana","women_b12","binary","aef_A37.x",0.367,0.00149925037481259,0.076
"Ghana","women_b12","binary","aef_A38.x",0.368,0.00149925037481259,0.076
"Ghana","women_b12","binary","aef_A53.x",-0.373,0.00149925037481259,0.076
"Ghana","women_b12","binary","aef_A37.y",0.367,0.00149925037481259,0.076
