"country","outcome","target","n_areas","p_native","n_q10","n_q05","min_q","pi0","est_n_nonnull","Q_obs","Q_null","Q_z","p_omnibus_Q","p_Tmax"
"Malawi","child_iron","binary",87,589,37,12,0.0490588039313676,0.702886247877759,175,0.0219940793839178,0.0116793785412201,2.85224837247641,0.0154922538730635,0.0174912543728136
"Malawi","child_iron","continuous",83,589,29,19,0.0464767616191904,0.730050933786078,159,0.0237602162185112,0.0121640611613272,3.02707517153414,0.00899550224887556,0.00349825087456272
"Malawi","women_iron","binary",87,589,0,0,0.344813307631898,0.808149405772496,113,0.0162133428313579,0.0116480358373622,1.2541820116831,0.105447276361819,0.412293853073463
"Malawi","women_iron","continuous",75,589,0,0,0.163529346437892,0.736842105263158,155,0.0244604891667346,0.0136652207902994,2.44893760771815,0.0229885057471264,0.0114942528735632
"Malawi","women_folate","binary",87,589,127,67,0.0109019564291928,0.594227504244482,239,0.0359551674925063,0.011682603546487,6.61180272935329,0.000499750124937531,0.0199900049975013
"Malawi","women_folate","continuous",80,589,169,124,0.00817646732189461,0.573853989813243,251,0.0441627951654158,0.0127100438070328,7.83891280658914,0.000499750124937531,0.00249875062468766
"Malawi","women_b12","binary",87,589,27,0,0.0588705647176412,0.628183361629881,219,0.0253131728006482,0.011636547179655,3.8312400872141,0.00499750124937531,0.0189905047476262
"Malawi","women_b12","continuous",80,589,245,227,0.00342270725102565,0.393887945670628,357,0.0741190269896393,0.0126816681946343,15.8371443856236,0.000499750124937531,0.000499750124937531
"Malawi","child_zinc","binary",87,589,0,0,0.294352823588206,0.879456706281834,71,0.0102725295521975,0.0116482440582898,-0.381493392311188,0.578710644677661,0.0999500249875062
"Malawi","child_zinc","continuous",83,589,0,0,0.294352823588206,0.947368421052632,31,0.0109454288812497,0.0123078431079935,-0.36334922258914,0.584207896051974,0.0794602698650675
"Malawi","women_zinc","binary",87,589,0,0,0.588705647176412,1,0,0.00790554134274537,0.0116066847300595,-1.00162562303921,0.870064967516242,0.178410794602699
"Malawi","women_zinc","continuous",79,589,0,0,0.97372410840993,1,0,0.0105023880543276,0.0126974670174108,-0.567796366643938,0.691654172913543,0.621689155422289
