"unit","min_n","spatial","country","outcome","n_areas","p_used","n_basis","Q_obs","Q_null_mean","Q_ratio","Q_z","p_perm_Q","Tmax_obs","p_perm_Tmax","q_bh_Q","q_bh_Tmax"
"admin2",0,"S3_blockperm","Malawi","women_iron",87,369,0,0.0164142846454135,0.0116215651404354,1.41239879887629,1.77409254714313,0.0629685157421289,0.321387890664015,0.383308345827086,0.181034482758621,0.551005747126437
"admin2",0,"S3_blockperm","Gambia","child_iron",30,371,0,0.110507028840335,0.085672985759459,1.28987017156846,1.87508022796193,0.0459770114942529,0.685856717638466,0.0569715142428786,0.176245210727969,0.421455938697318
"admin2",0,"S3_blockperm","Malawi","women_vitA",87,369,0,0.0102866275248674,0.0147966412287698,0.695200171838093,-1.7081446613382,0.983508245877061,0.317111611928944,0.849075462268866,0.990004997501249,0.896029258098224
"admin2",0,"S3_blockperm","Malawi","women_zinc",87,369,0,0.00751729063142261,0.0113008055665621,0.665199537072426,-1.90063133520136,0.990004997501249,0.340550483874581,0.248375812093953,0.990004997501249,0.439434129089301
"admin2",0,"S3_blockperm","Gambia","women_iron",30,371,0,0.175032994438077,0.151939258211844,1.15199321424904,1.78345221874553,0.0444777611194403,0.789017230660114,0.128935532233883,0.176245210727969,0.421455938697318
"admin2",0,"S3_blockperm","Gambia","women_vitA",30,371,0,0.0930145174429667,0.0696377600630039,1.33569082863684,2.07074285678192,0.0219890054972514,0.631350085787624,0.0974512743628186,0.126436781609195,0.421455938697318
"admin2",0,"S3_blockperm","Ghana","women_iron",75,360,0,0.0361702591239953,0.0285130826151115,1.26854958519377,1.64207543302735,0.0599700149925037,0.456833010706404,0.0694652673663168,0.181034482758621,0.421455938697318
"admin2",0,"S3_blockperm","Ghana","women_vitA",75,360,0,0.0180884635057437,0.0210891449922598,0.857714407690902,-0.647117885526781,0.705647176411794,0.279786025745499,0.968015992003998,0.772851669403394,0.968015992003998
"admin2",0,"S3_blockperm","Ghana","women_folate",75,360,0,0.0347481709666544,0.0301831726848031,1.15124315556627,1.10440797520722,0.143928035982009,0.479462436462006,0.15192403798101,0.254641909814324,0.421455938697318
"admin2",0,"S3_blockperm","Ghana","women_b12",75,360,0,0.0348503172671846,0.0351752002684929,0.99076386207247,-0.070639063581155,0.487256371814093,0.432352739461755,0.581709145427286,0.659229208924949,0.668965517241379
"admin2",0,"S3_blockperm","Ghana","child_iron",75,360,0,0.106771835083898,0.0893674898964638,1.1947502968652,2.86267519999645,0.000999500249875062,0.624564459554571,0.158420789605197,0.0229885057471264,0.421455938697318
"admin2",0,"S3_blockperm","Ghana","child_vitA",75,360,0,0.0460518704954877,0.0383390481182474,1.2011740707138,1.28528720659227,0.112943528235882,0.425048547051467,0.380809595202399,0.216475095785441,0.551005747126437
"admin2",0,"S3_blockperm","SierraLeone","women_folate",14,369,0,0.0851716023854406,0.0895506571227079,0.951099691750258,-0.188614232304982,0.47576211894053,0.714097023430772,0.555222388805597,0.659229208924949,0.668965517241379
"admin2",0,"S3_blockperm","SierraLeone","child_vitA",14,369,0,0.0558554389623733,0.0613994372234115,0.909706041101557,-0.323863457081711,0.570214892553723,0.752531628423589,0.164917541229385,0.728607918263091,0.421455938697318
"admin2",0,"S3_blockperm","SierraLeone","child_iron",14,369,0,0.107612174421121,0.0731073902602306,1.4719739555477,1.35957761400319,0.106446776611694,0.750781289315963,0.215892053973014,0.216475095785441,0.439434129089301
"admin2",0,"S3_blockperm","SierraLeone","women_iron",14,369,0,0.0968288588262212,0.0570912020056665,1.69603818845171,2.61738547187861,0.0194902548725637,0.746675636756972,0.131434282858571,0.126436781609195,0.421455938697318
"admin2",0,"S3_blockperm","SierraLeone","women_vitA",14,369,0,0.0464443454938232,0.0556675719533387,0.834315991592978,-0.579879726445406,0.704147926036982,0.698549583879306,0.235882058970515,0.772851669403394,0.439434129089301
"admin2",15,"S0_none","Malawi","child_vitA",28,369,0,0.0439482913942752,0.0375516535060472,1.17034237619384,0.583512082369471,0.244377811094453,0.56074591171068,0.35632183908046,0.366566716641679,0.493368700265252
"admin2",15,"S0_none","Malawi","child_zinc",27,369,0,0.0238064077969141,0.0380204090690837,0.626148123594817,-1.35163984260839,0.958020989505247,0.519086420730384,0.636681659170415,0.958020989505247,0.716266866566717
