"group","predictor","meta_z","mu","tau2","k_countries","sign_agree","p_perm","p_fwer","domain","q_bh_perm"
"child_iron","lst_night_annual_min_t0",-0.851017874300254,-0.655166947807384,1.37075451981644,4,3,0.340829585207396,1,"Climate and weather",0.514694069969064
"child_iron","lst_night_m01_t0",-0.638761383933865,-0.498005673362088,1.43137118651742,4,3,0.48175912043978,1,"Climate and weather",0.646744727994426
"child_iron","lst_night_m02_t0",-0.480155188789233,-0.293111099039858,0.490600512644138,4,2,0.56671664167916,1,"Climate and weather",0.735952093157573
"child_iron","lst_night_m05_t0",1.38049283916885,0.902991589727103,0.711429783762229,4,3,0.127936031984008,1,"Climate and weather",0.303949935860095
"child_iron","lst_night_m06_t0",1.15898800811863,0.915546049948994,1.4961029468706,4,3,0.2023988005997,1,"Climate and weather",0.390020374428171
"child_iron","lst_night_m07_t0",1.44243375303983,0.930331720316646,0.663963885590674,4,3,0.117941029485257,1,"Climate and weather",0.295041221111299
"child_iron","lst_night_m08_t0",1.62704106230326,1.46126459425831,2.22641841360882,4,3,0.071464267866067,1,"Climate and weather",0.225899761983415
"child_iron","lst_night_m09_t0",0.145690066538771,0.205995236294413,6.99676737452914,4,2,0.868565717141429,1,"Climate and weather",0.933636333695616
"child_iron","lst_night_m10_t0",0.976094978423005,0.701768502072607,1.0675859745506,4,2,0.266866566716642,1,"Climate and weather",0.44787119714479
"child_iron","lst_night_m11_t0",-0.0826222096980039,-0.0431738379029644,0.0922138840578747,4,3,0.91704147926037,1,"Climate and weather",0.954299239269254
"child_iron","lst_night_m12_t0",-0.689311471729727,-0.603716962545562,2.06828527297773,4,3,0.43728135932034,1,"Climate and weather",0.608604279949578
"child_iron","ndvi_anomaly_t0",0.140859810518404,0.0704987410004279,0.00195568572193659,4,2,0.885557221389305,1,"Ecosystem productivity/greenness",0.938388760165372
"child_iron","ndvi_y2011",0.757262038599185,0.378631019299593,0,4,3,0.412293853073463,1,"Ecosystem productivity/greenness",0.591483104601545
"child_iron","ndvi_y2012",0.932676685373372,0.466338342686686,0,4,3,0.32183908045977,1,"Ecosystem productivity/greenness",0.498116087184623
"child_iron","ndvi_y2013",1.16920029342689,0.584600146713443,0,4,3,0.203398300849575,1,"Ecosystem productivity/greenness",0.390020374428171
"child_iron","ndvi_y2014",0.732022912420804,0.366011456210402,0,4,3,0.429285357321339,1,"Ecosystem productivity/greenness",0.601967813085938
"child_iron","ndvi_y2015",0.650352534175992,0.325176267087996,0,4,3,0.502248875562219,1,"Ecosystem productivity/greenness",0.664322094272013
"child_iron","ndvi_y2016",0.378931515877364,0.189465757938682,0,4,2,0.68615692153923,1,"Ecosystem productivity/greenness",0.825601715271396
"child_iron","ndvi_y2017",0.542140212817887,0.271070106408944,0,4,3,0.570214892553723,1,"Ecosystem productivity/greenness",0.735952093157573
"child_iron","ndvi_y2018",-0.312897348752155,-0.156448674376078,0,4,2,0.739630184907546,1,"Ecosystem productivity/greenness",0.868726014351315
"child_iron","npp_gpp_t0",-1.34447586295779,-1.04247416809451,1.40483107980562,4,2,0.133933033483258,1,"Ecosystem productivity/greenness",0.315367473495956
"child_iron","npp_npp_t0",-1.63331936169699,-1.58779623417226,2.78013496333797,4,3,0.0694652673663168,1,"Ecosystem productivity/greenness",0.223366764893415
"child_iron","ntl_ccnl",-1.29979888168681,-0.649899440843405,0,4,3,0.161419290354823,1,"Ruralness, population density, built environment",0.346031007484763
"child_iron","popdens_y2015",-1.66086347352757,-0.842455978407608,0.0291686688972554,4,3,0.0614692653673163,1,"Ruralness, population density, built environment",0.210348953963385
"child_iron","precip_y2010",-0.965934153615581,-0.482967076807791,0,4,2,0.254372813593203,1,"Climate and weather",0.435234217753509
"child_iron","precip_y2011",-1.13088277566597,-0.902445252094756,1.54722049982414,4,3,0.195902048975512,1,"Climate and weather",0.385567742444567
"child_iron","precip_y2012",-1.08597478972651,-0.542987394863255,0,4,4,0.225387306346827,1,"Climate and weather",0.412057129330072
"child_iron","precip_y2013",-1.58719108434337,-0.839140977425473,0.118076242503341,4,3,0.0684657671164418,1,"Climate and weather",0.223366764893415
"child_iron","precip_y2015",-1.13839501752416,-0.643556844205117,0.278344318282512,4,2,0.195902048975512,1,"Climate and weather",0.385567742444567
"child_iron","precip_y2016",-0.420604100410161,-0.226110362236809,0.155989577134144,4,2,0.63968015992004,1,"Climate and weather",0.792693354319518
"child_iron","precip_y2017",-0.995954540986636,-0.680833194573392,0.869228538907861,4,2,0.268865567216392,1,"Climate and weather",0.44787119714479
"child_iron","precip_y2018",-1.19413242277676,-0.868523047123891,1.11600994920092,4,2,0.168415792103948,1,"Climate and weather",0.352916238509959
"child_iron","soil_aluminium_mean_0_20",-0.904103104092671,-0.452051552046335,0,4,3,0.32383808095952,1,"Soil characteristics",0.498619003255574
"child_iron","soil_calcium_mean_0_20",1.00210927519683,0.501054637598413,0,4,4,0.278360819590205,1,"Soil characteristics",0.455027944543012
"child_iron","soil_calcium_mean_20_50",1.64543507095139,0.822717535475693,0,4,4,0.0734632683658171,1,"Soil characteristics",0.226461149590494
"child_iron","soil_cec_mean_0_20",0.110603899901594,0.0553019499507972,0,4,3,0.913543228385807,1,"Soil characteristics",0.954299239269254
"child_iron","soil_cec_mean_20_50",1.12791283864265,0.563956419321326,0,4,4,0.210894552723638,1,"Soil characteristics",0.401345245744475
"child_iron","soil_cec_stdev_0_20",-1.11308624142978,-0.556543120714891,0,4,4,0.219890054972514,1,"Soil characteristics",0.411026986506747
"child_iron","soil_iron_mean_0_20",-0.228002263520612,-0.205234621218374,2.24102904147352,4,2,0.782108945527236,1,"Soil characteristics",0.897620420558951
"child_iron","soil_iron_stdev_0_20",1.22038177072747,0.610190885363736,0,4,2,0.173413293353323,1,"Soil characteristics",0.357365516136959
"child_iron","soil_iron_stdev_20_50",-1.42654190861363,-1.06490855046086,1.22902813395708,4,3,0.118440779610195,1,"Soil characteristics",0.295041221111299
"child_iron","soil_magnesium_mean_0_20",0.863475791944967,0.431737895972484,0,4,3,0.356821589205397,1,"Soil characteristics",0.532377811094453
"child_iron","soil_magnesium_mean_20_50",1.57263979132282,0.786319895661412,0,4,4,0.0899550224887556,1,"Soil characteristics",0.252279875100044
"child_iron","soil_phosphorus_mean_20_50",1.51844367497574,0.817616812554005,0.159744292922913,4,3,0.0859570214892554,1,"Soil characteristics",0.250484132933533
"child_iron","soil_phosphorus_stdev_0_20",1.07421114814125,0.537105574070627,0,4,3,0.225387306346827,1,"Soil characteristics",0.412057129330072
