"unit","min_n","spatial","country","outcome","domain","n_pred","Q_obs","Q_ratio","Q_z","p_perm","q_bh"
"admin2",15,"S0_none","SierraLeone","child_vitA","Water and sanitation",8,0.100677912892342,1.19973534003421,0.330054010020904,0.274362818590705,0.454658385093168
"admin2",15,"S0_none","SierraLeone","child_iron","Adult and maternal mortality",9,0.00595726832648281,0.0699765997854206,-0.981295851409971,0.991504247876062,0.991504247876062
"admin2",15,"S0_none","SierraLeone","child_iron","Adult nutrition",9,0.140010852095861,1.67316680816869,1.27382162622114,0.116441779110445,0.278860569715142
"admin2",15,"S0_none","SierraLeone","child_iron","Agricultural production, land use",91,0.165224587007554,1.98769622206464,2.13144194936738,0.0299850074962519,0.110507246376812
"admin2",15,"S0_none","SierraLeone","child_iron","Built environment",13,0.136303052239465,1.66747996175691,1.14959702402744,0.139430284857571,0.278860569715142
"admin2",15,"S0_none","SierraLeone","child_iron","Climate and weather",41,0.202152898626584,2.43311534051629,2.29923935886072,0.0379810094952524,0.122383252818035
"admin2",15,"S0_none","SierraLeone","child_iron","Dietary diversity",11,0.0601521156517527,0.709237939675794,-0.451729022072448,0.602698650674663,0.728260869565217
"admin2",15,"S0_none","SierraLeone","child_iron","Ecosystem productivity/greenness",16,0.260661698270646,3.16223800995033,2.75506651404006,0.0254872563718141,0.110507246376812
"admin2",15,"S0_none","SierraLeone","child_iron","Education, employment, SES",9,0.0683767819934435,0.794767545114777,-0.240577470152948,0.453773113443278,0.612066059993259
"admin2",15,"S0_none","SierraLeone","child_iron","Fertility, reproductive health",23,0.104305506107474,1.24219486653286,0.462581195480123,0.260369815092454,0.431469979296066
"admin2",15,"S0_none","SierraLeone","child_iron","Food fortification and supplementation",6,0.0491315758353291,0.590912112359389,-0.634315178866863,0.694152923538231,0.801364023870418
"admin2",15,"S0_none","SierraLeone","child_iron","Healthcare access",6,0.155704583505506,1.83727079767839,0.994698286323326,0.132933533233383,0.278860569715142
"admin2",15,"S0_none","SierraLeone","child_iron","Household assets and characteristics",12,0.057098458821083,0.684985989099536,-0.408157728615019,0.543228385807096,0.670366944187481
"admin2",15,"S0_none","SierraLeone","child_iron","Infant and child morbidity/mortality",37,0.0542547587287298,0.648692127888047,-0.857941167317636,0.797101449275362,0.85829307568438
"admin2",15,"S0_none","SierraLeone","child_iron","Malaria incidence and treatment",23,0.0818415918518677,0.994086241240918,-0.00892763859579397,0.413293353323338,0.570738440303658
"admin2",15,"S0_none","SierraLeone","child_iron","Ruralness, population density, built environment",9,0.0259639187658444,0.321446961968125,-0.736663290827508,0.786606696651674,0.85829307568438
"admin2",15,"S0_none","SierraLeone","child_iron","Soil characteristics",45,0.0928815212638614,1.11864695775792,0.229755502216592,0.344327836081959,0.502898550724638
"admin2",15,"S0_none","SierraLeone","child_iron","Water and sanitation",8,0.0279570525928747,0.337076542863532,-1.12056209642707,0.942028985507246,0.968217645563183
"admin2",15,"S0_none","SierraLeone","women_iron","Adult and maternal mortality",9,0.142990674123897,1.83226317585105,0.924539507486782,0.144427786106947,0.349033816425121
"admin2",15,"S0_none","SierraLeone","women_iron","Adult nutrition",9,0.0272707214515088,0.351488809378599,-1.22973347134279,0.940029985007496,0.940029985007496
"admin2",15,"S0_none","SierraLeone","women_iron","Agricultural production, land use",91,0.140050244117489,1.82184626867013,1.69984534526728,0.0654672663668166,0.199847444698703
"admin2",15,"S0_none","SierraLeone","women_iron","Built environment",13,0.178421827999006,2.35035151567527,2.2236060794437,0.0409795102448776,0.158454106280193
"admin2",15,"S0_none","SierraLeone","women_iron","Climate and weather",41,0.112574537053409,1.47161623019753,0.741613473186994,0.179910044977511,0.359820089955023
"admin2",15,"S0_none","SierraLeone","women_iron","Dietary diversity",11,0.0808590109671591,1.06509977459511,0.0927720768250367,0.323338330834583,0.535840188014101
"admin2",15,"S0_none","SierraLeone","women_iron","Ecosystem productivity/greenness",16,0.0649910840525393,0.843370393648544,-0.201906598122346,0.459270364817591,0.650406504065041
"admin2",15,"S0_none","SierraLeone","women_iron","Education, employment, SES",9,0.0695813790962323,0.908299889340083,-0.104110416555841,0.391804097951024,0.598016781083143
"admin2",15,"S0_none","SierraLeone","women_iron","Fertility, reproductive health",23,0.0484343151591337,0.624522589032981,-0.700261992407142,0.739130434782609,0.840579710144927
"admin2",15,"S0_none","SierraLeone","women_iron","Food fortification and supplementation",6,0.184284248565788,2.4554200910102,2.18048356118933,0.0409795102448776,0.158454106280193
"admin2",15,"S0_none","SierraLeone","women_iron","Healthcare access",6,0.039951212122693,0.506433313551281,-0.57234390244192,0.64567716141929,0.764270925761609
"admin2",15,"S0_none","SierraLeone","women_iron","Household assets and characteristics",12,0.122479999770545,1.59605386707511,0.755669689157457,0.178410794602699,0.359820089955023
"admin2",15,"S0_none","SierraLeone","women_iron","Infant and child morbidity/mortality",37,0.0529276974586748,0.699113698292536,-0.729216603932283,0.75712143928036,0.844481605351171
"admin2",15,"S0_none","SierraLeone","women_iron","Malaria incidence and treatment",23,0.0577393642707753,0.75874773404117,-0.364402855279513,0.554222888555722,0.730566534914361
"admin2",15,"S0_none","SierraLeone","women_iron","Ruralness, population density, built environment",9,0.0423034115492986,0.549908401529893,-0.460175608417323,0.567716141929036,0.731723027375201
"admin2",15,"S0_none","SierraLeone","women_iron","Soil characteristics",45,0.0920428505312026,1.21768072181244,0.404085227923733,0.280359820089955,0.492753623188406
"admin2",15,"S0_none","SierraLeone","women_iron","Water and sanitation",8,0.0278150703265979,0.368360346666822,-1.12243740585209,0.932033983008496,0.940029985007496
"admin2",15,"S0_none","SierraLeone","women_vitA","Adult and maternal mortality",9,0.0394280469708611,0.51289075915651,-0.527160419662689,0.621189405297351,0.918279990439563
"admin2",15,"S0_none","SierraLeone","women_vitA","Adult nutrition",9,0.0340016743072738,0.446695397021446,-1.0893957036597,0.892053973013493,0.95417916041979
"admin2",15,"S0_none","SierraLeone","women_vitA","Agricultural production, land use",91,0.0353104107405448,0.464394385441271,-1.16162919015511,0.898050974512744,0.95417916041979
"admin2",15,"S0_none","SierraLeone","women_vitA","Built environment",13,0.0157028865990918,0.206165660726445,-1.36347500087815,0.987006496751624,0.995002498750625
"admin2",15,"S0_none","SierraLeone","women_vitA","Climate and weather",41,0.0375797368603042,0.50343824573253,-0.795711176433912,0.799100449775112,0.94273552878733
"admin2",15,"S0_none","SierraLeone","women_vitA","Dietary diversity",11,0.0668693805343372,0.888689144766052,-0.161495643976063,0.426286856571714,0.761219390304848
"admin2",15,"S0_none","SierraLeone","women_vitA","Ecosystem productivity/greenness",16,0.00865141820390864,0.116293373850236,-1.15586526763822,0.995002498750625,0.995002498750625
"admin2",15,"S0_none","SierraLeone","women_vitA","Education, employment, SES",9,0.100761759613511,1.32049799199481,0.366025096745988,0.250374812593703,0.757821089455272
"admin2",15,"S0_none","SierraLeone","women_vitA","Fertility, reproductive health",23,0.073803919018107,0.969008348584353,-0.0596725166317799,0.434282858570715,0.761219390304848
"admin2",15,"S0_none","SierraLeone","women_vitA","Food fortification and supplementation",6,0.066206486708492,0.855358630131234,-0.221398583205259,0.508245877061469,0.822874277147141
"admin2",15,"S0_none","SierraLeone","women_vitA","Healthcare access",6,0.0635139646602557,0.84824199845846,-0.168114816762062,0.411794102948526,0.761219390304848
"admin2",15,"S0_none","SierraLeone","women_vitA","Household assets and characteristics",12,0.0389174873732365,0.50148042935942,-0.641735005010492,0.704147926036982,0.9227693845385
"admin2",15,"S0_none","SierraLeone","women_vitA","Infant and child morbidity/mortality",37,0.0640644972186473,0.835403278592755,-0.400066643949931,0.603698150924538,0.918279990439563
"admin2",15,"S0_none","SierraLeone","women_vitA","Malaria incidence and treatment",23,0.0338560860010399,0.444488485172101,-0.872427189114977,0.804097951024488,0.94273552878733
"admin2",15,"S0_none","SierraLeone","women_vitA","Ruralness, population density, built environment",9,0.081238179226662,1.06580466409746,0.0704033806409954,0.324837581209395,0.757821089455272
"admin2",15,"S0_none","SierraLeone","women_vitA","Soil characteristics",45,0.0493690025975576,0.647214955562079,-0.664583545332938,0.705647176411794,0.9227693845385
"admin2",15,"S0_none","SierraLeone","women_vitA","Water and sanitation",8,0.0853007069126053,1.10868237303647,0.193055360530456,0.329835082458771,0.757821089455272
"admin2",15,"S1_latlon","Malawi","child_vitA","Adult and maternal mortality",9,0.0567736041514186,1.55134865692538,0.673673922793801,0.188905547226387,0.576659038901602
