"group","predictor","meta_z","mu","tau2","k_countries","sign_agree","p_perm","p_fwer","q_bh_perm"
"all","Agricultural production, land use",1.6750117573012,0.899136248260082,0.152591160444018,4,3,0.0119940029985007,0.0949525237381309,0.0269865067466267
"child_vitA","Education, employment, SES",-2.51908169548733,-1.93849164804031,1.36866343197274,4,3,0.00549725137431284,0.103448275862069,0.0329835082458771
"vitA","Soil characteristics",-2.25450976075152,-1.92123113980106,1.90479163925213,4,3,0.0104947526236882,0.114442778610695,0.0377811094452774
"vitA","Adult nutrition",2.1760782247451,1.32468096001563,0.482291346721645,4,3,0.0079960019990005,0.140929535232384,0.0359820089955022
"women_b12","Food fortification and supplementation",-2.34778999749249,-1.355497187053,0,3,3,0.00849575212393803,0.146426786606697,0.0305847076461769
"child_vitA","Water and sanitation",-2.30793095301003,-1.41392368822467,0.50129593541984,4,3,0.0129935032483758,0.166916541729135,0.0467766116941529
"child_vitA","Household assets and characteristics",-2.28960478720712,-1.65739610957217,1.09600142019277,4,3,0.0129935032483758,0.173913043478261,0.0467766116941529
"child_iron","Healthcare access",2.16175420794769,1.12046414762838,0.0745912366413498,4,4,0.0124937531234383,0.226886556721639,0.224887556221889
"iron","Fertility, reproductive health",-2.04700118678303,-1.14998415482239,0.262430607067542,4,3,0.0179910044977511,0.250374812593703,0.107946026986507
"women_vitA","Healthcare access",2.14486512855783,1.07243256427891,0,4,4,0.0179910044977511,0.251374312843578,0.0809595202398801
"women_iron","Agricultural production, land use",2.08317344806316,1.04158672403158,0,4,4,0.0264867566216892,0.267866066966517,0.158920539730135
"women_b12","Healthcare access",2.08016542830538,1.20098406999106,0,3,3,0.0214892553723138,0.270364817591204,0.0644677661169415
"all","Dietary diversity",-1.401002089374,-0.853712085606213,0.485269573957434,4,3,0.0204897551224388,0.281859070464768,0.0409795102448776
"vitA","Water and sanitation",-1.89369589364826,-1.16524907126091,0.514527095257117,4,3,0.0259870064967516,0.284857571214393,0.0689655172413793
"child_iron","Fertility, reproductive health",-2.0539863044643,-1.41798115577819,0.906363977536233,4,3,0.0249875062468766,0.293353323338331,0.224887556221889
"all","Healthcare access",1.36562103843372,0.717550547736626,0.104344555256662,4,3,0.0249875062468766,0.31584207896052,0.0449775112443778
"vitA","Ecosystem productivity/greenness",-1.82995035000654,-1.08069262039983,0.395037074984766,4,3,0.0344827586206897,0.325337331334333,0.0689655172413793
"vitA","Fertility, reproductive health",-1.81400462429175,-1.75116993042884,2.72769004814816,4,3,0.0329835082458771,0.334332833583208,0.0689655172413793
"women_vitA","Fertility, reproductive health",-2.01001828753685,-1.06019398263446,0.112834660489981,4,3,0.0329835082458771,0.335332333833083,0.115656457485543
"women_b12","Malaria incidence and treatment",1.95865107282811,1.13082772414586,0,3,3,0.0364817591204398,0.335832083958021,0.0938102377382737
"all","Ruralness, population density, built environment",-1.32539980174008,-1.08755404137192,1.69319551092432,4,2,0.0329835082458771,0.362818590704648,0.0539730134932534
"vitA","Household assets and characteristics",-1.78242828354019,-1.33172195674045,1.23286765139937,4,3,0.0284857571214393,0.363318340829585,0.0689655172413793
"women_vitA","Dietary diversity",-1.92307009960021,-1.28712417481846,0.791887150494197,4,3,0.039480259870065,0.3928035982009,0.115656457485543
"women_vitA","Education, employment, SES",-1.90846131443737,-1.15615870045401,0.468007156704329,4,3,0.0449775112443778,0.403798100949525,0.115656457485543
"vitA","Dietary diversity",-1.72017296507369,-0.92061960604044,0.145713933952521,4,3,0.0414792603698151,0.407796101949025,0.0746626686656672
"iron","Adult nutrition",1.70669049191354,1.07381718100171,0.583474777378031,4,3,0.0454772613693153,0.474262868565717,0.204647676161919
"women_iron","Adult nutrition",1.76956633290475,0.937700801214941,0.123194250124045,4,3,0.0464767616191904,0.497251374312844,0.192503748125937
"women_iron","Fertility, reproductive health",-1.76397430773319,-0.881987153866595,0,4,3,0.0534732633683158,0.499750124937531,0.192503748125937
"child_iron","Soil characteristics",-1.76678431114732,-1.37793811930642,1.43305738634112,4,4,0.0499750124937531,0.502248875562219,0.259370314842579
"iron","Agricultural production, land use",1.66340320840539,1.00727111890324,0.466755364314951,4,4,0.0594702648675662,0.516741629185407,0.214092953523238
"child_iron","Climate and weather",1.72212349017855,0.948254337793946,0.212777374327736,4,3,0.0659670164917541,0.539230384807596,0.259370314842579
"women_b12","Adult nutrition",1.67847014112482,1.11512865939311,0.324170688279504,3,2,0.0674662668665667,0.55872063968016,0.151799100449775
"women_vitA","Agricultural production, land use",1.69326332816251,0.960308264314897,0.286566735973522,4,3,0.0744627686156921,0.575212393803098,0.167541229385307
"child_vitA","Fertility, reproductive health",-1.68393856883506,-2.44214587822323,7.41299649230842,4,3,0.0734632683658171,0.578210894552724,0.220389805097451
"women_folate","Ruralness, population density, built environment",-1.62475555996572,-0.93805305991355,0,3,3,0.0659670164917541,0.618690654672664,0.794602698650675
"child_iron","Adult nutrition",1.62236249602254,1.20993356078849,1.22478086885962,4,3,0.072463768115942,0.627686156921539,0.259370314842579
"child_vitA","Soil characteristics",-1.61946736369761,-2.23667633849173,6.62995326015245,4,3,0.0864567716141929,0.64167916041979,0.220389805097451
"women_b12","Water and sanitation",-1.58464945809929,-1.77847185694007,2.77875588147727,3,2,0.0779610194902549,0.64767616191904,0.15592203898051
"iron","Healthcare access",1.46164818897254,0.730824094486272,0,4,2,0.0829585207396302,0.698150924537731,0.247376311844078
"child_iron","Ruralness, population density, built environment",-1.54669135202257,-1.21809649956993,1.48093889095512,4,3,0.0864567716141929,0.709145427286357,0.259370314842579
"child_vitA","Adult nutrition",1.51767988075613,1.12180931590578,1.18543413391822,4,3,0.0979510244877561,0.735632183908046,0.220389805097451
"women_vitA","Water and sanitation",-1.44734687098789,-0.916574454297157,0.60416943053778,4,3,0.109445277361319,0.765617191404298,0.218890554722639
"iron","Ruralness, population density, built environment",-1.35784559727389,-1.50392363970353,3.90694043643647,4,3,0.109945027486257,0.780109945027486,0.247376311844078
"child_vitA","Ruralness, population density, built environment",-1.45688982905917,-0.728444914529584,0,4,3,0.111444277861069,0.783608195902049,0.222888555722139
"iron","Water and sanitation",-1.34061128341579,-0.765760290232388,0.305088412374206,4,3,0.109445277361319,0.792103948025987,0.247376311844078
"child_iron","Education, employment, SES",-1.42688564327153,-0.856431476429678,0.441009672146583,4,3,0.118440779610195,0.806096951524238,0.299100449775112
"women_folate","Infant and child morbidity/mortality",-1.37654536310417,-1.41639447498789,2.17620589209402,3,3,0.128935532233883,0.826086956521739,0.794602698650675
"all","Ecosystem productivity/greenness",-0.921824241705601,-0.460912120852801,0,4,3,0.159420289855072,0.830584707646177,0.220735785953177
"all","Adult and maternal mortality",0.907277834888347,0.523817102202568,0,3,2,0.144427786106947,0.839580209895052,0.21664167916042
"women_folate","Adult nutrition",1.33084593393938,0.941033110769016,0.499945570344317,3,2,0.132433783108446,0.860569715142429,0.794602698650675
"child_vitA","Ecosystem productivity/greenness",-1.32618749326704,-1.14540221984131,1.98377572507228,4,3,0.155422288855572,0.865567216391804,0.27976011994003
"child_iron","Dietary diversity",-1.33480361755318,-1.0924298854334,1.67924473803575,4,2,0.132933533233383,0.87456271864068,0.299100449775112
"women_vitA","Household assets and characteristics",-1.27071495711634,-1.00604780390873,1.50726906511705,4,3,0.15592203898051,0.889055472263868,0.280659670164918
"women_iron","Water and sanitation",-1.26489199966264,-0.632445999831322,0,4,3,0.15392303848076,0.898050974512744,0.461769115442279
"women_b12","Ecosystem productivity/greenness",-1.23481796795984,-0.721558363749199,0.0243734274252191,3,2,0.16391804097951,0.918040979510245,0.295052473763118
"vitA","Malaria",-1.11189744932439,-0.916717731016205,1.71895353818812,4,2,0.168915542228886,0.924037981009495,0.275862068965517
"women_vitA","Ecosystem productivity/greenness",-1.18403089368474,-1.01598302095835,1.94514596140462,4,2,0.204897551224388,0.930034982508746,0.307346326836582
"women_vitA","Malaria",-1.16655478218502,-1.32763398870472,4.18091466497896,4,3,0.196901549225387,0.937031484257871,0.307346326836582
"women_iron","Ruralness, population density, built environment",-1.16902990255555,-1.78975077983714,8.37548777302056,4,2,0.205897051474263,0.940029985007496,0.529449560933819
"women_b12","Dietary diversity",-1.17133836649152,-0.676272521206014,0,3,3,0.194902548725637,0.940529735132434,0.318931443369224
"child_vitA","Food fortification and supplementation",-1.1804186950749,-0.59020934753745,0,4,3,0.194902548725637,0.942028985507246,0.318931443369224
"child_iron","Water and sanitation",-1.19431229378849,-0.899074580633454,1.26681263128594,4,3,0.187906046976512,0.942528735632184,0.375812093953024
"vitA","Adult and maternal mortality",1.05008318399897,0.649056309796853,0.146142454815125,3,2,0.183908045977011,0.943528235882059,0.275862068965517
"child_iron","Agricultural production, land use",1.18041728592259,0.972955513774897,1.71753306633988,4,2,0.209395302348826,0.945027486256872,0.376911544227886
"women_folate","Malaria",1.11540438302975,0.643979020797512,0,3,3,0.216391804097951,0.957021489255372,0.7952023988006
"iron","Education, employment, SES",-1.02107264171034,-0.510536320855169,0,4,3,0.224387806096952,0.95752123938031,0.448775612193903
"women_folate","Fertility, reproductive health",-1.0860133839209,-0.627010119550268,0,3,2,0.224887556221889,0.962518740629685,0.7952023988006
"child_vitA","Dietary diversity",-1.10823007452484,-0.55411503726242,0,4,3,0.231384307846077,0.964017991004498,0.347076461769115
"women_folate","Water and sanitation",-1.02829982622695,-0.593689181479775,0,3,2,0.266866566716642,0.978010994502749,0.7952023988006
"child_vitA","Adult and maternal mortality",1.0272710026005,0.912535464851968,1.36728583887262,3,2,0.261369315342329,0.983008495752124,0.361895975089378
"all","Malaria incidence and treatment",0.642585706526734,0.321292853263367,0,4,2,0.286856571714143,0.985007496251874,0.368815592203898
"women_b12","Climate and weather",0.966740051399239,0.558147628911744,0,3,2,0.273863068465767,0.992003998000999,0.410794602698651
"vitA","Healthcare access",0.788540192361387,0.562959040240051,1.03875912383096,4,3,0.320339830084958,0.993503248375812,0.44354745704071
"child_vitA","Malaria incidence and treatment",0.909302682877864,0.660755746933739,1.11215090974146,4,2,0.308845577211394,0.99400299850075,0.397087170700364
"child_vitA","Malaria",-0.89315196157247,-0.505801473327685,0.28283103671055,4,2,0.336831584207896,0.9960019990005,0.404197901049475
"child_iron","Infant and child morbidity/mortality",0.917036580726189,0.589019634445505,0.650236599637093,4,3,0.315342328835582,0.997001499250375,0.516014719912771
"vitA","Infant and child morbidity/mortality",0.735061627038252,0.385935207126939,0.102659152009988,4,2,0.369815092453773,0.997001499250375,0.475476547440565
"women_folate","Ecosystem productivity/greenness",0.860612241655041,0.496874709387425,0,3,2,0.352823588205897,0.997501249375312,0.7952023988006
"iron","Household assets and characteristics",-0.774543155326729,-0.544655301971703,0.977935939690236,4,2,0.332833583208396,0.99800099950025,0.545727136431784
"iron","Infant and child morbidity/mortality",0.775103476605154,0.402878511452884,0.080659384467906,4,2,0.361319340329835,0.99800099950025,0.545727136431784
"iron","Dietary diversity",-0.761961876546825,-0.715669371486282,2.528729499819,4,3,0.363818090954523,0.998500749625187,0.545727136431784
"child_iron","Household assets and characteristics",-0.816756870507573,-0.670745716330314,1.69767864476924,4,2,0.36231884057971,0.999000499750125,0.543478260869565
"child_iron","Adult and maternal mortality",0.769710786258019,0.444392729644226,0,3,2,0.398300849575212,0.999500249875062,0.544227886056972
"child_iron","Built environment",0.753892289807775,0.376946144903887,0,4,4,0.423288355822089,0.999500249875062,0.544227886056972
"women_iron","Ecosystem productivity/greenness",-0.661943081475993,-0.396677566822308,0.436461458326232,4,2,0.466766616691654,0.999500249875062,0.852323838080959
"child_iron","Ecosystem productivity/greenness",-0.295445422189185,-0.162579522836344,0.211259371505261,4,1,0.761619190404798,1,0.856821589205397
"child_iron","Food fortification and supplementation",-0.121395256845336,-0.0850923879341184,0.96534128568139,4,2,0.901049475262369,1,0.901049475262369
"child_iron","Malaria",-0.15921067921827,-0.124187593631766,1.43372792256648,4,3,0.870064967516242,1,0.901049475262369
"child_iron","Malaria incidence and treatment",0.333596019862633,0.196391795012369,0.386324663488314,4,2,0.703148425787106,1,0.843778110944528
"child_vitA","Built environment",-0.273990130633643,-0.313647407376595,4.24171683992133,4,2,0.773613193403298,1,0.819119851838787
"child_vitA","Healthcare access",0.0463156690642148,0.0534855162011868,4.33428837626675,4,3,0.967016491754123,1,0.967016491754123
"child_vitA","Infant and child morbidity/mortality",0.703201630163025,0.351600815081513,0,4,2,0.464767616191904,1,0.522863568215892
"women_b12","Adult and maternal mortality",0.762747543700579,0.539343960484062,0,2,1,0.398300849575212,1,0.52623688155922
"women_b12","Built environment",0.513909533336148,0.29670580741074,0,3,2,0.557221389305347,1,0.626874062968516
"women_b12","Fertility, reproductive health",-0.156445832541445,-0.16390582608237,2.29292651555352,3,2,0.862068965517241,1,0.862068965517241
"women_b12","Infant and child morbidity/mortality",0.538553060557594,0.3647240374929,0.375919519561206,3,2,0.540729635182409,1,0.626874062968516
"women_b12","Malaria",-0.303771416747573,-0.175382509231325,0,3,2,0.730134932533733,1,0.773084046212188
"women_b12","Ruralness, population density, built environment",-0.723325705964438,-0.688768301783086,1.72019325576501,3,2,0.409295352323838,1,0.52623688155922
"women_folate","Adult and maternal mortality",-0.474432814939658,-0.335474660661255,0,2,2,0.585707146426787,1,0.7952023988006
"women_folate","Agricultural production, land use",-0.57715941347675,-0.357801355179534,0.152958432991846,3,2,0.506246876561719,1,0.7952023988006
"women_folate","Built environment",0.182513367822894,0.105374142043253,0,3,1,0.83408295852074,1,0.927595026016404
"women_folate","Climate and weather",0.137112006339648,0.0791616537693255,0,3,2,0.876061969015492,1,0.927595026016404
"women_folate","Dietary diversity",-0.438172689991787,-0.252979120518301,0,3,2,0.63768115942029,1,0.7952023988006
"women_folate","Education, employment, SES",-0.549382069734515,-0.317185885849176,0,3,2,0.545227386306847,1,0.7952023988006
"women_folate","Food fortification and supplementation",0.0693108214658141,0.0842256605538204,3.43004373657004,3,2,0.932033983008496,1,0.932033983008496
"women_folate","Healthcare access",0.532242129007699,0.327537400114629,0.136120913294874,3,1,0.547226386806597,1,0.7952023988006
"women_folate","Household assets and characteristics",-0.417055654036537,-0.25619095561298,0.132037504721341,3,2,0.662668665667166,1,0.7952023988006
"women_folate","Malaria incidence and treatment",0.449220135830438,0.259357366347104,0,3,2,0.614692653673163,1,0.7952023988006
"women_folate","Soil characteristics",0.592560327207312,0.342114864424234,0,3,2,0.497751124437781,1,0.7952023988006
"women_iron","Adult and maternal mortality",-0.349954600197735,-0.345732266110219,1.92804445960531,3,2,0.700649675162419,1,0.852323838080959
"women_iron","Built environment",-0.360285756154271,-0.29979235704415,1.76953539146684,4,2,0.697151424287856,1,0.852323838080959
"women_iron","Dietary diversity",-0.273127532307134,-0.338908857539166,5.15878251982977,4,3,0.757621189405297,1,0.852323838080959
"women_iron","Education, employment, SES",-0.329282330561321,-0.16464116528066,0,4,2,0.727636181909045,1,0.852323838080959
"women_iron","Food fortification and supplementation",-0.0302755004431968,-0.018903870447806,0.559476356621468,4,1,0.977511244377811,1,0.977511244377811
"women_iron","Healthcare access",0.634510400872324,0.341184041344162,0.156538031758187,4,2,0.48375812093953,1,0.852323838080959
"women_iron","Household assets and characteristics",-0.646686750190672,-0.418564887613092,0.675705336830018,4,2,0.473263368315842,1,0.852323838080959
"women_iron","Infant and child morbidity/mortality",0.42720115700614,0.216737388460263,0.0295864611787937,4,2,0.649675162418791,1,0.852323838080959
"women_iron","Malaria",-0.166516336231731,-0.108272077173595,0.691138727731369,4,2,0.852573713143428,1,0.902725108034218
"women_iron","Malaria incidence and treatment",0.547756656786269,0.34723691698757,0.607446199456922,4,3,0.55672163918041,1,0.852323838080959
"women_vitA","Adult and maternal mortality",0.667839222250538,0.385577154741738,0,3,1,0.472263868065967,1,0.645748554294281
"women_vitA","Built environment",-0.27252137567244,-0.1825904745946,0.795622675401834,4,2,0.782608695652174,1,0.828644501278772
"women_vitA","Food fortification and supplementation",0.316393687477585,0.158196843738793,0,4,2,0.732633683158421,1,0.824212893553223
"women_vitA","Infant and child morbidity/mortality",0.621217375667407,0.420269599172365,0.830748781460619,4,2,0.502248875562219,1,0.645748554294281
"women_vitA","Malaria incidence and treatment",-0.332018562982338,-0.166009281491169,0,4,3,0.729135432283858,1,0.824212893553223
"women_vitA","Ruralness, population density, built environment",-0.048836816743993,-0.0482159794043427,2.89894654273637,4,2,0.962018990504748,1,0.962018990504748
"iron","Adult and maternal mortality",0.0725029682231398,0.0493302317670033,0.388788121290381,3,1,0.925537231384308,1,0.937031484257871
"iron","Built environment",0.0708639774701228,0.0385768939298685,0.185395994559088,4,2,0.937031484257871,1,0.937031484257871
"iron","Ecosystem productivity/greenness",-0.494363641617117,-0.279628544829326,0.27976418271416,4,1,0.569715142428786,1,0.732490897408439
"iron","Food fortification and supplementation",-0.0860187356318361,-0.0519981291909622,0.461669952815222,4,1,0.922038980509745,1,0.937031484257871
"iron","Malaria",-0.163850487272565,-0.116229835402681,1.01279600774966,4,2,0.843578210894553,1,0.937031484257871
"iron","Malaria incidence and treatment",0.543628711999939,0.271814355999969,0,4,3,0.503248375812094,1,0.69680544343213
"vitA","Built environment",-0.342348420803991,-0.248118940985598,1.10108281811588,4,3,0.692153923038481,1,0.692153923038481
"vitA","Food fortification and supplementation",-0.432012503798657,-0.216006251899328,0,4,2,0.603698150924538,1,0.639209806861275
"vitA","Malaria incidence and treatment",0.434048149754456,0.247373232721285,0.299240595528524,4,2,0.594202898550725,1,0.639209806861275
"vitA","Ruralness, population density, built environment",-0.543775534687266,-0.388330446966963,1.03996890895663,4,2,0.537731134432784,1,0.639209806861275
"all","Built environment",0.248475222151702,0.12924110355368,0.0821691063274895,4,1,0.719140429785107,1,0.725137431284358
"all","Food fortification and supplementation",-0.421416646803519,-0.217190384206377,0.0624727598978076,4,1,0.507246376811594,1,0.608695652173913
"all","Infant and child morbidity/mortality",0.218252838507579,0.109126419253789,0,4,1,0.725137431284358,1,0.725137431284358
"all","Malaria",-0.234496449442254,-0.136754700147646,0.360416754142362,4,1,0.705647176411794,1,0.725137431284358
