"country","outcome","domain","n","r_partial","p_perm"
"Malawi","child_iron","Ruralness, population density, built environment",27,-0.176777764721959,0.373813093453273
"Malawi","child_iron","Soil characteristics",27,-0.161905022991767,0.415792103948026
"Malawi","child_iron","Water and sanitation",27,0.0362371523076525,0.849575212393803
"Malawi","women_iron","Adult and maternal mortality",27,-0.538709982380906,0.00499750124937531
"Malawi","women_iron","Adult nutrition",27,0.278027621252171,0.171414292853573
"Malawi","women_iron","Agricultural production, land use",27,0.304286887462092,0.129435282358821
"Malawi","women_iron","Built environment",27,-0.106617431867667,0.611694152923538
"Malawi","women_iron","Climate and weather",27,0.28279367527228,0.154922538730635
"Malawi","women_iron","Dietary diversity",27,-0.266052969274418,0.169915042478761
"Malawi","women_iron","Ecosystem productivity/greenness",27,-0.0422684040886471,0.834582708645677
"Malawi","women_iron","Education, employment, SES",27,-0.0308043875286015,0.890554722638681
"Malawi","women_iron","Fertility, reproductive health",27,-0.23170619277127,0.24487756121939
"Malawi","women_iron","Food fortification and supplementation",27,0.107462013400812,0.581209395302349
"Malawi","women_iron","Healthcare access",27,-0.0650526852106792,0.731134432783608
"Malawi","women_iron","Household assets and characteristics",27,0.0246569081515648,0.914042978510745
"Malawi","women_iron","Infant and child morbidity/mortality",27,0.0284466756556979,0.885057471264368
"Malawi","women_iron","Malaria",27,-0.131490081122491,0.515742128935532
"Malawi","women_iron","Malaria incidence and treatment",27,0.0863227769999886,0.675662168915542
"Malawi","women_iron","Ruralness, population density, built environment",27,-0.128304142881527,0.512743628185907
"Malawi","women_iron","Soil characteristics",27,-0.355842798187801,0.0674662668665667
"Malawi","women_iron","Water and sanitation",27,-0.0813972794749939,0.67616191904048
"Malawi","women_vitA","Adult and maternal mortality",27,-0.242382517780835,0.212893553223388
"Malawi","women_vitA","Adult nutrition",27,-0.146010526487255,0.456771614192904
"Malawi","women_vitA","Agricultural production, land use",27,-0.137795504848503,0.482258870564718
"Malawi","women_vitA","Built environment",27,0.148915460216891,0.458270864567716
"Malawi","women_vitA","Climate and weather",27,0.0664674512366932,0.752123938030985
"Malawi","women_vitA","Dietary diversity",27,0.0875253615124134,0.669165417291354
"Malawi","women_vitA","Ecosystem productivity/greenness",27,0.247516011390783,0.212893553223388
"Malawi","women_vitA","Education, employment, SES",27,-0.183641340183695,0.361819090454773
"Malawi","women_vitA","Fertility, reproductive health",27,-0.189291258966239,0.342828585707146
"Malawi","women_vitA","Food fortification and supplementation",27,-0.450298835537375,0.0214892553723138
"Malawi","women_vitA","Healthcare access",27,-0.237392991296251,0.247876061969015
"Malawi","women_vitA","Household assets and characteristics",27,0.000896966754651692,0.9960019990005
"Malawi","women_vitA","Infant and child morbidity/mortality",27,0.0242458060704087,0.900549725137431
"Malawi","women_vitA","Malaria",27,-0.176048775834811,0.391804097951024
