"outcome","recipe","held_out","n_train","n_test","n_pred","pearson_r","spearman_r","rmse_pp","mae_pp","bias_pp","nat_bias_pp","calib_slope"
"child_vitA","C_ridge_all","malawi",119,87,174,0.297,0.371,13.07,9.61,-3.58,-3.58,1.23
"child_vitA","C_ridge_all","sierraleone",192,14,174,0.019,-0.051,8.19,6.99,-1.69,-1.69,0.08
"child_vitA","C_enet_corr30","gambia",176,30,30,-0.021,-0.022,15.94,12.26,-8.63,-8.63,-0.07
"child_vitA","C_enet_corr30","ghana",131,75,30,0.122,0.129,16.68,13.79,2.29,2.29,0.16
"child_vitA","C_enet_corr30","malawi",119,87,30,0.264,0.321,13.25,9.59,-2.92,-2.92,0.58
"child_vitA","C_enet_corr30","sierraleone",192,14,30,0.111,0.09,7.93,6.65,-1.5,-1.5,0.56
"child_vitA","C_enet_corr15","gambia",176,30,15,-0.373,-0.505,17.6,13.68,-8.41,-8.41,-0.91
"child_vitA","C_enet_corr15","ghana",131,75,15,0.125,0.103,22.56,17.8,6.34,6.34,0.09
"child_vitA","C_enet_corr15","malawi",119,87,15,0.255,0.325,13.46,9.74,-2.6,-2.6,0.48
"child_vitA","C_enet_corr15","sierraleone",192,14,15,0.116,0.125,7.98,6.65,-1.32,-1.32,0.4
"child_vitA","C_lasso_corr15","gambia",176,30,15,-0.44,-0.512,18.2,14.56,-8.37,-8.37,-0.97
"child_vitA","C_lasso_corr15","ghana",131,75,15,0.115,0.116,17.99,14.98,3.6,3.6,0.13
"child_vitA","C_lasso_corr15","malawi",119,87,15,0.234,0.303,14.1,10.23,-1.98,-1.98,0.35
"child_vitA","C_lasso_corr15","sierraleone",192,14,15,0.264,0.204,7.65,6.42,-1.27,-1.27,0.82
"child_vitA","C_rf_corr30","gambia",176,30,30,-0.235,-0.198,18.12,13.55,-11.25,-11.25,-0.76
"child_vitA","C_rf_corr30","ghana",131,75,30,0.176,0.192,15.01,12,-5.68,-5.68,0.5
"child_vitA","C_rf_corr30","malawi",119,87,30,0.276,0.263,14.81,10.9,-7.68,-7.68,1.31
"child_vitA","C_rf_corr30","sierraleone",192,14,30,0.079,0.103,10,8.47,-4.36,-4.36,0.12
"child_vitA","C_ols_corr8","gambia",176,30,8,-0.312,-0.301,17.21,13.6,-8.56,-8.56,-0.84
"child_vitA","C_ols_corr8","ghana",131,75,8,0.207,0.149,32,25.84,13.25,13.25,0.1
"child_vitA","C_ols_corr8","malawi",119,87,8,0.153,0.241,14.45,10.76,-2.86,-2.86,0.26
"child_vitA","C_ols_corr8","sierraleone",192,14,8,0.173,0.143,7.91,6.59,-1.25,-1.25,0.5
"child_iron","baseline_mean","gambia",176,30,174,NA,NA,34.15,30.23,-30.23,-30.23,NA
"child_iron","baseline_mean","ghana",131,75,174,NA,NA,17.77,14.61,1.41,1.41,NA
"child_iron","baseline_mean","malawi",119,87,174,NA,NA,15.52,13.88,11.07,11.07,NA
"child_iron","baseline_mean","sierraleone",192,14,174,NA,NA,12.47,11.57,11.57,11.57,NA
"child_iron","lasso_all","gambia",176,30,174,0.448,0.408,34.39,30.76,-30.76,-30.76,5.59
"child_iron","lasso_all","ghana",131,75,174,0.563,0.452,14.66,11.36,0.73,0.73,1.03
"child_iron","lasso_all","malawi",119,87,174,-0.112,-0.116,17.95,15.33,10.83,10.83,-0.15
"child_iron","lasso_all","sierraleone",192,14,174,-0.223,-0.174,6.45,4.92,-3.79,-3.79,-0.65
"child_iron","enet_all","gambia",176,30,174,0.518,0.516,30.77,26.88,-26.88,-26.88,4.27
"child_iron","enet_all","ghana",131,75,174,0.536,0.449,15.03,11.72,-0.75,-0.75,1.16
"child_iron","enet_all","malawi",119,87,174,-0.084,-0.074,22.16,19.72,17.32,17.32,-0.12
"child_iron","enet_all","sierraleone",192,14,174,-0.227,-0.174,6.54,5.02,-3.97,-3.97,-0.69
"child_iron","ridge_all","gambia",176,30,174,0.484,0.427,33.48,29.91,-29.91,-29.91,3.91
"child_iron","ridge_all","ghana",131,75,174,0.631,0.598,14.45,10.35,-3.2,-3.2,1.38
"child_iron","ridge_all","malawi",119,87,174,0.018,-0.039,12.27,9.99,3.42,3.42,0.04
"child_iron","ridge_all","sierraleone",192,14,174,-0.229,-0.042,8.86,5.82,-1.89,-1.89,-0.17
"child_iron","rf_all","gambia",176,30,174,0.438,0.458,36.43,33.4,-33.4,-33.4,1.66
"child_iron","rf_all","ghana",131,75,174,0.549,0.522,18.47,12.62,-9.18,-9.18,2.7
"child_iron","rf_all","malawi",119,87,174,-0.035,-0.046,11.08,8.38,-1.2,-1.2,-0.26
"child_iron","rf_all","sierraleone",192,14,174,-0.221,-0.165,5.69,4.15,-2.98,-2.98,-1.42
"child_iron","enet_corr30","gambia",176,30,30,-0.378,-0.38,23.55,20.03,3.29,3.29,-0.5
"child_iron","enet_corr30","ghana",131,75,30,0.605,0.484,15.74,12.71,6.31,6.31,0.78
"child_iron","enet_corr30","malawi",119,87,30,-0.133,-0.155,18.08,15.35,9.91,9.91,-0.16
"child_iron","enet_corr30","sierraleone",192,14,30,-0.229,-0.345,7.14,5.67,-4.44,-4.44,-0.48
"child_iron","enet_corr15","gambia",176,30,15,0.211,0.222,24.12,19.4,-18.43,-18.43,1.31
"child_iron","enet_corr15","ghana",131,75,15,0.584,0.481,14.39,11.04,-0.01,-0.01,1.04
"child_iron","enet_corr15","malawi",119,87,15,0.112,0.064,20.95,18.76,17.22,17.22,0.19
"child_iron","enet_corr15","sierraleone",192,14,15,-0.259,-0.138,6.94,5.32,-4.94,-4.94,-1.7
"child_iron","lasso_corr15","gambia",176,30,15,0.157,0.138,25.48,20.76,-20.06,-20.06,0.86
"child_iron","lasso_corr15","ghana",131,75,15,0.591,0.468,14.3,10.88,0.02,0.02,0.99
"child_iron","lasso_corr15","malawi",119,87,15,-0.11,-0.196,11.76,9.72,2.87,2.87,-0.48
"child_iron","lasso_corr15","sierraleone",192,14,15,-0.247,-0.116,6.93,5.3,-4.96,-4.96,-1.78
"child_iron","rf_corr30","gambia",176,30,30,0.452,0.414,37.49,34.38,-34.38,-34.38,2.99
"child_iron","rf_corr30","ghana",131,75,30,0.434,0.463,20.11,13.69,-11.17,-11.17,2.82
"child_iron","rf_corr30","malawi",119,87,30,-0.081,-0.045,11.24,8.75,-0.06,-0.06,-0.42
"child_iron","rf_corr30","sierraleone",192,14,30,-0.171,0.068,6.21,4.49,-3.96,-3.96,-1.24
"child_iron","ols_corr8","gambia",176,30,8,0.069,0.197,33.97,30.03,-30.03,-30.03,0.58
"child_iron","ols_corr8","ghana",131,75,8,0.547,0.464,15.31,11.19,-3.48,-3.48,1.17
"child_iron","ols_corr8","malawi",119,87,8,-0.133,-0.212,13.09,10.44,0.85,0.85,-0.24
"child_iron","ols_corr8","sierraleone",192,14,8,-0.325,-0.301,6.93,5.4,-4.63,-4.63,-1.25
"child_iron","C_enet_all","gambia",176,30,174,0.567,0.559,39.55,36.48,-36.48,-36.48,8.06
"child_iron","C_enet_all","ghana",131,75,174,0.413,0.424,18.48,12.99,-7.38,-7.38,3.36
"child_iron","C_enet_all","malawi",119,87,174,0.118,0.124,11.21,8.69,1.7,1.7,0.34
"child_iron","C_enet_all","sierraleone",192,14,174,0.001,0.266,6.2,5.2,3.02,3.02,0
"child_iron","C_ridge_all","gambia",176,30,174,0.491,0.461,39.48,36.43,-36.43,-36.43,5.39
"child_iron","C_ridge_all","ghana",131,75,174,NA,NA,19.31,13.47,-7.68,-7.68,NA
"child_iron","C_ridge_all","malawi",119,87,174,0.122,0.101,10.97,8.58,1.4,1.4,0.48
"child_iron","C_ridge_all","sierraleone",192,14,174,0.331,0.332,5.42,4.62,3.04,3.04,0.61
"child_iron","C_enet_corr30","gambia",176,30,30,0.571,0.576,39.58,36.47,-36.47,-36.47,9.73
"child_iron","C_enet_corr30","ghana",131,75,30,0.418,0.426,18.42,12.96,-7.35,-7.35,3.26
"child_iron","C_enet_corr30","malawi",119,87,30,-0.031,-0.067,13.41,10.62,2.85,2.85,-0.05
"child_iron","C_enet_corr30","sierraleone",192,14,30,0.32,0.292,5.65,4.73,3.24,3.24,0.51
"child_iron","C_enet_corr15","gambia",176,30,15,0.518,0.493,39.63,36.52,-36.52,-36.52,7.93
"child_iron","C_enet_corr15","ghana",131,75,15,0.459,0.434,18.13,12.8,-7.19,-7.19,2.97
"child_iron","C_enet_corr15","malawi",119,87,15,0.117,0.103,11.76,9.38,2.12,2.12,0.23
"child_iron","C_enet_corr15","sierraleone",192,14,15,0.321,0.363,5.38,4.92,3.01,3.01,0.65
"child_iron","C_lasso_corr15","gambia",176,30,15,0.464,0.421,39.66,36.53,-36.53,-36.53,7.24
"child_iron","C_lasso_corr15","ghana",131,75,15,0.466,0.438,17.89,12.71,-7,-7,2.57
"child_iron","C_lasso_corr15","malawi",119,87,15,0.119,0.096,11.63,9.3,2.02,2.02,0.25
"child_iron","C_lasso_corr15","sierraleone",192,14,15,0.318,0.363,5.39,4.92,3.01,3.01,0.65
"child_iron","C_rf_corr30","gambia",176,30,30,0.321,0.387,41.02,37.98,-37.98,-37.98,3.67
"child_iron","C_rf_corr30","ghana",131,75,30,0.467,0.41,18.08,12.69,-7.61,-7.61,2.42
"child_iron","C_rf_corr30","malawi",119,87,30,-0.055,-0.04,11.2,8.57,-0.21,-0.21,-0.28
"child_iron","C_rf_corr30","sierraleone",192,14,30,0.11,0.257,5.45,4.68,1.32,1.32,0.16
"child_iron","C_ols_corr8","gambia",176,30,8,0.469,0.424,39.57,36.47,-36.47,-36.47,6.03
"child_iron","C_ols_corr8","ghana",131,75,8,-0.196,-0.051,29.99,21.02,-1.52,-1.52,-0.17
"child_iron","C_ols_corr8","malawi",119,87,8,0.158,0.184,13.88,10.23,2.74,2.74,0.17
"child_iron","C_ols_corr8","sierraleone",192,14,8,0.43,0.503,5.67,5.06,3.43,3.43,0.54
"women_vitA","baseline_mean","gambia",176,30,174,NA,NA,6.03,3.92,-2.17,-2.17,NA
"women_vitA","baseline_mean","ghana",131,75,174,NA,NA,3.74,3.23,1.46,1.46,NA
"women_vitA","baseline_mean","malawi",119,87,174,NA,NA,5.57,3.68,-0.44,-0.44,NA
"women_vitA","baseline_mean","sierraleone",192,14,174,NA,NA,1.79,1.49,0.6,0.6,NA
"women_vitA","lasso_all","gambia",176,30,174,-0.157,-0.094,6.25,3.96,-2.61,-2.61,-3.13
"women_vitA","lasso_all","ghana",131,75,174,0.231,0.154,3.47,2.62,0.68,0.68,3.37
"women_vitA","lasso_all","malawi",119,87,174,0.016,0.058,5.56,3.72,-0.36,-0.36,0.3
"women_vitA","lasso_all","sierraleone",192,14,174,0.018,-0.007,1.9,1.48,-0.57,-0.57,0.04
"women_vitA","enet_all","gambia",176,30,174,-0.113,-0.012,6.25,3.93,-2.65,-2.65,-3.04
"women_vitA","enet_all","ghana",131,75,174,0.066,-0.003,3.45,2.27,0.17,0.17,9.1
"women_vitA","enet_all","malawi",119,87,174,-0.08,-0.065,5.71,3.33,-1.04,-1.04,-0.87
"women_vitA","enet_all","sierraleone",192,14,174,-0.001,0.029,1.94,1.52,-0.55,-0.55,0
"women_vitA","ridge_all","gambia",176,30,174,-0.435,-0.515,6.4,3.96,-3.04,-3.04,-251.98
"women_vitA","ridge_all","ghana",131,75,174,0.197,0.187,3.42,2.27,0.19,0.19,4.08
"women_vitA","ridge_all","malawi",119,87,174,-0.019,-0.072,5.79,2.91,-1.65,-1.65,-0.81
"women_vitA","ridge_all","sierraleone",192,14,174,-0.008,-0.407,2.01,1.43,-1.01,-1.01,-0.03
"women_vitA","rf_all","gambia",176,30,174,0.234,0.382,5.93,3.89,-1.95,-1.95,9.23
"women_vitA","rf_all","ghana",131,75,174,0.211,0.161,3.42,2.41,0.42,0.42,2.15
"women_vitA","rf_all","malawi",119,87,174,0.004,0.04,5.65,3.28,-1.06,-1.06,0.15
"women_vitA","rf_all","sierraleone",192,14,174,0.444,0.434,1.57,1.27,-0.23,-0.23,2.06
"women_vitA","enet_corr30","gambia",176,30,30,0.411,0.311,6.3,3.93,-2.86,-2.86,52.12
"women_vitA","enet_corr30","ghana",131,75,30,0.085,-0.005,3.45,2.29,0.19,0.19,8.51
"women_vitA","enet_corr30","malawi",119,87,30,0.016,0.042,5.67,3.22,-1.15,-1.15,0.29
"women_vitA","enet_corr30","sierraleone",192,14,30,0.035,-0.088,2.15,1.7,-0.49,-0.49,0.05
"women_vitA","enet_corr15","gambia",176,30,15,0.444,0.248,6.27,3.93,-2.81,-2.81,51.39
"women_vitA","enet_corr15","ghana",131,75,15,-0.012,0.049,3.58,2.81,0.91,0.91,-0.13
"women_vitA","enet_corr15","malawi",119,87,15,-0.158,-0.139,6.32,4.95,1.32,1.32,-0.44
"women_vitA","enet_corr15","sierraleone",192,14,15,0.022,-0.308,2.07,1.6,-0.71,-0.71,0.04
"women_vitA","lasso_corr15","gambia",176,30,15,0.394,0.294,6.19,3.91,-2.66,-2.66,29.92
"women_vitA","lasso_corr15","ghana",131,75,15,-0.004,0.059,3.54,2.69,0.75,0.75,-0.05
"women_vitA","lasso_corr15","malawi",119,87,15,-0.177,-0.174,5.66,3.62,-0.59,-0.59,-2.65
"women_vitA","lasso_corr15","sierraleone",192,14,15,0.014,-0.236,2.03,1.57,-0.68,-0.68,0.02
"women_vitA","rf_corr30","gambia",176,30,30,0.019,0.189,5.94,3.91,-1.91,-1.91,0.57
"women_vitA","rf_corr30","ghana",131,75,30,0.124,0.115,3.43,2.35,0.31,0.31,1.21
"women_vitA","rf_corr30","malawi",119,87,30,-0.005,0.056,5.63,3.38,-0.9,-0.9,-0.13
"women_vitA","rf_corr30","sierraleone",192,14,30,0.391,0.097,1.58,1.26,0.29,0.29,1.3
"women_vitA","ols_corr8","gambia",176,30,8,0.131,0.247,5.87,3.91,-1.77,-1.77,2.32
"women_vitA","ols_corr8","ghana",131,75,8,0.045,0.062,3.74,2.92,1.07,1.07,0.14
"women_vitA","ols_corr8","malawi",119,87,8,0.057,0.08,7.8,7.11,5.13,5.13,0.14
"women_vitA","ols_corr8","sierraleone",192,14,8,0.226,0.245,2.1,1.33,-1.3,-1.3,0.68
"women_vitA","C_enet_all","gambia",176,30,174,-0.018,0.169,6.43,3.93,-3.1,-3.1,-0.66
"women_vitA","C_enet_all","ghana",131,75,174,0.16,0.128,3.43,2.05,-0.12,-0.12,5.65
"women_vitA","C_enet_all","malawi",119,87,174,-0.015,0.024,5.73,3.07,-1.4,-1.4,-0.66
"women_vitA","C_enet_all","sierraleone",192,14,174,0.553,0.011,19.21,8.12,6.51,6.51,0.05
"women_vitA","C_ridge_all","gambia",176,30,174,NA,NA,6.43,3.96,-3.11,-3.11,NA
"women_vitA","C_ridge_all","ghana",131,75,174,0.152,0.196,3.42,2.07,-0.07,-0.07,1.93
"women_vitA","C_ridge_all","malawi",119,87,174,-0.019,-0.029,5.73,3.08,-1.39,-1.39,-0.67
"women_vitA","C_ridge_all","sierraleone",192,14,174,-0.05,-0.218,1.84,1.4,-0.65,-0.65,-0.3
"women_vitA","C_enet_corr30","gambia",176,30,30,-0.196,-0.056,6.45,3.96,-3.11,-3.11,-11.54
"women_vitA","C_enet_corr30","ghana",131,75,30,0.185,0.155,3.42,2.06,-0.1,-0.1,3.29
"women_vitA","C_enet_corr30","malawi",119,87,30,-0.081,-0.103,5.75,3.11,-1.35,-1.35,-1.37
"women_vitA","C_enet_corr30","sierraleone",192,14,30,0.05,0.115,1.81,1.39,-0.68,-0.68,0.46
"women_vitA","C_enet_corr15","gambia",176,30,15,-0.162,0.028,6.44,3.95,-3.11,-3.11,-8.23
"women_vitA","C_enet_corr15","ghana",131,75,15,0.198,0.158,3.4,2.07,-0.07,-0.07,2.48
"women_vitA","C_enet_corr15","malawi",119,87,15,-0.044,-0.054,5.73,3.08,-1.37,-1.37,-1.05
"women_vitA","C_enet_corr15","sierraleone",192,14,15,0.035,0.011,1.82,1.39,-0.64,-0.64,0.19
"women_vitA","C_lasso_corr15","gambia",176,30,15,-0.205,0.024,6.49,3.98,-3.06,-3.06,-2.85
"women_vitA","C_lasso_corr15","ghana",131,75,15,0.231,0.168,3.52,2.33,0.53,0.53,0.47
"women_vitA","C_lasso_corr15","malawi",119,87,15,-0.064,-0.082,5.75,3.14,-1.31,-1.31,-0.77
"women_vitA","C_lasso_corr15","sierraleone",192,14,15,0.037,0.011,1.82,1.39,-0.64,-0.64,0.2
"women_vitA","C_rf_corr30","gambia",176,30,30,0.116,0.396,6.44,3.9,-3.16,-3.16,5.06
"women_vitA","C_rf_corr30","ghana",131,75,30,0.218,0.195,3.38,2.18,0.12,0.12,1.54
"women_vitA","C_rf_corr30","malawi",119,87,30,-0.121,-0.086,5.73,3.19,-1.24,-1.24,-2.11
"women_vitA","C_rf_corr30","sierraleone",192,14,30,-0.185,-0.083,1.89,1.48,-0.39,-0.39,-0.6
"women_vitA","C_ols_corr8","gambia",176,30,8,-0.393,-0.37,6.49,4,-3.09,-3.09,-11.83
"women_vitA","C_ols_corr8","ghana",131,75,8,0.214,0.144,3.38,2.22,0.22,0.22,0.8
"women_vitA","C_ols_corr8","malawi",119,87,8,0.069,0.105,5.7,3.07,-1.34,-1.34,1.02
"women_vitA","C_ols_corr8","sierraleone",192,14,8,0.106,0.079,1.8,1.37,-0.65,-0.65,0.71
"women_iron","baseline_mean","gambia",162,30,174,NA,NA,31.51,27.49,-27.33,-27.33,NA
"women_iron","baseline_mean","ghana",117,75,174,NA,NA,12.27,10.73,8.08,8.08,NA
"women_iron","baseline_mean","malawi",105,87,174,NA,NA,14.48,11.83,6.78,6.78,NA
"women_iron","lasso_all","gambia",162,30,174,0.55,0.63,31.02,27.77,-27.77,-27.77,2.05
"women_iron","lasso_all","ghana",117,75,174,0.352,0.278,11.02,8.41,3.24,3.24,0.35
"women_iron","lasso_all","malawi",105,87,174,0.016,0.104,15.94,11.22,1.39,1.39,0.02
"women_iron","enet_all","gambia",162,30,174,0.548,0.617,31.02,27.71,-27.71,-27.71,2.23
"women_iron","enet_all","ghana",117,75,174,0.419,0.338,10.3,7.76,2.71,2.71,0.42
"women_iron","enet_all","malawi",105,87,174,0.016,0.096,14.36,9.48,-2.04,-2.04,0.03
"women_iron","ridge_all","gambia",162,30,174,0.561,0.642,33.89,30.4,-30.4,-30.4,6.75
"women_iron","ridge_all","ghana",117,75,174,0.408,0.259,9.84,8,4.68,4.68,0.66
"women_iron","ridge_all","malawi",105,87,174,-0.034,0.007,14.01,9.05,-4.56,-4.56,-0.14
"women_iron","rf_all","gambia",162,30,174,0.054,0.055,34.56,30.82,-30.82,-30.82,0.91
"women_iron","rf_all","ghana",117,75,174,0.44,0.336,8.64,6.75,2.22,2.22,0.81
"women_iron","rf_all","malawi",105,87,174,0.117,0.192,13.34,8.7,-4.01,-4.01,1.72
"women_iron","enet_corr30","gambia",162,30,30,0.494,0.618,32.16,28.55,-28.55,-28.55,4
"women_iron","enet_corr30","ghana",117,75,30,0.389,0.348,9.07,7.01,1.49,1.49,0.56
"women_iron","enet_corr30","malawi",105,87,30,0.124,0.103,16.86,14.35,10.55,10.55,0.32
"women_iron","enet_corr15","gambia",162,30,15,0.334,0.441,31.93,28.04,-28.01,-28.01,4.48
"women_iron","enet_corr15","ghana",117,75,15,0.275,0.292,9.52,7.45,2.72,2.72,0.55
"women_iron","enet_corr15","malawi",105,87,15,0.121,0.098,16.53,14.03,10.11,10.11,0.34
"women_iron","lasso_corr15","gambia",162,30,15,0.219,0.348,32.23,28.3,-28.29,-28.29,2.81
"women_iron","lasso_corr15","ghana",117,75,15,0.289,0.277,9.09,6.96,1.39,1.39,0.62
"women_iron","lasso_corr15","malawi",105,87,15,0.115,0.11,12.91,9.48,1.63,1.63,0.49
"women_iron","rf_corr30","gambia",162,30,30,0.321,0.318,33.63,29.93,-29.93,-29.93,4.28
"women_iron","rf_corr30","ghana",117,75,30,0.304,0.37,9.17,6.74,0.9,0.9,0.54
"women_iron","rf_corr30","malawi",105,87,30,0.248,0.282,12.88,8.51,-3.05,-3.05,2.17
"women_iron","ols_corr8","gambia",162,30,8,0.497,0.585,29.27,25.4,-25.27,-25.27,3.8
"women_iron","ols_corr8","ghana",117,75,8,0.136,0.156,10.9,8.78,4.08,4.08,0.23
"women_iron","ols_corr8","malawi",105,87,8,0.073,0.098,13.01,8.81,-1.86,-1.86,0.35
"women_iron","C_enet_all","gambia",162,30,174,0.341,0.411,34.64,31.2,-31.2,-31.2,2.39
"women_iron","C_enet_all","ghana",117,75,174,0.378,0.331,8.66,6.32,-1.1,-1.1,1.32
"women_iron","C_enet_all","malawi",105,87,174,0.064,0.231,12.9,8.66,-1.79,-1.79,0.78
"women_iron","C_ridge_all","gambia",162,30,174,0.291,0.441,34.81,31.29,-31.29,-31.29,2.52
"women_iron","C_ridge_all","ghana",117,75,174,0.03,0.21,12.19,7.47,-0.4,-0.4,0.03
"women_iron","C_ridge_all","malawi",105,87,174,0.025,0.089,13.13,8.95,-1.3,-1.3,0.11
"women_iron","C_enet_corr30","gambia",162,30,30,0.543,0.72,32.9,29.94,-29.94,-29.94,1.73
"women_iron","C_enet_corr30","ghana",117,75,30,0.407,0.325,8.89,6.84,0.95,0.95,0.59
"women_iron","C_enet_corr30","malawi",105,87,30,0.041,0.053,13.51,9.18,-0.55,-0.55,0.11
"women_iron","C_enet_corr15","gambia",162,30,15,0.557,0.69,35.14,31.61,-31.61,-31.61,14.84
"women_iron","C_enet_corr15","ghana",117,75,15,0.397,0.33,8.6,6.5,0.29,0.29,0.72
"women_iron","C_enet_corr15","malawi",105,87,15,0.034,0.114,13.37,9.06,-0.76,-0.76,0.1
"women_iron","C_lasso_corr15","gambia",162,30,15,0.561,0.69,35.08,31.6,-31.6,-31.6,11
"women_iron","C_lasso_corr15","ghana",117,75,15,0.401,0.331,8.74,6.64,0.71,0.71,0.64
"women_iron","C_lasso_corr15","malawi",105,87,15,0.024,0.092,13.25,8.97,-1.05,-1.05,0.09
"women_iron","C_rf_corr30","gambia",162,30,30,0.553,0.624,35.33,32.03,-32.03,-32.03,5.9
"women_iron","C_rf_corr30","ghana",117,75,30,0.468,0.34,8.56,6.81,2.03,2.03,0.73
"women_iron","C_rf_corr30","malawi",105,87,30,0.047,0.085,13.01,8.93,-0.76,-0.76,0.21
"women_iron","C_ols_corr8","gambia",162,30,8,0.523,0.622,34.8,31.44,-31.44,-31.44,5.27
"women_iron","C_ols_corr8","ghana",117,75,8,0.389,0.288,11.06,8.17,3.27,3.27,0.36
"women_iron","C_ols_corr8","malawi",105,87,8,-0.004,0.008,13.73,9.52,-0.47,-0.47,-0.01
