"variable","description","type","units","source_derivation","role"
"rain_seasonality_sd_10km","Within-year standard deviation of monthly precipitation (rainfall seasonality), 10 km buffer","numeric","mm/month","TRMM precipitation (GEE cluster-buffer extraction); aggregated to this level as the mean over the area's survey clusters","predictor"
"temp_may_25km","May land-surface temperature, 25 km buffer","numeric","deg C","MODIS land-surface temperature (GEE cluster-buffer extraction); aggregated to this level as the mean over the area's survey clusters","predictor"
"temp_oct_10km","October land-surface temperature, 10 km buffer","numeric","deg C","MODIS land-surface temperature (GEE cluster-buffer extraction); aggregated to this level as the mean over the area's survey clusters","predictor"
"temp_seasonality_sd_10km","Within-year standard deviation of monthly land-surface temperature (temperature seasonality), 10 km buffer","numeric","deg C","MODIS land-surface temperature (GEE cluster-buffer extraction); aggregated to this level as the mean over the area's survey clusters","predictor"
"temp_peak_month_25km","Calendar month (1-12) of maximum land-surface temperature, 25 km buffer","numeric","month index 1-12","MODIS land-surface temperature (GEE cluster-buffer extraction); aggregated to this level as the mean over the area's survey clusters","predictor"
"ndvi_april_50km","April NDVI (vegetation greenness), 50 km buffer","numeric","NDVI index (-1 to 1)","NDVI (GEE cluster-buffer extraction); aggregated to this level as the mean over the area's survey clusters","predictor"
"ndvi_november_25km","November NDVI (vegetation greenness), 25 km buffer","numeric","NDVI index (-1 to 1)","NDVI (GEE cluster-buffer extraction); aggregated to this level as the mean over the area's survey clusters","predictor"
"ndvi_december_25km","December NDVI (vegetation greenness), 25 km buffer","numeric","NDVI index (-1 to 1)","NDVI (GEE cluster-buffer extraction); aggregated to this level as the mean over the area's survey clusters","predictor"
"human_modification_index","Global Human Modification index: cumulative human pressure on the landscape (built-up, agriculture, transport, etc.), 2016","numeric","0-1 (0 = wild, 1 = fully modified)","CSP Global Human Modification (GEE); aggregated to this level as the mean over the area's survey clusters","predictor"
"grassland_fraction_50km","Grassland land-cover fraction, 50 km buffer","numeric","fraction 0-1","GPW grasslands (GEE cluster-buffer extraction); aggregated to this level as the mean over the area's survey clusters","predictor"
"built_surface_nonres_10km","Non-residential built-up surface (GHSL), 10 km buffer","numeric","m^2 built per cell","GHSL Built-Up surface (GEE cluster-buffer extraction); aggregated to this level as the mean over the area's survey clusters","predictor"
"pop_density_cropland_10km","Population density on cropland (1 km source), 10 km buffer","numeric","persons/km^2","GHSL population x cropland mask (GEE cluster-buffer extraction); aggregated to this level as the mean over the area's survey clusters","predictor"
"malaria_effective_treatment","Proportion of malaria cases receiving effective antimalarial treatment (Malaria Atlas Project, 2021.06 release)","numeric","proportion 0-1","Malaria Atlas Project (cluster-GPS raster extraction); aggregated to this level as the mean over the area's survey clusters","predictor"
"malaria_pf_repro_number","P. falciparum reproductive number under control (malaria transmission intensity; MAP 2022.02 release)","numeric","reproductive number","Malaria Atlas Project (cluster-GPS raster extraction); aggregated to this level as the mean over the area's survey clusters","predictor"
