"country","outcome","cluster","Admin1","Admin2","lat","lon","urban","date_med","month_med","n_raw","n_raw_cont","n_kish","n_eff","n_eff_cont","y_prev","y_level","sd_level"
"Gambia","women_vitA","221","North Bank","Upper Baddibu",13.568901,-15.596886,NA,"2018-04-15",4,13,13,13,13,13,0,-0.374539665795234,0.218788752935895
"Gambia","women_vitA","226","North Bank","Lower Nuimi",13.490275,-16.463355,NA,"2018-04-19",4,15,15,15,15,15,0,-0.248393873746112,0.142749283953153
"Gambia","women_vitA","23","Banjul","Banjul",13.453878,-16.58157,NA,"2018-01-26",1,22,22,22,22,22,0,-0.247285991228179,0.231341803446827
"Gambia","women_vitA","233","North Bank","Upper Nuimi",13.351692,-16.430664,NA,"2018-03-30",3,17,17,17,17,17,0,-0.172506772223338,0.198461682592159
"Gambia","women_vitA","240","North Bank","Jokadu",13.522124,-16.230304,NA,"2018-03-14",3,12,12,12,12,12,0,-0.219039530523809,0.239126470486266
"Gambia","women_vitA","246","North Bank","Central Baddibu",13.586422,-15.96947,NA,"2018-03-19",3,33,33,33,33,33,0.0606060606060606,-0.0492866372304352,0.292110705592069
"Gambia","women_vitA","253","North Bank","Upper Baddibu",13.596256,-15.456512,NA,"2018-04-08",4,25,25,25,25,25,0.04,-0.232829708501932,0.312030175697763
"Gambia","women_vitA","257","Maccarthy Island","Lower Saloum",13.704576,-15.329116,NA,"2018-02-19",2,9,9,9,9,9,0.111111111111111,-0.226832225835822,0.330648038017503
"Gambia","women_vitA","259","Maccarthy Island","Niani",13.691137,-14.878078,NA,"2018-03-30",3,4,4,4,4,4,0,-0.475267345964003,0.213132758820599
"Gambia","women_vitA","26","Banjul","Banjul",13.454,-16.579037,NA,"2018-02-11",2,29,29,29,29,29,0,-0.333203974073805,0.253681162752558
"Gambia","women_vitA","261","Maccarthy Island","Lower Saloum",13.663526,-15.412368,NA,"2018-03-07",3,20,20,20,20,20,0,-0.106559320405777,0.203857328493656
"Gambia","women_vitA","268","Maccarthy Island","Upper Saloum",13.696934,-15.257488,NA,"2018-03-01",3,14,14,14,14,14,0.0714285714285714,-0.101705379184442,0.219099657416898
"Gambia","women_vitA","275","Maccarthy Island","Nianija",13.727296,-15.148341,NA,"2018-03-13",3,12,12,12,12,12,0.0833333333333333,-0.10927765229578,0.309682213597494
"Gambia","women_vitA","282","Maccarthy Island","Niani",13.681897,-14.81358,NA,"2018-02-23",2,28,28,28,28,28,0.142857142857143,0.0968039848964142,0.268636991199044
"Gambia","women_vitA","289","Maccarthy Island","Niani",13.763009,-14.864518,NA,"2018-03-25",3,13,13,13,13,13,0.0769230769230769,-0.0701065745399121,0.308735214625343
"Gambia","women_vitA","296","Maccarthy Island","Sami",13.628746,-14.587145,NA,"2018-03-09",3,19,19,19,19,19,0.0526315789473684,-0.00926652991821157,0.294490471613626
"Gambia","women_vitA","30","Banjul","Banjul",13.457446,-16.581727,NA,"2018-01-28",1,8,8,8,8,8,0,-0.432244555584103,0.409461755868929
"Gambia","women_vitA","303","Maccarthy Island","Fulladu West",13.531004,-14.931924,NA,"2018-03-31",3,13,13,13,13,13,0,-0.436374176757139,0.471457755254679
"Gambia","women_vitA","307","Maccarthy Island","Fulladu West",13.438636,-14.65913,NA,"2018-03-01",3,29,29,29,29,29,0.0344827586206897,-0.13550614688833,0.256767236861698
"Gambia","women_vitA","310","Maccarthy Island","Niamina Dankunku",13.648751,-15.311714,NA,"2018-02-25",2,20,20,20,20,20,0,-0.123935125973178,0.18257972680858
"Gambia","women_vitA","316","Maccarthy Island","Niamina East",13.589589,-15.130846,NA,"2018-04-10",4,23,23,23,23,23,0.130434782608696,-0.12402604636709,0.344240115997665
"Gambia","women_vitA","322","Maccarthy Island","Nianija",13.688269,-15.078226,NA,"2018-04-04",4,9,9,9,9,9,0,-0.323514034442106,0.264225082298807
"Gambia","women_vitA","328","Maccarthy Island","Fulladu West",13.475902,-14.888629,NA,"2018-03-21",3,35,35,35,35,35,0.0857142857142857,-0.0114169815766841,0.256023950306015
"Gambia","women_vitA","33","Banjul","Banjul",13.459344,-16.582235,NA,"2018-01-31",1,16,16,16,16,16,0,-0.32582032710401,0.307006966879475
"Gambia","women_vitA","334","Maccarthy Island","Fulladu West",13.4464135,-14.789094,NA,"2018-03-07",3,32,32,32,32,32,0,-0.140572865830373,0.249329198607402
"Gambia","women_vitA","340","Maccarthy Island","Fulladu West",13.407362,-14.664095,NA,"2018-02-21",2,38,38,38,38,38,0,-0.223436399194324,0.215827688845826
"Gambia","women_vitA","348","Upper River","Fulladu East",13.305647,-14.194341,NA,"2018-03-19",3,11,11,11,11,11,0.0909090909090909,-0.191261748153223,0.376966799934512
"Gambia","women_vitA","353","Upper River","Fulladu East",13.308405,-14.216943,NA,"2018-04-12",4,5,5,5,5,5,0,-0.297372316582689,0.212768871414242
"Gambia","women_vitA","358","Upper River","Fulladu East",13.403192,-14.080375,NA,"2018-03-13",3,56,56,56,56,56,0.0178571428571429,-0.183610986283985,0.276995248020154
"Gambia","women_vitA","366","Upper River","Fulladu East",13.253,-14.268058,NA,"2018-03-29",3,31,31,31,31,31,0,-0.359183508660575,0.335544116140962
"Gambia","women_vitA","37","Banjul","Banjul",13.455295,-16.585535,NA,"2018-02-06",2,11,11,11,11,11,0,-0.523111164684267,0.299713739521284
"Gambia","women_vitA","372","Upper River","Fulladu East",13.295316,-14.061176,NA,"2018-03-06",3,50,50,50,50,50,0.04,-0.087836288851588,0.297676743980813
"Gambia","women_vitA","378","Upper River","Kantora",13.328167,-13.907657,NA,"2018-02-21",2,17,17,17,17,17,0.176470588235294,0.0571235682763009,0.402619780449941
"Gambia","women_vitA","384","Upper River","Wuli",13.483836,-14.195657,NA,"2018-04-05",4,11,11,11,11,11,0.0909090909090909,-0.164996077582424,0.366561376894586
"Gambia","women_vitA","390","Upper River","Sandu",13.404735,-14.273894,NA,"2018-03-25",3,15,15,15,15,15,0,-0.23154769045866,0.276960483613206
"Gambia","women_vitA","40","Banjul","Banjul",13.458793,-16.586655,NA,"2018-02-09",2,17,17,17,17,17,0,-0.36471648282834,0.518194301147127
"Gambia","women_vitA","44","Banjul","Banjul",13.453943,-16.583536,NA,"2018-01-28",1,20,20,20,20,20,0,-0.368000420710857,0.253237246634543
"Gambia","women_vitA","46","Banjul","Kanifing",13.471821,-16.692611,NA,"2018-01-31",1,3,3,3,3,3,0,-0.36283770602567,0.26351105629727
"Gambia","women_vitA","52","Banjul","Kanifing",13.450605,-16.67719,NA,"2018-02-10",2,19,19,19,19,19,0,-0.370161859745185,0.200176103530498
"Gambia","women_vitA","58","Banjul","Kanifing",13.436935,-16.661005,NA,"2018-02-01",2,23,23,23,23,23,0,-0.294450650850188,0.291579849282717
"Gambia","women_vitA","6","Banjul","Banjul",13.452161,-16.576286,NA,"2018-01-31",1,19,19,19,19,19,0,-0.396143689742679,0.217862801108105
"Gambia","women_vitA","64","Western","Kombo Saint Mary",13.422665,-16.689614,NA,"2018-01-26",1,22,22,22,22,22,0,-0.33143147363377,0.282707376348545
"Gambia","women_vitA","70","Banjul","Kanifing",13.437933,-16.677267,NA,"2018-02-12",2,15,15,15,15,15,0.0666666666666667,-0.20601431875916,0.395807836306709
"Gambia","women_vitA","76","Banjul","Kanifing",13.420337,-16.665596,NA,"2018-02-06",2,31,31,31,31,31,0.032258064516129,-0.250372436659381,0.287759574021582
"Gambia","women_vitA","82","Western","Kombo Saint Mary",13.411266,-16.675604,NA,"2018-02-08",2,25,25,25,25,25,0.08,-0.238030547052839,0.326270636738093
"Gambia","women_vitA","88","Banjul","Kanifing",13.423498,-16.673054,NA,"2018-04-16",4,20,20,20,20,20,0,-0.486130220218049,0.291639161616239
"Gambia","women_vitA","9","Banjul","Banjul",13.451956,-16.578364,NA,"2018-02-05",2,26,26,26,26,26,0,-0.470650716588943,0.288158642888237
"Gambia","women_vitA","94","Banjul","Kanifing",13.43924,-16.684821,NA,"2018-04-12",4,14,14,14,14,14,0,-0.5269999499692,0.313765397033664
"Gambia","child_iron","100","Banjul","Kanifing",13.456828,-16.699354,NA,"2018-01-27",1,8,8,8,8,8,0.25,-2.92992456264956,0.531936113080394
"Gambia","child_iron","113","Western","Kombo Saint Mary",13.387244,-16.633391,NA,"2018-02-18",2,22,22,22,22,22,0.454545454545455,-2.6565610409298,0.921363308988695
"Gambia","child_iron","122","Western","Kombo Saint Mary",13.406102,-16.672816,NA,"2018-03-23",3,12,12,12,12,12,0.75,-2.18021414414894,0.745663136237695
"Gambia","child_iron","13","Banjul","Banjul",13.457418,-16.579449,NA,"2018-01-24",1,3,3,3,3,3,0.666666666666667,-2.06408566516001,0.814516018187518
"Gambia","child_iron","132","Western","Kombo South",13.33061,-16.665974,NA,"2018-04-19",4,19,19,19,19,19,0.473684210526316,-2.52264636748937,0.828471381436984
"Gambia","child_iron","141","Western","Kombo Central",13.230063,-16.741642,NA,"2018-03-17",3,16,16,16,16,16,0.4375,-2.36829714616321,0.674080705012069
"Gambia","child_iron","150","Western","Kombo Central",13.251225,-16.646428,NA,"2018-04-04",4,10,10,10,10,10,0.2,-2.82083449586373,0.856513694225603
"Gambia","child_iron","16","Banjul","Banjul",13.457019,-16.579819,NA,"2018-01-30",1,5,5,5,5,5,0.6,-2.37138444516078,0.744118964156892
"Gambia","child_iron","160","Western","Kombo East",13.283124,-16.577448,NA,"2018-03-26",3,20,20,20,20,20,0.6,-2.31945404319601,1.05413488274931
"Gambia","child_iron","162","Western","Foni Brefet",13.170211,-16.414914,NA,"2018-03-22",3,11,11,11,11,11,0.636363636363636,-1.96497026793115,0.671447367657876
"Gambia","child_iron","164","Western","Foni Bintang Karanai",13.201031,-16.197358,NA,"2018-03-18",3,17,17,17,17,17,0.470588235294118,-2.823275723794,0.904308277008803
