"country","outcome","set","target","estimand","arm","reps","n_clusters","n_units","rho_cluster","rho_agg","wmae_cluster","wmae_agg","rho_district_v2"
"Ghana","women_iron","transportable","level","region","spatial_plus_domain",1,90,75,0.401917932255011,0.427339971550498,0.249566837717509,0.237670970483775,0.441650071123755
"Ghana","women_iron","transportable","prev","infill","domain_index",3,90,75,0.310931105448545,0.288154297323862,10.1088868287854,9.46934097562624,0.306058297933561
"Ghana","women_iron","transportable","prev","infill","mbg",3,90,75,0.33444416198077,0.365635242602186,8.56274784283338,7.70372788308025,NA
"Ghana","women_iron","transportable","prev","infill","mbg_gp",3,90,75,0.452887733840003,0.485158773229306,8.01459670066443,7.47859131789899,NA
"Ghana","women_iron","transportable","prev","infill","null_train_mean",3,90,75,-0.267216000350175,-0.267180135178911,9.22508990710608,8.62018943103875,-0.201245743131949
"Ghana","women_iron","transportable","prev","infill","region_mean_jk",3,90,75,0.364470498258084,0.34616131957416,8.88740007103126,8.46545116315199,0.350497685090636
"Ghana","women_iron","transportable","prev","infill","spatial",3,90,75,0.394686436311998,0.413202931569714,8.1902906264999,7.7523034726138,0.493379529940088
"Ghana","women_iron","transportable","prev","infill","spatial_plus_domain",3,90,75,0.381378263795894,0.410872028480561,8.23144754507925,7.80900228421995,0.492162289406737
"Ghana","women_iron","transportable","prev","region","mbg",1,90,75,0.0998154762002983,0.114818559576792,9.81457328617492,9.1373602047482,NA
"Ghana","women_iron","transportable","prev","region","mbg_gp",1,90,75,0.272043805619903,0.299118174817285,8.64775627747042,8.02099618650091,NA
"Ghana","women_iron","transportable","prev","region","spatial_plus_domain",1,90,75,0.19742268241678,0.246500195823259,9.22074212368272,8.81830786067059,0.405156928825478
"Ghana","women_vitA","transportable","level","infill","domain_index",3,90,75,0.465366094579578,0.486884779516358,0.135278521420527,0.130241990418978,0.502856330014225
"Ghana","women_vitA","transportable","level","infill","mbg",3,90,75,0.441182038934848,0.435334281650071,0.112695723345956,0.104237877138231,NA
"Ghana","women_vitA","transportable","level","infill","mbg_gp",3,90,75,0.431929867884924,0.407823613086771,0.108940775731855,0.104311128220865,NA
"Ghana","women_vitA","transportable","level","infill","null_train_mean",3,90,75,-0.280167966393811,-0.243979155264566,0.135774743949412,0.131303722833503,-0.186743924945446
"Ghana","women_vitA","transportable","level","infill","region_mean_jk",3,90,75,0.35542035826484,0.326183553400621,0.120514246339776,0.115766430978888,0.331680030355027
"Ghana","women_vitA","transportable","level","infill","spatial",3,90,75,0.452788410091781,0.432887624466572,0.109310104503382,0.104541085669481,0.436805120910384
"Ghana","women_vitA","transportable","level","infill","spatial_plus_domain",3,90,75,0.497962711445857,0.471294452347084,0.106664952090244,0.102739089084021,0.434415362731152
"Ghana","women_vitA","transportable","level","region","mbg",1,90,75,0.510721488249578,0.507197724039829,0.110535217854956,0.105559517836094,NA
"Ghana","women_vitA","transportable","level","region","mbg_gp",1,90,75,0.488348355764086,0.47900426742532,0.111442420966543,0.10961782299076,NA
"Ghana","women_vitA","transportable","level","region","spatial_plus_domain",1,90,75,0.559599950611187,0.553086770981508,0.104821043061235,0.100193105836915,0.506116642958748
"Ghana","women_vitA","transportable","prev","infill","domain_index",3,90,75,0.142383049618861,0.133943076339597,6.4451922589574,6.29470790077237,0.120254904377186
"Ghana","women_vitA","transportable","prev","infill","mbg",3,90,75,0.0464502623844353,0.0309633694485914,4.17744478501761,3.81690368868189,NA
"Ghana","women_vitA","transportable","prev","infill","mbg_gp",3,90,75,-0.037409010930363,-0.0657468948681128,4.4194203297857,4.18068533063496,NA
"Ghana","women_vitA","transportable","prev","infill","null_train_mean",3,90,75,-0.194524402314046,-0.176163192122337,6.01117649875936,5.73372094776128,-0.154812995530941
"Ghana","women_vitA","transportable","prev","infill","region_mean_jk",3,90,75,0.0356826629982694,0.0562471966844837,6.16490719175916,5.95932646303084,-0.0237685345012779
"Ghana","women_vitA","transportable","prev","infill","spatial",3,90,75,0.0882243984025752,0.0953576732073797,5.86259451190335,5.64695637627927,0.108556956480572
