country,outcome,Admin1,Admin2,svy_prev,n_svy
Malawi,child_vitA,Nsanje,Nsanje Boma,0,4
Malawi,child_vitA,Nsanje,SC Mbenje,0.1875,16
Malawi,child_vitA,Lilongwe,TA Chiseka,0,13
Malawi,child_vitA,Lilongwe,TA Kabudula,0,8
Malawi,child_vitA,Chiradzulu,TA Kadewere,0,16
Malawi,child_vitA,Dedza,TA Kaphuka,0.1,10
Malawi,child_vitA,Lilongwe,TA Khongoni,0,8
Malawi,child_vitA,Karonga,TA Kilupula,0.05477409545629702,19
Malawi,child_vitA,Karonga,TA Kyungu,0.12039253898868066,43
Malawi,child_vitA,Chiradzulu,TA Mpama,0,6
Malawi,child_vitA,Chiradzulu,TA Nchema,0.23076923076923078,13
Malawi,child_vitA,Nsanje,TA Ndamera,0,10
Malawi,child_vitA,Dedza,TA Pemba,0.125,32
Malawi,child_vitA,Dedza,TA Tambala,0.16666666666666666,18
Malawi,child_vitA,Karonga,TA Wasambo,0.13333333333333333,15
Malawi,women_vitA,Karonga,Karonga Town,0,12
Malawi,women_vitA,Lilongwe,Lilongwe City,0.25,4
Malawi,women_vitA,Nsanje,Nsanje Boma,0,6
Malawi,women_vitA,Nsanje,SC Mbenje,0.1111111111111111,9
Malawi,women_vitA,Lilongwe,TA Chiseka,0,9
Malawi,women_vitA,Lilongwe,TA Kabudula,0,10
Malawi,women_vitA,Chiradzulu,TA Kadewere,0,9
Malawi,women_vitA,Dedza,TA Kaphuka,0.16666666666666666,6
Malawi,women_vitA,Lilongwe,TA Khongoni,0,7
Malawi,women_vitA,Karonga,TA Kilupula,0,11
Malawi,women_vitA,Karonga,TA Kyungu,0,22
Malawi,women_vitA,Chiradzulu,TA Mpama,0,8
Malawi,women_vitA,Chiradzulu,TA Nchema,0,12
Malawi,women_vitA,Nsanje,TA Ndamera,0,6
Malawi,women_vitA,Dedza,TA Pemba,0,16
Malawi,women_vitA,Dedza,TA Tambala,0.1,10
Malawi,women_vitA,Karonga,TA Wasambo,0,6
Malawi,child_iron,Karonga,Karonga Town,0.09090909090909091,11
Malawi,child_iron,Lilongwe,Lilongwe City,0.6000000000000001,10
Malawi,child_iron,Nsanje,Nsanje Boma,0.5,4
Malawi,child_iron,Nsanje,SC Mbenje,0.3125,16
Malawi,child_iron,Lilongwe,TA Chiseka,0,13
Malawi,child_iron,Lilongwe,TA Kabudula,0.25,8
Malawi,child_iron,Chiradzulu,TA Kadewere,0.1875,16
Malawi,child_iron,Dedza,TA Kaphuka,0.1,10
Malawi,child_iron,Lilongwe,TA Khongoni,0,8
Malawi,child_iron,Karonga,TA Kilupula,0.16432228636889107,19
Malawi,child_iron,Karonga,TA Kyungu,0.2204249274391646,43
Malawi,child_iron,Chiradzulu,TA Mpama,0.16666666666666666,6
Malawi,child_iron,Chiradzulu,TA Nchema,0.15384615384615385,13
Malawi,child_iron,Nsanje,TA Ndamera,0.1,10
Malawi,child_iron,Dedza,TA Pemba,0,32
Malawi,child_iron,Dedza,TA Tambala,0.05555555555555555,18
Malawi,child_iron,Karonga,TA Wasambo,0.13333333333333333,15
Malawi,women_iron,Karonga,Karonga Town,0.16666666666666666,12
Malawi,women_iron,Lilongwe,Lilongwe City,0,2
Malawi,women_iron,Nsanje,Nsanje Boma,0.3333333333333333,6
Malawi,women_iron,Nsanje,SC Mbenje,0.2222222222222222,9
Malawi,women_iron,Lilongwe,TA Chiseka,0.125,8
Malawi,women_iron,Lilongwe,TA Kabudula,0,8
Malawi,women_iron,Chiradzulu,TA Kadewere,0.2222222222222222,9
Malawi,women_iron,Dedza,TA Kaphuka,0.16666666666666666,6
Malawi,women_iron,Lilongwe,TA Khongoni,0.16666666666666666,6
Malawi,women_iron,Karonga,TA Kilupula,0,8
Malawi,women_iron,Karonga,TA Kyungu,0.12093751175584919,21
Malawi,women_iron,Chiradzulu,TA Mpama,0.25,8
Malawi,women_iron,Chiradzulu,TA Nchema,0,11
Malawi,women_iron,Nsanje,TA Ndamera,0,3
Malawi,women_iron,Dedza,TA Pemba,0,16
Malawi,women_iron,Dedza,TA Tambala,0.1,10
Malawi,women_iron,Karonga,TA Wasambo,0.3333333333333333,6
Malawi,women_folate,Karonga,Karonga Town,0.41666666666666663,12
Malawi,women_folate,Lilongwe,Lilongwe City,0,4
Malawi,women_folate,Nsanje,Nsanje Boma,0.3333333333333333,6
Malawi,women_folate,Nsanje,SC Mbenje,0.4444444444444444,9
Malawi,women_folate,Lilongwe,TA Chiseka,0.3333333333333333,9
Malawi,women_folate,Lilongwe,TA Kabudula,0.125,8
Malawi,women_folate,Chiradzulu,TA Kadewere,0.2222222222222222,9
Malawi,women_folate,Dedza,TA Kaphuka,0.16666666666666666,6
Malawi,women_folate,Lilongwe,TA Khongoni,0.16666666666666666,6
Malawi,women_folate,Karonga,TA Kilupula,0.08537747771616161,11
Malawi,women_folate,Karonga,TA Kyungu,0.2962788277804187,21
