country,outcome,Admin1,Admin2
Ghana,women_b12,Eastern,Atiwa East
Ghana,women_b12,Eastern,Denkyembour
Ghana,women_b12,Western,Effia Kwesimintsim
Ghana,women_b12,Western,Ellembelle
Ghana,women_b12,Volta,Ho Municipal
Ghana,women_b12,Western,Jomoro
Ghana,women_b12,Bono East,Kintampo North
Ghana,women_b12,Eastern,Kwahu Afram Plains North
Ghana,women_b12,Western,Mpohor
Ghana,women_b12,Western,Prestea-Huni Valley
Ghana,women_b12,Bono East,Sene West
Ghana,women_b12,Volta,South Tongu
Ghana,women_b12,Bono East,Techiman
Sierra Leone,child_vitA,Southern,Bo
Sierra Leone,child_vitA,Northern,Bombali
Sierra Leone,child_vitA,Southern,Bonthe
Sierra Leone,child_vitA,Northern,Kambia
Sierra Leone,child_vitA,Northern,Koinadugu
Sierra Leone,child_vitA,Southern,Moyamba
Sierra Leone,child_vitA,Northern,Port Loko
Sierra Leone,child_vitA,Southern,Pujehun
Sierra Leone,child_vitA,Northern,Tonkolili
Sierra Leone,women_vitA,Southern,Bo
Sierra Leone,women_vitA,Northern,Bombali
Sierra Leone,women_vitA,Southern,Bonthe
Sierra Leone,women_vitA,Northern,Kambia
Sierra Leone,women_vitA,Northern,Koinadugu
Sierra Leone,women_vitA,Southern,Moyamba
Sierra Leone,women_vitA,Northern,Port Loko
Sierra Leone,women_vitA,Southern,Pujehun
Sierra Leone,women_vitA,Northern,Tonkolili
Sierra Leone,child_iron,Southern,Bo
Sierra Leone,child_iron,Northern,Bombali
Sierra Leone,child_iron,Southern,Bonthe
Sierra Leone,child_iron,Northern,Kambia
Sierra Leone,child_iron,Northern,Koinadugu
Sierra Leone,child_iron,Southern,Moyamba
Sierra Leone,child_iron,Northern,Port Loko
Sierra Leone,child_iron,Southern,Pujehun
Sierra Leone,child_iron,Northern,Tonkolili
Sierra Leone,women_iron,Southern,Bo
Sierra Leone,women_iron,Northern,Bombali
Sierra Leone,women_iron,Southern,Bonthe
Sierra Leone,women_iron,Northern,Kambia
Sierra Leone,women_iron,Northern,Koinadugu
Sierra Leone,women_iron,Southern,Moyamba
Sierra Leone,women_iron,Northern,Port Loko
Sierra Leone,women_iron,Southern,Pujehun
Sierra Leone,women_iron,Northern,Tonkolili
Sierra Leone,women_folate,Southern,Bo
Sierra Leone,women_folate,Northern,Bombali
Sierra Leone,women_folate,Southern,Bonthe
Sierra Leone,women_folate,Northern,Kambia
Sierra Leone,women_folate,Northern,Koinadugu
Sierra Leone,women_folate,Southern,Moyamba
Sierra Leone,women_folate,Northern,Port Loko
Sierra Leone,women_folate,Southern,Pujehun
Sierra Leone,women_folate,Northern,Tonkolili
Sierra Leone,women_b12,Southern,Bo
Sierra Leone,women_b12,Northern,Bombali
Sierra Leone,women_b12,Southern,Bonthe
Sierra Leone,women_b12,Northern,Kambia
Sierra Leone,women_b12,Northern,Koinadugu
Sierra Leone,women_b12,Southern,Moyamba
Sierra Leone,women_b12,Northern,Port Loko
Sierra Leone,women_b12,Southern,Pujehun
Sierra Leone,women_b12,Northern,Tonkolili
Malawi,child_vitA,Karonga,Karonga Town
Malawi,child_vitA,Lilongwe,Lilongwe City
Malawi,child_vitA,Nsanje,Nsanje Boma
Malawi,child_vitA,Nsanje,SC Mbenje
Malawi,child_vitA,Lilongwe,TA Chiseka
Malawi,child_vitA,Lilongwe,TA Kabudula
Malawi,child_vitA,Chiradzulu,TA Kadewere
Malawi,child_vitA,Dedza,TA Kaphuka
Malawi,child_vitA,Lilongwe,TA Khongoni
Malawi,child_vitA,Karonga,TA Kilupula
Malawi,child_vitA,Karonga,TA Kyungu
Malawi,child_vitA,Chiradzulu,TA Mpama
Malawi,child_vitA,Chiradzulu,TA Nchema
Malawi,child_vitA,Nsanje,TA Ndamera
Malawi,child_vitA,Dedza,TA Pemba
Malawi,child_vitA,Dedza,TA Tambala
Malawi,child_vitA,Karonga,TA Wasambo
Malawi,women_vitA,Karonga,Karonga Town
Malawi,women_vitA,Lilongwe,Lilongwe City
Malawi,women_vitA,Nsanje,Nsanje Boma
Malawi,women_vitA,Nsanje,SC Mbenje
Malawi,women_vitA,Lilongwe,TA Chiseka
Malawi,women_vitA,Lilongwe,TA Kabudula
Malawi,women_vitA,Chiradzulu,TA Kadewere
Malawi,women_vitA,Dedza,TA Kaphuka
Malawi,women_vitA,Lilongwe,TA Khongoni
Malawi,women_vitA,Karonga,TA Kilupula
Malawi,women_vitA,Karonga,TA Kyungu
Malawi,women_vitA,Chiradzulu,TA Mpama
Malawi,women_vitA,Chiradzulu,TA Nchema
Malawi,women_vitA,Nsanje,TA Ndamera
Malawi,women_vitA,Dedza,TA Pemba
Malawi,women_vitA,Dedza,TA Tambala
Malawi,women_vitA,Karonga,TA Wasambo
Malawi,child_iron,Karonga,Karonga Town
Malawi,child_iron,Lilongwe,Lilongwe City
Malawi,child_iron,Nsanje,Nsanje Boma
Malawi,child_iron,Nsanje,SC Mbenje
Malawi,child_iron,Lilongwe,TA Chiseka
Malawi,child_iron,Lilongwe,TA Kabudula
Malawi,child_iron,Chiradzulu,TA Kadewere
Malawi,child_iron,Dedza,TA Kaphuka
Malawi,child_iron,Lilongwe,TA Khongoni
Malawi,child_iron,Karonga,TA Kilupula
Malawi,child_iron,Karonga,TA Kyungu
Malawi,child_iron,Chiradzulu,TA Mpama
Malawi,child_iron,Chiradzulu,TA Nchema
Malawi,child_iron,Nsanje,TA Ndamera
Malawi,child_iron,Dedza,TA Pemba
Malawi,child_iron,Dedza,TA Tambala
Malawi,child_iron,Karonga,TA Wasambo
Malawi,women_iron,Karonga,Karonga Town
Malawi,women_iron,Lilongwe,Lilongwe City
Malawi,women_iron,Nsanje,Nsanje Boma
Malawi,women_iron,Nsanje,SC Mbenje
Malawi,women_iron,Lilongwe,TA Chiseka
Malawi,women_iron,Lilongwe,TA Kabudula
Malawi,women_iron,Chiradzulu,TA Kadewere
Malawi,women_iron,Dedza,TA Kaphuka
Malawi,women_iron,Lilongwe,TA Khongoni
Malawi,women_iron,Karonga,TA Kilupula
Malawi,women_iron,Karonga,TA Kyungu
Malawi,women_iron,Chiradzulu,TA Mpama
Malawi,women_iron,Chiradzulu,TA Nchema
Malawi,women_iron,Nsanje,TA Ndamera
Malawi,women_iron,Dedza,TA Pemba
Malawi,women_iron,Dedza,TA Tambala
Malawi,women_iron,Karonga,TA Wasambo
Malawi,women_folate,Karonga,Karonga Town
Malawi,women_folate,Lilongwe,Lilongwe City
Malawi,women_folate,Nsanje,Nsanje Boma
Malawi,women_folate,Nsanje,SC Mbenje
Malawi,women_folate,Lilongwe,TA Chiseka
Malawi,women_folate,Lilongwe,TA Kabudula
Malawi,women_folate,Chiradzulu,TA Kadewere
Malawi,women_folate,Dedza,TA Kaphuka
Malawi,women_folate,Lilongwe,TA Khongoni
Malawi,women_folate,Karonga,TA Kilupula
Malawi,women_folate,Karonga,TA Kyungu
Malawi,women_folate,Chiradzulu,TA Mpama
Malawi,women_folate,Chiradzulu,TA Nchema
Malawi,women_folate,Nsanje,TA Ndamera
Malawi,women_folate,Dedza,TA Pemba
Malawi,women_folate,Dedza,TA Tambala
Malawi,women_folate,Karonga,TA Wasambo
Malawi,women_b12,Karonga,Karonga Town
Malawi,women_b12,Lilongwe,Lilongwe City
Malawi,women_b12,Nsanje,Nsanje Boma
Malawi,women_b12,Nsanje,SC Mbenje
Malawi,women_b12,Lilongwe,TA Chiseka
Malawi,women_b12,Lilongwe,TA Kabudula
Malawi,women_b12,Chiradzulu,TA Kadewere
Malawi,women_b12,Dedza,TA Kaphuka
Malawi,women_b12,Lilongwe,TA Khongoni
Malawi,women_b12,Karonga,TA Kilupula
Malawi,women_b12,Karonga,TA Kyungu
Malawi,women_b12,Chiradzulu,TA Mpama
Malawi,women_b12,Chiradzulu,TA Nchema
Malawi,women_b12,Nsanje,TA Ndamera
Malawi,women_b12,Dedza,TA Pemba
Malawi,women_b12,Dedza,TA Tambala
Malawi,women_b12,Karonga,TA Wasambo
Malawi,child_zinc,Karonga,Karonga Town
Malawi,child_zinc,Lilongwe,Lilongwe City
Malawi,child_zinc,Nsanje,Nsanje Boma
Malawi,child_zinc,Nsanje,SC Mbenje
Malawi,child_zinc,Lilongwe,TA Chiseka
Malawi,child_zinc,Lilongwe,TA Kabudula
Malawi,child_zinc,Chiradzulu,TA Kadewere
Malawi,child_zinc,Dedza,TA Kaphuka
Malawi,child_zinc,Lilongwe,TA Khongoni
Malawi,child_zinc,Karonga,TA Kilupula
Malawi,child_zinc,Karonga,TA Kyungu
Malawi,child_zinc,Chiradzulu,TA Mpama
Malawi,child_zinc,Chiradzulu,TA Nchema
Malawi,child_zinc,Nsanje,TA Ndamera
Malawi,child_zinc,Dedza,TA Pemba
Malawi,child_zinc,Dedza,TA Tambala
Malawi,child_zinc,Karonga,TA Wasambo
Malawi,women_zinc,Karonga,Karonga Town
Malawi,women_zinc,Lilongwe,Lilongwe City
Malawi,women_zinc,Nsanje,Nsanje Boma
Malawi,women_zinc,Nsanje,SC Mbenje
Malawi,women_zinc,Lilongwe,TA Chiseka
Malawi,women_zinc,Lilongwe,TA Kabudula
Malawi,women_zinc,Chiradzulu,TA Kadewere
Malawi,women_zinc,Dedza,TA Kaphuka
Malawi,women_zinc,Lilongwe,TA Khongoni
Malawi,women_zinc,Karonga,TA Kilupula
Malawi,women_zinc,Karonga,TA Kyungu
Malawi,women_zinc,Chiradzulu,TA Mpama
Malawi,women_zinc,Chiradzulu,TA Nchema
Malawi,women_zinc,Nsanje,TA Ndamera
Malawi,women_zinc,Dedza,TA Pemba
Malawi,women_zinc,Dedza,TA Tambala
Malawi,women_zinc,Karonga,TA Wasambo
