country,outcome,Admin1,Admin2,fold
Ghana,child_vitA,Northern,Tatale Sanguli,Northern
Ghana,child_vitA,Bono East,Techiman,Bono East
Ghana,child_vitA,Greater Accra,Tema West,Greater Accra
Ghana,child_vitA,Northern,Tolon,Northern
Ghana,child_vitA,Central,Twifo-Atti-Morkwa,Central
Ghana,child_vitA,Central,Twifo-Hemang-Lower Denkyira,Central
Ghana,child_vitA,Upper West,Wa East,Upper West
Ghana,child_vitA,Upper West,Wa Municipal,Upper West
Ghana,child_vitA,Greater Accra,Weija Gbawe,Greater Accra
Ghana,child_vitA,Bono,Wenchi,Bono
Ghana,child_vitA,North East,West Mamprusi,North East
Ghana,child_vitA,North East,Yunyoo-Nasuan,North East
Ghana,women_vitA,Greater Accra,Ablekuma Central,Greater Accra
Ghana,women_vitA,Greater Accra,Ablekuma North,Greater Accra
Ghana,women_vitA,Eastern,Abuakwa South,Eastern
Ghana,women_vitA,Ashanti,Adansi Asokwa,Ashanti
Ghana,women_vitA,Volta,Afadzato South,Volta
Ghana,women_vitA,Central,Agona West,Central
Ghana,women_vitA,Volta,Akatsi South,Volta
Ghana,women_vitA,Eastern,Akwapem North,Eastern
Ghana,women_vitA,Ashanti,Asante-Akim South,Ashanti
Ghana,women_vitA,Greater Accra,Ashaiman,Greater Accra
Ghana,women_vitA,Central,Asikuma-Odoben-Brakwa,Central
Ghana,women_vitA,Ashanti,Asokore-Mampong,Ashanti
Ghana,women_vitA,Ashanti,Asokwa,Ashanti
Ghana,women_vitA,Ahafo,Asunafo North,Ahafo
Ghana,women_vitA,Eastern,Atiwa East,Eastern
Ghana,women_vitA,Ashanti,Atwima-Mponua,Ashanti
Ghana,women_vitA,Ashanti,Atwima-Nwabiagya South,Ashanti
Ghana,women_vitA,Central,Awutu Senya West,Central
Ghana,women_vitA,Greater Accra,Ayawaso West,Greater Accra
Ghana,women_vitA,Upper East,Bawku West,Upper East
Ghana,women_vitA,Ashanti,Bekwai,Ashanti
Ghana,women_vitA,Upper East,Binduri,Upper East
Ghana,women_vitA,Savannah,Bole,Savannah
Ghana,women_vitA,Upper East,Builsa South,Upper East
Ghana,women_vitA,Savannah,Central Gonja,Savannah
Ghana,women_vitA,North East,Chereponi,North East
Ghana,women_vitA,Eastern,Denkyembour,Eastern
Ghana,women_vitA,Bono,Dormaa West,Bono
Ghana,women_vitA,Western,Effia Kwesimintsim,Western
Ghana,women_vitA,Western,Ellembelle,Western
Ghana,women_vitA,Greater Accra,Ga East,Greater Accra
Ghana,women_vitA,Northern,Gushegu,Northern
Ghana,women_vitA,Volta,Ho Municipal,Volta
Ghana,women_vitA,Upper West,Jirapa,Upper West
Ghana,women_vitA,Western,Jomoro,Western
Ghana,women_vitA,Upper East,Kasena Nankana East,Upper East
Ghana,women_vitA,Bono East,Kintampo North,Bono East
Ghana,women_vitA,Northern,Kpandai,Northern
Ghana,women_vitA,Ashanti,Kumasi,Ashanti
Ghana,women_vitA,Ashanti,Kwadaso,Ashanti
Ghana,women_vitA,Eastern,Kwahu Afram Plains North,Eastern
Ghana,women_vitA,Greater Accra,La-Dade-Kotopon,Greater Accra
Ghana,women_vitA,Upper West,Lambussie-Karni,Upper West
Ghana,women_vitA,Central,Mfantseman,Central
Ghana,women_vitA,Western,Mpohor,Western
Ghana,women_vitA,Northern,Nanumba South,Northern
Ghana,women_vitA,Oti,Nkwanta South,Oti
Ghana,women_vitA,Savannah,North East Gonja,Savannah
Ghana,women_vitA,Ashanti,Obuasi,Ashanti
Ghana,women_vitA,Western,Prestea-Huni Valley,Western
Ghana,women_vitA,Northern,Sagnerigu,Northern
Ghana,women_vitA,Northern,Savelugu,Northern
Ghana,women_vitA,Savannah,Sawla-Tuna-Kalba,Savannah
Ghana,women_vitA,Western North,Sefwi-Akontombra,Western North
Ghana,women_vitA,Ashanti,Sekyere Kumawu,Ashanti
Ghana,women_vitA,Ashanti,Sekyere South,Ashanti
Ghana,women_vitA,Bono East,Sene West,Bono East
Ghana,women_vitA,Upper West,Sissala East,Upper West
Ghana,women_vitA,Volta,South Tongu,Volta
Ghana,women_vitA,Bono,Sunyani West,Bono
Ghana,women_vitA,Upper East,Talensi,Upper East
Ghana,women_vitA,Northern,Tamale,Northern
Ghana,women_vitA,Ahafo,Tano North,Ahafo
Ghana,women_vitA,Northern,Tatale Sanguli,Northern
Ghana,women_vitA,Bono East,Techiman,Bono East
Ghana,women_vitA,Greater Accra,Tema West,Greater Accra
Ghana,women_vitA,Northern,Tolon,Northern
Ghana,women_vitA,Central,Twifo-Atti-Morkwa,Central
Ghana,women_vitA,Central,Twifo-Hemang-Lower Denkyira,Central
Ghana,women_vitA,Upper West,Wa East,Upper West
Ghana,women_vitA,Upper West,Wa Municipal,Upper West
Ghana,women_vitA,Greater Accra,Weija Gbawe,Greater Accra
Ghana,women_vitA,Bono,Wenchi,Bono
Ghana,women_vitA,North East,West Mamprusi,North East
Ghana,women_vitA,North East,Yunyoo-Nasuan,North East
Ghana,child_iron,Greater Accra,Ablekuma Central,Greater Accra
Ghana,child_iron,Greater Accra,Ablekuma North,Greater Accra
Ghana,child_iron,Eastern,Abuakwa South,Eastern
Ghana,child_iron,Ashanti,Adansi Asokwa,Ashanti
Ghana,child_iron,Volta,Afadzato South,Volta
Ghana,child_iron,Central,Agona West,Central
Ghana,child_iron,Volta,Akatsi South,Volta
Ghana,child_iron,Eastern,Akwapem North,Eastern
Ghana,child_iron,Ashanti,Asante-Akim South,Ashanti
Ghana,child_iron,Greater Accra,Ashaiman,Greater Accra
Ghana,child_iron,Central,Asikuma-Odoben-Brakwa,Central
Ghana,child_iron,Ashanti,Asokore-Mampong,Ashanti
Ghana,child_iron,Ashanti,Asokwa,Ashanti
Ghana,child_iron,Ahafo,Asunafo North,Ahafo
Ghana,child_iron,Eastern,Atiwa East,Eastern
Ghana,child_iron,Ashanti,Atwima-Mponua,Ashanti
Ghana,child_iron,Ashanti,Atwima-Nwabiagya South,Ashanti
Ghana,child_iron,Central,Awutu Senya West,Central
Ghana,child_iron,Greater Accra,Ayawaso West,Greater Accra
Ghana,child_iron,Upper East,Bawku West,Upper East
Ghana,child_iron,Ashanti,Bekwai,Ashanti
Ghana,child_iron,Upper East,Binduri,Upper East
Ghana,child_iron,Savannah,Bole,Savannah
Ghana,child_iron,Upper East,Builsa South,Upper East
Ghana,child_iron,Savannah,Central Gonja,Savannah
Ghana,child_iron,North East,Chereponi,North East
Ghana,child_iron,Eastern,Denkyembour,Eastern
Ghana,child_iron,Bono,Dormaa West,Bono
Ghana,child_iron,Western,Effia Kwesimintsim,Western
Ghana,child_iron,Western,Ellembelle,Western
Ghana,child_iron,Greater Accra,Ga East,Greater Accra
Ghana,child_iron,Northern,Gushegu,Northern
Ghana,child_iron,Volta,Ho Municipal,Volta
Ghana,child_iron,Upper West,Jirapa,Upper West
Ghana,child_iron,Western,Jomoro,Western
Ghana,child_iron,Upper East,Kasena Nankana East,Upper East
Ghana,child_iron,Bono East,Kintampo North,Bono East
Ghana,child_iron,Northern,Kpandai,Northern
Ghana,child_iron,Ashanti,Kumasi,Ashanti
Ghana,child_iron,Ashanti,Kwadaso,Ashanti
Ghana,child_iron,Eastern,Kwahu Afram Plains North,Eastern
Ghana,child_iron,Greater Accra,La-Dade-Kotopon,Greater Accra
Ghana,child_iron,Upper West,Lambussie-Karni,Upper West
Ghana,child_iron,Central,Mfantseman,Central
Ghana,child_iron,Western,Mpohor,Western
Ghana,child_iron,Northern,Nanumba South,Northern
Ghana,child_iron,Oti,Nkwanta South,Oti
Ghana,child_iron,Savannah,North East Gonja,Savannah
Ghana,child_iron,Ashanti,Obuasi,Ashanti
Ghana,child_iron,Western,Prestea-Huni Valley,Western
Ghana,child_iron,Northern,Sagnerigu,Northern
Ghana,child_iron,Northern,Savelugu,Northern
Ghana,child_iron,Savannah,Sawla-Tuna-Kalba,Savannah
Ghana,child_iron,Western North,Sefwi-Akontombra,Western North
Ghana,child_iron,Ashanti,Sekyere Kumawu,Ashanti
Ghana,child_iron,Ashanti,Sekyere South,Ashanti
Ghana,child_iron,Bono East,Sene West,Bono East
Ghana,child_iron,Upper West,Sissala East,Upper West
Ghana,child_iron,Volta,South Tongu,Volta
Ghana,child_iron,Bono,Sunyani West,Bono
Ghana,child_iron,Upper East,Talensi,Upper East
Ghana,child_iron,Northern,Tamale,Northern
Ghana,child_iron,Ahafo,Tano North,Ahafo
Ghana,child_iron,Northern,Tatale Sanguli,Northern
Ghana,child_iron,Bono East,Techiman,Bono East
Ghana,child_iron,Greater Accra,Tema West,Greater Accra
Ghana,child_iron,Northern,Tolon,Northern
Ghana,child_iron,Central,Twifo-Atti-Morkwa,Central
Ghana,child_iron,Central,Twifo-Hemang-Lower Denkyira,Central
Ghana,child_iron,Upper West,Wa East,Upper West
Ghana,child_iron,Upper West,Wa Municipal,Upper West
Ghana,child_iron,Greater Accra,Weija Gbawe,Greater Accra
Ghana,child_iron,Bono,Wenchi,Bono
Ghana,child_iron,North East,West Mamprusi,North East
Ghana,child_iron,North East,Yunyoo-Nasuan,North East
Ghana,women_iron,Greater Accra,Ablekuma Central,Greater Accra
Ghana,women_iron,Greater Accra,Ablekuma North,Greater Accra
Ghana,women_iron,Eastern,Abuakwa South,Eastern
Ghana,women_iron,Ashanti,Adansi Asokwa,Ashanti
Ghana,women_iron,Volta,Afadzato South,Volta
Ghana,women_iron,Central,Agona West,Central
Ghana,women_iron,Volta,Akatsi South,Volta
Ghana,women_iron,Eastern,Akwapem North,Eastern
Ghana,women_iron,Ashanti,Asante-Akim South,Ashanti
Ghana,women_iron,Greater Accra,Ashaiman,Greater Accra
Ghana,women_iron,Central,Asikuma-Odoben-Brakwa,Central
Ghana,women_iron,Ashanti,Asokore-Mampong,Ashanti
Ghana,women_iron,Ashanti,Asokwa,Ashanti
Ghana,women_iron,Ahafo,Asunafo North,Ahafo
Ghana,women_iron,Eastern,Atiwa East,Eastern
Ghana,women_iron,Ashanti,Atwima-Mponua,Ashanti
Ghana,women_iron,Ashanti,Atwima-Nwabiagya South,Ashanti
Ghana,women_iron,Central,Awutu Senya West,Central
Ghana,women_iron,Greater Accra,Ayawaso West,Greater Accra
Ghana,women_iron,Upper East,Bawku West,Upper East
Ghana,women_iron,Ashanti,Bekwai,Ashanti
Ghana,women_iron,Upper East,Binduri,Upper East
Ghana,women_iron,Savannah,Bole,Savannah
Ghana,women_iron,Upper East,Builsa South,Upper East
Ghana,women_iron,Savannah,Central Gonja,Savannah
Ghana,women_iron,North East,Chereponi,North East
Ghana,women_iron,Eastern,Denkyembour,Eastern
Ghana,women_iron,Bono,Dormaa West,Bono
Ghana,women_iron,Western,Effia Kwesimintsim,Western
Ghana,women_iron,Western,Ellembelle,Western
Ghana,women_iron,Greater Accra,Ga East,Greater Accra
Ghana,women_iron,Northern,Gushegu,Northern
Ghana,women_iron,Volta,Ho Municipal,Volta
Ghana,women_iron,Upper West,Jirapa,Upper West
Ghana,women_iron,Western,Jomoro,Western
Ghana,women_iron,Upper East,Kasena Nankana East,Upper East
Ghana,women_iron,Bono East,Kintampo North,Bono East
Ghana,women_iron,Northern,Kpandai,Northern
Ghana,women_iron,Ashanti,Kumasi,Ashanti
Ghana,women_iron,Ashanti,Kwadaso,Ashanti
Ghana,women_iron,Eastern,Kwahu Afram Plains North,Eastern
Ghana,women_iron,Greater Accra,La-Dade-Kotopon,Greater Accra
Ghana,women_iron,Upper West,Lambussie-Karni,Upper West
Ghana,women_iron,Central,Mfantseman,Central
Ghana,women_iron,Western,Mpohor,Western
Ghana,women_iron,Northern,Nanumba South,Northern
Ghana,women_iron,Oti,Nkwanta South,Oti
Ghana,women_iron,Savannah,North East Gonja,Savannah
Ghana,women_iron,Ashanti,Obuasi,Ashanti
Ghana,women_iron,Western,Prestea-Huni Valley,Western
Ghana,women_iron,Northern,Sagnerigu,Northern
Ghana,women_iron,Northern,Savelugu,Northern
Ghana,women_iron,Savannah,Sawla-Tuna-Kalba,Savannah
Ghana,women_iron,Western North,Sefwi-Akontombra,Western North
Ghana,women_iron,Ashanti,Sekyere Kumawu,Ashanti
Ghana,women_iron,Ashanti,Sekyere South,Ashanti
Ghana,women_iron,Bono East,Sene West,Bono East
Ghana,women_iron,Upper West,Sissala East,Upper West
Ghana,women_iron,Volta,South Tongu,Volta
Ghana,women_iron,Bono,Sunyani West,Bono
Ghana,women_iron,Upper East,Talensi,Upper East
Ghana,women_iron,Northern,Tamale,Northern
Ghana,women_iron,Ahafo,Tano North,Ahafo
Ghana,women_iron,Northern,Tatale Sanguli,Northern
Ghana,women_iron,Bono East,Techiman,Bono East
Ghana,women_iron,Greater Accra,Tema West,Greater Accra
Ghana,women_iron,Northern,Tolon,Northern
Ghana,women_iron,Central,Twifo-Atti-Morkwa,Central
Ghana,women_iron,Central,Twifo-Hemang-Lower Denkyira,Central
Ghana,women_iron,Upper West,Wa East,Upper West
Ghana,women_iron,Upper West,Wa Municipal,Upper West
Ghana,women_iron,Greater Accra,Weija Gbawe,Greater Accra
Ghana,women_iron,Bono,Wenchi,Bono
Ghana,women_iron,North East,West Mamprusi,North East
Ghana,women_iron,North East,Yunyoo-Nasuan,North East
Ghana,women_folate,Greater Accra,Ablekuma Central,Greater Accra
Ghana,women_folate,Greater Accra,Ablekuma North,Greater Accra
Ghana,women_folate,Eastern,Abuakwa South,Eastern
Ghana,women_folate,Ashanti,Adansi Asokwa,Ashanti
Ghana,women_folate,Volta,Afadzato South,Volta
Ghana,women_folate,Central,Agona West,Central
Ghana,women_folate,Volta,Akatsi South,Volta
Ghana,women_folate,Eastern,Akwapem North,Eastern
Ghana,women_folate,Ashanti,Asante-Akim South,Ashanti
Ghana,women_folate,Greater Accra,Ashaiman,Greater Accra
Ghana,women_folate,Central,Asikuma-Odoben-Brakwa,Central
Ghana,women_folate,Ashanti,Asokore-Mampong,Ashanti
Ghana,women_folate,Ashanti,Asokwa,Ashanti
Ghana,women_folate,Ahafo,Asunafo North,Ahafo
Ghana,women_folate,Eastern,Atiwa East,Eastern
Ghana,women_folate,Ashanti,Atwima-Mponua,Ashanti
Ghana,women_folate,Ashanti,Atwima-Nwabiagya South,Ashanti
Ghana,women_folate,Central,Awutu Senya West,Central
Ghana,women_folate,Greater Accra,Ayawaso West,Greater Accra
Ghana,women_folate,Upper East,Bawku West,Upper East
Ghana,women_folate,Ashanti,Bekwai,Ashanti
Ghana,women_folate,Upper East,Binduri,Upper East
Ghana,women_folate,Savannah,Bole,Savannah
Ghana,women_folate,Upper East,Builsa South,Upper East
Ghana,women_folate,Savannah,Central Gonja,Savannah
Ghana,women_folate,North East,Chereponi,North East
Ghana,women_folate,Eastern,Denkyembour,Eastern
Ghana,women_folate,Bono,Dormaa West,Bono
Ghana,women_folate,Western,Effia Kwesimintsim,Western
Ghana,women_folate,Western,Ellembelle,Western
Ghana,women_folate,Greater Accra,Ga East,Greater Accra
Ghana,women_folate,Northern,Gushegu,Northern
Ghana,women_folate,Volta,Ho Municipal,Volta
Ghana,women_folate,Upper West,Jirapa,Upper West
Ghana,women_folate,Western,Jomoro,Western
Ghana,women_folate,Upper East,Kasena Nankana East,Upper East
Ghana,women_folate,Bono East,Kintampo North,Bono East
Ghana,women_folate,Northern,Kpandai,Northern
Ghana,women_folate,Ashanti,Kumasi,Ashanti
Ghana,women_folate,Ashanti,Kwadaso,Ashanti
Ghana,women_folate,Eastern,Kwahu Afram Plains North,Eastern
Ghana,women_folate,Greater Accra,La-Dade-Kotopon,Greater Accra
Ghana,women_folate,Upper West,Lambussie-Karni,Upper West
Ghana,women_folate,Central,Mfantseman,Central
Ghana,women_folate,Western,Mpohor,Western
Ghana,women_folate,Northern,Nanumba South,Northern
Ghana,women_folate,Oti,Nkwanta South,Oti
Ghana,women_folate,Savannah,North East Gonja,Savannah
Ghana,women_folate,Ashanti,Obuasi,Ashanti
Ghana,women_folate,Western,Prestea-Huni Valley,Western
Ghana,women_folate,Northern,Sagnerigu,Northern
Ghana,women_folate,Northern,Savelugu,Northern
Ghana,women_folate,Savannah,Sawla-Tuna-Kalba,Savannah
Ghana,women_folate,Western North,Sefwi-Akontombra,Western North
Ghana,women_folate,Ashanti,Sekyere Kumawu,Ashanti
Ghana,women_folate,Ashanti,Sekyere South,Ashanti
Ghana,women_folate,Bono East,Sene West,Bono East
Ghana,women_folate,Upper West,Sissala East,Upper West
Ghana,women_folate,Volta,South Tongu,Volta
Ghana,women_folate,Bono,Sunyani West,Bono
Ghana,women_folate,Upper East,Talensi,Upper East
Ghana,women_folate,Northern,Tamale,Northern
Ghana,women_folate,Ahafo,Tano North,Ahafo
Ghana,women_folate,Northern,Tatale Sanguli,Northern
Ghana,women_folate,Bono East,Techiman,Bono East
Ghana,women_folate,Greater Accra,Tema West,Greater Accra
Ghana,women_folate,Northern,Tolon,Northern
Ghana,women_folate,Central,Twifo-Atti-Morkwa,Central
Ghana,women_folate,Central,Twifo-Hemang-Lower Denkyira,Central
Ghana,women_folate,Upper West,Wa East,Upper West
Ghana,women_folate,Upper West,Wa Municipal,Upper West
Ghana,women_folate,Greater Accra,Weija Gbawe,Greater Accra
Ghana,women_folate,Bono,Wenchi,Bono
Ghana,women_folate,North East,West Mamprusi,North East
Ghana,women_folate,North East,Yunyoo-Nasuan,North East
