"country","cluster","Admin1","Admin2","n_resp","n_dated","date_med","date_min","date_max","month_med","year_med"
"Ghana","53","Ashanti","Asokore-Mampong",32,32,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","54","Ahafo","Asunafo North",33,33,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","55","Ahafo","Tano North",35,35,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","56","Bono","Wenchi",27,27,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","57","Bono East","Kintampo North",34,34,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","58","Bono","Sunyani West",14,14,2017-04-15,2017-04-15,2017-04-15,4,2017
"Ghana","59","Bono East","Techiman",26,26,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","6","Western","Effia Kwesimintsim",11,11,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","60","Bono","Dormaa West",25,25,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","61","Savannah","Sawla-Tuna-Kalba",27,27,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","62","Savannah","Central Gonja",29,29,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","63","Savannah","Central Gonja",19,19,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","64","Northern","Kpandai",9,9,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","65","Savannah","North East Gonja",21,21,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","66","Northern","Tamale",43,43,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","67","Northern","Tolon",45,45,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","68","Northern","Gushegu",19,19,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","69","North East","Chereponi",19,19,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","7","Western","Mpohor",6,6,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","70","North East","Yunyoo-Nasuan",22,22,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","71","Upper West","Sissala East",24,24,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","72","Northern","Sagnerigu",18,18,2017-04-15,2017-04-15,2017-04-15,4,2017
"Ghana","73","Northern","Tatale Sanguli",34,34,2017-05-15,2017-04-15,2017-05-15,5,2017
"Ghana","74","Savannah","Bole",9,9,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","75","Northern","Nanumba South",21,21,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","76","Northern","Sagnerigu",22,22,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","77","Northern","Savelugu",33,33,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","78","North East","West Mamprusi",38,38,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","79","Upper East","Builsa South",9,9,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","8","Central","Twifo-Hemang-Lower Denkyira",9,9,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","80","Upper East","Kasena Nankana East",22,22,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","81","Upper East","Kasena Nankana East",17,17,2017-05-15,2017-05-15,2017-05-15,5,2017
"Ghana","82","Upper East","Talensi",25,25,2017-05-15,2017-05-15,2017-05-15,5,2017
