"country","outcome","rep","arm","n_areas","spearman","topk","secs_sl","secs_mlr3"
"Gambia","women_iron",1,"mean",30,-0.253282851644658,0.125,11.7504892349243,0
"Gambia","women_iron",1,"hapc",30,0.593614421294797,0.25,11.7504892349243,0
"Gambia","women_iron",2,"sl_discrete",30,0.696406723632952,0.5,12.1775510311127,0
"Gambia","women_iron",2,"sl_nnls",30,0.762264995260861,0.625,12.1775510311127,0
"Gambia","women_iron",2,"mlr3_discrete",30,NA,NA,12.1775510311127,0
"Gambia","women_iron",2,"domain_index",30,0.757815112042759,0.625,12.1775510311127,0
"Gambia","women_iron",2,"enet",30,0.685949498070413,0.5,12.1775510311127,0
"Gambia","women_iron",2,"rf",30,0.713316279861739,0.625,12.1775510311127,0
"Gambia","women_iron",2,"mean",30,0.0340433940382604,0.375,12.1775510311127,0
"Gambia","women_iron",2,"hapc",30,0.655467798026414,0.375,12.1775510311127,0
"Gambia","women_iron",3,"sl_discrete",30,0.673489825059727,0.5,13.4402799606323,0
"Gambia","women_iron",3,"sl_nnls",30,0.69195684041485,0.5,13.4402799606323,0
"Gambia","women_iron",3,"mlr3_discrete",30,NA,NA,13.4402799606323,0
"Gambia","women_iron",3,"domain_index",30,0.697964182759288,0.5,13.4402799606323,0
"Gambia","women_iron",3,"enet",30,0.666147517749859,0.75,13.4402799606323,0
"Gambia","women_iron",3,"rf",30,0.623651133016986,0.375,13.4402799606323,0
"Gambia","women_iron",3,"mean",30,-0.291411452967509,0.25,13.4402799606323,0
"Gambia","women_iron",3,"hapc",30,0.628768498717803,0.375,13.4402799606323,0
"Gambia","women_iron",4,"sl_discrete",30,0.616086331546212,0.375,12.2508447170258,0
"Gambia","women_iron",4,"sl_nnls",30,0.72555345871152,0.625,12.2508447170258,0
"Gambia","women_iron",4,"mlr3_discrete",30,NA,NA,12.2508447170258,0
"Gambia","women_iron",4,"domain_index",30,0.772499726662495,0.5,12.2508447170258,0
"Gambia","women_iron",4,"enet",30,0.611413954167205,0.5,12.2508447170258,0
"Gambia","women_iron",4,"rf",30,0.695071758667521,0.625,12.2508447170258,0
"Gambia","women_iron",4,"mean",30,-0.155237876814468,0,12.2508447170258,0
"Gambia","women_iron",4,"hapc",30,0.620758708925219,0.375,12.2508447170258,0
"Gambia","women_iron",5,"sl_discrete",30,0.61208143664992,0.625,11.0350499153137,0
"Gambia","women_iron",5,"sl_nnls",30,0.694626770345711,0.5,11.0350499153137,0
"Gambia","women_iron",5,"mlr3_discrete",30,NA,NA,11.0350499153137,0
"Gambia","women_iron",5,"domain_index",30,0.732895766021388,0.5,11.0350499153137,0
"Gambia","women_iron",5,"enet",30,0.641005677567583,0.625,11.0350499153137,0
"Gambia","women_iron",5,"rf",30,0.672599848416107,0.625,11.0350499153137,0
"Gambia","women_iron",5,"mean",30,0.0462990158920342,0.25,11.0350499153137,0
"Gambia","women_iron",5,"hapc",30,0.646345537429305,0.375,11.0350499153137,0
"Ghana","child_vitA",1,"sl_discrete",75,0.19166843504159,0.315789473684211,25.2028720378876,0
"Ghana","child_vitA",1,"sl_nnls",75,0.243364234570642,0.368421052631579,25.2028720378876,0
"Ghana","child_vitA",1,"mlr3_discrete",75,NA,NA,25.2028720378876,0
"Ghana","child_vitA",1,"domain_index",75,0.233524288047043,0.526315789473684,25.2028720378876,0
"Ghana","child_vitA",1,"enet",75,0.287053027529257,0.421052631578947,25.2028720378876,0
"Ghana","child_vitA",1,"rf",75,0.255553806530412,0.526315789473684,25.2028720378876,0
"Ghana","child_vitA",1,"mean",75,-0.222347319271408,0.210526315789474,25.2028720378876,0
"Ghana","child_vitA",1,"hapc",75,0.16173967093349,0.368421052631579,25.2028720378876,0
"Ghana","child_vitA",2,"sl_discrete",75,0.166704184194335,0.315789473684211,25.6683826446533,0
"Ghana","child_vitA",2,"sl_nnls",75,0.217418673693655,0.368421052631579,25.6683826446533,0
"Ghana","child_vitA",2,"mlr3_discrete",75,NA,NA,25.6683826446533,0
