"tier","target","outcome","heldout","n_units","rho_full","rho_cs","rho_urb_only","rho_full_resid","rho_cs_resid","partial_full","partial_cs","rho_full_plus_urb","rho_cs_plus_urb","cor_y_urb","cor_cs_urb","cor_full_urb"
"admin1","prev","child_vitA","Gambia",6,0.828571428571429,0.771428571428571,0.714285714285714,0.828571428571429,0.657142857142857,0.68088290664919,0.420084025208403,0.828571428571429,0.771428571428571,-0.714285714285714,-0.942857142857143,-0.657142857142857
"admin1","prev","child_vitA","Ghana",16,0.429411764705882,0.423529411764706,0.0735294117647059,0.447058823529412,0.423529411764706,0.567370894503147,0.477664343577764,0.414705882352941,0.388235294117647,-0.0735294117647059,-0.605882352941176,-0.75
"admin1","prev","child_vitA","Malawi",27,0.420636233249367,0.110788558221996,0.111238918214768,0.0675539989158513,0.019815839681983,0.419622153911237,0.164802039540455,0.43459739302531,0.140962677737743,-0.111238918214768,0.371184371184371,-0.0347985347985348
"admin1","prev","child_vitA","SierraLeone",4,0.4,-0.2,1,-0.2,-0.2,NA,NA,0.4,-0.2,-1,0.2,-0.4
"admin1","prev","women_vitA","Gambia",6,0.657142857142857,0.657142857142857,-0.771428571428571,0.828571428571429,0.657142857142857,0.686496515727252,0.446051641523283,0.657142857142857,0.657142857142857,-0.771428571428571,-0.542857142857143,-0.314285714285714
"admin1","prev","women_vitA","Ghana",16,0.413729272139058,0.404669507055721,-0.264243148263997,0.505836883819652,0.439398606541847,0.577624431307756,0.47539367986789,0.400139624514053,0.439398606541847,0.264243148263997,-0.176470588235294,-0.382352941176471
"admin1","prev","women_vitA","Malawi",27,0.331956864961941,0.120955942698683,0.0631658811870899,0.236536065721869,0.137083401725174,0.349950894142638,0.112054860636103,0.331956864961941,0.120955942698683,0.0631658811870899,0.17032967032967,0.514652014652014
"admin1","prev","women_vitA","SierraLeone",4,0.8,1,-0.8,0.8,1,NA,NA,0.8,1,0.8,0.8,0.4
"admin1","prev","child_iron","Gambia",6,0.657142857142857,0.6,0.542857142857143,0.657142857142857,0.6,0.474554753119132,0.319444444444444,0.657142857142857,0.6,-0.542857142857143,-0.828571428571429,-0.657142857142857
"admin1","prev","child_iron","Ghana",16,0.735294117647059,0.685294117647059,0.161764705882353,0.670588235294118,0.635294117647059,0.760338023059336,0.676837663779702,0.723529411764706,0.741176470588235,-0.161764705882353,-0.161764705882353,-0.482352941176471
"admin1","prev","child_iron","Malawi",27,-0.0726495726495726,0.0317460317460317,0.174603174603175,-0.200854700854701,-0.124542124542125,-0.0548377318368956,0.0897753963073384,-0.072039072039072,0.0372405372405372,-0.174603174603175,0.300976800976801,0.108669108669109
"admin1","prev","child_iron","SierraLeone",4,0.6,0.4,-0.4,0.4,0.2,NA,NA,0,0.4,0.4,0.4,-0.4
"admin1","prev","women_iron","Gambia",6,0.314285714285714,0.714285714285714,-0.828571428571429,0.542857142857143,0.714285714285714,0.436097768517726,0.402339899383612,0.314285714285714,0.657142857142857,-0.828571428571429,-0.657142857142857,-0.0857142857142857
"admin1","prev","women_iron","Ghana",16,0.590139968449523,0.600441663659365,-0.407652796160893,0.841795665718522,0.694628591292207,0.738353035215992,0.715046193694211,0.578366602495418,0.568064907285576,0.407652796160893,-0.117647058823529,-0.179411764705882
"admin1","prev","women_iron","Malawi",27,-0.0598290598290598,0.262515262515263,-0.115995115995116,-0.094017094017094,0.0915750915750916,-0.00620428886416966,0.312500123793729,-0.0598290598290598,0.215506715506715,-0.115995115995116,0.294261294261294,0.468864468864469
"admin1","prev","women_iron","SierraLeone",4,0.2,0.4,-0.8,0.4,0.4,NA,NA,0.2,0.4,0.8,0.8,0.4
"admin1","prev","women_folate","Ghana",16,0.158823529411765,-0.0588235294117647,0.241176470588235,-0.0735294117647059,-0.0264705882352941,0.128505626892018,0.0528310469415375,0.211764705882353,-0.0176470588235294,-0.241176470588235,0.435294117647059,-0.147058823529412
"admin1","prev","women_folate","Malawi",27,0.309102073555986,0.544288433870323,0.104459396399355,0.227245002693334,0.387293902439714,0.293111550921657,0.562850028458586,0.328650030776918,0.608430168501506,-0.104459396399355,0.113553113553114,-0.393162393162393
"admin1","prev","women_folate","SierraLeone",4,0,-1,0.8,-0.6,-1,NA,NA,0,-1,-0.8,0.8,-0.6
"admin1","prev","women_b12","Ghana",16,0.143707646354395,0.342231611421292,-0.259266372288857,0.146670690609125,0.343713133548657,0.0254639865815286,0.240966305598016,0.140744602099665,0.361491399077035,-0.259266372288857,-0.605882352941176,-0.470588235294118
"admin1","prev","women_b12","Malawi",27,0.0482415452504265,0.446543534241127,-0.159568188136026,0.138230581582953,0.391807934822374,0.0454242313839875,0.429757609628302,0.0457676198529687,0.445306571542398,0.159568188136026,0.186202686202686,0.0213675213675214
"admin1","prev","women_b12","SierraLeone",4,-0.4,-0.4,0.6,-0.4,-0.4,NA,NA,-0.4,-0.4,0.6,-0.4,-0.4
