"tier","target","outcome","heldout","set","n_cols","addon_imputed_heldout","spearman"
"admin2","level","women_b12","SierraLeone","base",324,128,0.56043956043956
"admin2","level","women_b12","SierraLeone","plus",452,128,0.56043956043956
"admin2","level","women_b12","SierraLeone","addon_only",128,128,NA
"admin2","level","women_b12","SierraLeone","cs",101,128,0.384615384615385
"admin2","level","women_b12","SierraLeone","cs_plus",229,128,0.384615384615385
"admin2","prev","child_vitA","Gambia","base",322,128,0.609199699827938
"admin2","prev","child_vitA","Gambia","plus",450,128,0.609199699827938
"admin2","prev","child_vitA","Gambia","addon_only",128,128,NA
"admin2","prev","child_vitA","Gambia","cs",101,128,0.376879668047119
"admin2","prev","child_vitA","Gambia","cs_plus",229,128,0.376879668047119
"admin2","prev","child_vitA","Ghana","base",322,0,0.348399611644548
"admin2","prev","child_vitA","Ghana","plus",450,0,0.348399611644548
"admin2","prev","child_vitA","Ghana","addon_only",128,0,NA
"admin2","prev","child_vitA","Ghana","cs",101,0,0.243378474724801
"admin2","prev","child_vitA","Ghana","cs_plus",229,0,0.243378474724801
"admin2","prev","child_vitA","Malawi","base",322,128,0.189932252762551
"admin2","prev","child_vitA","Malawi","plus",450,128,0.189932252762551
"admin2","prev","child_vitA","Malawi","addon_only",128,128,NA
"admin2","prev","child_vitA","Malawi","cs",101,128,0.0504482836230257
"admin2","prev","child_vitA","Malawi","cs_plus",229,128,0.0504482836230257
"admin2","prev","child_vitA","SierraLeone","base",322,128,0.0417582417582418
"admin2","prev","child_vitA","SierraLeone","plus",450,128,0.0417582417582418
"admin2","prev","child_vitA","SierraLeone","addon_only",128,128,NA
"admin2","prev","child_vitA","SierraLeone","cs",101,128,0.402197802197802
"admin2","prev","child_vitA","SierraLeone","cs_plus",229,128,0.402197802197802
"admin2","prev","women_vitA","Gambia","base",322,128,0.472376456817052
"admin2","prev","women_vitA","Gambia","plus",450,128,0.472376456817052
"admin2","prev","women_vitA","Gambia","addon_only",128,128,NA
"admin2","prev","women_vitA","Gambia","cs",101,128,0.609654264684899
"admin2","prev","women_vitA","Gambia","cs_plus",229,128,0.609654264684899
"admin2","prev","women_vitA","Ghana","base",322,0,0.0925600127319536
"admin2","prev","women_vitA","Ghana","plus",450,0,0.0925600127319536
"admin2","prev","women_vitA","Ghana","addon_only",128,0,NA
"admin2","prev","women_vitA","Ghana","cs",101,0,0.208662145605842
"admin2","prev","women_vitA","Ghana","cs_plus",229,0,0.208662145605842
"admin2","prev","women_vitA","Malawi","base",322,128,0.202255453209891
"admin2","prev","women_vitA","Malawi","plus",450,128,0.202255453209891
"admin2","prev","women_vitA","Malawi","addon_only",128,128,NA
"admin2","prev","women_vitA","Malawi","cs",101,128,0.0875434051206991
"admin2","prev","women_vitA","Malawi","cs_plus",229,128,0.0875434051206991
"admin2","prev","women_vitA","SierraLeone","base",322,128,0.185410764710102
"admin2","prev","women_vitA","SierraLeone","plus",450,128,0.185410764710102
"admin2","prev","women_vitA","SierraLeone","addon_only",128,128,NA
"admin2","prev","women_vitA","SierraLeone","cs",101,128,0.312147236790425
"admin2","prev","women_vitA","SierraLeone","cs_plus",229,128,0.312147236790425
"admin2","prev","child_iron","Gambia","base",322,128,0.507064192702715
"admin2","prev","child_iron","Gambia","plus",450,128,0.507064192702715
"admin2","prev","child_iron","Gambia","addon_only",128,128,NA
"admin2","prev","child_iron","Gambia","cs",101,128,0.538435869390334
"admin2","prev","child_iron","Gambia","cs_plus",229,128,0.538435869390334
"admin2","prev","child_iron","Ghana","base",322,0,0.567512259912284
"admin2","prev","child_iron","Ghana","plus",450,0,0.567512259912284
"admin2","prev","child_iron","Ghana","addon_only",128,0,NA
"admin2","prev","child_iron","Ghana","cs",101,0,0.579848241409824
"admin2","prev","child_iron","Ghana","cs_plus",229,0,0.579848241409824
"admin2","prev","child_iron","Malawi","base",322,128,-0.0826690805634047
"admin2","prev","child_iron","Malawi","plus",450,128,-0.0826690805634047
"admin2","prev","child_iron","Malawi","addon_only",128,128,NA
"admin2","prev","child_iron","Malawi","cs",101,128,0.141159461593095
"admin2","prev","child_iron","Malawi","cs_plus",229,128,0.141159461593095
"admin2","prev","child_iron","SierraLeone","base",322,128,0.274725274725275
"admin2","prev","child_iron","SierraLeone","plus",450,128,0.274725274725275
"admin2","prev","child_iron","SierraLeone","addon_only",128,128,NA
"admin2","prev","child_iron","SierraLeone","cs",101,128,0.221978021978022
"admin2","prev","child_iron","SierraLeone","cs_plus",229,128,0.221978021978022
"admin2","prev","women_iron","Gambia","base",322,128,0.550673048240114
"admin2","prev","women_iron","Gambia","plus",450,128,0.550673048240114
"admin2","prev","women_iron","Gambia","addon_only",128,128,NA
"admin2","prev","women_iron","Gambia","cs",101,128,0.734898213469534
"admin2","prev","women_iron","Gambia","cs_plus",229,128,0.734898213469534
"admin2","prev","women_iron","Ghana","base",322,0,0.340122328225629
"admin2","prev","women_iron","Ghana","plus",450,0,0.340122328225629
"admin2","prev","women_iron","Ghana","addon_only",128,0,NA
"admin2","prev","women_iron","Ghana","cs",101,0,0.302497221905141
"admin2","prev","women_iron","Ghana","cs_plus",229,0,0.302497221905141
"admin2","prev","women_iron","Malawi","base",322,128,0.205535597740823
"admin2","prev","women_iron","Malawi","plus",450,128,0.205535597740823
"admin2","prev","women_iron","Malawi","addon_only",128,128,NA
"admin2","prev","women_iron","Malawi","cs",101,128,0.165770638141878
"admin2","prev","women_iron","Malawi","cs_plus",229,128,0.165770638141878
"admin2","prev","women_iron","SierraLeone","base",322,128,-0.208791208791209
"admin2","prev","women_iron","SierraLeone","plus",450,128,-0.208791208791209
"admin2","prev","women_iron","SierraLeone","addon_only",128,128,NA
"admin2","prev","women_iron","SierraLeone","cs",101,128,0.0593406593406593
"admin2","prev","women_iron","SierraLeone","cs_plus",229,128,0.0593406593406593
"admin2","prev","women_folate","Ghana","base",324,0,0.0240004431512765
"admin2","prev","women_folate","Ghana","plus",452,0,0.0240004431512765
"admin2","prev","women_folate","Ghana","addon_only",128,0,NA
"admin2","prev","women_folate","Ghana","cs",101,0,0.0759491458154111
"admin2","prev","women_folate","Ghana","cs_plus",229,0,0.0759491458154111
"admin2","prev","women_folate","Malawi","base",324,128,0.221760509139214
"admin2","prev","women_folate","Malawi","plus",452,128,0.221760509139214
"admin2","prev","women_folate","Malawi","addon_only",128,128,NA
"admin2","prev","women_folate","Malawi","cs",101,128,0.435590029159232
"admin2","prev","women_folate","Malawi","cs_plus",229,128,0.435590029159232
"admin2","prev","women_folate","SierraLeone","base",324,128,0.16043956043956
"admin2","prev","women_folate","SierraLeone","plus",452,128,0.16043956043956
"admin2","prev","women_folate","SierraLeone","addon_only",128,128,NA
"admin2","prev","women_folate","SierraLeone","cs",101,128,-0.0197802197802198
"admin2","prev","women_folate","SierraLeone","cs_plus",229,128,-0.0197802197802198
"admin2","prev","women_b12","Ghana","base",324,0,0.239848071169391
"admin2","prev","women_b12","Ghana","plus",452,0,0.239848071169391
"admin2","prev","women_b12","Ghana","addon_only",128,0,NA
"admin2","prev","women_b12","Ghana","cs",101,0,0.291817885633299
"admin2","prev","women_b12","Ghana","cs_plus",229,0,0.291817885633299
"admin2","prev","women_b12","Malawi","base",324,128,0.272169031035008
"admin2","prev","women_b12","Malawi","plus",452,128,0.272169031035008
"admin2","prev","women_b12","Malawi","addon_only",128,128,NA
"admin2","prev","women_b12","Malawi","cs",101,128,0.234119668100649
"admin2","prev","women_b12","Malawi","cs_plus",229,128,0.234119668100649
"admin2","prev","women_b12","SierraLeone","base",324,128,-0.151411196783981
"admin2","prev","women_b12","SierraLeone","plus",452,128,-0.151411196783981
"admin2","prev","women_b12","SierraLeone","addon_only",128,128,NA
"admin2","prev","women_b12","SierraLeone","cs",101,128,0.0908467180703886
"admin2","prev","women_b12","SierraLeone","cs_plus",229,128,0.0908467180703886
"admin1","level","child_vitA","Gambia","base",326,128,0.828571428571429
"admin1","level","child_vitA","Gambia","plus",454,128,0.828571428571429
"admin1","level","child_vitA","Gambia","addon_only",128,128,NA
"admin1","level","child_vitA","Gambia","cs",101,128,0.942857142857143
"admin1","level","child_vitA","Gambia","cs_plus",229,128,0.942857142857143
"admin1","level","child_vitA","Ghana","base",326,0,0.517647058823529
"admin1","level","child_vitA","Ghana","plus",454,0,0.517647058823529
"admin1","level","child_vitA","Ghana","addon_only",128,0,NA
"admin1","level","child_vitA","Ghana","cs",101,0,0.402941176470588
"admin1","level","child_vitA","Ghana","cs_plus",229,0,0.402941176470588
"admin1","level","child_vitA","Malawi","base",326,128,0.526251526251526
"admin1","level","child_vitA","Malawi","plus",454,128,0.526251526251526
"admin1","level","child_vitA","Malawi","addon_only",128,128,NA
"admin1","level","child_vitA","Malawi","cs",101,128,0.28998778998779
"admin1","level","child_vitA","Malawi","cs_plus",229,128,0.28998778998779
"admin1","level","child_vitA","SierraLeone","base",326,128,-0.4
"admin1","level","child_vitA","SierraLeone","plus",454,128,-0.4
"admin1","level","child_vitA","SierraLeone","addon_only",128,128,NA
"admin1","level","child_vitA","SierraLeone","cs",101,128,0.4
"admin1","level","child_vitA","SierraLeone","cs_plus",229,128,0.4
"admin1","level","women_vitA","Gambia","base",326,128,0.771428571428571
"admin1","level","women_vitA","Gambia","plus",454,128,0.771428571428571
"admin1","level","women_vitA","Gambia","addon_only",128,128,NA
"admin1","level","women_vitA","Gambia","cs",101,128,0.885714285714286
"admin1","level","women_vitA","Gambia","cs_plus",229,128,0.885714285714286
"admin1","level","women_vitA","Ghana","base",326,0,0.591176470588235
"admin1","level","women_vitA","Ghana","plus",454,0,0.591176470588235
"admin1","level","women_vitA","Ghana","addon_only",128,0,NA
"admin1","level","women_vitA","Ghana","cs",101,0,0.579411764705882
"admin1","level","women_vitA","Ghana","cs_plus",229,0,0.579411764705882
"admin1","level","women_vitA","Malawi","base",326,128,0.308302808302808
"admin1","level","women_vitA","Malawi","plus",454,128,0.308302808302808
"admin1","level","women_vitA","Malawi","addon_only",128,128,NA
"admin1","level","women_vitA","Malawi","cs",101,128,0.27960927960928
"admin1","level","women_vitA","Malawi","cs_plus",229,128,0.27960927960928
"admin1","level","women_vitA","SierraLeone","base",326,128,-0.4
"admin1","level","women_vitA","SierraLeone","plus",454,128,-0.4
"admin1","level","women_vitA","SierraLeone","addon_only",128,128,NA
"admin1","level","women_vitA","SierraLeone","cs",101,128,0.4
"admin1","level","women_vitA","SierraLeone","cs_plus",229,128,0.4
"admin1","level","child_iron","Gambia","base",326,128,0.485714285714286
"admin1","level","child_iron","Gambia","plus",454,128,0.485714285714286
"admin1","level","child_iron","Gambia","addon_only",128,128,NA
"admin1","level","child_iron","Gambia","cs",101,128,0.6
"admin1","level","child_iron","Gambia","cs_plus",229,128,0.6
"admin1","level","child_iron","Ghana","base",326,0,0.826470588235294
"admin1","level","child_iron","Ghana","plus",454,0,0.826470588235294
"admin1","level","child_iron","Ghana","addon_only",128,0,NA
"admin1","level","child_iron","Ghana","cs",101,0,0.726470588235294
"admin1","level","child_iron","Ghana","cs_plus",229,0,0.726470588235294
"admin1","level","child_iron","Malawi","base",326,128,-0.0341880341880342
"admin1","level","child_iron","Malawi","plus",454,128,-0.0341880341880342
"admin1","level","child_iron","Malawi","addon_only",128,128,NA
"admin1","level","child_iron","Malawi","cs",101,128,0.11050061050061
"admin1","level","child_iron","Malawi","cs_plus",229,128,0.11050061050061
