indicator_id,level1,level2
CH_ARSA_C_POT,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_PPH,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_PRV,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_PUB,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_SHP,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_TRP,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSA_C_UNW,Child Health,Source of advice or treatment among children with symptoms of ARI for whom advice or treatment was sought
CH_ARSS_C_GFW,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_GHC,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_GHP,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_GHS,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_GMB,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_GOT,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_IDS,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_MKT,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_NGH,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_NGO,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_NUM,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_OSR,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_OTH,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_PDR,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_PFW,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_PHS,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_PMB,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_POT,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_PPH,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_PRV,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_PUB,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_SHP,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_TRP,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_ARSS_C_UNW,Child Health,Source of advice or treatment among children with symptoms of ARI
CH_DIAR_C_ATS,Child Health,Prevalence of diarrhea
CH_DIAR_C_DIA,Child Health,Prevalence of diarrhea
CH_DIAR_C_DIB,Child Health,Prevalence of diarrhea
CH_DIAR_C_NM1,Child Health,Prevalence of diarrhea
CH_DIAR_C_NUM,Child Health,Prevalence of diarrhea
CH_DIAR_C_UN1,Child Health,Prevalence of diarrhea
CH_DIAR_C_UNW,Child Health,Prevalence of diarrhea
