prefix,level1,level2
FI_EXFI,Fistula,Experience of fistula symptoms
FI_NCFI,Fistula,Reasons for not seeking treatment for fistula
FI_OCFI,Fistula,Fistula treatment outcome
FI_PVFT,Fistula,Fistula treatment provider
FI_RCFI,Fistula,Reported causes of fistula symptoms
FP_ASTR,Family Planning,Age at time of sterilization
FP_CUSA,Family Planning,Current use of contraception by all women
FP_CUSM,Family Planning,Current use of contraception by currently married women
FP_CUSU,Family Planning,Current use of contraception by sexually active unmarried women
FP_CUSY,Family Planning,Current use of contraception by young women
FP_DISR,Family Planning,Twelve-month contraceptive discontinuation rates
FP_DMKF,Family Planning,Decisionmaking about family planning
FP_DMKP,Family Planning,Decisionmaking about family planning
FP_ECUS,Family Planning,Emergency contraception use
FP_EFPM,Family Planning,Exposure to family planning messages
FP_EVUA,Family Planning,Ever use of contraceptive methods by all respondents
FP_EVUM,Family Planning,Ever use of contraceptive methods by currently married respondents
FP_EVUU,Family Planning,Ever use of contraceptive methods by sexually active unmarried respondents
FP_FUTU,Family Planning,Future use of contraception
FP_ICHC,Family Planning,Informed choice
FP_KFPC,Family Planning,Correct knowledge of fertile period
FP_KFTP,Family Planning,Knowledge of fertile period
FP_KMET,Family Planning,Knowledge of contraceptive methods
FP_KMTA,Family Planning,Knowledge of contraceptive methods by all respondents
FP_KMTM,Family Planning,Knowledge of contraceptive methods by currently married respondents
FP_KMTU,Family Planning,Knowledge of contraceptive methods by sexually active unmarried respondents
FP_NADA,Family Planning,Need and demand for family planning for all women
FP_NADM,Family Planning,Need and demand for family planning for currently married women
FP_NADU,Family Planning,Need and demand for family planning for sexually active unmarried women
FP_NDYA,Family Planning,Need and demand for family planning for all young women age 15-24
FP_NDYM,Family Planning,Need and demand for family planning for currently married young women age 15-24
FP_NDYU,Family Planning,Need and demand for family planning for sexually active unmarried women age 15-24
FP_NFPP,Family Planning,Contact of nonusers with family planning providers
FP_PRGP,Family Planning,Pressure to become pregnant
FP_RDIS,Family Planning,Reasons for discontinuation
FP_RNIU,Family Planning,Reason for not intending to use contraception
FP_SOCM,Family Planning,Use of social marketing brand pills and condoms
FP_SPUS,Family Planning,Sayana Press use
FP_SRCM,Family Planning,Source of modern contraception methods
HA_AATT,HIV/AIDS,Accepting attitudes toward those living with HIV/AIDS
HA_AFSY,HIV/AIDS,Age at first sexual intercourse among young people
HA_AMXY,HIV/AIDS,Age-mixing in sexual relationships among young people
HA_ANSS,HIV/AIDS,Attitudes toward negotiating safer sexual relations with husband
HA_ASEC,HIV/AIDS,Adult support of education about condom use to prevent AIDS
HA_CATH,HIV/AIDS,Pregnant women counseled and tested for HIV
HA_CHVT,HIV/AIDS,Coverage of survey HIV testing
HA_CKNA,HIV/AIDS,Comprehensive knowledge about AIDS
HA_CKNY,HIV/AIDS,Comprehensive knowledge about AIDS and of a source of condoms among young people
HA_CONC,HIV/AIDS,Point prevalence and cumulative prevalence of concurrent sexual partners
HA_CPHT,HIV/AIDS,Coverage of prior HIV testing
HA_DATT,HIV/AIDS,Discriminatory attitudes toward those living with HIV/AIDS
HA_HIVP,HIV/AIDS,HIV prevalence
HA_HIVY,HIV/AIDS,HIV prevalence among young people
HA_HPAC,HIV/AIDS,HIV prevalence among couples
HA_HPMC,HIV/AIDS,HIV prevalence by male circumcision
HA_HRSX,HIV/AIDS,Higher risk sex
HA_HVST,HIV/AIDS,Knowledge and coverage of self-testing for HIV
HA_HVTY,HIV/AIDS,Recent HIV tests among young people
HA_KAID,HIV/AIDS,Knowledge of AIDS
HA_KHVP,HIV/AIDS,Knowledge of HIV prevention methods
HA_KMTC,HIV/AIDS,Knowledge of prevention of mother-to-child transmission of HIV
HA_MCRC,HIV/AIDS,Male circumcision
HA_MINJ,HIV/AIDS,Prevalence of medical injections
HA_MSPY,HIV/AIDS,Multiple sexual partners in the past 12 months among young people
HA_MSXP,HIV/AIDS,Multiple sexual partners
HA_PHVT,HIV/AIDS,Prior HIV testing by current HIV status
HA_PSXY,HIV/AIDS,Premarital sexual intercourse and condom use during premarital sexual intercourse among young people
HA_PYSX,HIV/AIDS,Payment for sexual intercourse and condom use at last paid sexual intercourse
HA_STIS,HIV/AIDS,Self-reported prevalence of STIs and symptoms
HA_STSC,HIV/AIDS,Source of advice or treatment for STIs
HC_AGEG,Household Characteristics,Age of population
HC_AGON,Household Characteristics,Agricultural ownership
HC_CHAR,Household Characteristics,Household characteristics
HC_CKFL,Household Characteristics,Cooking fuel
HC_CKPL,Household Characteristics,Place for cooking
HC_CKTC,Household Characteristics,Cooking technology
HC_CLFT,Household Characteristics,Clean fuels and technologies
HC_ELEC,Household Characteristics,Electricity
HC_FLRM,Household Characteristics,Flooring material
HC_HEFF,Household Characteristics,Household effects
HC_HHHD,Household Characteristics,Household headship
HC_HTFL,Household Characteristics,Heating fuel
HC_HTTC,Household Characteristics,Heating technology
HC_LTFL,Household Characteristics,Lighting fuel or technology
HC_LVAR,Household Characteristics,Children's living arrangements and orphanhood
HC_LVAY,Household Characteristics,Children 10-14 living arrangements and orphanhood
HC_MEMB,Household Characteristics,Number of usual members
HC_OLDR,Household Characteristics,Older age persons
HC_ORPH,Household Characteristics,Households with orphans and foster children
HC_PPRM,Household Characteristics,Persons per sleeping room
HC_RMSL,Household Characteristics,Rooms used for sleeping
HC_SMKH,Household Characteristics,Frequency of smoking in the home
HC_TRNS,Household Characteristics,Household means of transport
