"country","iso3","Admin1","Admin2","gid_1","gid_2","hasc_2","engtype_2","varname_2","pcode"
"Ghana","GHA","Ashanti","Bekwai","GHA2_2","GHA2.22_2",NA,"Municipality",NA,"GH0222"
"Ghana","GHA","Ashanti","Bosome Freho","GHA2_2","GHA2.23_2",NA,"District",NA,"GH0223"
"Ghana","GHA","Ashanti","Bosomtwe","GHA2_2","GHA2.24_2",NA,"District",NA,"GH0224"
"Ghana","GHA","Ashanti","Ejisu","GHA2_2","GHA2.25_2",NA,"Municipality",NA,"GH0225"
"Ghana","GHA","Ashanti","Ejura-Sekyedumase","GHA2_2","GHA2.26_2",NA,"District",NA,"GH0226"
"Ghana","GHA","Ashanti","Juaben","GHA2_2","GHA2.27_2",NA,"Municipality",NA,"GH0227"
"Ghana","GHA","Ashanti","Kumasi","GHA2_2","GHA2.28_2",NA,"Metropolis",NA,"GH0228"
"Ghana","GHA","Ashanti","Kwabre East","GHA2_2","GHA2.29_2",NA,"District",NA,"GH0229"
"Ghana","GHA","Ashanti","Kwadaso","GHA2_2","GHA2.30_2",NA,"Municipality",NA,"GH0230"
"Ghana","GHA","Ashanti","Mampong","GHA2_2","GHA2.31_2",NA,"Municipality",NA,"GH0231"
"Ghana","GHA","Ashanti","Obuasi","GHA2_2","GHA2.32_2",NA,"Municipality",NA,"GH0233"
"Ghana","GHA","Ashanti","Obuasi East","GHA2_2","GHA2.33_2",NA,"Municipality",NA,"GH0232"
"Ghana","GHA","Ashanti","Offinso","GHA2_2","GHA2.34_2",NA,"Municipality",NA,"GH0234"
"Ghana","GHA","Ashanti","Offinso North","GHA2_2","GHA2.35_2",NA,"District",NA,"GH0235"
"Ghana","GHA","Ashanti","Oforikrom","GHA2_2","GHA2.36_2",NA,"Municipality",NA,"GH0236"
"Ghana","GHA","Ashanti","Old Tafo","GHA2_2","GHA2.37_2",NA,"Municipality",NA,"GH0237"
"Ghana","GHA","Ashanti","Sekyere Afram Plains North","GHA2_2","GHA2.38_2",NA,"District",NA,"GH0238"
"Ghana","GHA","Ashanti","Sekyere Central","GHA2_2","GHA2.39_2",NA,"District",NA,"GH0239"
"Ghana","GHA","Ashanti","Sekyere East","GHA2_2","GHA2.40_2",NA,"District",NA,"GH0240"
"Ghana","GHA","Ashanti","Sekyere Kumawu","GHA2_2","GHA2.41_2",NA,"District",NA,"GH0241"
"Ghana","GHA","Ashanti","Sekyere South","GHA2_2","GHA2.42_2",NA,"District",NA,"GH0242"
"Ghana","GHA","Ashanti","Suame","GHA2_2","GHA2.43_2",NA,"Municipality",NA,"GH0243"
"Ghana","GHA","Bono","Banda","GHA3_2","GHA3.1_2",NA,"District",NA,"GH0301"
"Ghana","GHA","Bono","Berekum East","GHA3_2","GHA3.2_2",NA,"Municipality",NA,"GH0302"
"Ghana","GHA","Bono","Berekum West","GHA3_2","GHA3.3_2",NA,"District",NA,"GH0303"
"Ghana","GHA","Bono","Dormaa","GHA3_2","GHA3.4_2",NA,"Municipality",NA,"GH0305"
"Ghana","GHA","Bono","Dormaa East","GHA3_2","GHA3.5_2",NA,"District",NA,"GH0304"
"Ghana","GHA","Bono","Dormaa West","GHA3_2","GHA3.6_2",NA,"District",NA,"GH0306"
"Ghana","GHA","Bono","Jaman North","GHA3_2","GHA3.7_2",NA,"District",NA,"GH0307"
"Ghana","GHA","Bono","Jaman South","GHA3_2","GHA3.8_2",NA,"Municipality",NA,"GH0308"
"Ghana","GHA","Bono","Sunyani","GHA3_2","GHA3.9_2",NA,"Municipality",NA,"GH0309"
"Ghana","GHA","Bono","Sunyani West","GHA3_2","GHA3.10_2",NA,"District",NA,"GH0310"
"Ghana","GHA","Bono","Tain","GHA3_2","GHA3.11_2",NA,"District",NA,"GH0311"
"Ghana","GHA","Bono","Wenchi","GHA3_2","GHA3.12_2",NA,"Municipality",NA,"GH0312"
"Ghana","GHA","Bono East","Atebubu-Amantin","GHA4_2","GHA4.1_2",NA,"Municipality",NA,"GH0401"
"Ghana","GHA","Bono East","Kintampo North","GHA4_2","GHA4.2_2",NA,"Municipality",NA,"GH0402"
"Ghana","GHA","Bono East","Kintampo South","GHA4_2","GHA4.3_2",NA,"District",NA,"GH0403"
"Ghana","GHA","Bono East","Nkoranza North","GHA4_2","GHA4.4_2",NA,"District",NA,"GH0404"
"Ghana","GHA","Bono East","Nkoranza South","GHA4_2","GHA4.5_2",NA,"Municipality",NA,"GH0405"
"Ghana","GHA","Bono East","Pru East","GHA4_2","GHA4.6_2",NA,"District",NA,"GH0406"
"Ghana","GHA","Bono East","Pru West","GHA4_2","GHA4.7_2",NA,"District",NA,"GH0407"
"Ghana","GHA","Bono East","Sene East","GHA4_2","GHA4.8_2",NA,"District",NA,"GH0408"
"Ghana","GHA","Bono East","Sene West","GHA4_2","GHA4.9_2",NA,"District",NA,"GH0409"
"Ghana","GHA","Bono East","Techiman","GHA4_2","GHA4.10_2",NA,"Municipality",NA,"GH0410"
"Ghana","GHA","Bono East","Techiman North","GHA4_2","GHA4.11_2",NA,"District",NA,"GH0411"
"Ghana","GHA","Central","Abura-Asebu-Kwamankese","GHA5_2","GHA5.1_2",NA,"District",NA,"GH0501"
"Ghana","GHA","Central","Agona East","GHA5_2","GHA5.2_2",NA,"District",NA,"GH0502"
"Ghana","GHA","Central","Agona West","GHA5_2","GHA5.3_2",NA,"Municipality",NA,"GH0503"
"Ghana","GHA","Central","Ajumako-Enyan-Essiam","GHA5_2","GHA5.4_2",NA,"District",NA,"GH0504"
"Ghana","GHA","Central","Asikuma-Odoben-Brakwa","GHA5_2","GHA5.5_2",NA,"District",NA,"GH0505"
"Ghana","GHA","Central","Assin Central","GHA5_2","GHA5.6_2",NA,"Municipality",NA,"GH0506"
"Ghana","GHA","Central","Assin North","GHA5_2","GHA5.7_2",NA,"District",NA,"GH0507"
"Ghana","GHA","Central","Assin South","GHA5_2","GHA5.8_2",NA,"District",NA,"GH0508"
"Ghana","GHA","Central","Awutu Senya East","GHA5_2","GHA5.10_2",NA,"Municipality",NA,"GH0510"
"Ghana","GHA","Central","Awutu Senya West","GHA5_2","GHA5.9_2",NA,"District",NA,"GH0509"
"Ghana","GHA","Central","Cape Coast","GHA5_2","GHA5.11_2",NA,"Metropolis",NA,"GH0511"
"Ghana","GHA","Central","Effutu","GHA5_2","GHA5.12_2",NA,"Municipality",NA,"GH0512"
"Ghana","GHA","Central","Ekumfi","GHA5_2","GHA5.13_2",NA,"District",NA,"GH0513"
"Ghana","GHA","Central","Gomoa Central","GHA5_2","GHA5.14_2",NA,"District",NA,"GH0514"
"Ghana","GHA","Central","Gomoa East","GHA5_2","GHA5.15_2",NA,"District",NA,"GH0515"
"Ghana","GHA","Central","Gomoa West","GHA5_2","GHA5.16_2",NA,"District",NA,"GH0516"
"Ghana","GHA","Central","Komenda-Edina-Eguafo-Abirem-","GHA5_2","GHA5.17_2",NA,"Municipality",NA,"GH0517"
"Ghana","GHA","Central","Mfantseman","GHA5_2","GHA5.18_2",NA,"Municipality",NA,"GH0518"
"Ghana","GHA","Central","Twifo-Atti-Morkwa","GHA5_2","GHA5.19_2",NA,"District",NA,"GH0519"
"Ghana","GHA","Central","Twifo-Hemang-Lower Denkyira","GHA5_2","GHA5.20_2",NA,"District",NA,"GH0520"
"Ghana","GHA","Central","Upper Denkyira East","GHA5_2","GHA5.21_2",NA,"Municipality",NA,"GH0521"
"Ghana","GHA","Central","Upper Denkyira West","GHA5_2","GHA5.22_2",NA,"District",NA,"GH0522"
"Ghana","GHA","Eastern","Abuakwa North","GHA6_2","GHA6.1_2",NA,"Municipality",NA,"GH0601"
"Ghana","GHA","Eastern","Abuakwa South","GHA6_2","GHA6.2_2",NA,"Municipality",NA,"GH0602"
"Ghana","GHA","Eastern","Achiase","GHA6_2","GHA6.3_2",NA,"District",NA,"GH0603"
"Ghana","GHA","Eastern","Akwapem North","GHA6_2","GHA6.4_2",NA,"Municipality",NA,"GH0604"
"Ghana","GHA","Eastern","Akwapem South","GHA6_2","GHA6.5_2",NA,"District",NA,"GH0605"
"Ghana","GHA","Eastern","Akyemansa","GHA6_2","GHA6.6_2",NA,"District",NA,"GH0606"
"Ghana","GHA","Eastern","Asene-Manso-Akroso","GHA6_2","GHA6.7_2",NA,"District",NA,"GH0607"
"Ghana","GHA","Eastern","Asuogyaman","GHA6_2","GHA6.8_2",NA,"District",NA,"GH0608"
"Ghana","GHA","Eastern","Atiwa East","GHA6_2","GHA6.9_2",NA,"District",NA,"GH0609"
"Ghana","GHA","Eastern","Atiwa West","GHA6_2","GHA6.10_2",NA,"District",NA,"GH0610"
"Ghana","GHA","Eastern","Ayensuano","GHA6_2","GHA6.11_2",NA,"District",NA,"GH0611"
"Ghana","GHA","Eastern","Birim Central","GHA6_2","GHA6.12_2",NA,"Municipality",NA,"GH0612"
"Ghana","GHA","Eastern","Birim North","GHA6_2","GHA6.13_2",NA,"District",NA,"GH0613"
"Ghana","GHA","Eastern","Birim South","GHA6_2","GHA6.14_2",NA,"District",NA,"GH0614"
"Ghana","GHA","Eastern","Denkyembour","GHA6_2","GHA6.15_2",NA,"District",NA,"GH0615"
"Ghana","GHA","Eastern","Fanteakwa North","GHA6_2","GHA6.16_2",NA,"District",NA,"GH0616"
"Ghana","GHA","Eastern","Fanteakwa South","GHA6_2","GHA6.17_2",NA,"District",NA,"GH0617"
"Ghana","GHA","Eastern","Kwaebibirem","GHA6_2","GHA6.18_2",NA,"Municipality",NA,"GH0618"
"Ghana","GHA","Eastern","Kwahu Afram Plains North","GHA6_2","GHA6.19_2",NA,"District",NA,"GH0619"
"Ghana","GHA","Eastern","Kwahu Afram Plains South","GHA6_2","GHA6.20_2",NA,"District",NA,"GH0620"
"Ghana","GHA","Eastern","Kwahu East","GHA6_2","GHA6.21_2",NA,"District",NA,"GH0621"
"Ghana","GHA","Eastern","Kwahu South","GHA6_2","GHA6.22_2",NA,"District",NA,"GH0622"
"Ghana","GHA","Eastern","Kwahu West","GHA6_2","GHA6.23_2",NA,"Municipality",NA,"GH0623"
"Ghana","GHA","Eastern","Lower Manya-Krobo","GHA6_2","GHA6.24_2",NA,"Municipality",NA,"GH0624"
"Ghana","GHA","Eastern","New Juaben North","GHA6_2","GHA6.25_2",NA,"Municipality",NA,"GH0625"
"Ghana","GHA","Eastern","New Juaben South","GHA6_2","GHA6.26_2",NA,"Municipality",NA,"GH0626"
"Ghana","GHA","Eastern","Nsawam Adoagyiri","GHA6_2","GHA6.27_2",NA,"Municipality",NA,"GH0627"
"Ghana","GHA","Eastern","Okere","GHA6_2","GHA6.28_2",NA,"District",NA,"GH0628"
"Ghana","GHA","Eastern","Suhum","GHA6_2","GHA6.29_2",NA,"Municipality",NA,"GH0629"
"Ghana","GHA","Eastern","Upper Manya","GHA6_2","GHA6.30_2",NA,"District",NA,"GH0630"
"Ghana","GHA","Eastern","Upper West Akim","GHA6_2","GHA6.31_2",NA,"District",NA,"GH0631"
"Ghana","GHA","Eastern","West Akim","GHA6_2","GHA6.32_2",NA,"District",NA,"GH0632"
"Ghana","GHA","Eastern","Yilo-Krobo","GHA6_2","GHA6.33_2",NA,"District",NA,"GH0633"
"Ghana","GHA","Greater Accra","Ablekuma Central","GHA7_2","GHA7.1_2",NA,"Municipality",NA,"GH0701"
"Ghana","GHA","Greater Accra","Ablekuma North","GHA7_2","GHA7.2_2",NA,"Municipality",NA,"GH0702"
"Ghana","GHA","Greater Accra","Ablekuma West","GHA7_2","GHA7.3_2",NA,"Municipality",NA,"GH0703"
"Ghana","GHA","Greater Accra","Accra","GHA7_2","GHA7.4_2",NA,"Metropolis",NA,"GH0704"
"Ghana","GHA","Greater Accra","Ada East","GHA7_2","GHA7.5_2",NA,"District",NA,"GH0705"
"Ghana","GHA","Greater Accra","Ada West","GHA7_2","GHA7.6_2",NA,"District",NA,"GH0706"
"Ghana","GHA","Greater Accra","Adenta","GHA7_2","GHA7.7_2",NA,"Municipality",NA,"GH0707"
"Ghana","GHA","Greater Accra","Ashaiman","GHA7_2","GHA7.8_2",NA,"Municipality",NA,"GH0708"
"Ghana","GHA","Greater Accra","Ayawaso Central","GHA7_2","GHA7.9_2",NA,"Municipality",NA,"GH0709"
"Ghana","GHA","Greater Accra","Ayawaso East","GHA7_2","GHA7.10_2",NA,"Municipality",NA,"GH0710"
"Ghana","GHA","Greater Accra","Ayawaso North","GHA7_2","GHA7.11_2",NA,"Municipality",NA,"GH0711"
"Ghana","GHA","Greater Accra","Ayawaso West","GHA7_2","GHA7.12_2",NA,"Municipality",NA,"GH0712"
"Ghana","GHA","Greater Accra","Ga Central","GHA7_2","GHA7.13_2",NA,"Municipality",NA,"GH0713"
"Ghana","GHA","Greater Accra","Ga East","GHA7_2","GHA7.14_2",NA,"Municipality",NA,"GH0714"
"Ghana","GHA","Greater Accra","Ga North","GHA7_2","GHA7.15_2",NA,"Municipality",NA,"GH0715"
"Ghana","GHA","Greater Accra","Ga South","GHA7_2","GHA7.16_2",NA,"Municipality",NA,"GH0716"
"Ghana","GHA","Greater Accra","Ga West","GHA7_2","GHA7.17_2",NA,"Municipality",NA,"GH0717"
"Ghana","GHA","Greater Accra","Korle-Klottey","GHA7_2","GHA7.18_2",NA,"Municipality",NA,"GH0718"
"Ghana","GHA","Greater Accra","Kpone-Katamanso","GHA7_2","GHA7.19_2",NA,"Municipality",NA,"GH0719"
"Ghana","GHA","Greater Accra","Krowor","GHA7_2","GHA7.20_2",NA,"Municipality",NA,"GH0720"
"Ghana","GHA","Greater Accra","La-Dade-Kotopon","GHA7_2","GHA7.21_2",NA,"Municipality",NA,"GH0721"
"Ghana","GHA","Greater Accra","La-Nkwantanang-Madina","GHA7_2","GHA7.22_2",NA,"Municipality",NA,"GH0722"
"Ghana","GHA","Greater Accra","Ledzokuku","GHA7_2","GHA7.23_2",NA,"Municipality",NA,"GH0723"
"Ghana","GHA","Greater Accra","Ningo-Prampram","GHA7_2","GHA7.24_2",NA,"District",NA,"GH0724"
"Ghana","GHA","Greater Accra","Okaikwei North","GHA7_2","GHA7.25_2",NA,"Municipality",NA,"GH0725"
"Ghana","GHA","Greater Accra","Shai Osudoku","GHA7_2","GHA7.26_2",NA,"District",NA,"GH0726"
"Ghana","GHA","Greater Accra","Tema","GHA7_2","GHA7.27_2",NA,"Metropolis",NA,"GH0727"
"Ghana","GHA","Greater Accra","Tema West","GHA7_2","GHA7.28_2",NA,"Municipality",NA,"GH0728"
"Ghana","GHA","Greater Accra","Weija Gbawe","GHA7_2","GHA7.29_2",NA,"Municipality",NA,"GH0729"
"Ghana","GHA","North East","Bunkpurugu Nakpanduri","GHA8_2","GHA8.1_2",NA,"District",NA,"GH0901"
"Ghana","GHA","North East","Chereponi","GHA8_2","GHA8.2_2",NA,"District",NA,"GH0902"
"Ghana","GHA","North East","East Mamprusi","GHA8_2","GHA8.3_2",NA,"Municipality",NA,"GH0903"
"Ghana","GHA","North East","Mamprugu Moagduri","GHA8_2","GHA8.4_2",NA,"District",NA,"GH0904"
"Ghana","GHA","North East","West Mamprusi","GHA8_2","GHA8.5_2",NA,"Municipality",NA,"GH0905"
"Ghana","GHA","North East","Yunyoo-Nasuan","GHA8_2","GHA8.6_2",NA,"District",NA,"GH0906"
"Ghana","GHA","Northern","Gushegu","GHA9_2","GHA9.1_2",NA,"Municipality",NA,"GH0801"
"Ghana","GHA","Northern","Karaga","GHA9_2","GHA9.2_2",NA,"District",NA,"GH0802"
"Ghana","GHA","Northern","Kpandai","GHA9_2","GHA9.3_2",NA,"District",NA,"GH0803"
"Ghana","GHA","Northern","Kumbungu","GHA9_2","GHA9.4_2",NA,"District",NA,"GH0804"
"Ghana","GHA","Northern","Mion","GHA9_2","GHA9.5_2",NA,"District",NA,"GH0805"
"Ghana","GHA","Northern","Nanton","GHA9_2","GHA9.6_2",NA,"District",NA,"GH0806"
"Ghana","GHA","Northern","Nanumba North","GHA9_2","GHA9.7_2",NA,"Municipality",NA,"GH0807"
"Ghana","GHA","Northern","Nanumba South","GHA9_2","GHA9.8_2",NA,"District",NA,"GH0808"
"Ghana","GHA","Northern","Saboba","GHA9_2","GHA9.9_2",NA,"District",NA,"GH0809"
"Ghana","GHA","Northern","Sagnerigu","GHA9_2","GHA9.10_2",NA,"Municipality",NA,"GH0810"
"Ghana","GHA","Northern","Savelugu","GHA9_2","GHA9.11_2",NA,"Municipality",NA,"GH0811"
"Ghana","GHA","Northern","Tamale","GHA9_2","GHA9.12_2",NA,"Metropolis",NA,"GH0812"
"Ghana","GHA","Northern","Tatale Sanguli","GHA9_2","GHA9.13_2",NA,"District",NA,"GH0813"
"Ghana","GHA","Northern","Tolon","GHA9_2","GHA9.14_2",NA,"District",NA,"GH0814"
"Ghana","GHA","Northern","Yendi","GHA9_2","GHA9.15_2",NA,"Municipality",NA,"GH0815"
"Ghana","GHA","Northern","Zabzugu","GHA9_2","GHA9.16_2",NA,"District",NA,"GH0816"
"Ghana","GHA","Oti","Biakoye","GHA10_2","GHA10.1_2",NA,"District",NA,"GH1001"
"Ghana","GHA","Oti","Jasikan","GHA10_2","GHA10.2_2",NA,"District",NA,"GH1002"
"Ghana","GHA","Oti","Kadjebi","GHA10_2","GHA10.3_2",NA,"District",NA,"GH1003"
"Ghana","GHA","Oti","Krachi East","GHA10_2","GHA10.4_2",NA,"Municipality",NA,"GH1004"
"Ghana","GHA","Oti","Krachi Nchumuru","GHA10_2","GHA10.5_2",NA,"District",NA,"GH1005"
"Ghana","GHA","Oti","Krachi West","GHA10_2","GHA10.6_2",NA,"District",NA,"GH1006"
"Ghana","GHA","Oti","Nkwanta North","GHA10_2","GHA10.7_2",NA,"District",NA,"GH1007"
"Ghana","GHA","Oti","Nkwanta South","GHA10_2","GHA10.8_2",NA,"Municipality",NA,"GH1008"
"Ghana","GHA","Savannah","Bole","GHA11_2","GHA11.1_2",NA,"District",NA,"GH1101"
"Ghana","GHA","Savannah","Central Gonja","GHA11_2","GHA11.2_2",NA,"District",NA,"GH1102"
"Ghana","GHA","Savannah","East Gonja","GHA11_2","GHA11.3_2",NA,"Municipality",NA,"GH1103"
"Ghana","GHA","Savannah","North East Gonja","GHA11_2","GHA11.4_2",NA,"District",NA,"GH1104"
"Ghana","GHA","Savannah","North Gonja","GHA11_2","GHA11.5_2",NA,"District",NA,"GH1105"
"Ghana","GHA","Savannah","Sawla-Tuna-Kalba","GHA11_2","GHA11.6_2",NA,"District",NA,"GH1106"
"Ghana","GHA","Savannah","West Gonja","GHA11_2","GHA11.7_2",NA,"Municipality",NA,"GH1107"
"Ghana","GHA","Upper East","Bawku","GHA12_2","GHA12.1_2",NA,"Municipality",NA,"GH1201"
"Ghana","GHA","Upper East","Bawku West","GHA12_2","GHA12.2_2",NA,"District",NA,"GH1202"
"Ghana","GHA","Upper East","Binduri","GHA12_2","GHA12.3_2",NA,"District",NA,"GH1203"
"Ghana","GHA","Upper East","Bolga East","GHA12_2","GHA12.4_2",NA,"District",NA,"GH1204"
"Ghana","GHA","Upper East","Bolgatanga","GHA12_2","GHA12.5_2",NA,"Municipality",NA,"GH1205"
"Ghana","GHA","Upper East","Bongo","GHA12_2","GHA12.6_2",NA,"District",NA,"GH1206"
"Ghana","GHA","Upper East","Builsa North","GHA12_2","GHA12.7_2",NA,"Municipality",NA,"GH1207"
"Ghana","GHA","Upper East","Builsa South","GHA12_2","GHA12.8_2",NA,"District",NA,"GH1208"
"Ghana","GHA","Upper East","Garu","GHA12_2","GHA12.9_2",NA,"District",NA,"GH1209"
"Ghana","GHA","Upper East","Kasena Nankana East","GHA12_2","GHA12.10_2",NA,"Municipality",NA,"GH1210"
"Ghana","GHA","Upper East","Kasena Nankana West","GHA12_2","GHA12.11_2",NA,"District",NA,"GH1211"
"Ghana","GHA","Upper East","Nabdam","GHA12_2","GHA12.12_2",NA,"District",NA,"GH1212"
"Ghana","GHA","Upper East","Pusiga","GHA12_2","GHA12.13_2",NA,"District",NA,"GH1213"
