"mkt_name","adm1_name","adm2_name","lat","lon","n_months","fpi_cur","fpi_prev","fpi_volatility","fpi_seasonal_range","stp_cur","stp_prev","coverage","interpolated","fpi_rel_national","fpi_inflation_12m","staple_rel_national","staple_inflation_12m","country"
"Kuntaur","Central River","Niani",13.65,-14.87,12,-0.0473671308141152,-0.119797132346336,0.0211784396787859,0.0953101798043248,3.43627514718618,3.36067439007364,36.22,0,-0.0582808890442824,0.072430001532221,0.0373877036344208,0.0756007571125359,"Gambia"
"Kwinella Nya Kunda","Lower River","Kiang Central",13.4,-15.8,12,0.0085985541669138,-0.0652317330691555,0.0280591350457406,0.0896121586896872,3.4177444171615,3.36105117622784,36.22,0,-0.0023152040632534,0.0738302872360693,0.0188569736097404,0.056693240933658,"Gambia"
"Lamin","North Bank","Upper Niumi",13.35,-16.43,12,0.0338964215812823,-0.00455370875992028,0.0294683808894015,0.116636903725761,3.32510874199724,3.27601883139063,36.22,0,0.0229826633511151,0.0384501303412026,-0.0737787015545184,0.0490899106066052,"Gambia"
"Latri kunda","Kanifing Municipal Council","Kombo Saint Mary",13.45,-16.69,12,0.0660343446343667,0.0051063902848839,0.0356917067873108,0.129811611521991,3.31414912039788,3.26523615103791,36.22,0,0.0551205864041995,0.0609279543494828,-0.0847383231538785,0.0489129693599724,"Gambia"
"Ndugu Kebbeh","North Bank","Lower Niumi",13.54,-16.32,12,-0.019393540845383,-0.110289632741099,0.0284111049931021,0.125163142954006,3.38329640372611,3.306500533521,36.22,0,-0.0303072990755502,0.0908960918957157,-0.0155910398256442,0.0767958702051157,"Gambia"
"Sare Bojo","Upper River","Fulladu East",13.32,-14.53,12,-0.00857901395480341,-0.0940579459862065,0.0381533064354352,0.143100843640673,3.42079592417703,3.40208981370689,36.22,0,-0.0194927721849706,0.0854789320314031,0.0219084806252772,0.0187061104701409,"Gambia"
"Sare Ngai","Upper River","Sandu",13.5,-14.43,12,-0.00690519265053189,-0.0968296714963485,0.0319978879036671,0.133531392624523,3.39783674853192,3.37923655882163,36.22,0,-0.0178189508806991,0.0899244788458166,-0.00105069501983301,0.018600189710297,"Gambia"
"Serrekunda","Kanifing Municipal Council","Kombo Saint Mary",13.44,-16.68,12,0.159666520845899,0.0303440407308744,0.0548672789291773,0.232445943976523,3.35740376111292,3.32631372206866,36.22,0,0.148752762615732,0.129322480115025,-0.0414836824388405,0.0310900390442552,"Gambia"
"Sibanor","West Coast","Foni Bintang Karenai",13.21,-16.2,12,-0.0156574962464101,-0.0924054922671309,0.0274863815388144,0.0923733201310151,3.36704287181255,3.31732881336937,36.22,0,-0.0265712544765773,0.0767479960207208,-0.031844571739208,0.0497140584431821,"Gambia"
"Soma","Lower River","Jarra West",13.43,-15.53,12,0.0229035540109193,-0.0481968410315669,0.0424156203346958,0.048790164169432,3.43238615120344,3.37871992724671,36.22,0,0.0119897957807521,0.0711003950424862,0.0334987076516833,0.0536662239567347,"Gambia"
"Wassu","Central River","Niani",13.68,-14.88,12,-0.041234699573844,-0.115942919924376,0.0239798445823495,0.0842603436177398,3.42717470953409,3.35182779134666,36.22,0,-0.0521484578040112,0.0747082203505317,0.0282872659823368,0.0753469181874382,"Gambia"
"Wellingara","Central River","Niamina East",13.63,-15.03,12,-0.0381732143871183,-0.120524061122266,0.02774739717157,0.105360515657826,3.39622069761184,3.34605946926403,36.22,0,-0.0490869726172855,0.0823508467351481,-0.00266674593991656,0.050161228347815,"Gambia"
"Area 23","Central Region","Lilongwe",-14.03,33.49,12,-0.252754242356596,-0.515634887470936,0.0617801031705164,0.462035459596559,5.04661921797675,4.79821031423868,41.79,0,0.0219581554536299,0.26288064511434,0.191352030912213,0.248408903738071,"Malawi"
